gene,log2FC,pvalue,adjustedpvalue,-log(adjustedp),category
A1BG,1.7516628324529373,1.7403324272818262e-19,1.6498288010543287e-18,17.782561119189054,Up
A2M,1.446368433757403,2.6317141299059844e-14,1.4807303988211563e-13,12.82952400762516,Up
AAAS,0.6032504798239161,5.7533072503948545e-08,1.5020359962217216e-07,6.8233196593603855,Not Significant
AACS,-0.7470636367105177,8.155612536846698e-09,2.3765893307961163e-08,7.624045856882506,Not Significant
AADAT,-1.1812365227786317,7.377721544980463e-08,1.8933605414620718e-07,6.722766678028747,Down
AAED1,0.870320082212302,0.004539879812351453,0.006213755288200693,2.2066458542475686,Not Significant
AAGAB,-0.16128486725991859,0.06795693325238716,0.08104533893493332,1.0912719571639795,Not Significant
AAK1,-1.8636892813436592,5.0724154269766823e-48,1.5848243260552928e-45,44.80001887127157,Down
AAMDC,0.5477948031012764,0.0001178595956745896,0.0001966330366849407,3.706343513743889,Not Significant
AAMP,-0.36028007850060945,6.516407174847656e-05,0.00011259841016432478,3.948467741471665,Not Significant
AAR2,0.7993566673757001,1.5865618272603335e-07,3.8866844104384116e-07,6.410420721619677,Not Significant
AARS,-0.44049957662187517,1.2018060913994255e-13,6.279919480610753e-13,12.202045924630736,Not Significant
AARS2,-0.35158384126139375,0.0003768334355512958,0.0005900348922575401,3.2291223051937146,Not Significant
AARSD1,-0.5455920404160333,7.548403238493919e-09,2.2064400255401067e-08,7.656307872853533,Not Significant
AASDHPPT,-0.7622734951635248,1.9437515787102528e-19,1.835980960326227e-18,17.73613182687559,Not Significant
AASS,1.1515029812420312,2.7980959226597833e-10,9.790043851753172e-10,9.00921536289229,Up
AATF,0.6689522832521698,4.243488591409857e-06,8.632103331636741e-06,5.063883369519418,Not Significant
AATK,-2.2087540907818255,1.5135827444317268e-20,1.581815540842354e-19,18.800844161966662,Down
ABAT,-1.6648968071790209,2.0379254122686536e-19,1.9197072955931595e-18,17.71676498462949,Down
ABCA1,1.1765040026891873,1.36806311772308e-12,6.334594747499796e-12,11.198281163662026,Up
ABCA2,-0.9477022506296866,1.0751251223301127e-10,3.969839446021335e-10,9.4012270572462,Not Significant
ABCA3,-0.6878653362792828,6.156250013536794e-07,1.3970003573338672e-06,5.854803482799127,Not Significant
ABCA5,-1.9286665978413422,1.1205058619270808e-15,7.372531932237032e-15,14.132383337736584,Down
ABCA8,-0.45165124894297426,0.0019273056838211967,0.002763648555296162,2.5585171856827653,Not Significant
ABCB1,-0.38117329485632745,0.001358504217542427,0.001984655494792859,2.702314869099989,Not Significant
ABCB10,-0.6101035028462177,1.2218114550655466e-07,3.03818333391717e-07,6.517386022933327,Not Significant
ABCB6,0.17013174702020284,0.004185730108086108,0.0057471659009455615,2.2405462660948956,Not Significant
ABCB7,-0.029510503776911882,0.6854272724643762,0.7098410585097693,0.14883888387189295,Not Significant
ABCB8,-1.0163079884231565,1.5751328095083127e-09,5.0123990871819095e-09,8.299954357777489,Down
ABCB9,-1.354921019167273,9.025022611188959e-10,2.9625184597876338e-09,8.528338934835366,Down
ABCC1,0.14608652833526814,0.11053206925947018,0.1285650138475612,0.8908771990646482,Not Significant
