gene_name,log2FC,pvalue,adjustedpvalue,-log(adjustedp),category
A1BG,-0.35459294485150394,0.2192390735916479,0.2493355641637233,0.6032157711613738,Not Significant
A2M,2.5500698455885455,6.558377333114991e-07,1.9751597385291606e-06,5.704397775603882,Up
AAAS,1.088259015189628,2.541068804729138e-06,6.7082618288368286e-06,5.173389994873362,Up
AACS,-1.783757968381563,6.178405491244116e-11,4.222609017557207e-10,9.374419129178541,Down
AADAT,-0.3433284780056596,0.0029722991865481587,0.004446531334316328,2.35197864290241,Not Significant
AAED1,1.3694608723988928,3.936978079582816e-14,4.4563053004176725e-13,12.351025063403279,Up
AAGAB,-0.5358238080351434,0.004595506698706078,0.0066890817053554446,2.174633499223283,Not Significant
AAK1,-1.6911030215199965,7.02357711469513e-13,6.6624779523012e-12,11.176364215145075,Down
AAMDC,1.020881059806662,1.3352857512288227e-07,4.6593933695459504e-07,6.331670622668018,Up
AAMP,0.23183915139558664,0.03996266864665224,0.050792824116373286,1.2941976394246124,Not Significant
AAR2,1.163168816650316,1.5707745772243658e-17,2.5481454252750823e-16,15.593775789997506,Up
AARS,-0.5821461774816292,0.0002686764044453908,0.00047893595675322574,3.3197225564981956,Not Significant
AARS2,0.16217264019154598,0.05731037121422217,0.07119801203749834,1.1475321323912027,Not Significant
AARSD1,0.07994143112214935,0.5301569648734273,0.5649847946826306,0.24796324009965662,Not Significant
AASDHPPT,-1.084540185630022,0.000674777736080106,0.001118596497164882,2.9513265449794717,Down
AASS,1.6052870181385686,5.566610631669248e-07,1.7050178018679234e-06,5.768271082235914,Up
AATF,0.874489559214183,1.1879062461918563e-12,1.0908812692923209e-11,10.962222515128591,Not Significant
AATK,-2.8540068274758,8.444331808849633e-17,1.2850181063799274e-15,14.891090752919855,Down
ABAT,-0.9666832705631414,6.805932916626753e-08,2.5214206082332607e-07,6.598354701884789,Not Significant
ABCA1,3.6783973478975263,8.63487268884556e-10,4.761231935819932e-09,8.322280662047165,Up
ABCA2,-1.5213209992534615,8.481224666133683e-07,2.4829949807216134e-06,5.605024158354058,Down
ABCA3,-1.1635430966668956,1.9984940901031154e-16,2.909368419609651e-15,14.536201279621855,Down
ABCA5,-2.0392033343403995,5.954534344856767e-13,5.7457834281692595e-12,11.240650747596352,Down
ABCA8,0.5240248933621618,0.11516706431595897,0.1371062403591315,0.8629427779467459,Not Significant
ABCB1,-0.8390215158877155,0.003184518650481072,0.004742178992601083,2.324022057689784,Not Significant
ABCB10,-0.09386082438974341,0.04740268554986759,0.059528129422758175,1.2252777642504953,Not Significant
ABCB6,0.254850278143266,0.2660649256722507,0.2989780324843562,0.5243607204424856,Not Significant
ABCB7,0.9013625468915514,3.8023816854566677e-07,1.207223230358981e-06,5.918212416108834,Not Significant
ABCB8,0.15327777410519872,0.2454009179275201,0.2769937083699538,0.5575300953804723,Not Significant
ABCB9,-1.2951560758516187,4.48229053317188e-08,1.7274137272828433e-07,6.7626036335054955,Down
ABCC1,0.7984415236117854,2.508782056026751e-06,6.628237721587593e-06,5.178601924012156,Not Significant
ABCC3,5.287390814810561,1.804813935526273e-08,7.559956584819823e-08,7.121480698550027,Up
ABCC4,1.2956527666897077,8.580723001723993e-12,6.763865690091354e-11,10.169805024763136,Up
ABCD1,2.120497980845485,6.939287388581507e-08,2.562550628759901e-07,6.591327545419569,Up
ABCD2,-1.5572392853647798,9.398067788182138e-09,4.2209600935419906e-08,7.374588753800682,Down
ABCD3,0.657316447792553,1.0853035402408378e-19,2.2267510925430142e-18,17.652328325928035,Not Significant
ABCD4,0.6700654692631005,0.025645303961417214,0.03351288002429848,1.4747882482341277,Not Significant
ABCE1,0.3677356441352124,0.03145355842709411,0.04054550832943648,1.3920572503501598,Not Significant
ABCF1,0.8266613124030471,2.5332651363018427e-09,1.2760056491552383e-08,7.894147402894232,Not Significant
ABCF2,0.43891358076555065,0.0003433973770784445,0.0006006919910901632,3.221348158378157,Not Significant
ABCF3,-0.09388964605706818,0.16355645490664122,0.1896050318445919,0.7221501412946698,Not Significant
ABCG1,-0.07659570558565676,0.6144601649716634,0.6462801943959634,0.1895791530612987,Not Significant
ABCG2,-0.3859984454326266,0.17749498323253707,0.2046799978347732,0.6889245962941457,Not Significant
ABHD10,-0.6607392786524819,0.0006744593149872452,0.0011184367307294663,2.9513885786413296,Not Significant
ABHD11,0.6499196750511373,6.877834013934349e-06,1.6548911319961902e-05,4.781230571271026,Not Significant
ABHD12,-0.14345633500053978,0.2033018106910628,0.2322813371885906,0.6339856825011442,Not Significant
ABHD13,-0.8524464641497147,7.42152418742224e-12,5.910231989256257e-11,10.228395471796162,Not Significant
ABHD14A-ACY1,0.34701416021661124,0.1688944956078776,0.19556817801767343,0.708701810262324,Not Significant
