gene_name,log2FC,pvalue,adjustedpvalue,-log(adjustedp),category
A1BG,-0.13696389247026097,0.6986319791927736,0.7280457803235753,0.1378413109111526,Not Significant
A2M,1.659625419595784,3.696884778995229e-05,7.870333318596351e-05,4.104006874329409,Up
AAAS,1.0928924894452052,2.013716226249279e-07,6.91181508117044e-07,6.160407889496404,Up
AACS,-1.7046774008914518,1.175681139994182e-11,1.0660496673538605e-10,9.97222256101749,Down
AADAT,-0.36911068279365367,0.04445988566533088,0.056968823224693876,1.2443627514455542,Not Significant
AAED1,1.2988904488799449,3.5452652652550567e-15,9.948468602278395e-14,13.002243766366451,Up
AAGAB,-0.6308655274465025,0.0015367014776752701,0.002475728560067275,2.6062969732735626,Not Significant
AAK1,-1.799157280046174,4.747894960962798e-18,4.470120919321424e-16,15.349680728795633,Down
AAMDC,0.9907668859182337,3.3474085414464394e-08,1.3758381740730897e-07,6.861432644763366,Not Significant
AAMP,0.23595196306053978,0.04309362766947598,0.05536605090451485,1.2567564523150792,Not Significant
AAR2,1.304659961103006,1.8221267007894375e-18,2.1615287670915732e-16,15.665238980206205,Up
AARS,-0.6552539106721085,6.631444621318992e-05,0.0001348237600709738,3.8702335650825237,Not Significant
AARS2,0.2688252389147294,0.011451399601417863,0.01608721232529404,1.7935192061577627,Not Significant
AARSD1,0.1798441195886049,0.21232381733457212,0.24543317680189095,0.6100667312255631,Not Significant
AASDHPPT,-1.0223744498926806,0.000908971117694961,0.0015200821778982466,2.818132932816402,Down
AASS,2.0159166750774524,5.874781491101489e-08,2.2710110798678585e-07,6.643780746927894,Up
AATF,0.8052867077426882,5.787055895146721e-12,5.8008757301202054e-11,10.236506438152666,Not Significant
AATK,-3.0362008684197264,1.4675433966075941e-12,1.6915368624055954e-11,10.771718533516024,Down
ABAT,-0.6348417792101095,0.0006511982690266269,0.0011147726845983138,2.952813681395369,Not Significant
ABCA1,3.3865700725896453,4.204358178387713e-11,3.3668286398313055e-10,9.472778987166866,Up
ABCA2,-1.3766412439260627,1.490718930686827e-06,4.183148330846545e-06,5.378496735437058,Down
ABCA3,-1.1418726620034612,1.447345390635802e-12,1.670166949056709e-11,10.777240114822368,Down
ABCA5,-2.0567999366804575,6.185504331091236e-09,2.950415276108575e-08,7.530116852011876,Down
ABCA8,0.48383416519320654,0.18875378173522794,0.2198155105065945,0.6579416663721989,Not Significant
ABCB1,-0.7140541944255183,0.02079987889917998,0.0280769100938415,1.5516506886730084,Not Significant
ABCB10,-0.05921886982203972,0.28601303844229464,0.3230151736847171,0.4907770761433218,Not Significant
ABCB6,0.5369489794331095,0.03543775268681831,0.04605856283924753,1.3366896174078702,Not Significant
