gene,log2FC,pvalue,adjustedpvalue,-log(adjustedp),category
A1BG,1.2353655801067736,4.677235879244375e-13,2.4613421773030685e-12,11.608828006214123,Up
A2M,0.9169268771100229,6.8912655813636594e-09,2.0418782646289308e-08,7.689970153814183,Not Significant
AAAS,0.6647781969664949,5.995974900781886e-10,2.0276836498453103e-09,8.692999800740768,Not Significant
AACS,-0.7539267874850906,9.125880336366353e-10,3.005102449264074e-09,8.5221407175409,Not Significant
AADAT,-1.3855211152296762,4.948425857616942e-10,1.6937903568541516e-09,8.771140344002765,Down
AAED1,0.7982475056718332,0.007574079393693997,0.010549791570849834,1.97675612051074,Not Significant
AAGAB,-0.25106223992895316,0.013849029323984517,0.018636657560873283,1.7296319746554156,Not Significant
AAK1,-1.9555007898104733,3.322781290512443e-19,1.1606318943940946e-17,16.935305499109216,Down
AAMDC,0.6233319271418902,3.835363038501735e-05,7.084701662424944e-05,4.149678433220413,Not Significant
AAMP,-0.2634420739621916,0.002105880381449932,0.003154426376530773,2.5010796044569377,Not Significant
AAR2,0.8792238101069855,3.113698249595317e-09,9.597419330778103e-09,8.017845529572128,Not Significant
AARS,-0.4762794920183519,4.683976726271632e-11,1.8426120084565917e-10,9.734566102830598,Not Significant
AARS2,-0.4580689972807089,3.55730258618347e-05,6.60859586285628e-05,4.179890805838449,Not Significant
AARSD1,-0.5371765448118044,3.3919054616576143e-09,1.0393389446686518e-08,7.983242799127853,Not Significant
AASDHPPT,-0.7176459461044047,4.038119640192769e-15,3.158317927089816e-14,13.50054415455856,Not Significant
AASS,1.385563232681919,3.799885584242647e-12,1.7431912316607192e-11,10.758654967279321,Up
AATF,0.740009451470207,3.1246450493424485e-07,7.539274529115797e-07,6.122670442347746,Not Significant
AATK,-2.1290234203676457,9.400875326958997e-19,2.5542223097800025e-17,16.592741306090215,Down
ABAT,-1.4613470432438813,9.505214401358275e-11,3.556426193520427e-10,9.448986199781936,Down
ABCA1,0.8637148217391398,9.30075488313834e-10,3.0588169851054338e-09,8.514446506910895,Not Significant
ABCA2,-0.9699320927777331,9.65950230281253e-11,3.6089648050960385e-10,9.442617353193226,Not Significant
ABCA3,-0.7962575883886687,1.7028113502123628e-08,4.794309803722068e-08,7.319273905700831,Not Significant
ABCA5,-1.9992302741371377,3.2502858382528586e-16,3.4139480615917262e-15,14.46674309034949,Down
ABCA8,-0.5828135381958678,0.0010733727198737404,0.0016660806205138331,2.778303987204655,Not Significant
ABCB1,-0.23735249921736348,0.1441463810126155,0.16932848210814974,0.7712699847025225,Not Significant
ABCB10,-0.5445417355361654,5.02305246220032e-07,1.1786508809522797e-06,5.928614814861568,Not Significant
ABCB6,0.09536038109394271,0.23103120251460077,0.2624758553781357,0.5809106402897034,Not Significant
