Gene Symbol,GSM97800,GSM97803,GSM97804,GSM97805,GSM97807,GSM97809,GSM97811,GSM97812,GSM97816,GSM97817,GSM97820,GSM97825,GSM97827,GSM97828,GSM97833,GSM97834,GSM97840,GSM97846,GSM97848,GSM97849,GSM97850,GSM97853,GSM97855
A1BG,7.448735798029397,7.030115330908071,7.844234987758751,8.14006285569821,8.111135670234708,7.38543103719352,7.023477151830433,6.808642467918064,7.960001932068081,7.422064766172812,6.682292371430833,7.1838834590322325,6.470862199413702,8.0,7.265849421440848,7.130313145543456,7.62862780216015,5.94251450533924,7.046578366620329,6.661065479806948,7.958842675243241,7.524345816462544,7.676662334857967
A1BG-AS1,6.292781749227846,4.990954860396993,5.354028938054387,4.906890595608519,7.019034669364337,4.722466024471091,5.523561956057013,6.727920454563199,4.638073837180719,4.754887502163468,5.439623137557117,5.652486494918165,5.672425341971495,5.129283016944966,7.0895828931247085,4.949534933017012,4.504620392403552,6.6117625600648715,6.593951283948411,4.7865963618908065,6.390598905552461,4.940166750482817,5.949534933017012
A1CF,8.429615964201735,9.07521171134824,9.260213886771416,9.333379006623115,7.47735352663456,8.075746538060905,7.846744023244868,8.175923742063755,8.201143732053033,8.650692767171384,8.662490363913776,8.541096615349524,8.474111513942407,7.943100847570798,8.263034405833794,8.314696525656286,8.303324126859511,8.580447019598664,8.005063080013455,8.20212382383046,8.743488039789185,8.340295210430478,7.810571634741147
A2M,11.269302036608567,12.46943831980764,12.110320173609699,12.332624027565407,12.591685961163185,12.14558193461819,12.99341608784408,12.157346935362844,12.708437298965297,12.165692152320114,12.698162035011253,12.279755655721106,12.32068774579773,12.824481474700422,12.554444958693404,12.549953084823088,13.512567645038946,11.883636088637093,12.53432720279989,12.522557012096087,12.776700325748306,12.528014495540111,12.59392794824207
A2M-AS1,7.671010241278451,8.015136243797379,8.550362015400728,8.213833283099293,7.355791546753647,7.221103725367875,7.599912842187128,7.575917361118149,7.541483864054276,7.829088444004886,7.896635141302909,8.194756854422248,7.818262608304473,7.802193216941825,7.9342805936400245,7.475733430966398,7.613973587380225,7.731319031025064,7.92362461136832,7.9354597478052895,7.694880192799191,7.699051844016849,7.5445781173388395
A2ML1,7.272396509037485,8.176921111644361,8.028458647425479,8.002252451731378,6.924812503605781,7.195741293246449,7.630813152299126,6.825276830054866,7.621319301014191,7.674545393845865,7.7608862427849115,7.156841524588401,7.075746538060906,6.772149590784542,7.066089190457772,7.7481928495894605,7.130313145543456,7.313790025443685,6.60733031374961,7.0693154945400805,6.9354597478052895,7.059614856297222,7.156841524588401
A2MP1,7.461888664432819,6.936637939002571,8.449148645375436,7.71218305120923,7.597680143715891,7.050936965225225,5.92837032301897,7.141596278383818,6.894817763307944,8.227375273626212,7.572889668420581,7.612499945739441,8.115303806152117,7.524345816462544,7.772809410160731,7.794415866350106,7.931919390100041,8.062316027355715,7.818262608304473,7.223036337901875,8.108524456778168,7.957102041562286,7.058532970201611
A4GALT,5.388878338811989,5.307428525192248,5.862947248020921,5.689299160535892,5.867896463992655,4.902073579310743,5.221103725367875,5.205548911173033,5.20945336562895,6.24031432933371,5.590961241342599,5.517275693209582,5.149747119504682,5.672425341971495,5.189824558880018,6.249824548616183,5.217230716220669,4.8875252707415875,5.405992359675837,5.37851162325373,5.475733430966398,5.104336659814735,4.797012977836145
A4GNT,6.864186144654281,7.405141463136344,7.913487840715164,7.997744026059632,7.081083928687635,6.427941332509482,7.180903709179382,7.071462362556624,7.469234793667656,7.124121311829188,7.013462259806563,7.140574177709902,7.60733031374961,7.812498225333564,7.03121873061072,7.255500733148386,7.542258049766918,7.327328082629952,7.577428828035749,6.964629666720595,7.487036080031899,5.94251450533924,6.79960542245267
AA06,7.104336659814735,6.06177619758669,5.0916998341368105,7.2620948453701795,5.840463233869542,6.504620392403552,6.954196310386875,6.578938713093386,7.578183968090094,6.47735352663456,6.986410935252045,6.2761244052742375,5.697662633470518,6.571373435973201,7.379378367071262,6.139551352398794,6.795715006501729,6.589463892956097,6.785288980704021,6.165911938935689,4.672425341971495,6.719731056749852,6.264911693074464
