gene,log2FC,pvalue,adjustedpvalue,-log(adjustedp),category
A1BG,1.9562189983379645,0.004632001909070347,0.011344590087414879,1.9452111918010795,Up
A2M,1.8919039849024228,0.0008869272396754333,0.003196684777625202,2.4953001870274956,Up
AAAS,0.5662611873117386,0.0005224378770600158,0.002146883482952114,2.668191525234963,Not Significant
AACS,-0.9214484807979305,0.0002961325998457182,0.0013935100505398194,2.855889894637621,Not Significant
AADAT,-0.8794074704779073,0.00033782540307269896,0.0015364181562296296,2.8134905693122834,Not Significant
AAED1,0.9043094806621197,0.023086775665432335,0.042293250246653494,1.37372893793313,Not Significant
AAGAB,-0.4296977040454335,0.001528557180494777,0.004815602812279096,2.317349340593456,Not Significant
AAK1,-1.9738290766880746,2.384818116566227e-09,4.873359872824101e-07,6.31217151699734,Down
AAMDC,0.720495420999089,0.0017151652214471447,0.005269526207214679,2.2782284312470993,Not Significant
AAMP,-0.11867876282421722,0.5417994667172487,0.604069264038115,0.21891326127141392,Not Significant
AAR2,0.5702159785873985,0.07902109809020114,0.11772300129109826,0.9291386743030835,Not Significant
AARS,-0.3941929083923273,0.016435907078273596,0.031912209807451936,1.4960431214112055,Not Significant
AARS2,-0.17199539702044192,0.18295052811413143,0.24029426462334308,0.6192565948730012,Not Significant
AARSD1,-0.5445707397849288,4.013097707574284e-05,0.0003321468270164563,3.478669891998064,Not Significant
AASDHPPT,-0.5788214208446194,0.0036596798744465376,0.009431445361008668,2.025421746901084,Not Significant
AASS,1.3577843571086763,0.0004321349505296075,0.0018564146512846406,2.7313250126797675,Up
AATF,0.5703613364431083,0.0010569037253298412,0.0036464404630289415,2.4381308729522333,Not Significant
AATK,-2.0047536906989833,2.5192225464623735e-06,5.240744850737018e-05,4.2806069837078935,Down
ABAT,-1.1782767761437745,0.027438437637610467,0.04900595356381046,1.3097511558317643,Down
ABCA1,1.2414533322097716,4.261055463063539e-07,1.648822539592133e-05,4.782826084333174,Up
ABCA2,-1.0875561447758635,0.00023879339283184252,0.0011915630038286907,2.923882989413422,Down
ABCA3,-0.5051970592077615,0.00043016107253328583,0.0018509907416283473,2.732595753516019,Not Significant
ABCA5,-2.0684577321445023,1.7155765006853703e-05,0.00018483532959316767,3.7332150137388185,Down
ABCA8,-0.4135381615604722,0.06407889133010335,0.09887298841610521,1.0049223391824822,Not Significant
ABCB1,-0.13584503250899468,0.6196604862244176,0.6758929059111352,0.1701221118340871,Not Significant
ABCB10,-0.5786046820971501,0.01564984844719187,0.030608656987376963,1.5141557254750928,Not Significant
ABCB6,0.28162383279094216,0.044084289956357665,0.07261803673931427,1.1389554966074822,Not Significant
ABCB7,0.3010872535512058,0.07078788854024355,0.10725343985668051,0.9695887701286171,Not Significant
ABCB8,-0.986224302893532,0.0008031440234510392,0.002957898565759765,2.529016723201242,Not Significant
ABCB9,-1.3604618757128981,0.0005897992199836638,0.0023387505069752215,2.631016105349115,Down
ABCC1,0.4131296134203263,0.25672438736111314,0.3209517352920762,0.4935602718702287,Not Significant
ABCC3,0.23638918743264156,0.4525365663811375,0.5203566605294432,0.28369888212720196,Not Significant
ABCC4,0.6578176064275578,0.029541022146408673,0.05209088590919327,1.283238256462438,Not Significant
ABCD1,0.7960577477739939,0.0019373521815969387,0.0057748851254990075,2.2384566503722843,Not Significant
ABCD2,-1.2288061500736018,0.000285427399765063,0.0013535370406171027,2.868529854917116,Down
ABCD3,0.814555241935553,0.01753942644969085,0.033677898895929176,1.4726550111856846,Not Significant
ABCD4,0.862067186499916,0.002147390449057997,0.006240141592474788,2.204805555809111,Not Significant
ABCE1,0.3777522938431619,0.00468059412874952,0.011444750830668019,1.9413936581265208,Not Significant
ABCF1,0.6657811694047032,0.0007696469019804709,0.0028703886072069945,2.5420593023807605,Not Significant
ABCF2,0.19770355945604334,0.1566400510584206,0.21035560462741584,0.6770459123309235,Not Significant
ABCF3,0.2337125339397497,0.06360567654564371,0.09831771416150956,1.0073682271372963,Not Significant
ABCG1,-0.3092002174137219,0.15940864932665802,0.213467725568144,0.6706677771598087,Not Significant
ABCG2,0.5221015017403301,0.05657976075924947,0.08919259877980126,1.049671181974213,Not Significant
ABHD10,-1.2980485944279345,0.00404791225774143,0.010224391820148154,1.9903625157909515,Down
ABHD11,-0.6945855340147395,0.0013553758984187019,0.004400532665826659,2.3564947508257075,Not Significant
ABHD12,-0.43519856388495887,0.002911693405953101,0.007902950889847674,2.1022107168250965,Not Significant
ABHD13,-0.17219178044884828,0.29470232726628465,0.36097393792830745,0.44252415272733736,Not Significant
ABHD14A-ACY1,0.0661796103450498,0.6346197698543597,0.6897522381136088,0.16130688164426343,Not Significant
ABHD14B,0.6643445063586136,0.021596316165689244,0.039949538825068305,1.39848822978889,Not Significant
ABHD16A,-0.6204134473760776,0.0002390390478691751,0.001192217273248799,2.923644590254994,Not Significant
ABHD17A,-1.237815656965815,9.361314652074261e-07,2.6478783753652442e-05,4.577101967163164,Down
ABHD17B,-1.6071922739224347,5.078899303548711e-06,8.325395724510005e-05,4.079595114351791,Down
ABHD17C,-0.6641151244803469,0.07893802488126428,0.11765648550709061,0.9293841284768171,Not Significant
ABHD2,0.03614951213527676,0.910709448984943,0.9300995540114082,0.031470563872048794,Not Significant
ABHD3,0.36805660127660034,0.09279492979416588,0.13477081404038965,0.8704041484059661,Not Significant
ABHD4,0.7544621085237845,0.00013231618294265262,0.0007865671891776533,3.104264173685604,Not Significant
ABHD5,0.18105359739597016,0.22851979608755113,0.29011617971402853,0.5374280500164421,Not Significant
ABHD6,-0.2963114218440229,0.0012131589526948442,0.004046322752295426,2.3929394789674605,Not Significant
ABI1,-0.33362754746445766,0.008395124645796058,0.018216562943108434,1.7395335612627,Not Significant
ABI2,-1.422749525667604,7.660550345757793e-05,0.0005225338699147632,3.2818855539435137,Down
ABI3,1.033508592430796,0.00019549604376399536,0.0010308603442448975,2.9868001667552964,Up
ABI3BP,0.5320299910643354,0.3420651913456314,0.41058078606050247,0.3866013781586691,Not Significant
ABL1,0.37569374879550205,0.0017503834052002834,0.0053461680941108425,2.271957390286347,Not Significant
ABL2,-1.080841206346103,0.00040819449169206994,0.0017806413844590283,2.7494235372648674,Down
ABLIM1,-0.610338130091782,0.0544527855682792,0.08636279825997535,1.0636732944390352,Not Significant
ABLIM2,-2.9034750412628543,4.857707219861448e-06,8.065834534171437e-05,4.093350691531645,Down
ABLIM3,-1.1415632593617742,0.004224959693936611,0.010574081619183983,1.9757573416872514,Down
ABR,-1.4569232608484555,0.00020979946350694267,0.0010870097638844033,2.9637665549182373,Down
ABRACL,-1.2697953510657356,0.002745645988877217,0.007538757345877856,2.122700235337749,Down
ABRAXAS1,1.2523702203223772,6.480740734533623e-05,0.00046458698557686287,3.3329329602080144,Up
ABRAXAS2,-0.3867968726720151,0.010126745951976197,0.021264736456348646,1.672339995327704,Not Significant
ABT1,0.18625293983490349,0.5410201456830149,0.6032649915816285,0.2194918767456963,Not Significant
ACAA1,-0.0745005226331994,0.6475116518581945,0.701012895931902,0.15427399261743735,Not Significant
ACAA2,-1.581690527889441,0.0002581667603148783,0.0012616233840927551,2.899070269989608,Down
ACACA,-0.59130891617383,0.0002439045842863122,0.0012124177735607564,2.9163477056739455,Not Significant
ACAD10,-0.08374387676738587,0.5520175159502346,0.6133593428187438,0.21228501507454609,Not Significant
ACAD11,0.1758650606210848,0.19053280320716928,0.24868413148381505,0.6043519261449695,Not Significant
ACAD8,-0.3382460653906737,0.208024748953487,0.26797617951773806,0.5719038088211317,Not Significant
ACAD9,-1.1273969975335028,0.00017261381693217724,0.0009485491775840114,3.02294014817045,Down
ACADL,-0.8493337977814805,0.003594852509201913,0.009303062296713271,2.0313740708383214,Not Significant
ACADM,-0.2974705278024308,0.2044705373778234,0.2645510377933893,0.5774905304575404,Not Significant
ACADS,-1.653821713754509,0.00016826752011315002,0.0009346299983232543,3.0293602837683977,Down
ACADSB,-1.048331398718193,0.0045560657233306556,0.011206069970262003,1.950546670142249,Down
ACADVL,-0.3327872384111791,0.15610406532655446,0.20977113555178228,0.6782542708278609,Not Significant
ACAN,-1.4368371540733575,0.04239876082599639,0.07038424329951706,1.1525245541246703,Not Significant
ACAP2,-0.10223126969485938,0.38319793965837046,0.45151769910617817,0.34532522104595426,Not Significant
ACAP3,-0.8729204133549175,4.290197950015142e-05,0.00034915301377410176,3.4569842049195043,Not Significant
ACAT1,-0.9446994692151343,0.004361589794516949,0.010840446077155425,1.9649528465004784,Not Significant
ACAT2,-0.8262291970215989,1.2348007211701818e-05,0.00015026744028288252,3.8231351114778773,Not Significant
