gene,log2FC,pvalue,adjustedpvalue,-log(adjustedp),category
A1BG,2.072350189846698,6.9426691643892185e-22,7.071060991401896e-21,20.150515416734933,Up
A2M,1.673717549514252,3.488806364014202e-16,1.9183827492352788e-15,14.717064739554658,Up
AAAS,0.6036640113314508,2.690905441856096e-08,6.570404584630566e-08,7.182407887143018,Not Significant
AACS,-0.706638625481789,1.2084932336502293e-09,3.385146950771054e-09,8.47042247364834,Not Significant
AADAT,-1.1646651068278084,7.540872838864059e-09,1.9588955672507112e-08,7.707988716519657,Down
AAED1,0.9608445633097187,0.002376997390552693,0.0033264541325978736,2.4780184605230504,Not Significant
AAGAB,-0.06909863409397421,0.42661493991347493,0.45647973988069085,0.3405784931642438,Not Significant
AAK1,-1.9666537976613485,7.548511675800313e-38,1.4752627218879545e-34,33.831130631546166,Down
AAMDC,0.5438085755565933,0.00014283789615118748,0.00022884402971182243,3.6404604133526224,Not Significant
AAMP,-0.4397566884568317,5.2890330607036774e-06,1.0017020583854544e-05,4.9992614337985675,Not Significant
AAR2,0.8605239301098162,2.2698086377614557e-08,5.592056357505087e-08,7.25242846036142,Not Significant
AARS,-0.4555348972660289,4.608445404935346e-13,1.8428470311168656e-12,11.734510712691392,Not Significant
AARS2,-0.28085819591338096,0.002462347301573163,0.003439883648110999,2.4634562469162407,Not Significant
AARSD1,-0.6211081865736321,5.411666025193981e-11,1.759763563144147e-10,9.754545678844725,Not Significant
AASDHPPT,-0.8843703852244449,8.592910217863314e-22,8.658625600942811e-21,20.062551038848355,Not Significant
AASS,1.0861481034247917,5.818348709631102e-11,1.8821489254693368e-10,9.72534601589778,Up
AATF,0.6771756567321661,1.7436071564608857e-06,3.4828644965652193e-06,5.458063421763056,Not Significant
AATK,-2.5194654126381626,4.4199727429019205e-25,6.866790489681506e-24,23.163246203015476,Down
ABAT,-2.0382735782404593,3.9384015186584655e-21,3.713299040553983e-20,19.43024007462709,Down
ABCA1,1.400579842080425,4.897662323332555e-16,2.649676045923522e-15,14.576807220428494,Up
ABCA2,-1.0351245209537192,1.2255584364764139e-11,4.255115999093727e-11,10.371088596077717,Down
ABCA3,-0.7021783654193176,5.692495555992606e-08,1.341480331499367e-07,6.872415690479118,Not Significant
ABCA5,-1.9340187563146058,6.727763590818233e-19,4.998521857018343e-18,17.30115840451366,Down
ABCA8,-0.28316154042584113,0.10265695067649261,0.1195654245934443,0.9223943895715611,Not Significant
ABCB1,-0.6112031019073566,1.9588512837880577e-05,3.4717662204920645e-05,4.459449526746857,Not Significant
ABCB10,-0.647385801688388,9.972574597910091e-09,2.557254864712365e-08,7.592225986552335,Not Significant
ABCB6,0.17576738490479585,0.01109720746461714,0.01445692521892363,1.8399240654405538,Not Significant
ABCB7,-0.10116495899103897,0.2786563106044946,0.3059634532787114,0.5143304460259076,Not Significant
ABCB8,-1.0455933884386028,2.6578389148412947e-11,8.901365915245508e-11,10.050543345721657,Down
ABCB9,-1.3602080953057274,1.1534104001031021e-11,4.0207129453024746e-11,10.395696931801652,Down
ABCC1,0.39307762933988116,0.00053664720747897,0.0008064040396489965,3.093447305312149,Not Significant
ABCC3,1.1339661355472272,5.462895147730297e-09,1.4341305319728793e-08,7.843411318169212,Up
ABCC4,0.4360888719940173,6.000352366909375e-05,0.00010039811571637951,3.998274438004326,Not Significant
ABCD1,1.1025182491298235,9.463258337154594e-11,2.9903781430310315e-10,9.524273890254872,Up
ABCD2,-0.9659819035064021,9.616111947169325e-07,1.981669159732439e-06,5.702968849394543,Not Significant
ABCD3,0.8067098270801843,5.0887739142507825e-12,1.8392030442165415e-11,10.735370322901591,Not Significant
ABCD4,1.0067355809226852,1.6719865529337948e-12,6.335532591732024e-12,11.19821687061038,Up
ABCE1,0.5510335580517263,4.2266387542821587e-13,1.6960324901049725e-12,11.770565832422376,Not Significant
ABCF1,0.7589763992019454,2.069292897884033e-15,1.0512088713555343e-14,13.97831098267347,Not Significant
ABCF2,0.5033312566220393,9.785218886820646e-06,1.7979584005810435e-05,4.745220360771368,Not Significant
ABCF3,0.5116466189959412,3.555962242383564e-10,1.0566374816149164e-09,8.976073987847625,Not Significant
ABCG1,-0.4978468795170327,0.000324979750874232,0.0005012913792012272,3.299909763963705,Not Significant
ABCG2,0.13461048011969184,0.507872208428203,0.5376771580074415,0.26947841314541826,Not Significant
ABHD10,-1.8000498059024332,3.46831842413335e-22,3.66887464195163e-21,20.435467126957256,Down
ABHD11,-0.3363407914955685,0.007633091621461908,0.010123961606498089,1.9946495105028823,Not Significant
ABHD12,-0.5891756268752378,1.2247989955595487e-07,2.7793618366643434e-07,6.5560549100642245,Not Significant
ABHD13,-0.3041403200481618,2.6779062255784213e-06,5.2355984038403055e-06,5.281033673367467,Not Significant
ABHD14A-ACY1,0.09405781360107728,0.2571564430329881,0.2843966654834651,0.5460754999627377,Not Significant
ABHD14B,0.6543907515456593,0.0002220710623235247,0.0003485430771600676,3.4577435388951687,Not Significant
ABHD16A,-0.7971221782948944,7.866894153031967e-18,5.182689951829731e-17,16.285444771526493,Not Significant
ABHD17A,-0.9628303497988921,6.731876724525657e-06,1.2616511491823472e-05,4.899060712388926,Not Significant
ABHD17B,-1.8519676292357912,1.436188504088243e-25,2.3957189325407885e-24,23.62056413503345,Down
ABHD17C,-0.5889915732396461,4.430349143775987e-08,1.0569677799120846e-07,6.975938251310988,Not Significant
ABHD2,-0.28909681333177895,0.15816689341400464,0.17979242039383797,0.7452286210038851,Not Significant
ABHD3,0.22369176317570202,0.09496924379177234,0.11097158269292302,0.9547882199494311,Not Significant
ABHD4,0.694926661849325,1.9549683004225428e-07,4.3342417548665063e-07,6.363086868310085,Not Significant
ABHD5,0.008731192560569371,0.9397452961179711,0.9463824291110643,0.023933331578505072,Not Significant
ABHD6,-0.950761437871829,4.113942514054477e-15,2.0223736344289788e-14,13.694138605233471,Not Significant
ABI1,-0.9563865890276039,4.719370398627907e-20,4.0035799901644563e-19,18.397551490014315,Not Significant
ABI2,-1.3248335403254408,1.6155134828178797e-13,6.810805930599964e-13,12.16680149447445,Down
ABI3,1.1341891394040573,1.742117577104266e-12,6.596472120799675e-12,11.180688268715754,Up
ABI3BP,0.040795177612333366,0.8955317111868538,0.9057121630143764,0.043009799978827534,Not Significant
ABL1,0.3409403835132484,1.4481398114239913e-06,2.91673515810997e-06,5.535103003375074,Not Significant
ABL2,-1.3873728073824139,2.5738248930005916e-30,1.0802799722275468e-28,27.96646367540557,Down
ABLIM1,-1.084187529786354,1.6134061206668826e-11,5.51887752547538e-11,10.258149243659036,Down
ABLIM2,-3.4296732212216754,1.7427231578054914e-29,5.908796530813472e-28,27.22850096467702,Down
ABLIM3,-1.585480356971379,1.5161991775475717e-22,1.6843241450472438e-21,20.773574325628175,Down
ABR,-1.743082924584165,6.054303000818121e-30,2.2999722604202852e-28,27.638277401903732,Down
ABRACL,-0.746577464567236,8.24040631700118e-07,1.7110390854511327e-06,5.766740069709705,Not Significant
ABRAXAS1,1.3160055655329137,2.0240401449992342e-13,8.440798825840155e-13,12.073616450384112,Up
ABRAXAS2,-0.43592523430361524,1.0963604860500817e-08,2.796377431829282e-08,7.553404211503536,Not Significant
ABT1,0.4466404021750069,0.09572015942602238,0.11179882624163678,0.951562756015393,Not Significant
ACAA1,0.20278043692376257,0.002841626385933792,0.003940121093803762,2.4044904305697012,Not Significant
ACAA2,-0.6370529227281524,2.305213793395166e-08,5.673911178872141e-08,7.246117467064599,Not Significant
ACACA,-0.6675731043885382,2.461584080599693e-11,8.262698708468947e-11,10.082878083094336,Not Significant
ACAD10,0.1325314092737309,0.06471737983068765,0.07739466988253996,1.1112889478482404,Not Significant
ACAD11,0.5469479061169557,5.868343005312478e-07,1.2380134240433234e-06,5.907274646142773,Not Significant
ACAD8,-0.9875897867427583,8.363274117571359e-18,5.492323046675096e-17,16.26024392641301,Not Significant
ACAD9,-0.8836524950255226,5.7834830928630255e-11,1.871899114229205e-10,9.727717561214481,Not Significant
ACADL,-0.5488278360458346,0.010672355339877735,0.013931345213542431,1.856006945987278,Not Significant
ACADM,-0.4103332796240128,0.005531551826048593,0.007439969370375993,2.128428852398217,Not Significant
ACADS,-0.8689658764697674,0.00042883028481313114,0.0006520149626964479,3.1857424377927126,Not Significant
ACADSB,-1.427599841345931,2.3399360728672254e-18,1.6434814158215216e-17,16.78423520247484,Down
ACADVL,-0.10108098140329082,0.344734934542078,0.37335822845161687,0.42787427280297474,Not Significant
ACAN,-2.185165617197377,1.0854953484290444e-14,5.156969914102202e-14,13.287605402271298,Down
ACAP2,0.18085802009032292,0.0021019629744876487,0.002961869852638681,2.528434028705647,Not Significant
ACAP3,-1.3025844094435948,4.678879132075612e-14,2.0733270704885077e-13,12.683332181888838,Down
