Gene,Degree,Betweenness,Closeness,PageRank
NDUFA8,101,0.013933032634678136,0.566579634464752,0.0073012598108231795
NDUFS3,99,0.00699923528990026,0.5977961432506887,0.006920122655352543
NDUFA4,98,0.008882778024084671,0.5636363636363636,0.00699152091577549
NDUFS1,98,0.01165773751609045,0.6027777777777777,0.006931376273903219
NDUFS4,97,0.0029153909690734026,0.5564102564102564,0.006749009359478665
NDUFV1,97,0.0028995159862134808,0.5564102564102564,0.006745440708806312
MT-ND1,97,0.03166054716068325,0.6147308781869688,0.007177401254311876
NDUFB8,97,0.00865021458164531,0.5945205479452055,0.006845774678309187
NDUFA2,96,0.002374847324607663,0.5549872122762148,0.006662880222274
NDUFS7,96,0.002241067739579065,0.5549872122762148,0.006656253710126088
NDUFS8,96,0.0029905648423489257,0.5578406169665809,0.0066900653281364245
NDUFAB1,96,0.018720363864940474,0.5755968169761273,0.007172661529029816
NDUFB3,96,0.003082211194180274,0.5535714285714286,0.00670014718070053
NDUFS2,96,0.0025057287231776844,0.5549872122762148,0.0066689047130845825
COA6,96,0.010951353205851996,0.5358024691358024,0.00710945903199523
COX4I1,96,0.050242425172991316,0.6217765042979942,0.007433985807050003
COX6B1,95,0.004792763479819362,0.5398009950248757,0.006798366633439348
NDUFA6,95,0.01738963987185711,0.5833333333333334,0.006844167576070685
NDUFA13,95,0.023700731606435283,0.5961538461538461,0.006824972127856554
NDUFB7,95,0.0025496061935114216,0.5521628498727735,0.006606170552408845
NDUFA9,94,0.006020830138984603,0.5896739130434783,0.0065786957877655775
NDUFB10,94,0.0030455088029086815,0.550761421319797,0.006570738732410728
NDUFB9,94,0.005186271441856737,0.5535714285714286,0.006709404103854167
NDUFV2,94,0.0030732699278120425,0.5521628498727735,0.006560561574775621
NDUFA11,94,0.002497740209230294,0.550761421319797,0.006550403155229018
NDUFS6,93,0.0018296580894458163,0.549367088607595,0.0064413954416752866
NDUFB6,92,0.002420029123563898,0.547979797979798,0.006422801895860732
CYC1,92,0.006026914180241489,0.5331695331695332,0.006631746338936149
UQCRC2,92,0.009368190338593976,0.5786666666666667,0.006655813311089406
MT-ND2,92,0.0023309726172406646,0.549367088607595,0.006427336477017713
NDUFB4,91,0.0019818427383680513,0.5465994962216625,0.00632046932968949
NDUFS5,91,0.003460121027400471,0.547979797979798,0.006416774627230832
UQCRC1,91,0.006316573890403881,0.5755968169761273,0.006461828362726443
NDUFA12,91,0.001851354161653598,0.5465994962216625,0.006326157612923847
UQCRFS1,91,0.002661125056486494,0.5318627450980392,0.006447817388237288
NDUFB5,91,0.0016273633119944513,0.5465994962216625,0.0063037983336025095
MT-CYB,90,0.02125065610340186,0.5977961432506887,0.006569455471712877
MT-ND4,89,0.004669537119404443,0.5425,0.006418820298914135
NDUFC2,89,0.0015950186045147604,0.543859649122807,0.006193471445353924
MT-CO2,89,0.0178143925029738,0.592896174863388,0.006655802630868968
NDUFA7,89,0.0015382811814922813,0.543859649122807,0.006178288065213809
MT-ND5,89,0.002347161983444238,0.5452261306532663,0.006267814740308
COX5A,88,0.0020033387211299547,0.5254237288135594,0.006205887465550132
NDUFA5,88,0.0013808472702079855,0.5425,0.0061098536423160425
NDUFA1,88,0.001362593882862371,0.5425,0.006111471634563532
NDUFB1,88,0.0016781052328162895,0.5425,0.006121935602045251
SDHB,88,0.029440812214163583,0.6061452513966481,0.0070507875759466725
NDUFA3,88,0.0014887613983159357,0.5425,0.006122701757325594
COX6A1,87,0.0018780088511382515,0.5241545893719807,0.0061465967577505895
COX5B,87,0.001361823804818162,0.5228915662650603,0.006095264646072887
NDUFB11,87,0.0007652104141333758,0.5254237288135594,0.005997108911519171
MT-CO1,87,0.005157604377753067,0.5695538057742782,0.006196594957181266
NDUFA10,87,0.001106441342212845,0.5411471321695761,0.00603203757268789
SDHA,87,0.02019121666567524,0.6011080332409973,0.00664392433179841
MT-CO3,86,0.0013581383845926993,0.5228915662650603,0.006031341389431879
COX6C,85,0.0031451819281961184,0.5203836930455635,0.006078549431991448
UQCR10,85,0.002881945526919417,0.5228915662650603,0.006057818284372707
UQCRB,85,0.0025389119992281993,0.5241545893719807,0.006060767652806035
NDUFV3,84,0.001427332221550309,0.5371287128712872,0.005869355261830395
SDHC,83,0.04072454582606354,0.6011080332409973,0.006800693189054173
UQCRQ,83,0.002020549431778773,0.5203836930455635,0.005900776587854187
COX7B,83,0.0011097509300225634,0.514218009478673,0.005821399369975979
UQCR11,82,0.0011319588238109552,0.5191387559808612,0.005765288964364938
COX7C,82,0.0013062195171702862,0.5166666666666667,0.005776775754765397
NDUFC1,82,0.0009212631987392277,0.5318627450980392,0.005702797145403514
NDUFB2,81,0.0011149963794379386,0.530562347188264,0.0056496023223201195
BCS1L,80,0.0068576173303523435,0.5081967213114754,0.006082758830024055
COX7A2,80,0.0010899701931171644,0.5117924528301887,0.0056555811989236066
COX15,80,0.004481215819391783,0.5093896713615024,0.005975413711801116
UQCRH,80,0.0010160986972017744,0.5166666666666667,0.005638320965710303
NDUFAF2,73,0.001276839200138148,0.5023148148148148,0.005232088366239002
SDHD,72,0.00790787631984554,0.5592783505154639,0.005398851370334052
FOXRED1,72,0.0019616859013764604,0.4965675057208238,0.005226918485837997
SURF1,72,0.004025566385519985,0.49430523917995445,0.005489294843605558
COX8A,70,0.004484129408306409,0.5216346153846154,0.005099360649422128
COA1,69,0.002958380592634305,0.4854586129753915,0.005106066330789881
COX7A1,69,9.07175125505467e-05,0.49430523917995445,0.004849125788241177
NDUFAF1,69,0.0014186748543070008,0.48764044943820223,0.005009671138897322
ACAD9,68,0.010508659569153775,0.49770642201834864,0.00516954703650244
COX17,67,0.004278162602057724,0.484375,0.005193008202529873
NDUFAF5,67,0.0008384369124094441,0.49206349206349204,0.0048349431624565425
ACTB,67,0.08027977899539049,0.5740740740740741,0.010163231512682799
NDUFAF3,67,0.0007035492064604152,0.49318181818181817,0.0048064249933592665
TP53,65,0.054875669522952135,0.5564102564102564,0.010827528618598843
SCO1,63,0.005668714740366168,0.48654708520179374,0.005077417124002293
TIMMDC1,63,0.0009469832253968333,0.4854586129753915,0.004593520281535975
NDUFAF6,62,0.0004970965718309452,0.4822222222222222,0.00450236367167091
AKT1,62,0.07161569553667896,0.5636363636363636,0.010627367800467765
ECSIT,61,0.00040591572830132394,0.47692307692307695,0.004422863244140995
NDUFAF4,60,0.00030719754052117615,0.4758771929824561,0.004352860550739509
COX14,60,0.003173358359490769,0.474835886214442,0.004764013189950003
CASP3,60,0.034425639595430726,0.549367088607595,0.010063364662004255
COA3,59,0.0043432794247194005,0.4737991266375546,0.004850140689734176
PRKACA,59,0.05085032943538816,0.5621761658031088,0.006281214337629161
TMEM126B,59,0.0004951072610519856,0.4811529933481153,0.004316747384256272
PRKACB,59,0.03726036129910819,0.5592783505154639,0.005970677327848284
COX11,58,0.004754861130260516,0.48654708520179374,0.00474339634488602
TMEM186,57,0.0013577507508522324,0.47071583514099785,0.004241370512309234
NDUFAF7,54,8.716011628880934e-05,0.4676724137931034,0.003959584204948601
MT-ATP6,52,0.010543398441633938,0.48008849557522126,0.004640552774338317
JUN,50,0.015575084102511873,0.5241545893719807,0.008001171950150463
SCO2,46,0.01060027089467708,0.5154394299287411,0.0039516216440027745
NFKBIA,46,0.009081194425600625,0.49318181818181817,0.007536319143851423
PTEN,45,0.017464544859956962,0.5,0.007850407133896222
PET100,44,0.0022698800449619137,0.4549266247379455,0.00384471383568342
COX7A2L,44,6.799800264292311e-05,0.4549266247379455,0.0033628380437859683
STAT3,44,0.00796448604843451,0.5117924528301887,0.00698879896254104
CASP8,43,0.009565073687157961,0.5011547344110855,0.007115106329712689
MAPK3,42,0.011319783283049764,0.4898419864559819,0.007019516575792861
CASP1,41,0.002790784261903573,0.4297029702970297,0.006971869622759833
IKBKB,41,0.01394253572044358,0.5011547344110855,0.006964797771545679
TACO1,40,0.0010248692931372507,0.4455852156057495,0.0034089555944620646
TNFRSF1A,40,0.003182032312500793,0.4288537549407115,0.006816159377351097
STAT1,39,0.003394073886218704,0.4280078895463511,0.0066511533823694
TMEM70,38,0.0008813366448523461,0.44742268041237115,0.003191666321234483
RELA,38,0.008037845621169168,0.49318181818181817,0.006046682996779943
FADD,37,0.002170973171600718,0.4246575342465753,0.006306397151651402
NUBPL,37,0.0012930809931963089,0.44650205761316875,0.0031605868338270204
MAPK8,37,0.007622952737197416,0.4492753623188406,0.00623774352497262
RIPK3,35,0.007822918337588865,0.4263261296660118,0.0063446909078653385
COX18,35,0.000778979020495008,0.4410569105691057,0.003114698806979621
LYRM7,35,0.012722987543341243,0.4811529933481153,0.0034223860060136994
HIGD1A,34,0.0005981937492007944,0.45397489539748953,0.0028881942136411245
KRAS,34,0.007293701913748711,0.4758771929824561,0.005880510330028038
RIPK1,34,0.01088930535693771,0.49430523917995445,0.0059194947053518195
UQCC2,33,0.0006863861614155689,0.4419551934826884,0.002870990228357122
MCL1,33,0.0025311354755760923,0.48764044943820223,0.0055041113075000115
COA5,32,0.0014942356851049172,0.42217898832684825,0.0030288800630290536
TLR3,32,0.0015980486004315475,0.42054263565891475,0.005527338108228499
TRADD,31,0.0019400492911369276,0.41333333333333333,0.0055034044163569
IL18,31,0.005034401747720304,0.4898419864559819,0.005233140578682078
TTC19,28,0.0007469004283706204,0.45020746887966806,0.0026476938165131054
CFLAR,28,0.0004817071985185462,0.4149139579349904,0.004766401139829182
PET117,28,0.0013776224459838547,0.4189189189189189,0.0029224961942166446
MAP2K1,28,0.0037088495129262195,0.4419551934826884,0.004998123891839194
COX20,27,0.0003145267497180837,0.4297029702970297,0.002592756415595083
TNFRSF10B,27,0.0012672363685019264,0.41254752851711024,0.004818479021256164
BAX,25,0.001832315495839271,0.4455852156057495,0.004230333739990881
STAT5A,24,0.0016406318363462735,0.4779735682819383,0.004135646593512617
HMOX1,24,0.004006314638068006,0.49206349206349204,0.00427281673540302
COX19,23,0.00026687276999416655,0.41254752851711024,0.0023716834473700263
SDHAF1,23,0.0014451554345923056,0.444672131147541,0.002464703957932223
CYBB,23,0.008591183805748737,0.47692307692307695,0.0042862059643403
MAPK9,23,0.003738071379862878,0.434,0.00413828691205877
TNFAIP3,23,0.000526291673214991,0.39311594202898553,0.004152139575583757
CTSS,22,0.0009177634677713399,0.40789473684210525,0.00409574350712424
UQCC1,22,0.0004008195746595314,0.4246575342465753,0.0022418957037642923
TIMM21,22,0.0003511483746342988,0.4297029702970297,0.002220501697828381
TYK2,22,0.0016242724918382175,0.4779735682819383,0.003825333044756706
ATPAF2,21,0.0003695376173609661,0.41412213740458015,0.0021490989876139788
TMEM126A,20,4.5359652656244076e-05,0.43227091633466136,0.0019265967383277293
CASP2,20,0.00033724155370487444,0.4033457249070632,0.0037026586507403116
PYCARD,20,0.0002719231310962508,0.3981651376146789,0.0037072620103528265
CASP6,20,0.0006056983434216363,0.4048507462686567,0.0037865891913325712
BNIP3,19,0.0033356670116379957,0.4811529933481153,0.003719922414434031
COA7,18,0.0003432031762480254,0.4297029702970297,0.001957260448691168
COA4,18,0.00031033372690598694,0.40409683426443205,0.002019252770612493
AKT2,18,0.00027152547441921084,0.40636704119850187,0.003417939053371748
DMAC2L,18,0.0003243616507866088,0.43313373253493015,0.0018932977982029807
RBCK1,18,0.00043585506230914246,0.3895870736086176,0.003456145244159393
PRF1,17,0.0002281518734616621,0.40185185185185185,0.003196070539872881
NGFR,17,0.0006199682819178628,0.434,0.003223571854171838
AIFM1,17,0.006407152933465764,0.49206349206349204,0.002209306429612724
ULK1,17,0.01559846049458136,0.43313373253493015,0.004342050590957947
MT-ATP8,17,0.0002385023636772796,0.42054263565891475,0.0018409289821579061
PIK3CB,17,0.00045897722957947116,0.39526411657559196,0.0033792180835517144
ATPAF1,16,0.000342240721498191,0.4157088122605364,0.0018459974600666678
TANK,15,0.0020423302650114284,0.38475177304964536,0.0032278656561449703
LMNA,15,0.0006202832468746512,0.3981651376146789,0.003048186516167192
GSDMD,15,0.00925726860558824,0.3902877697841727,0.0035139170020871144
AKT3,14,8.30373791615676e-05,0.4003690036900369,0.0027556587469710794
JAK3,14,0.0009157406681599477,0.4607218683651805,0.0026830319199798443
TRAF5,14,4.928490690098321e-05,0.37094017094017095,0.0027870120978687276
STAT4,14,0.0002703940885347612,0.3861209964412811,0.0028194908291155067
ITPR1,14,0.0021662730147454855,0.4271653543307087,0.0029953988381076716
PDPK1,13,0.00024104048540886115,0.3924050632911392,0.0027302342070787576
CASP4,13,0.00023489984470261116,0.3938294010889292,0.002666832548173425
CAMK2A,12,0.0007646686068409293,0.3861209964412811,0.002735014426027866
TMEM177,12,0.0001396668025096596,0.4109848484848485,0.0016212507674544605
UQCC3,11,1.926642632233156e-05,0.396709323583181,0.0014532335119901135
PRKCQ,11,0.00010594709495972377,0.3881932021466905,0.002342185820067313
RB1CC1,10,0.003504186820427255,0.38475177304964536,0.003357746067177713
ACTG1,10,0.0018481816547759832,0.46466809421841543,0.0022025136473960705
CMC1,10,2.4656104730582665e-05,0.3696763202725724,0.0014604278251615583
CMC2,10,3.19550905844419e-05,0.37221269296740994,0.001468305260838312
CAMK2G,9,0.0001446163231883638,0.3715753424657534,0.0021842924360621087
CAMK2B,9,0.0004114202796197585,0.3557377049180328,0.0022646699690166915
CAPN2,8,1.0393827598128673e-05,0.3741379310344828,0.0018781862688938091
CD14,8,3.1969816129163814e-05,0.36348408710217756,0.0019084635461149644
SDHAF2,7,0.0002558042096297598,0.4492753623188406,0.0013161323567092852
SMIM20,7,2.393100827507945e-05,0.40636704119850187,0.0011893843809886967
PRKAA2,7,0.0007630862402232661,0.40789473684210525,0.0020143107932272604
PNKD,7,0.0014859006534856955,0.444672131147541,0.00130427873823379
ACSL4,6,0.006704252065262791,0.4263261296660118,0.0020408062562156668
CTSL,6,3.0478141077219417e-06,0.3833922261484099,0.0015747542908318497
RAB8A,6,0.019438555409709242,0.4011090573012939,0.0033613497269208152
STEAP3,6,0.0032392076535784848,0.38204225352112675,0.002107975012477772
C9orf72,6,0.0015206416181565608,0.3140376266280753,0.0027958500827857564
ITPR2,5,0.0007522545229150851,0.37094017094017095,0.0014542178586867559
SPATA2,5,0.0,0.3466453674121406,0.0014396704043978218
PRNP,5,0.001111317403623037,0.38271604938271603,0.0016627630936106798
LYRM2,5,0.0,0.3938294010889292,0.0010476440830408757
TYMP,4,5.849415118469694e-05,0.45114345114345117,0.001027568199731588
ACP1,4,0.00036946230438141946,0.44016227180527384,0.0011014745257433634
SPTA1,4,1.7601343552871118e-05,0.3741379310344828,0.0013066388326948564
RRAS,4,0.0,0.36904761904761907,0.0012967141322925992
VAMP8,4,0.00021072844394040384,0.33384615384615385,0.0018253707671894701
DEPTOR,4,5.301349387370893e-06,0.3696763202725724,0.0014847522732008708
DUSP16,4,0.0,0.3580858085808581,0.001262585556086248
CAMKK2,3,3.486842971510113e-05,0.36655405405405406,0.0012603526000938574
PARP4,3,0.0,0.362876254180602,0.001130761214242522
GLUD2,3,0.00015829889836571536,0.41412213740458015,0.0009752120087468981
LPCAT3,2,0.0,0.30392156862745096,0.0012759013559392358
RAB39B,2,0.0,0.29049531459170014,0.0015604449344319817
VMP1,2,0.0,0.30392156862745096,0.0011906794782299804
CEP89,1,0.0,0.2866578599735799,0.001164312057866804
CHMP2A,1,0.0,0.2810880829015544,0.0008872500092702622
MR1,1,0.0,0.3248502994011976,0.0007639178829930069
