subtype,pathway,gene,complexes
classical,Apoptosis,ACTB,
classical,Apoptosis,TP53,
classical,Apoptosis,TNFRSF1A,
classical,Apoptosis,NGFR,
classical,Apoptosis,NFKBIA,
classical,Apoptosis,KRAS,
classical,Apoptosis,RIPK1,
classical,Apoptosis,MAPK3,
classical,Apoptosis,CASP6,
classical,Apoptosis,TNFRSF10B,
classical,Apoptosis,BAX,
classical,Apoptosis,FADD,
classical,Apoptosis,MAP2K1,
classical,Apoptosis,ITPR1,
classical,Apoptosis,CASP3,
classical,Apoptosis,CFLAR,
classical,Apoptosis,CASP2,
classical,Apoptosis,CTSL,
classical,Apoptosis,CASP8,
classical,Apoptosis,LMNA,
classical,Apoptosis,CTSS,
classical,Apoptosis,MCL1,
classical,Apoptosis,JUN,
classical,Apoptosis,AKT2,
classical,Apoptosis,MAPK8,
classical,Apoptosis,RELA,
classical,Apoptosis,MAPK9,
classical,Apoptosis,PRF1,
classical,Apoptosis,IKBKB,
classical,Apoptosis,AKT1,
classical,Apoptosis,ACTG1,
classical,Apoptosis,AKT3,
classical,Apoptosis,SPTA1,
classical,Apoptosis,AIFM1,Complex I
classical,Apoptosis,TRADD,
classical,Apoptosis,PDPK1,
classical,Apoptosis,PIK3CB,
classical,Apoptosis,CAPN2,
classical,Apoptosis,ITPR2,
classical,Apoptosis,PARP4,
classical,Autophagy,PTEN,
classical,Autophagy,KRAS,
classical,Autophagy,MAPK3,
classical,Autophagy,MAP2K1,
classical,Autophagy,ITPR1,
classical,Autophagy,PRKACA,
classical,Autophagy,CFLAR,
classical,Autophagy,ULK1,
classical,Autophagy,CTSL,
classical,Autophagy,BNIP3,
classical,Autophagy,PRKACB,
classical,Autophagy,AKT2,
classical,Autophagy,MAPK8,
classical,Autophagy,MAPK9,
classical,Autophagy,AKT1,
classical,Autophagy,AKT3,
classical,Autophagy,RB1CC1,
classical,Autophagy,RRAS,
classical,Autophagy,TANK,
classical,Autophagy,PRKCQ,
classical,Autophagy,DEPTOR,
classical,Autophagy,RAB8A,
classical,Autophagy,CAMKK2,
classical,Autophagy,PDPK1,
classical,Autophagy,PIK3CB,
classical,Autophagy,C9orf72,
classical,Autophagy,RAB39B,
classical,Autophagy,PRKAA2,
classical,Autophagy,VAMP8,
classical,Autophagy,VMP1,
classical,Ferroptosis,ACSL4,
classical,Ferroptosis,HMOX1,
classical,Ferroptosis,LPCAT3,
classical,Ferroptosis,TP53,
classical,Ferroptosis,STEAP3,
classical,Ferroptosis,CYBB,
classical,Ferroptosis,PRNP,
classical,Necroptosis,RIPK3,
classical,Necroptosis,TNFRSF1A,
classical,Necroptosis,PYCARD,
classical,Necroptosis,RIPK1,
classical,Necroptosis,STAT3,
classical,Necroptosis,TNFRSF10B,
classical,Necroptosis,BAX,
classical,Necroptosis,TLR3,
classical,Necroptosis,FADD,
classical,Necroptosis,CFLAR,
classical,Necroptosis,STAT5A,
classical,Necroptosis,CASP8,
classical,Necroptosis,STAT1,
classical,Necroptosis,CYBB,
classical,Necroptosis,MAPK8,
classical,Necroptosis,MAPK9,
classical,Necroptosis,TYK2,
classical,Necroptosis,CASP1,
classical,Necroptosis,CAMK2A,
classical,Necroptosis,AIFM1,Complex I
classical,Necroptosis,TRADD,
classical,Necroptosis,STAT4,
classical,Necroptosis,CAPN2,
classical,Necroptosis,CAMK2G,
classical,Necroptosis,CAMK2B,
classical,Necroptosis,RBCK1,
classical,Necroptosis,TNFAIP3,
classical,Necroptosis,JAK3,
classical,Necroptosis,TRAF5,
classical,Necroptosis,CHMP2A,
classical,Necroptosis,GLUD2,
classical,Necroptosis,SPATA2,
classical,Pyroptosis,TP53,
classical,Pyroptosis,IL18,
classical,Pyroptosis,BAX,
classical,Pyroptosis,CASP3,
classical,Pyroptosis,CASP4,
classical,Pyroptosis,CASP1,
classical,Pyroptosis,GSDMD,
classical,Pyroptosis,CHMP2A,
mesenchymal,Apoptosis,ACTB,
mesenchymal,Apoptosis,TNFRSF1A,
mesenchymal,Apoptosis,NGFR,
mesenchymal,Apoptosis,NFKBIA,
mesenchymal,Apoptosis,NFKB1,
mesenchymal,Apoptosis,CTSD,
mesenchymal,Apoptosis,KRAS,
mesenchymal,Apoptosis,RIPK1,
mesenchymal,Apoptosis,CASP6,
mesenchymal,Apoptosis,TP53,
mesenchymal,Apoptosis,TNFRSF10B,
mesenchymal,Apoptosis,BAX,
mesenchymal,Apoptosis,FADD,
mesenchymal,Apoptosis,MAP2K1,
mesenchymal,Apoptosis,ITPR1,
mesenchymal,Apoptosis,CASP3,
mesenchymal,Apoptosis,CFLAR,
mesenchymal,Apoptosis,CASP2,
mesenchymal,Apoptosis,CTSL,
mesenchymal,Apoptosis,CTSB,
mesenchymal,Apoptosis,CASP8,
mesenchymal,Apoptosis,LMNA,
mesenchymal,Apoptosis,CTSS,
mesenchymal,Apoptosis,MCL1,
mesenchymal,Apoptosis,CASP7,
mesenchymal,Apoptosis,JUN,
mesenchymal,Apoptosis,ITPR3,
mesenchymal,Apoptosis,MAPK8,
mesenchymal,Apoptosis,RELA,
mesenchymal,Apoptosis,MAPK9,
mesenchymal,Apoptosis,PRF1,
mesenchymal,Apoptosis,PIK3R1,
mesenchymal,Apoptosis,IKBKB,
