Gene,Degree,Betweenness,Closeness,PageRank
NDUFA8,101,0.013422261112126082,0.5382882882882883,0.006698442042325673
NDUFS3,100,0.008835211127484498,0.5731414868105515,0.006526399911282333
NDUFA4,100,0.011849080313401629,0.5431818181818182,0.006636150434773041
NDUFS1,99,0.011885836952510196,0.5786924939467313,0.00643944836786179
NDUFB8,98,0.008691084333741283,0.5704057279236276,0.006361779609966617
COX4I1,98,0.06902239406822636,0.6035353535353535,0.007071510312240587
NDUFS4,97,0.0024514166734581756,0.5287610619469026,0.006189354667024248
NDUFAB1,97,0.02363289532543035,0.5519630484988453,0.0067584160494357105
NDUFV1,97,0.002442154647036886,0.5287610619469026,0.00618618402200647
NDUFA2,97,0.005014335839323754,0.5334821428571429,0.006254248232960891
COA6,97,0.00995040690790483,0.5150862068965517,0.006593658163273546
NDUFS2,96,0.0021123410935263123,0.5275938189845475,0.006115862979826893
NDUFS7,96,0.0018623190561827556,0.5275938189845475,0.00610454332668536
COX6B1,96,0.004250477665174344,0.5173160173160173,0.006313867491305452
NDUFB3,96,0.0025992376348618336,0.526431718061674,0.006143327686814951
NDUFS8,96,0.002522694031909722,0.5299334811529933,0.00613540995818016
NDUFA13,95,0.02175369004576815,0.5731414868105515,0.00625383531352193
NDUFA6,95,0.0147810576492913,0.5532407407407407,0.00627195538127945
MT-ND1,95,0.018033028674256442,0.5772946859903382,0.006301437443146346
NDUFB7,95,0.0021048456760032657,0.5252747252747253,0.006057009658767189
NDUFB10,94,0.0025193604441381993,0.5241228070175439,0.006024494651508014
UQCRC2,94,0.01121250059361308,0.5597189695550351,0.006317285139651546
NDUFA9,94,0.005904936277620794,0.5650118203309693,0.006036054411157031
NDUFB9,94,0.004470759423572486,0.526431718061674,0.006150527943826723
NDUFV2,94,0.0025591206794023163,0.5252747252747253,0.0060162740048299995
NDUFA11,94,0.0021310459424950844,0.5241228070175439,0.006006607861088456
NDUFS6,93,0.0015304296456165375,0.5229759299781181,0.005907862863347288
MT-ND2,93,0.00706536090488485,0.5610328638497653,0.006013243857126944
CYC1,93,0.004907172993305826,0.5128755364806867,0.006153393483229767
UQCRFS1,92,0.0025133019511685193,0.5117773019271948,0.005991888943592602
UQCRC1,92,0.006495609428311142,0.5558139534883721,0.006007479994294648
NDUFB6,92,0.002084561049931444,0.5218340611353712,0.005889015078083896
NDUFB4,91,0.0016751195655377903,0.5206971677559913,0.0057959242326980475
NDUFA12,91,0.0015738350548953207,0.5206971677559913,0.00580179937424985
NDUFB5,91,0.0013655060729088505,0.5206971677559913,0.00578075471644162
NDUFS5,91,0.002760176803255798,0.5218340611353712,0.005884565769356786
SDHA,90,0.027907362726686716,0.5786924939467313,0.006468115850589902
MT-ND5,90,0.006979269781628181,0.5358744394618834,0.005878180368583416
MT-CYB,89,0.011832555602748644,0.5571095571095571,0.0058857224517520085
MT-CO1,89,0.011396737366068967,0.5636792452830188,0.005930091725789741
NDUFA7,89,0.0012790852983584264,0.5173160173160173,0.005664113815410252
NDUFC2,89,0.001352674266342503,0.5184381778741866,0.005679470558807116
MT-ND4,89,0.003930362702306604,0.5173160173160173,0.005883634130914878
COX5A,89,0.001958477809119979,0.5063559322033898,0.0057700530764413765
NDUFB1,88,0.0014070084229987356,0.5173160173160173,0.005617032435871767
NDUFA5,88,0.0011664669565208566,0.5173160173160173,0.005603096351435197
NDUFA1,88,0.001138762787320748,0.5173160173160173,0.0056053278200411776
NDUFA10,88,0.0032353339667879613,0.5218340611353712,0.005675228362653481
NDUFA3,88,0.0012737320160726613,0.5173160173160173,0.00561456177140339
COX5B,88,0.0013867978691029074,0.5042194092827004,0.005669232483466029
MT-CO2,88,0.01011317411293034,0.5506912442396313,0.005971818850101899
COX6A1,87,0.0016264232580136765,0.5031578947368421,0.005632993293962628
NDUFB11,87,0.0006638359208500277,0.5042194092827004,0.005499691885552119
SDHB,87,0.02395260324371805,0.5786924939467313,0.006316635157648855
UQCRB,86,0.002436515595311468,0.5052854122621564,0.005636689824838514
MT-CO3,86,0.0011624379852270582,0.5021008403361344,0.005529582297199178
UQCR10,85,0.0024992201742016435,0.5021008403361344,0.005551389536899903
COX6C,85,0.002681820994873018,0.4968814968814969,0.0055684134682626
NDUFV3,84,0.0012351912055869928,0.5128755364806867,0.005386827328717087
UQCRQ,83,0.0017471721572977974,0.5,0.0054077731596829555
COX7B,83,0.000981022435591959,0.495850622406639,0.0053367301830916265
UQCR11,82,0.0009750328381252956,0.4989561586638831,0.005284953756045348
COX7C,82,0.0011518318252102717,0.4968814968814969,0.005294584537127826
NDUFC1,82,0.0007814250961406596,0.5074309978768577,0.005230470848692156
NDUFB2,81,0.0009306075943536991,0.5063559322033898,0.005183844996392684
SDHC,81,0.033876020159604024,0.5717703349282297,0.0059579148066426346
BCS1L,81,0.00580114375546294,0.49176954732510286,0.0056534140356113965
UQCRH,80,0.0008869498912165403,0.4968814968814969,0.005167799471529073
COX7A2,80,0.000949782084364104,0.4927835051546392,0.005183565748102753
COX15,80,0.003809420166218265,0.48975409836065575,0.005474365155288973
TP53,76,0.0800730485827526,0.569047619047619,0.01173366342330012
ACTB,76,0.09626166529722781,0.5786924939467313,0.010782481477007748
NDUFAF2,73,0.00107105840928075,0.48088531187122735,0.004798925508832236
SURF1,73,0.0037960730262976525,0.48088531187122735,0.0051139014655868145
FOXRED1,72,0.0016821601044416576,0.47704590818363274,0.0047944952025493395
CASP3,70,0.04397496780135411,0.5558139534883721,0.010621349833094467
SDHD,70,0.0013151775461991255,0.48577235772357724,0.004680149602403524
COX8A,70,0.0036418204667733713,0.5031578947368421,0.0046735170082634805
NDUFAF1,69,0.0012092139485768293,0.466796875,0.004594547267232135
COA1,69,0.0025235998884269016,0.4640776699029126,0.004678804798636305
COX7A1,69,7.593146982655397e-05,0.47704590818363274,0.004447228795936694
COX17,68,0.003977352017891311,0.47326732673267324,0.0048349666910798925
