Gene,Degree,Betweenness,Closeness,PageRank
NDUFA8,101,0.021086878687340757,0.5855072463768116,0.00790666446535662
NDUFS3,99,0.008340035296753671,0.6139817629179332,0.007463273366582085
NDUFA4,98,0.01026760698417312,0.5771428571428572,0.007540214288136142
NDUFS1,98,0.01527801944408017,0.6215384615384615,0.007490577330353252
NDUFB8,97,0.010256855305876849,0.6102719033232629,0.007382584315766862
NDUFV1,97,0.00334810365763833,0.5738636363636364,0.00725947372848319
NDUFS4,97,0.0033675479180674786,0.5738636363636364,0.0072640084153749234
NDUFAB1,96,0.024534538374693177,0.592375366568915,0.00776118105715249
NDUFB3,96,0.0035611363350985755,0.5706214689265536,0.0072105238937830675
NDUFS7,96,0.0025810440256766086,0.5722379603399433,0.007163650762662288
NDUFA2,96,0.002743329573740037,0.5722379603399433,0.007170950336688825
NDUFS8,96,0.0034085948290458238,0.5738636363636364,0.0071994400047629675
NDUFS2,96,0.002893965003771169,0.5722379603399433,0.007176634966783155
COA6,96,0.012719498153123595,0.5519125683060109,0.007650319845434801
NDUFA6,95,0.023241970449979114,0.5958702064896755,0.007396796486324361
NDUFB7,95,0.00292501401566839,0.5690140845070423,0.0071095712948415265
COX6B1,95,0.005264934291068659,0.5534246575342465,0.007312275985472069
NDUFA9,94,0.007189259234585215,0.6047904191616766,0.007096680145302119
NDUFA11,94,0.0028841875628768526,0.5674157303370787,0.007049248181488029
MT-ND1,94,0.016344899058697793,0.6139817629179332,0.007277879893238124
NDUFA13,94,0.015328922915669313,0.592375366568915,0.007244996123599286
NDUFV2,94,0.0035010487494634345,0.5690140845070423,0.007061235167948017
NDUFB10,94,0.0034927345841023806,0.5674157303370787,0.00707170956484993
COX4I1,94,0.04975260501293529,0.6234567901234568,0.007787516269932315
NDUFB9,94,0.005846519415659411,0.5690140845070423,0.0072197329759600545
NDUFS6,93,0.0021001957168978267,0.5658263305322129,0.00693242041724663
MT-ND2,92,0.002706370737345798,0.5658263305322129,0.0069178067558087405
UQCRC2,92,0.01111346419115164,0.5958702064896755,0.0071735315396477106
CYC1,92,0.0066044145338538356,0.5474254742547425,0.007129191978054484
NDUFB6,92,0.0027930687512199375,0.5642458100558659,0.006911892869997066
NDUFS5,91,0.004009155363588936,0.5642458100558659,0.006911515487550271
NDUFB4,91,0.002288955654428869,0.5626740947075209,0.006802274730311955
NDUFA12,91,0.0021304939788331155,0.5626740947075209,0.0068084063156126935
NDUFB5,91,0.0018728758518100144,0.5626740947075209,0.00678423350832504
UQCRC1,91,0.0076058581300850105,0.5941176470588235,0.006962238581812166
UQCRFS1,91,0.0029979460822050653,0.5459459459459459,0.006931745725587483
NDUFC2,89,0.0018440272627862034,0.5595567867036011,0.006665658933495962
MT-CYB,89,0.01818117087972185,0.5958702064896755,0.006950403244185517
MT-ND4,89,0.005454687205731722,0.5611111111111111,0.006915673787009296
MT-ND5,89,0.0027227671887814367,0.5611111111111111,0.006746023897812616
NDUFA7,89,0.0017675691192521796,0.5595567867036011,0.006649616606621267
NDUFA1,88,0.001564380822540604,0.5580110497237569,0.006577606150337037
NDUFA5,88,0.0015906305631976105,0.5580110497237569,0.006576637583538962
COX5A,88,0.002235061371917397,0.5401069518716578,0.006672136365430279
MT-CO2,88,0.012338849557014822,0.5889212827988338,0.007026226169187574
NDUFB1,88,0.001946994719560364,0.5580110497237569,0.006590052664867413
NDUFA3,88,0.0017185706392656521,0.5580110497237569,0.006589431063642333
NDUFA10,87,0.00127597786319225,0.5564738292011019,0.0064921328291048614
MT-CO1,87,0.006202125271727937,0.5872093023255814,0.006677674406245925
COX6A1,87,0.0021134666647393374,0.5386666666666666,0.0066084274373201584
COX5B,87,0.0015469764847811796,0.5372340425531915,0.006553278281744754
NDUFB11,87,0.0008235766510424395,0.5372340425531915,0.006443992835255557
MT-CO3,86,0.0015431169058073419,0.5372340425531915,0.006484469926260225
SDHA,86,0.01787556385871064,0.6011904761904762,0.007030543414803013
SDHB,86,0.02962835645674242,0.6102719033232629,0.007350501110347785
UQCRB,85,0.002826410683366079,0.5372340425531915,0.006515032974687694
COX6C,85,0.003562500194747002,0.5343915343915344,0.006535230480574418
UQCR10,85,0.0031626212840741735,0.5358090185676393,0.006512143757639517
NDUFV3,84,0.0016554765750596556,0.5519125683060109,0.006318834687574732
UQCRQ,83,0.0022285819058689357,0.5329815303430079,0.006343431650661648
COX7B,83,0.0012399254041618162,0.5287958115183246,0.006258096338699496
COX7C,82,0.0014657275796268032,0.5301837270341208,0.006210674807440622
NDUFC1,82,0.0010629785733647292,0.5459459459459459,0.0061387269877918585
UQCR11,82,0.0012587079395681704,0.531578947368421,0.0061977098100839375
NDUFB2,81,0.0012896687706603935,0.5444743935309974,0.006082624074883729
UQCRH,80,0.001128859941965248,0.5287958115183246,0.0060610573824036364
BCS1L,80,0.007596856145389071,0.5219638242894057,0.006541389271331731
COX15,80,0.005028122132155437,0.5219638242894057,0.006427691875304068
SDHC,80,0.040567448540041184,0.6029850746268657,0.007064772169545889
COX7A2,80,0.00126320540498829,0.5274151436031331,0.006081466094579395
NDUFAF2,73,0.0013912393454786605,0.5126903553299492,0.0056236214488241945
FOXRED1,72,0.0021510769660104258,0.506265664160401,0.005618193276710661
SURF1,72,0.004442769723080505,0.506265664160401,0.005898494061709654
SDHD,71,0.006670186089485535,0.5504087193460491,0.005682351147871193
NDUFAF1,69,0.0015834789862432547,0.4963144963144963,0.005385167446944183
COX8A,69,0.0008245909510776197,0.5139949109414759,0.005338617419748935
COX7A1,69,9.980636874389761e-05,0.505,0.005214012118304881
COA1,69,0.003249804860726984,0.4926829268292683,0.005487885823558205
COX17,67,0.004824042216851871,0.4963144963144963,0.0055853011210950185
NDUFAF3,67,0.0007859985106153873,0.5024875621890548,0.005165964500727995
NDUFAF5,67,0.0009383034931682402,0.5024875621890548,0.005196540394720398
ACAD9,67,0.0014732142080238653,0.5024875621890548,0.005247904843537596
TIMMDC1,63,0.0010896058185624763,0.4950980392156863,0.004943266895183028
SCO1,63,0.006183382554756314,0.4963144963144963,0.005457818182821805
NDUFAF6,62,0.0005610015990372703,0.49148418491484186,0.004839117904569774
ECSIT,61,0.0004510998908829098,0.4844124700239808,0.004753964062480916
NDUFAF4,60,0.0003436582384719486,0.48325358851674644,0.004678740663082195
COX14,60,0.0035699805408073316,0.4855769230769231,0.005123017263354586
COA3,59,0.005025374090049283,0.48095238095238096,0.005221932684755059
ACTB,59,0.09525844732835094,0.5674157303370787,0.010736369105295523
TMEM126B,59,0.0005238314723863566,0.4891041162227603,0.004639048802620902
COX11,58,0.005019245574025372,0.4963144963144963,0.0050980670496971895
TMEM186,57,0.0014991769379173586,0.47754137115839246,0.004559007661303103
PRKACB,57,0.04613982812195089,0.5642458100558659,0.0064698985479881245
PRKACA,57,0.0612098431962157,0.5658263305322129,0.006967433380353034
TP53,55,0.06281586491460336,0.5474254742547425,0.011190867027414475
NDUFAF7,54,9.722887914929309e-05,0.47417840375586856,0.004255587850108407
CASP3,53,0.045186062143639696,0.5444743935309974,0.01112928959279457
MT-ATP6,52,0.01128924088675909,0.4844124700239808,0.004981064454843058
SCO2,46,0.013577150411203186,0.5260416666666666,0.0042701434587163935
