,Subtype,Pathway,Complex,Heatmap genes,Complex genes,Overlap,Expected overlap,Percent overlap,Odds ratio,P-value,FDR
0,Classical,Apoptosis,Complex I,40,21,0,0.08338296605122096,0.0,0.0,1.0,1.0
1,Classical,Apoptosis,Complex Ii,40,4,0,0.01588246972404209,0.0,0.0,1.0,1.0
2,Classical,Apoptosis,Complex Iii,40,3,0,0.011911852293031567,0.0,0.0,1.0,1.0
3,Classical,Apoptosis,Complex Iv,40,10,0,0.03970617431010522,0.0,0.0,1.0,1.0
4,Classical,Apoptosis,Complex V,40,3,0,0.011911852293031567,0.0,0.0,1.0,1.0
5,Classical,Autophagy,Complex I,32,21,0,0.06670637284097677,0.0,0.0,1.0,1.0
6,Classical,Autophagy,Complex Ii,32,4,0,0.01270597577923367,0.0,0.0,1.0,1.0
7,Classical,Autophagy,Complex Iii,32,3,0,0.009529481834425254,0.0,0.0,1.0,1.0
8,Classical,Autophagy,Complex Iv,32,10,0,0.03176493944808418,0.0,0.0,1.0,1.0
9,Classical,Autophagy,Complex V,32,3,0,0.009529481834425254,0.0,0.0,1.0,1.0
10,Classical,Ferroptosis,Complex I,7,21,0,0.014592019058963668,0.0,0.0,1.0,1.0
11,Classical,Ferroptosis,Complex Ii,7,4,0,0.0027794322017073653,0.0,0.0,1.0,1.0
12,Classical,Ferroptosis,Complex Iii,7,3,0,0.002084574151280524,0.0,0.0,1.0,1.0
13,Classical,Ferroptosis,Complex Iv,7,10,0,0.006948580504268414,0.0,0.0,1.0,1.0
14,Classical,Ferroptosis,Complex V,7,3,0,0.002084574151280524,0.0,0.0,1.0,1.0
15,Classical,Necroptosis,Complex I,32,21,0,0.06670637284097677,0.0,0.0,1.0,1.0
16,Classical,Necroptosis,Complex Ii,32,4,0,0.01270597577923367,0.0,0.0,1.0,1.0
17,Classical,Necroptosis,Complex Iii,32,3,0,0.009529481834425254,0.0,0.0,1.0,1.0
18,Classical,Necroptosis,Complex Iv,32,10,0,0.03176493944808418,0.0,0.0,1.0,1.0
19,Classical,Necroptosis,Complex V,32,3,0,0.009529481834425254,0.0,0.0,1.0,1.0
20,Classical,Pyroptosis,Complex I,8,21,0,0.016676593210244194,0.0,0.0,1.0,1.0
21,Classical,Pyroptosis,Complex Ii,8,4,0,0.0031764939448084176,0.0,0.0,1.0,1.0
22,Classical,Pyroptosis,Complex Iii,8,3,0,0.0023823704586063135,0.0,0.0,1.0,1.0
23,Classical,Pyroptosis,Complex Iv,8,10,0,0.007941234862021045,0.0,0.0,1.0,1.0
24,Classical,Pyroptosis,Complex V,8,3,0,0.0023823704586063135,0.0,0.0,1.0,1.0
25,Mesenchymal,Apoptosis,Complex I,50,27,0,0.13400833829660513,0.0,0.0,1.0,1.0
26,Mesenchymal,Apoptosis,Complex Ii,50,4,0,0.01985308715505261,0.0,0.0,1.0,1.0
27,Mesenchymal,Apoptosis,Complex Iii,50,3,0,0.014889815366289458,0.0,0.0,1.0,1.0
28,Mesenchymal,Apoptosis,Complex Iv,50,11,0,0.05459598967639468,0.0,0.0,1.0,1.0
29,Mesenchymal,Apoptosis,Complex V,50,3,0,0.014889815366289458,0.0,0.0,1.0,1.0
30,Mesenchymal,Autophagy,Complex I,36,27,0,0.09648600357355569,0.0,0.0,1.0,1.0
31,Mesenchymal,Autophagy,Complex Ii,36,4,0,0.01429422275163788,0.0,0.0,1.0,1.0
32,Mesenchymal,Autophagy,Complex Iii,36,3,0,0.01072066706372841,0.0,0.0,1.0,1.0
33,Mesenchymal,Autophagy,Complex Iv,36,11,0,0.039309112567004166,0.0,0.0,1.0,1.0
34,Mesenchymal,Autophagy,Complex V,36,3,0,0.01072066706372841,0.0,0.0,1.0,1.0
35,Mesenchymal,Ferroptosis,Complex I,9,27,0,0.024121500893388922,0.0,0.0,1.0,1.0
36,Mesenchymal,Ferroptosis,Complex Ii,9,4,0,0.00357355568790947,0.0,0.0,1.0,1.0
37,Mesenchymal,Ferroptosis,Complex Iii,9,3,0,0.0026801667659321023,0.0,0.0,1.0,1.0
38,Mesenchymal,Ferroptosis,Complex Iv,9,11,0,0.009827278141751042,0.0,0.0,1.0,1.0
39,Mesenchymal,Ferroptosis,Complex V,9,3,0,0.0026801667659321023,0.0,0.0,1.0,1.0
40,Mesenchymal,Necroptosis,Complex I,40,27,0,0.1072066706372841,0.0,0.0,1.0,1.0
41,Mesenchymal,Necroptosis,Complex Ii,40,4,0,0.01588246972404209,0.0,0.0,1.0,1.0
42,Mesenchymal,Necroptosis,Complex Iii,40,3,0,0.011911852293031567,0.0,0.0,1.0,1.0
43,Mesenchymal,Necroptosis,Complex Iv,40,11,0,0.043676791741115745,0.0,0.0,1.0,1.0
