gene,log2FC,pvalue,adjustedpvalue,-log(adjustedp),category
A1BG,1.7231555005559462,7.483926709920358e-17,7.805630573503107e-16,15.107592006947375,Up
A2M,1.504858437026274,1.353696189787794e-13,8.278862302879641e-13,12.082029340694548,Up
AAAS,0.5573061728485625,1.4555218882823382e-08,4.549707908447705e-08,7.342016484182732,Not Significant
AACS,-0.7594321747805732,5.10582244956086e-10,1.956793294457989e-09,8.708455048546181,Not Significant
AADAT,-1.089862202937609,2.765917308120872e-08,8.364448942542172e-08,7.077562665472217,Down
AAED1,0.80367950497139,0.007472458263584358,0.0108081747103158,1.9662476437128182,Not Significant
AAGAB,-0.15233147953691434,0.11400291710743655,0.13824048976832562,0.8593647362128061,Not Significant
AAK1,-1.6232843634082543,1.4802270432215294e-22,1.0180960162176633e-20,19.992211261933328,Down
AAMDC,0.4523062191647389,0.0012446593565911832,0.001998713243251716,2.6992495099372587,Not Significant
AAMP,-0.38686525847392433,4.550652651742517e-05,8.935624118465923e-05,4.048875108324577,Not Significant
AAR2,0.6956546783349118,2.2923085524365353e-07,6.149649412966983e-07,6.211149642330899,Not Significant
AARS,-0.39901559797854314,1.4432949672589237e-09,5.20556386493352e-09,8.283532220972688,Not Significant
AARS2,-0.3920563217281294,0.00016674452814436857,0.00030285182227442545,3.518769808821394,Not Significant
AARSD1,-0.45150188502796423,1.1001974837743903e-07,3.0760020436765055e-07,6.512013380327975,Not Significant
AASDHPPT,-0.6745018558537164,5.913842212919879e-16,5.292965055398368e-15,14.276300973248059,Not Significant
AASS,0.9949390396446266,3.923515296914635e-09,1.3285579286136771e-08,7.876619504461248,Not Significant
AATF,0.6170352111722937,3.955812855126012e-06,9.014022769046992e-06,5.045081349253839,Not Significant
AATK,-1.9018412496940464,6.236748337017909e-19,1.0096160721620438e-17,16.99584374447501,Down
ABAT,-1.4389233662546719,2.4519255113278643e-13,1.4460109148675207e-12,11.839828428861098,Down
ABCA1,1.1313686858053742,2.970131203451736e-12,1.5358219422120776e-11,10.813659131958959,Up
ABCA2,-0.7820354243808764,3.216877674818217e-07,8.48997964431613e-07,6.071093351024808,Not Significant
ABCA3,-0.6129686198390459,9.050084247860588e-07,2.2493392296079483e-06,5.647945042369185,Not Significant
ABCA5,-1.831715808404407,5.628372890058792e-17,6.00879317052533e-16,15.221212744638029,Down
ABCA8,-0.5730553842926592,0.0022542265035280806,0.003494977783878769,2.456555580539051,Not Significant
ABCB1,-0.24656388072073973,0.0505574005903497,0.06476947479937846,1.1886296245248715,Not Significant
ABCB10,-0.6230010012048756,3.747263615227222e-08,1.1147547005115793e-07,6.952820687714002,Not Significant
ABCB6,0.20394353171099389,0.0072326584101217156,0.010494109477412453,1.979054409435553,Not Significant
ABCB7,-0.005931413136454164,0.9505918521968336,0.9571203897772143,0.01903343178687887,Not Significant
ABCB8,-1.0380375063071412,2.5970849715020044e-11,1.1861806699589452e-10,9.925849157522855,Down
ABCB9,-1.2462543019886494,1.0081846542402808e-10,4.262467126720992e-10,9.370338957380966,Down
ABCC1,0.052802813284538855,0.6085035707040535,0.6460540256485611,0.18973116302660817,Not Significant
ABCC3,0.30867076897864787,0.03317478147729042,0.04371645782973997,1.3593550344469274,Not Significant
ABCC4,0.2702804711753174,0.010575847064490681,0.014928667221899039,1.8259789628048801,Not Significant
ABCD1,0.7306765483509672,3.914642554861866e-07,1.021240961242034e-06,5.990871774278456,Not Significant
ABCD2,-1.0534769672323554,3.810859286245473e-07,9.975420048248912e-07,6.001068807842138,Down
ABCD3,0.7695971209950558,1.5455954817471442e-11,7.253428029533826e-11,10.139456693780533,Not Significant
ABCD4,0.9089915843299533,9.274769166701016e-11,3.9452828874618254e-10,9.403921851248224,Not Significant
ABCE1,0.5119521855989693,5.0630841662580466e-12,2.5330561034218777e-11,10.596355191126662,Not Significant
ABCF1,0.6885189682097794,7.023100387077133e-13,3.898850769551246e-12,11.409063387330795,Not Significant
ABCF2,0.278821458246176,0.004573195530159098,0.006816897074813985,2.166413263164194,Not Significant
ABCF3,0.38669253584458196,1.0157330885074708e-07,2.85518922988773e-07,6.5443651032595795,Not Significant
