gene_name,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR
NBEAL1,ENSG00000144426,2208.2369737588806,5.901681768860928,0.1405496719409238,41.99000742841675,0.0,0.0
NGRN,ENSG00000182768,7542.332704492353,-4.863749121606324,0.09938982243543193,-48.93608824752688,0.0,0.0
BSCL2,ENSG00000168000,3792.2032009860986,-7.337623604967267,0.14448700807336395,-50.78396807304332,0.0,0.0
BCAP29,ENSG00000075790,1408.1771043946646,-5.588855420066966,0.11674693250013854,-47.871539751678995,0.0,0.0
ATP6V0C,ENSG00000185883,3655.0670871602615,-10.386180236836616,0.20716014672236283,-50.13599575576779,0.0,0.0
VPS33B,ENSG00000184056,388.17635150256103,-3.581080718392502,0.08257197353709905,-43.36920343539501,0.0,0.0
PPP3R1,ENSG00000221823,4675.433737589605,-4.625657954369872,0.11265865445509327,-41.05905557582973,0.0,0.0
SUPT4H1,ENSG00000213246,490.1819635274032,-10.361286679040244,0.2510084684145635,-41.27863392213378,0.0,0.0
ARL6IP4,ENSG00000182196,984.3396184314818,-7.9205955886287605,0.18697394446409263,-42.362028630945794,0.0,0.0
RPS10,ENSG00000124614,1917.6007230778741,-6.13212867219544,0.14593294332767098,-42.020180860922174,0.0,0.0
FKBP2,ENSG00000173486,398.9212440926915,-7.60228760379374,0.2018756009607588,-37.658278502271784,2.39494647098295e-310,9.801645016107388e-307
ST6GALNAC6,ENSG00000160408,2278.739789615598,-7.220418576712388,0.19356123094231328,-37.30302055613748,1.4661119339395602e-304,5.500241096168755e-301
CYP20A1,ENSG00000119004,1881.2936082603649,4.075509814278422,0.10966275781189541,37.16402811307323,2.602180920733669e-302,9.011352528500696e-299
KDM5A,ENSG00000073614,6426.091310828608,3.132161314219493,0.08451028627665151,37.062486144776514,1.130279500585843e-300,3.634575202633862e-297
PTP4A1,ENSG00000112245,985.1185408945673,-7.680481498080473,0.21005468076915745,-36.56420066411682,1.0606208860076955e-292,3.1832061111453632e-289
NME2,ENSG00000243678,1354.5323698170414,-6.471592176204912,0.17839074211974307,-36.27762348710292,3.646518850783273e-288,1.026016450896326e-284
RNASEK,ENSG00000219200,1154.3845615988396,-6.198315888246591,0.17196089418091168,-36.0449154313285,1.6567814131039756e-284,4.387449555089875e-281
DYNLRB1,ENSG00000125971,1961.5979945097874,-4.484241920758094,0.1246139026645214,-35.985085330569575,1.4315124244180845e-283,3.5802921019376525e-280
FDX2,ENSG00000267673,319.6238798130687,-8.714823420862484,0.245494763434242,-35.49901960819962,5.089607387765214e-276,1.2059422894200113e-272
PIK3R2,ENSG00000105647,1027.0077409578037,-7.7851313706903005,0.2211121269988313,-35.208975085891375,1.4574662464436234e-271,3.280683647432274e-268
RPL36A,ENSG00000241343,1040.5703165781529,-4.528907143427817,0.12900591301977798,-35.10619813785968,5.4217706626574416e-270,1.162298540296073e-266
C2orf74,ENSG00000237651,410.93939541893087,-5.260651977184545,0.1509654327978624,-34.84673199478969,4.7716723045155835e-266,9.764359794408502e-263
FNDC9,ENSG00000172568,177.86258824353843,-7.799502144930937,0.22486742105575816,-34.68489169445747,1.3312235427786244e-263,2.605667507493517e-260
BBS1,ENSG00000174483,840.1311712240616,-4.284745797132217,0.12365601432189627,-34.65052485015684,4.386395799540487e-263,8.227964687479717e-260
MYG1,ENSG00000139637,421.12044556070646,-8.762239444795796,0.2545719058773707,-34.41950679748863,1.2879577958607213e-259,2.3193028804741523e-256
COQ8A,ENSG00000163050,534.5231100293731,-5.858718014044041,0.1715652749803777,-34.14862369272637,1.4015507694016312e-255,2.4267851572189245e-252
GABARAP,ENSG00000170296,2137.557314702218,-8.129241748031895,0.239623747313346,-33.925025541820034,2.8489574386249623e-252,4.750267219609525e-249
JTB,ENSG00000143543,961.2772744698773,-4.02887101000786,0.11896162707236688,-33.86697970730521,2.0413253600350226e-251,3.282086656550596e-248
RPL17,ENSG00000265681,2392.6789324690467,-6.466248074038303,0.19095828860320643,-33.862096907846535,2.4087235703922526e-251,3.739252635016856e-248
