sample_id,condition,dataset
C3L-00104,Tumor,CPTAC
C3L-00365,Tumor,CPTAC
C3L-00674,Tumor,CPTAC
C3L-00677,Tumor,CPTAC
C3L-01040,Tumor,CPTAC
C3L-01043,Tumor,CPTAC
C3L-01045,Tumor,CPTAC
C3L-01046,Tumor,CPTAC
C3L-01048,Tumor,CPTAC
C3L-01049,Tumor,CPTAC
C3L-01061,Tumor,CPTAC
C3L-01142,Tumor,CPTAC
C3L-01146,Tumor,CPTAC
C3L-01149,Tumor,CPTAC
C3L-01154,Tumor,CPTAC
C3L-01155,Tumor,CPTAC
C3L-01156,Tumor,CPTAC
C3L-01157,Tumor,CPTAC
C3L-01327,Tumor,CPTAC
C3L-01834,Tumor,CPTAC
C3L-01887,Tumor,CPTAC
C3L-02041,Tumor,CPTAC
C3L-02465,Tumor,CPTAC
C3L-02504,Tumor,CPTAC
C3L-02542,Tumor,CPTAC
C3L-02642,Tumor,CPTAC
C3L-02704,Tumor,CPTAC
C3L-02705,Tumor,CPTAC
C3L-02707,Tumor,CPTAC
C3L-02708,Tumor,CPTAC
C3L-02900,Tumor,CPTAC
C3L-02955,Tumor,CPTAC
C3L-02970,Tumor,CPTAC
C3L-02984,Tumor,CPTAC
C3L-03260,Tumor,CPTAC
C3L-03266,Tumor,CPTAC
C3L-03387,Tumor,CPTAC
C3L-03390,Tumor,CPTAC
C3L-03392,Tumor,CPTAC
C3L-03400,Tumor,CPTAC
C3L-03405,Tumor,CPTAC
C3L-03407,Tumor,CPTAC
C3L-03681,Tumor,CPTAC
C3L-03727,Tumor,CPTAC
C3L-03728,Tumor,CPTAC
C3L-03744,Tumor,CPTAC
C3L-03748,Tumor,CPTAC
C3L-03968,Tumor,CPTAC
C3L-04084,Tumor,CPTAC
C3N-00661,Tumor,CPTAC
C3N-00662,Tumor,CPTAC
C3N-00663,Tumor,CPTAC
C3N-00665,Tumor,CPTAC
C3N-01192,Tumor,CPTAC
C3N-01196,Tumor,CPTAC
C3N-01334,Tumor,CPTAC
C3N-01364,Tumor,CPTAC
C3N-01366,Tumor,CPTAC
C3N-01367,Tumor,CPTAC
C3N-01368,Tumor,CPTAC
C3N-01369,Tumor,CPTAC
C3N-01505,Tumor,CPTAC
C3N-01515,Tumor,CPTAC
C3N-01517,Tumor,CPTAC
C3N-01518,Tumor,CPTAC
C3N-01798,Tumor,CPTAC
C3N-01814,Tumor,CPTAC
C3N-01815,Tumor,CPTAC
C3N-01816,Tumor,CPTAC
C3N-01818,Tumor,CPTAC
C3N-01851,Tumor,CPTAC
C3N-01852,Tumor,CPTAC
C3N-01856,Tumor,CPTAC
C3N-01857,Tumor,CPTAC
C3N-02181,Tumor,CPTAC
C3N-02183,Tumor,CPTAC
C3N-02185,Tumor,CPTAC
C3N-02186,Tumor,CPTAC
C3N-02188,Tumor,CPTAC
C3N-02190,Tumor,CPTAC
C3N-02255,Tumor,CPTAC
C3N-02256,Tumor,CPTAC
C3N-02769,Tumor,CPTAC
C3N-02770,Tumor,CPTAC
C3N-02782,Tumor,CPTAC
C3N-02783,Tumor,CPTAC
C3N-02784,Tumor,CPTAC
C3N-02785,Tumor,CPTAC
C3N-02786,Tumor,CPTAC
C3N-02788,Tumor,CPTAC
C3N-03070,Tumor,CPTAC
C3N-03088,Tumor,CPTAC
C3N-03180,Tumor,CPTAC
C3N-03182,Tumor,CPTAC
C3N-03183,Tumor,CPTAC
C3N-03184,Tumor,CPTAC
C3N-03186,Tumor,CPTAC
C3N-03188,Tumor,CPTAC
C3N-03473,Tumor,CPTAC
GTEX-1117F-3226-SM-5N9CT,Normal,GTEx
GTEX-111FC-3126-SM-5GZZ2,Normal,GTEx
GTEX-1128S-2726-SM-5H12C,Normal,GTEx
GTEX-117XS-3026-SM-5N9CA,Normal,GTEx
GTEX-1192X-0011-R10a-SM-DO941,Normal,GTEx
GTEX-1192X-3126-SM-5N9BY,Normal,GTEx
GTEX-11DXW-1126-SM-5H12Q,Normal,GTEx
GTEX-11DXY-0011-R10b-SM-DO12C,Normal,GTEx
GTEX-11DXY-3226-SM-5GIDE,Normal,GTEx
GTEX-11DYG-0011-R10b-SM-DNZZO,Normal,GTEx
GTEX-11DZ1-0011-R10b-SM-DO943,Normal,GTEx
GTEX-11EI6-0011-R10a-SM-DO93R,Normal,GTEx
GTEX-11EI6-3026-SM-5GZZO,Normal,GTEx
GTEX-11EMC-0011-R10a-SM-DNZZJ,Normal,GTEx
GTEX-11EMC-3226-SM-5EGKW,Normal,GTEx
GTEX-11GS4-3126-SM-5A5LH,Normal,GTEx
GTEX-11GSO-2926-SM-5HL73,Normal,GTEx
GTEX-11GSP-0011-R10a-SM-5NQ7J,Normal,GTEx
GTEX-11GSP-3226-SM-5986O,Normal,GTEx
GTEX-11H98-0011-R10b-SM-5NQ98,Normal,GTEx
GTEX-11NUK-2926-SM-5A5MD,Normal,GTEx
GTEX-11NV4-2126-SM-5N9DS,Normal,GTEx
GTEX-11O72-2926-SM-5BC4V,Normal,GTEx
GTEX-11OC5-0726-SM-5P9JK,Normal,GTEx
GTEX-11OF3-2926-SM-5HL78,Normal,GTEx
GTEX-11ONC-2926-SM-5P9JM,Normal,GTEx
GTEX-11PRG-0011-R10b-SM-DO93G,Normal,GTEx
GTEX-11PRG-2926-SM-5987A,Normal,GTEx
GTEX-11TTK-0011-R10b-SM-DO925,Normal,GTEx
GTEX-11TTK-2926-SM-5PNYP,Normal,GTEx
GTEX-11TUW-0011-R10a-SM-DO924,Normal,GTEx
GTEX-11WQC-0011-R10a-SM-57WCT,Normal,GTEx
GTEX-11WQK-0011-R10a-SM-5BC6R,Normal,GTEx
GTEX-11WQK-3026-SM-5EQL6,Normal,GTEx
GTEX-11ZTS-0011-R10a-SM-DO93S,Normal,GTEx
GTEX-11ZUS-2926-SM-5FQSL,Normal,GTEx
GTEX-12126-0011-R10b-SM-5BC6T,Normal,GTEx
GTEX-12126-1026-SM-5P9JJ,Normal,GTEx
GTEX-12WSA-0011-R10b-SM-5P9ET,Normal,GTEx
GTEX-12WSA-2926-SM-5EQ4D,Normal,GTEx
GTEX-12WSC-0011-R10a-SM-5GU57,Normal,GTEx
GTEX-12WSC-3026-SM-5GCNF,Normal,GTEx
GTEX-12WSD-3126-SM-5HL7P,Normal,GTEx
