gene_name,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR
GABARAP,ENSG00000170296,1581.3095139609277,-7.893875078157355,0.1933075901340141,-40.83582580841641,0.0,0.0
RPL17,ENSG00000265681,1803.7393493939155,-6.294266466831712,0.16407831852330307,-38.36135403799726,0.0,0.0
DYNLRB1,ENSG00000125971,1512.7607165176473,-4.649732106434613,0.10882443574487373,-42.72691215542225,0.0,0.0
PIK3R2,ENSG00000105647,751.2949521006822,-8.461434363309149,0.16368310901105426,-51.693998326594034,0.0,0.0
FDX2,ENSG00000267673,234.15932619571362,-9.080348186336884,0.24043237970688489,-37.76674421892296,0.0,0.0
PPP3R1,ENSG00000221823,3618.7294245794133,-4.726026052865051,0.08228127556828424,-57.43744272587241,0.0,0.0
PFDN5,ENSG00000123349,1576.9318968749958,-5.364344997029023,0.14135264149162238,-37.95008667982306,0.0,0.0
RPS10,ENSG00000124614,1437.7850072548954,-6.187775791395419,0.12834951347407436,-48.210356423714096,0.0,0.0
BSCL2,ENSG00000168000,2799.116966373322,-7.47125365460387,0.18577842341557968,-40.215938520970994,0.0,0.0
FKBP2,ENSG00000173486,295.94946436582643,-7.400043890521692,0.17584894125739162,-42.08182225953914,0.0,0.0
CHD4,ENSG00000111642,1639.2396409498751,-2.86682736672731,0.0742032357301649,-38.6348026271029,0.0,0.0
BCAP29,ENSG00000075790,1063.5026530367816,-5.68603204995415,0.1385798522272054,-41.03072675118565,0.0,0.0
SUPT4H1,ENSG00000213246,359.7342037332574,-9.997313097827288,0.2266186557225131,-44.11513723772442,0.0,0.0
ST6GALNAC6,ENSG00000160408,1687.508541650293,-7.271934235134353,0.17353368849285686,-41.90502892142286,0.0,0.0
NBEAL1,ENSG00000144426,2910.5014670583864,6.110237315542134,0.1399681219470664,43.65449239829712,0.0,0.0
RNASEK,ENSG00000219200,876.0660224275758,-5.9943075872957525,0.12498286092236123,-47.96103676182759,0.0,0.0
NME2,ENSG00000243678,1008.3719148632013,-6.5726495014198205,0.16307888361630418,-40.30349825599802,0.0,0.0
MYG1,ENSG00000139637,310.1236179278643,-8.50636755458739,0.2286418350783922,-37.20389819155753,5.902268565335504e-303,1.4713371821953858e-299
ATP6V0C,ENSG00000185883,2679.5063738752883,-10.137982400784846,0.2789846195982825,-36.33885773123551,3.9407317687213783e-289,9.306556589173525e-286
ACY1,ENSG00000243989,66.7975528771661,-4.6876512605401635,0.1301137290263636,-36.02733774227894,3.123004975475688e-284,7.006617812728481e-281
BCKDHA,ENSG00000248098,228.97256896443895,-6.39508410004046,0.17781535951675836,-35.964745213350085,2.9773392878654226e-283,6.361723389800446e-280
ARL6IP4,ENSG00000182196,723.2800819077925,-8.169731736093103,0.22867294222591536,-35.7267093192945,1.5217936993974643e-279,3.103836594802892e-276
HNRNPUL2,ENSG00000214753,2788.1251954346917,-3.9895102983346806,0.11182571453469937,-35.676144033014346,9.267898820852082e-279,1.808086469523712e-275
C16orf46,ENSG00000166455,64.90513108318088,-5.57321804376836,0.15740602506559964,-35.40663733453467,1.3496496782417075e-274,2.523338779682652e-271
CYP20A1,ENSG00000119004,2012.376530405213,3.9877726639362567,0.11314808640056324,35.24383655786163,4.2641896483415466e-272,7.65353814842934e-269
EEF1G,ENSG00000254772,2389.977469657436,-15.652978342445074,0.44722463646395716,-35.00025952552053,2.2294613544724964e-268,3.847621555251361e-265
TTC4,ENSG00000243725,314.9976045624939,-4.571314019337268,0.13157204136323367,-34.74381009805226,1.7188835868252406e-264,2.856593534238347e-261
NDUFB8,ENSG00000166136,1290.911173948239,-5.031412281918978,0.14496676278853646,-34.70735074120623,6.103091979830992e-264,9.780422865249874e-261
MRPL2,ENSG00000112651,257.91636242274575,-4.54559267606774,0.13120414021486795,-34.64519235920146,5.277333388780583e-263,8.165490568550811e-260
ALDOA,ENSG00000149925,10476.848282122222,-7.263131513086065,0.2099399496669428,-34.5962334687066,2.878413660753602e-262,4.305243312389163e-259
GSK3A,ENSG00000105723,1764.0652647740164,-3.6615894974470997,0.10590904886213305,-34.57296177037307,6.441448418127962e-262,9.323684902252252e-259
ABHD16A,ENSG00000204427,455.95083625793063,-4.750237057476018,0.13878234829323488,-34.22796282016489,9.280945686547887e-257,1.3013916059409069e-253
MDP1,ENSG00000213920,89.07542906989734,-7.448117233534627,0.21790546092695956,-34.18049828513102,4.7126556064102364e-256,6.407926355007083e-253
GPS2,ENSG00000132522,386.3646378806809,-5.450074769613227,0.15951687543306328,-34.166132923661706,7.702795033560196e-256,1.0165650469143516e-252
NDUFA13,ENSG00000186010,1030.9013233712549,-5.559627545889116,0.16311854291289118,-34.08335708870374,1.3015278784968414e-254,1.6685959267437649e-251
SELENOH,ENSG00000211450,672.6389330861541,-3.630757099202741,0.10680737480878123,-33.99350565167374,2.778721459734247e-253,3.463444739437094e-250
PET100,ENSG00000229833,200.94033144862067,-3.5468762215254803,0.10457008747731418,-33.91865022867991,3.537439184539096e-252,4.2899576662014537e-249
VARS2,ENSG00000137411,421.18004696171135,-5.913253139761694,0.17675373879083645,-33.45475564032741,2.194893473644521e-245,2.5917648698921925e-242
MRPL38,ENSG00000204316,424.32695983483467,-4.241195876347049,0.1269270482162226,-33.41443715859596,8.460171298400382e-245,9.733752470013422e-242
ZSCAN32,ENSG00000140987,803.6288491136271,5.26480424688752,0.1603031029305491,32.84280934454826,1.442777391009201e-236,1.6184716077993466e-233
KDM5A,ENSG00000073614,7487.3293743785935,3.176183259542415,0.09679689093519848,32.812864430415836,3.8593827137963097e-236,4.223764920750103e-233
LRP11,ENSG00000120256,821.469129934831,-5.775463350952225,0.1765276065789807,-32.7170546458874,8.935611686980971e-235,9.546424571583885e-232
GNG10,ENSG00000242616,253.45092884652237,-7.352064282074015,0.22535828566296684,-32.62389159753082,1.8802440240940312e-233,1.9620565024447276e-230
MICOS10,ENSG00000173436,984.5930002887677,-3.763612619467827,0.11659494283292349,-32.279381318115604,1.3620550064661976e-228,1.389017504435108e-225
PLSCR3,ENSG00000187838,93.87673094329108,-6.217496591571342,0.19272911345362298,-32.26028740627958,2.523741518913726e-228,2.5165067932261735e-225
VPS33B,ENSG00000184056,312.3603951068079,-3.7057472225418024,0.11545878162276048,-32.09584555161533,5.038426513542677e-226,4.914766001938553e-223
JTB,ENSG00000143543,804.7818300663772,-3.8204258464814465,0.11934162229232544,-32.0125181231689,7.301616999670786e-225,6.970869284941017e-222
C18orf32,ENSG00000177576,1238.2772219648762,-4.76269566417904,0.14919686416509056,-31.92222363942571,1.3128783993584403e-223,1.227295138700262e-220
RPS17,ENSG00000182774,1353.783216134204,-4.829822257159057,0.15217015134412507,-31.739616570641765,4.4164152557707675e-221,4.04426467227939e-218
NDUFA7,ENSG00000267855,218.23357090214105,-5.0018390308228655,0.15768786761792164,-31.719872342635405,8.268297972829285e-221,7.420135966776457e-218
BHLHB9,ENSG00000198908,418.33932836633153,-6.237155790221633,0.1978195338892738,-31.529524246643795,3.4225350491478986e-218,3.0112268664767717e-215
UQCR11,ENSG00000127540,845.7906339299182,-3.1895007916712474,0.102228408812025,-31.199749939725862,1.0737965523393765e-213,9.265831750003878e-211
EMC6,ENSG00000127774,114.50310488266959,-4.852307828974609,0.1564660521905331,-31.011888911633157,3.7270930819131633e-211,3.1554413901608593e-208
RNF31,ENSG00000092098,283.477724749423,-5.417741421659433,0.17481681320179715,-30.990963182732,7.1351239816224895e-211,5.928891632951532e-208
SNORA73B,ENSG00000200087,11631.38656256864,11.294404109580016,0.36813990464548085,30.67965185805255,1.0634937615149156e-206,8.676368831442869e-204
ZNF460,ENSG00000197714,5316.528020398264,7.00462972291937,0.2313573512152941,30.276235814962604,2.3563968651918283e-201,1.888105066750402e-198
RNU4-2,ENSG00000202538,8404.573902757691,9.83155760046884,0.32699028530909413,30.066818624826613,1.3161892414765632e-198,1.036118025513945e-195
AC005288.1,ENSG00000266469,48.677661107003,-4.7691280421548985,0.15896114510590784,-30.00184755197547,9.283716244045434e-198,7.18223502735453e-195
H1-4,ENSG00000168298,5074.962907515189,9.979203597059577,0.33420562611696397,29.85947218484914,6.61425198896013e-196,5.03030679655305e-193
ABHD14A,ENSG00000248487,432.6982151095439,-4.2185967274239005,0.14140521409471177,-29.833388778707462,1.4419698896138491e-195,1.078377181947717e-192
NGRN,ENSG00000182768,5747.804534321215,-5.0405712970833285,0.17010807960189103,-29.63158075077872,5.858340091596194e-193,4.3093373483608654e-190
CHTF8,ENSG00000168802,274.77878818081587,-5.749051515679692,0.1957037426148857,-29.37629827035513,1.1029601003267505e-189,7.982406880929294e-187
SGSM3,ENSG00000100359,761.9533653279307,-6.288514965428551,0.21445997381681875,-29.3225577412403,5.349901708401254e-189,3.8104038025027405e-186
NAPB,ENSG00000125814,7603.004770508456,-4.87838830983716,0.16769173661687883,-29.09140550546443,4.611152775165986e-186,3.2329224402261398e-183
HAPLN4,ENSG00000187664,838.6975465961517,-13.281128942085397,0.4570302807688676,-29.059625808037033,1.162990049344634e-185,8.028388692945088e-183
CRELD1,ENSG00000163703,831.2938260666624,-4.9127517858660505,0.16916756240641967,-29.040743485227512,2.0141106638303857e-185,1.3693205999505035e-182
AC092279.1,ENSG00000268362,2361.8045350389434,5.836588271988129,0.2013452911918209,28.987955156237714,9.333516514846903e-185,6.250809246831275e-182
MRPS24,ENSG00000062582,338.43102750242525,-6.183654235542258,0.21410538259270157,-28.88135814551468,2.0471833701912313e-183,1.3508700735860404e-180
INO80B,ENSG00000115274,220.86363154063946,-5.559702544098346,0.19393355248421085,-28.66807972566269,9.542118510015963e-181,6.205281154535164e-178
BBS1,ENSG00000174483,625.7368791752367,-4.775804764212596,0.1666537889032411,-28.657042816982816,1.3097819028335846e-180,8.395889108863682e-178
HINT2,ENSG00000137133,125.39176358190672,-5.574309843546573,0.1953665994749214,-28.532563183924022,4.623207729664846e-179,2.921802169546356e-176
GTF2H4,ENSG00000213780,131.7845786409373,-6.341126604908705,0.22228695010724703,-28.526760576135015,5.456666695868031e-179,3.400640157087423e-176
SCARNA7,ENSG00000238741,5500.880950820891,10.599104746827628,0.3734421410482414,28.382187176509444,3.355149564218609e-177,2.0623139191240165e-174
RPP21,ENSG00000241370,129.24916199660046,-4.9029952077482735,0.1742218284300468,-28.14225549077459,2.9808601110070767e-174,1.8074888383918722e-171
TAX1BP3,ENSG00000213977,152.22915728585204,-6.247578136297846,0.22233368541800994,-28.100007088677383,9.794131163243652e-174,5.859632792345411e-171
BIRC6,ENSG00000115760,16868.23403878197,2.4803596277200857,0.08843861361679635,28.04611612827243,4.454867557919576e-173,2.6301889762027536e-170
TERF2IP,ENSG00000166848,4873.487795257984,-2.6972095333346977,0.09647964011099328,-27.956256161732583,5.533380361809953e-172,3.2245235092827845e-169
H4C5,ENSG00000276966,3593.0854117492445,6.620181291683807,0.23693482078445546,27.940938650407674,8.4947517262065e-172,4.8867692911104084e-169
CALM3,ENSG00000160014,17502.472301948237,-4.195190643533316,0.15021424714953197,-27.92804759296353,1.2182664317357541e-171,6.919599121318357e-169
SPATA5,ENSG00000145375,1231.2282552551565,3.1572122439816486,0.1137282429069217,27.76102191753369,1.282734439842876e-169,7.194697131273711e-167
ZNF81,ENSG00000197779,1494.3792590615258,2.926429497336831,0.10564909758138762,27.699521948897225,7.075350593869796e-169,3.9194821789818716e-166
AC245060.4,ENSG00000272779,111.63986823649839,-6.4451210512211174,0.23282266898538387,-27.682532286517723,1.1332675066611522e-168,6.201322718462508e-166
POMK,ENSG00000185900,2676.4969809178815,5.202846157028004,0.18869147197286315,27.573297842396695,2.3265428111098326e-167,1.2577626804495097e-164
KLC1,ENSG00000126214,7532.213910834825,-3.7254313308832394,0.13523774133635336,-27.547275590898998,4.770760994785798e-167,2.5484382928218283e-164
AARSD1,ENSG00000266967,376.5173218432127,-4.583679808757364,0.16652498091911097,-27.52547866066938,8.701573011237915e-167,4.5935092069089e-164
UBE2V1,ENSG00000244687,1663.614745639879,-4.065367072721407,0.1482562644637348,-27.421216145074553,1.5319769079273485e-165,7.993178585535822e-163
SENP3,ENSG00000161956,818.5418109727927,-3.314395404660904,0.12087430498074477,-27.420181693610452,1.5761134985862576e-165,8.12894124081195e-163
SCARNA5,ENSG00000252010,7224.978692119637,11.009443694034399,0.4034867240943977,27.285764404626825,6.258812876358454e-164,3.1913544610804566e-161
PRRT1,ENSG00000204314,904.0659482059838,-6.713531171398218,0.2472872229490592,-27.14871836617776,2.6217898319952636e-162,1.3218239500163984e-159
NICN1,ENSG00000145029,486.76563020110393,-13.72721831541894,0.5059401139383085,-27.132101087151117,4.118411815493093e-162,2.0533028508110063e-159
PTP4A1,ENSG00000112245,740.2201029847424,-6.960122584162296,0.25820191036409323,-26.95612350175006,4.835305967319652e-160,2.3842309237318695e-157
PRSS3,ENSG00000010438,164.7783347191867,-5.471934786190345,0.20310379093552638,-26.941568943572133,7.161443469906875e-160,3.492838368893385e-157
RNASEH2A,ENSG00000104889,35.6270802230827,-5.38822733510934,0.20047112160913116,-26.877823059298503,3.9903191752412213e-159,1.9252646420671918e-156
TSPYL1,ENSG00000189241,5714.066989556077,-3.4422472429003363,0.12818635700029982,-26.853460254684396,7.68521184929117e-159,3.668544052016426e-156
IDS,ENSG00000010404,18819.105325945293,-6.260358616177007,0.2331801228711642,-26.847737015886025,8.963698269212781e-159,4.2337905793457547e-156
RPL36A,ENSG00000241343,827.5026806589191,-4.455771575334539,0.16608687434247982,-26.82795731435408,1.5252790610262713e-158,7.129249661178106e-156
AGAP6,ENSG00000204149,188.77685328472933,-4.265557618397038,0.1595880317689282,-26.728555839157497,2.192609182965761e-157,1.0142738829779036e-154
R3HDM1,ENSG00000048991,3289.789571141132,-2.9245439972241662,0.10967819171457285,-26.66477219860641,1.2064716561243223e-156,5.524039763464741e-154
GMDS-DT,ENSG00000250903,1954.0369251784182,4.151026656532839,0.15602918862680307,26.604167419350183,6.074777321577304e-156,2.753346799964598e-153
TXNDC5,ENSG00000239264,355.0240230403286,-4.578749518915752,0.17215912726625854,-26.59603119289942,7.544922185221886e-156,3.3854820337309126e-153
AS3MT,ENSG00000214435,98.0139868711048,-7.5568543715200605,0.28458388480018126,-26.554048824043768,2.3060777612135433e-155,1.024515002212009e-152
VAMP2,ENSG00000220205,6541.161355491209,-5.531280673894125,0.20866423808247594,-26.50804337496418,7.829118816049546e-155,3.4441214744603843e-152
PLA2G4B,ENSG00000243708,287.0121614468799,-6.123909619554862,0.23115111686677325,-26.49309984984607,1.1639729714443453e-154,5.070740893366914e-152
NUDT3,ENSG00000272325,1776.7466446962808,-6.051713506820246,0.2296038756367397,-26.35719231671319,4.245072723432283e-153,1.8315447901262498e-150
FMC1,ENSG00000164898,101.66292900548197,-3.710940294108992,0.14093145922456546,-26.331525370753745,8.355413771363631e-153,3.5706263936653094e-150
DHPS,ENSG00000095059,558.9126704243773,-4.051039534129842,0.1538906099833759,-26.32415021662113,1.0148854798991705e-152,4.296125129109026e-150
SNHG28,ENSG00000188004,55.09339321517354,-6.624371695580358,0.25201123181217633,-26.286017682408275,2.7712563086781023e-152,1.1621405778195806e-149
HDHD2,ENSG00000167220,673.6856591199999,-3.0278462672109203,0.11567742743936682,-26.17491012927296,5.1312122161819226e-151,2.1318761421509172e-148
CPNE9,ENSG00000144550,326.66521683336975,-5.8293711223357025,0.2227241019332699,-26.17305927708818,5.3862888135806394e-151,2.2173226179282282e-148
MAPK9,ENSG00000050748,3448.6502407280873,-2.8088799225140413,0.10734025781731693,-26.168000521244245,6.149923706908908e-151,2.5086656968428147e-148
C2orf74,ENSG00000237651,311.0593228310395,-5.415317964875958,0.2072354437781979,-26.131234436286494,1.6107107614388276e-150,6.511189421308256e-148
NSF,ENSG00000073969,5215.10875336731,-3.8718658807626496,0.14864093085592903,-26.048450170938953,1.4008548767082035e-149,5.612299926140517e-147
TNC,ENSG00000041982,83141.91513547227,9.08251581616508,0.34903065120282967,26.022115206400663,2.7835566229018435e-149,1.1053183117365365e-146
ERVW-1,ENSG00000242950,661.8256960395619,5.656766070435375,0.2175117141046547,26.006719195425266,4.157183548566327e-149,1.63628932462912e-146
MUSTN1,ENSG00000272573,62.07568918702944,-6.321445465064933,0.24340242518862165,-25.971168776014487,1.0486823422859613e-148,4.0917761200620325e-146
ZNF805,ENSG00000204524,1527.674737784656,5.564462452005075,0.21434841024146203,25.959896067046852,1.4058881201017713e-148,5.438241882507464e-146
PARL,ENSG00000175193,463.8719117828678,-2.7342897832305573,0.10547233242623776,-25.924237383702376,3.550539826139909e-148,1.3616775430660157e-145
KRT222,ENSG00000213424,328.102433163431,-11.103256869970293,0.43040364950939125,-25.797311158087716,9.505005291347693e-147,3.614399088373409e-144
BABAM1,ENSG00000105393,1184.4903729639832,-3.063882034062716,0.11901656580414724,-25.743324161315638,3.8289253031325227e-146,1.443762246024029e-143
C6orf136,ENSG00000204564,575.5241606105557,-2.9964335761631644,0.11709444772405195,-25.58988606551733,1.9770564927983286e-144,7.392708490696151e-142
PABPC1L2B,ENSG00000184388,72.43671895337451,-8.752464175864493,0.342044468913196,-25.58867331980068,2.0394693616832107e-144,7.563060308106392e-142
SLC25A32,ENSG00000164933,247.4940310319891,-6.309323625408274,0.2477279262104317,-25.468762129178923,4.375261610199612e-143,1.609199702551367e-140
ANKRD34A,ENSG00000272031,409.97028995459505,-5.081633074356448,0.1997746773255849,-25.436822836532993,9.876532637736606e-143,3.603007284454303e-140
ILK,ENSG00000166333,574.1479254943896,-4.427582591975279,0.1741115671057067,-25.42957177157106,1.1880085323339524e-142,4.298962165673934e-140
TEN1,ENSG00000257949,44.108379143332186,-5.60813067669346,0.2206600772521296,-25.41524840619685,1.710823025482766e-142,6.141307198114976e-140
EIF4A1,ENSG00000161960,1641.0714711187272,-3.744753358363652,0.14747899755899088,-25.3917738820117,3.108782334569116e-142,1.107096604241673e-139
CELF6,ENSG00000140488,288.9226481650593,-8.33878217303271,0.32871160250860476,-25.368079828622488,5.6775236317106694e-142,2.0059540384133026e-139
TARDBP,ENSG00000120948,2673.2856411555344,-2.2116506747602362,0.08720009117752124,-25.362939933833047,6.4694637179155125e-142,2.2679008319264605e-139
SNORD17,ENSG00000212232,9173.582513841258,12.970152716313201,0.5127639725142727,25.294586615974037,3.663809412790385e-141,1.2744092415605997e-138
TUBB3,ENSG00000258947,1828.2909721612796,-5.522808467837043,0.2189420059268858,-25.224983412645575,2.1315026806297377e-140,7.357127444810535e-138
STXBP1,ENSG00000136854,8974.001520601116,-5.613217212772642,0.22265743291783363,-25.21010477491701,3.103771820030697e-140,1.0631247735618121e-137
CDKN2D,ENSG00000129355,791.3407800571928,-4.237085480116877,0.16810507500706431,-25.204982538087098,3.5322662582930605e-140,1.2007296914838478e-137
PPP3CB,ENSG00000107758,3261.8262135678237,-3.3895179539266254,0.134836516599756,-25.13798219801207,1.9126809015350527e-139,6.452925167878147e-137
PABPN1,ENSG00000100836,2306.9215913023177,-4.042221460297869,0.16101678843478343,-25.10434781112957,4.458335680737966e-139,1.492910300973084e-136
COQ8A,ENSG00000163050,405.9879760916215,-5.775313847783132,0.23027339058096222,-25.08024845255657,8.16977380517225e-139,2.7154512623102523e-136
AC007878.1,ENSG00000281195,598.9068748391987,6.054931440838396,0.24214605736082975,25.005286093986427,5.3553975186148604e-138,1.766926779836525e-135
NPIPB14P,ENSG00000226232,63.399073316500655,-8.962092137297574,0.358733605049503,-24.982583207003593,9.454065482435024e-138,3.0964479727178246e-135
LCMT1-AS2,ENSG00000260034,464.54541593515796,5.734829164017511,0.2299327453490365,24.941332976788825,2.6516803827197696e-137,8.621996409639043e-135
CAMKK2,ENSG00000110931,4648.648490700726,-3.7014983440527116,0.14848609389832235,-24.928249150303312,3.676492132454259e-137,1.186819269606871e-134
H2BC4,ENSG00000180596,1903.5507907040615,6.401140009584941,0.25740796687811707,24.867684117235914,1.664866428656184e-136,5.336015822873688e-134
HEIH,ENSG00000278970,297.361376337612,-2.7067236440028943,0.10894981845996936,-24.843764608909435,3.019951726635539e-136,9.610514462827182e-134
RABAC1,ENSG00000105404,898.4167761672902,-3.7078879807979344,0.1497516207905356,-24.760252752017458,2.4043361530339464e-135,7.597532924139873e-133
MT-ATP8,ENSG00000228253,13192.450116565162,-7.991547359327685,0.3231971577995339,-24.72653971878217,5.544502347205247e-135,1.7397717819681583e-132
GNG3,ENSG00000162188,547.5559010112709,-7.179476355637149,0.2904329374065716,-24.719910970658038,6.533600374831016e-135,2.03589710013224e-132
SRBD1,ENSG00000068784,1215.8419647980209,2.549570923300028,0.10323958177640094,24.69567272000343,1.1903227844077006e-134,3.6835154247695126e-132
