gene_name,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR
BCKDHA,ENSG00000248098,278.40621025666377,-6.493447995883977,0.15126521092760914,-42.92757043119148,0.0,0.0
SUPT4H1,ENSG00000213246,445.0903313465004,-10.245221438697207,0.23726485699830233,-43.18052647287126,0.0,0.0
BCAP29,ENSG00000075790,1268.1931709794594,-5.9691730475190585,0.1472237280519572,-40.544911655901416,0.0,0.0
ST6GALNAC6,ENSG00000160408,2066.36519879858,-7.476026701680443,0.16131446687730117,-46.34442803798155,0.0,0.0
ARL6IP4,ENSG00000182196,895.129855478403,-7.924095153927563,0.18699566892689037,-42.37582185406467,0.0,0.0
GABARAP,ENSG00000170296,1947.6696164123034,-7.945986534331549,0.16318082636700157,-48.694363861478685,0.0,0.0
RPS10,ENSG00000124614,1749.6946352586972,-6.192654749170863,0.1440218515195378,-42.99802206285882,0.0,0.0
CYP20A1,ENSG00000119004,1830.120010779922,3.9635612668158116,0.10510124261905306,37.71184020327925,0.0,0.0
RNASEK,ENSG00000219200,1049.700538677037,-6.350303877177022,0.15205249529917503,-41.76389124481192,0.0,0.0
ATP6V0C,ENSG00000185883,3318.9961021898303,-10.20168747709835,0.22487402947647253,-45.366232378406785,0.0,0.0
DYNLRB1,ENSG00000125971,1778.9797820484841,-4.70308800276078,0.12317158844171662,-38.18322116537636,0.0,0.0
FDX2,ENSG00000267673,290.0038788621315,-8.878928217101263,0.23580888065185734,-37.65306969167927,2.9143309896809e-310,1.1152416114761408e-306
KDM5A,ENSG00000073614,6678.765252369377,3.1193226296553416,0.0840994217444179,37.09089271903807,3.939537231266014e-301,1.3915960707458971e-297
NBEAL1,ENSG00000144426,2502.337821688426,6.0072073531172325,0.17075272894949256,35.18073995112618,3.940201984671454e-271,1.2924143952721274e-267
NME2,ENSG00000243678,1229.3193900186545,-6.677534262842576,0.1927991272482129,-34.63467059291095,7.600373843469977e-263,2.326778448439899e-259
PPP3R1,ENSG00000221823,4433.375756219798,-4.399515201883549,0.1287842196532975,-34.16191217936149,8.898691029358046e-256,2.553979942244693e-252
CHD4,ENSG00000111642,1819.7394756644214,-2.836933130024863,0.08307253693756653,-34.15007214907823,1.333854849620197e-255,3.6030557970240624e-252
JTB,ENSG00000143543,913.0889471349375,-3.9104783918019237,0.11471079781063995,-34.08988923830159,1.041527763255644e-254,2.65711091202569e-251
PIK3R2,ENSG00000105647,930.4983167671346,-8.120847780396284,0.24028128310137298,-33.797254932129505,2.1641080365295432e-250,5.230421323445956e-247
BSCL2,ENSG00000168000,3477.318119468834,-6.967839208513195,0.20762005537300857,-33.56053053735502,6.321048263652205e-247,1.4513442865758647e-243
C16orf46,ENSG00000166455,78.13756575311794,-5.618387801618843,0.16853613826605698,-33.33639811272679,1.1469646568644405e-243,2.508084000374856e-240
SGSM3,ENSG00000100359,932.9490941749682,-6.16562660089788,0.19265346689047405,-32.00371475486147,9.68084866516193e-225,2.0207011434222774e-221
RNF31,ENSG00000092098,340.3585107750227,-5.445300773144787,0.17036152445568029,-31.963207599503413,3.5409234206947042e-224,7.069684539205282e-221
ALDOA,ENSG00000149925,12812.379808949838,-7.547609143084353,0.23714771181226024,-31.826615932349682,2.773390874013976e-222,5.306536763566492e-219
FNDC9,ENSG00000172568,161.56251527862455,-7.929629163491787,0.24945739510150358,-31.787508886097523,9.632839713434001e-222,1.769398529922411e-218
TTC4,ENSG00000243725,368.4923267158253,-4.647972926565895,0.14762413593583532,-31.485182941806563,1.3858007165635236e-217,2.4475905655889832e-214
AARSD1,ENSG00000266967,449.90650491746544,-4.463106014306492,0.14353508089083752,-31.094182597080984,2.886660498582656e-212,4.909568027978301e-209
GNG10,ENSG00000242616,311.1101389425005,-7.4332161157725825,0.2396334120603479,-31.019113953527665,2.9781664634106764e-211,4.884299363081488e-208
AC245060.4,ENSG00000272779,137.29859913094455,-6.240244383134052,0.20139132670153578,-30.985665993363085,8.409408892450179e-211,1.331615399138637e-207
PFDN5,ENSG00000123349,1854.7117682231287,-5.7541656908392484,0.1867383351661888,-30.81405693007972,1.6986508950788846e-208,2.6001249250972487e-205
SDHAF2,ENSG00000167985,419.9711822941698,-2.5613975649150187,0.08393241481316771,-30.517381998559802,1.53249677413425e-204,2.270122076290932e-201
EEF1G,ENSG00000254772,2961.747886947311,-15.643624500730033,0.5180910085218384,-30.19474232020112,2.7766181851582986e-200,3.9845338650204444e-197
NDUFB8,ENSG00000166136,1572.1736345377512,-4.795413851939133,0.15913143165028473,-30.13492559080205,1.6904402287065855e-199,2.3523244164374276e-196
RPL17,ENSG00000265681,2187.2428358580414,-6.433924494408786,0.2141245922892689,-30.047573824294588,2.3486113344957642e-198,3.1720759144523524e-195
NDST2,ENSG00000166507,295.38126025212625,-5.425872181943758,0.18119091452066421,-29.945608455577148,5.019068386182461e-197,6.58516112462528e-194
CHKB,ENSG00000100288,373.27828769994585,-5.759114326389226,0.1957931766577594,-29.414274923665932,3.607298281594095e-190,4.601409566363401e-187
FKBP2,ENSG00000173486,362.3876943028413,-7.704574710829825,0.2629509143953602,-29.300429430131594,1.0241470642421861e-188,1.2710772253260927e-185
MICOS10,ENSG00000173436,1163.4089133529546,-3.5922950759726655,0.12323836099535082,-29.149163028127138,8.560586788158232e-187,1.0345018576289847e-183
AC005726.1,ENSG00000258472,165.78046133875637,-8.863502386565138,0.3046751544065083,-29.091648132027007,4.578682018235306e-186,5.391221973317526e-183
GTF2H4,ENSG00000213780,162.0974274492008,-6.110960601812109,0.21036847953297502,-29.048841420438286,1.591531469744427e-185,1.827117915553346e-182
MFSD14A,ENSG00000156875,491.7642695238814,-4.2432104683592256,0.14637618471417088,-28.98839368333689,9.215479789110573e-185,1.0321562131603576e-181
SCARNA5,ENSG00000252010,5407.241996944737,10.725817840983398,0.37024592125383154,28.969442268696973,1.5970265235436918e-184,1.7461203568488064e-181
C18orf32,ENSG00000177576,1528.7031682731508,-4.3722413570323635,0.1510666309837677,-28.94246948223904,3.4906766292721367e-184,3.7277991044838555e-181
MRPL38,ENSG00000204316,507.0513075498396,-4.065074467283854,0.14083764228706086,-28.86355097452043,3.425395364886105e-183,3.5749450125212465e-180
COX6A1,ENSG00000111775,2294.5939135460453,-3.279019188368153,0.1136406394204554,-28.854283160412486,4.477193298900455e-183,4.568826521751285e-180
UBE2V1,ENSG00000244687,1939.011723154368,-4.031431816179192,0.14050927648522976,-28.691570528462393,4.860718756944849e-181,4.8523710008187917e-178
CHTF8,ENSG00000168802,328.92314070319384,-5.976244175241447,0.20899973063213398,-28.594506591783095,7.863154359977107e-180,7.682636412010824e-177
MDP1,ENSG00000213920,108.9514676659365,-7.890827880082474,0.2766374706666457,-28.524074707114057,5.891717615250642e-179,5.6365325960400985e-176
TAX1BP3,ENSG00000213977,182.83844000296594,-6.700704231215051,0.2351057347362755,-28.500811512451676,1.1446133487440627e-178,1.0726895834219612e-175
BIRC6,ENSG00000115760,15971.292558895315,2.505004219688874,0.08824288469450652,28.38760573570439,2.8762883117896303e-177,2.641640711313832e-174
GPS2,ENSG00000132522,464.3596426991292,-5.488025820423093,0.19348783894524255,-28.363673140078927,5.677123764790998e-177,5.111749027509165e-174
SCARNA7,ENSG00000238741,4381.621092115997,10.390403068236884,0.3677739961565943,28.252141741453524,1.3396725500127034e-175,1.1830596763294875e-172
ACY1,ENSG00000243989,79.38041161117293,-4.651316864219359,0.16464369111117103,-28.25080531678974,1.3912858218697796e-175,1.2054572872845688e-172
SDHA,ENSG00000073578,1889.7172424621463,-3.618612760124379,0.12813864489471816,-28.239823849374403,1.8979819561566432e-175,1.6140227668272078e-172
STIMATE,ENSG00000213533,214.61283789211777,-3.504704878366732,0.12455314611722985,-28.138228439995338,3.3390182189600125e-174,2.7878373751429586e-171
RAB4B,ENSG00000167578,371.6030143253969,-4.859793063700021,0.17282293686736044,-28.12006989228435,5.568385943043524e-174,4.566175908758958e-171
SELENOH,ENSG00000211450,773.1672035885244,-3.5939833656227487,0.12789996363496986,-28.099956117892884,9.808186879974871e-174,7.901785082725019e-171
ABHD16A,ENSG00000204427,537.6989060386361,-4.808054577820006,0.17189304152416304,-27.971199620341448,3.6414831825139297e-172,2.883112917659003e-169
ZNF460,ENSG00000197714,4397.038839687255,6.849982331070656,0.245512551772041,27.900741862806594,2.6133358826423834e-171,2.0340168994376424e-168
BHLHB9,ENSG00000198908,524.3482759442082,-5.59555096141429,0.20221662406940377,-27.671072975156644,1.556866463595952e-168,1.191547747913162e-165
COQ8A,ENSG00000163050,487.82949827594894,-5.932429396951515,0.21443468932890636,-27.665437040609497,1.8199604431075787e-168,1.3700721886548054e-165
UQCR11,ENSG00000127540,937.7395338870987,-3.2351352736736314,0.11697577270723034,-27.656455681387996,2.3339719441934757e-168,1.7286826717630417e-165
C2orf74,ENSG00000237651,375.36631102232445,-5.366131853049939,0.19486396423743396,-27.537835813047106,6.189431703869298e-167,4.5115062424346354e-164
PTP4A1,ENSG00000112245,903.4101604499203,-7.189168153254316,0.2621663377156779,-27.42216340928958,1.4926438738706376e-165,1.0709953020627117e-162
CELF6,ENSG00000140488,356.5352352092011,-8.340219721532135,0.3060496243741794,-27.251200646256297,1.6082889140633864e-163,1.1362190034262271e-160
