Name,Description,GTEX-NPJ7,GTEX-P44H,GTEX-Q2AG,GTEX-QVJO,GTEX-UTHO,GTEX-WVLH,GTEX-Y8DK
ENSG00000223972,DDX11L1,1,0,0,0,0,0,0
ENSG00000227232,WASH7P,49,63,45,36,257,136,91
ENSG00000278267,MIR6859-1,0,0,0,0,0,0,0
ENSG00000243485,MIR1302-2HG,1,1,0,1,1,1,3
ENSG00000237613,FAM138A,0,1,1,1,0,0,0
ENSG00000268020,OR4G4P,1,4,4,0,2,0,0
ENSG00000240361,OR4G11P,3,3,7,0,1,2,1
ENSG00000186092,OR4F5,5,7,10,2,4,2,1
ENSG00000238009,RP11-34P13.7,1,1,4,3,23,3,2
ENSG00000233750,CICP27,3,0,4,9,2,5,3
ENSG00000268903,RP11-34P13.15,42,34,20,20,96,44,63
ENSG00000269981,RP11-34P13.16,40,16,32,22,56,24,27
ENSG00000239906,RP11-34P13.14,0,0,0,0,0,1,0
ENSG00000241860,RP11-34P13.13,11,11,3,6,0,75,33
ENSG00000222623,RNU6-1100P,0,0,0,0,0,0,0
ENSG00000241599,RP11-34P13.9,0,0,1,0,0,0,0
ENSG00000279928,ABC7-43046700E7.1,3,0,1,0,0,2,2
ENSG00000279457,RP11-34P13.18,85,110,188,81,280,378,85
ENSG00000273874,MIR6859-2,0,0,0,0,0,0,0
ENSG00000228463,AP006222.2,108,14,134,125,49,128,57
ENSG00000236679,RPL23AP24,6,0,2,0,0,2,0
ENSG00000236743,RP5-857K21.15,0,0,0,0,0,0,0
ENSG00000236601,RP4-669L17.2,0,0,2,2,1,1,0
ENSG00000237094,RP4-669L17.10,7,14,38,30,20,6,28
ENSG00000269732,WBP1LP7,1,6,8,2,4,3,0
ENSG00000278566,OR4F29,1,1,6,2,1,1,0
ENSG00000233653,CICP7,0,2,3,1,2,0,1
ENSG00000250575,RP4-669L17.8,1,1,0,1,0,0,0
ENSG00000278757,U6,0,0,0,0,0,0,0
ENSG00000230021,RP5-857K21.4,12,2,27,4,6,16,9
ENSG00000235146,RP5-857K21.2,0,0,0,0,0,0,0
ENSG00000225972,MTND1P23,183,201,577,115,425,98,76
ENSG00000225630,MTND2P28,19308,33347,25563,9153,35528,18364,27184
ENSG00000237973,MTCO1P12,3528,2967,5369,1686,2392,2831,2405
ENSG00000229344,MTCO2P12,357,460,1019,207,633,287,318
ENSG00000240409,MTATP8P1,29,111,153,44,70,37,79
ENSG00000248527,MTATP6P1,66653,56900,88521,31202,60807,65983,67717
ENSG00000198744,MTCO3P12,290,612,1585,247,549,726,223
ENSG00000268663,WBP1LP6,2,0,3,0,0,1,0
ENSG00000273547,OR4F16,0,1,3,1,3,1,1
ENSG00000283574,RP11-206L10.17,0,0,0,0,0,0,0
ENSG00000229376,CICP3,6,8,34,7,11,16,6
ENSG00000228327,RP11-206L10.2,94,200,156,67,97,323,157
ENSG00000223181,RNU6-1199P,0,0,0,0,0,0,0
ENSG00000229905,RP11-206L10.4,0,1,2,0,0,1,1
ENSG00000237491,RP11-206L10.9,135,46,117,88,220,184,46
ENSG00000230092,RP11-206L10.8,4,15,13,2,2,14,6
ENSG00000177757,FAM87B,6,20,15,9,5,7,6
ENSG00000228794,LINC01128,2081,1625,3777,1608,1686,4531,2055
ENSG00000225880,LINC00115,45,35,89,29,89,58,36
ENSG00000230368,FAM41C,10,24,26,8,4,11,2
ENSG00000234711,TUBB8P11,2,2,16,3,4,8,2
ENSG00000283040,FAM166AP3,1,2,5,1,0,0,0
ENSG00000272438,RP11-54O7.16,1,0,10,0,3,2,1
ENSG00000230699,RP11-54O7.1,21,9,38,16,6,24,17
ENSG00000241180,RP11-54O7.2,0,0,0,0,0,0,0
ENSG00000223764,RP11-54O7.3,35,18,23,10,43,18,9
ENSG00000187634,SAMD11,54,18,61,29,55,53,35
ENSG00000188976,NOC2L,2809,1693,5029,1958,3329,5375,2891
ENSG00000187961,KLHL17,323,176,1135,359,813,796,622
ENSG00000187583,PLEKHN1,4,8,25,2,8,6,2
ENSG00000187642,PERM1,9,16,26,10,18,16,25
ENSG00000272512,RP11-54O7.17,103,62,262,50,417,201,103
ENSG00000188290,HES4,96,198,391,91,366,529,314
ENSG00000187608,ISG15,273,416,678,256,937,709,761
ENSG00000231702,RP11-54O7.10,0,0,0,0,0,1,0
ENSG00000224969,RP11-54O7.11,3,8,11,4,6,7,4
ENSG00000188157,AGRN,2929,2931,12761,3675,6015,13458,8043
ENSG00000217801,RP11-465B22.3,213,162,223,135,327,342,140
ENSG00000273443,RP11-54O7.18,5,4,19,19,16,30,15
ENSG00000237330,RNF223,5,3,13,8,4,1,9
ENSG00000131591,C1orf159,493,526,1211,395,1220,1331,959
ENSG00000223823,LINC01342,3,14,16,4,1,6,1
ENSG00000207730,MIR200B,0,0,2,0,0,0,0
ENSG00000207607,MIR200A,0,0,0,0,0,0,0
ENSG00000198976,MIR429,0,0,0,0,0,0,0
ENSG00000272141,RP11-465B22.8,1,3,7,0,3,1,0
ENSG00000205231,TTLL10-AS1,4,5,24,4,5,6,1
ENSG00000162571,TTLL10,10,8,16,3,7,11,3
ENSG00000186891,TNFRSF18,57,52,83,47,84,158,116
ENSG00000186827,TNFRSF4,42,35,70,20,40,29,46
ENSG00000078808,SDF4,3134,1651,5339,1817,3092,5367,2988
ENSG00000176022,B3GALT6,850,871,1667,624,1517,2037,1230
ENSG00000184163,C1QTNF12,23,26,21,10,14,36,19
ENSG00000260179,RP5-902P8.12,23,13,36,15,36,21,9
ENSG00000160087,UBE2J2,1529,1187,2280,982,1709,2658,1481
ENSG00000230415,LINC01786,60,21,173,67,26,204,85
ENSG00000162572,SCNN1D,868,699,2089,816,2188,2278,1345
ENSG00000131584,ACAP3,6974,5065,15697,5459,11691,16815,10254
ENSG00000278073,MIR6726,0,0,0,0,0,0,0
ENSG00000169972,PUSL1,174,162,426,122,321,507,310
ENSG00000127054,INTS11,3678,2246,5363,2354,6057,6029,3530
ENSG00000283712,MIR6727,0,0,0,0,0,0,0
ENSG00000240731,RP5-890O3.9,106,37,174,71,114,216,68
ENSG00000224051,CPTP,1168,774,2036,643,1844,2578,1648
ENSG00000169962,TAS1R3,45,41,72,20,31,50,51
ENSG00000107404,DVL1,4665,4037,10803,3933,6561,9284,6736
ENSG00000284372,MIR6808,0,0,0,0,0,0,0
ENSG00000162576,MXRA8,731,541,1316,360,576,1329,873
ENSG00000175756,AURKAIP1,2340,2177,3941,1484,4980,4472,3446
ENSG00000223663,NDUFB4P8,3,1,7,3,1,4,0
ENSG00000221978,CCNL2,7476,5013,7218,4447,8302,10303,5173
ENSG00000224870,RP4-758J18.2,488,449,1064,388,972,994,735
ENSG00000242485,MRPL20,2261,2035,2435,1132,3689,3484,1913
ENSG00000272455,RP4-758J18.13,220,152,202,123,298,271,98
ENSG00000235098,ANKRD65,859,1049,1191,614,2522,1580,1102
ENSG00000225905,RP4-758J18.7,18,7,21,8,10,21,10
ENSG00000205116,TMEM88B,14,35,54,29,60,165,54
ENSG00000225285,LINC01770,10,11,7,6,11,17,11
ENSG00000179403,VWA1,1416,918,1584,1037,2481,1958,1030
ENSG00000215915,ATAD3C,240,101,224,194,247,296,139
ENSG00000160072,ATAD3B,515,566,1064,458,1447,1536,800
ENSG00000197785,ATAD3A,642,481,1251,489,916,1441,866
ENSG00000205090,TMEM240,507,321,1204,383,1006,1280,1046
ENSG00000160075,SSU72,5890,4164,6748,3458,8482,9280,4861
ENSG00000215014,RP5-832C2.5,65,131,97,65,91,162,69
ENSG00000274481,RP11-345P4.11,0,4,4,1,1,1,1
ENSG00000228594,FNDC10,1014,924,2061,568,2122,1961,1634
ENSG00000272106,RP11-345P4.9,1717,1536,1909,775,1670,2181,1156
ENSG00000197530,MIB2,2103,2722,5219,1915,4554,5854,4075
ENSG00000189409,MMP23B,4,3,8,2,3,4,3
ENSG00000248333,CDK11B,1642,1109,2497,1214,2131,2777,1421
ENSG00000272004,RP11-345P4.10,2,0,0,0,0,0,0
ENSG00000189339,SLC35E2B,4352,1904,8112,2603,2381,6099,1608
ENSG00000269737,RP11-345P4.6,30,16,65,24,14,64,21
ENSG00000215914,MMP23A,1,1,4,0,0,11,15
ENSG00000008128,CDK11A,540,559,1290,557,926,973,544
ENSG00000227775,RP1-283E3.4,376,176,495,494,3,1260,554
ENSG00000215790,SLC35E2,336,111,552,280,70,661,252
ENSG00000008130,NADK,1714,871,2279,986,1188,2539,1421
ENSG00000078369,GNB1,36727,32926,69861,26357,28261,70673,34756
ENSG00000231050,RP1-140A9.1,6,19,76,18,97,45,52
ENSG00000169885,CALML6,28,33,43,20,46,54,49
ENSG00000178821,TMEM52,44,57,40,26,124,102,42
ENSG00000142609,CFAP74,362,203,478,334,208,492,426
ENSG00000233542,RP11-547D24.1,108,139,135,56,160,198,332
ENSG00000187730,GABRD,4855,3064,12810,3551,6505,11742,9453
ENSG00000226969,RP11-547D24.3,0,0,0,0,0,0,0
ENSG00000067606,PRKCZ,5099,3082,10627,4286,5694,12739,6361
ENSG00000271806,RP5-892K4.1,12,4,22,3,16,19,6
ENSG00000182873,PRKCZ-AS1,206,100,318,143,311,399,109
ENSG00000162585,FAAP20,611,642,975,352,1309,1228,839
ENSG00000234396,RP11-181G12.4,0,0,0,2,0,2,0
ENSG00000157933,SKI,4722,3110,7579,2921,2717,7154,4189
ENSG00000116151,MORN1,379,205,497,159,565,766,385
ENSG00000272161,RP4-713A8.1,11,4,12,9,34,19,4
ENSG00000269896,RP4-740C4.5,253,58,415,118,230,434,302
ENSG00000272420,RP4-740C4.7,221,139,79,86,131,147,98
ENSG00000157916,RER1,2581,1840,3234,1476,2392,3951,1915
ENSG00000157911,PEX10,780,694,1105,435,494,1328,894
ENSG00000149527,PLCH2,2278,1413,8479,1396,3609,6232,4952
ENSG00000224387,RP3-395M20.2,6,3,39,13,46,33,20
ENSG00000229393,RP3-395M20.3,6,3,61,11,2,37,19
ENSG00000157881,PANK4,1488,537,2742,872,1175,2679,1529
ENSG00000197921,HES5,24,85,168,34,48,274,109
ENSG00000272449,RP3-395M20.12,48,57,153,40,183,189,147
ENSG00000238164,RP3-395M20.8,64,29,110,54,4,95,73
ENSG00000157873,TNFRSF14,797,559,1326,373,997,1074,1044
ENSG00000225931,RP3-395M20.7,3,0,7,2,0,3,4
ENSG00000228037,RP3-395M20.9,23,4,4,12,0,7,7
ENSG00000157870,FAM213B,3020,2626,4814,1817,2938,4179,3164
ENSG00000142606,MMEL1,51,24,10,20,8,7,5
ENSG00000237058,RP13-436F16.1,0,0,0,1,0,0,0
ENSG00000215912,TTC34,131,312,159,60,60,283,113
ENSG00000283259,ABC14-1188822O7.1,7,4,7,0,0,3,1
ENSG00000233234,RP11-740P5.2,0,0,0,0,0,0,0
ENSG00000231630,RP11-740P5.3,0,0,0,0,0,0,0
ENSG00000169717,ACTRT2,0,0,0,0,0,0,0
ENSG00000177133,LINC00982,917,1760,2087,814,591,1089,1121
ENSG00000142611,PRDM16,1002,906,885,472,336,770,488
ENSG00000283572,MIR4251,0,0,0,0,0,0,0
ENSG00000226286,RP1-163G9.2,0,0,0,0,0,0,0
ENSG00000279839,RP11-193J6.1,2,0,4,8,0,0,0
ENSG00000272235,RP11-22L13.1,36,2,5,8,1,11,5
ENSG00000130762,ARHGEF16,42,50,98,53,104,148,118
ENSG00000272088,RP11-168F9.2,2,0,0,0,0,0,2
ENSG00000162591,MEGF6,249,226,403,201,413,693,407
ENSG00000207776,MIR551A,0,0,0,0,0,0,0
ENSG00000238260,RP11-46F15.2,52,45,76,30,148,83,36
ENSG00000158109,TPRG1L,9651,5773,14173,6464,9936,17396,9537
ENSG00000116213,WRAP73,647,423,987,400,936,1278,639
ENSG00000078900,TP73,28,6,55,21,57,54,21
ENSG00000227589,RP5-1092A11.5,0,0,0,0,0,0,0
ENSG00000235131,RP5-1092A11.2,0,0,0,0,0,0,0
ENSG00000227372,TP73-AS1,1347,852,1793,1067,1460,2273,1090
ENSG00000162592,CCDC27,1,0,2,0,1,5,1
ENSG00000235169,SMIM1,12,6,14,14,36,15,11
ENSG00000130764,LRRC47,3441,2099,5182,2324,4744,6048,2924
ENSG00000266075,RN7SL574P,1,0,2,1,3,2,0
ENSG00000272153,RP1-286D6.5,23,15,31,26,1,44,13
ENSG00000116198,CEP104,1593,934,2282,1308,1129,2634,1211
ENSG00000169598,DFFB,430,218,991,477,749,1175,396
ENSG00000198912,C1orf174,758,546,959,466,993,1465,723
ENSG00000236423,LINC01134,6,0,13,12,18,21,7
ENSG00000233304,LINC01346,52,14,82,13,9,35,41
ENSG00000226374,LINC01345,8,1,21,0,6,10,23
ENSG00000229280,EEF1DP6,1,0,0,0,0,0,0
ENSG00000235054,LINC01777,5,0,0,0,0,4,2
ENSG00000227169,RP1-37J18.1,0,0,0,0,0,0,0
ENSG00000232596,LINC01646,0,0,0,0,0,0,2
ENSG00000196581,AJAP1,3686,2009,7155,2638,2522,6838,3069
ENSG00000231510,RP11-542C10.1,0,0,0,0,0,0,0
ENSG00000260972,RP1-58B11.1,0,2,0,0,0,4,0
ENSG00000283356,RP3-491M17.1,0,0,0,0,0,0,0
ENSG00000236948,RP11-154H17.1,17,15,47,11,26,31,35
ENSG00000264341,MIR4417,0,0,0,0,0,0,0
ENSG00000264101,MIR4689,0,0,0,0,0,0,0
ENSG00000131697,NPHP4,1050,553,1585,739,847,2007,986
ENSG00000069424,KCNAB2,23643,14858,52317,18298,19926,46765,29983
ENSG00000116254,CHD5,15450,9528,37963,13703,12708,40913,18811
ENSG00000116251,RPL22,8030,7907,7092,5325,11507,9912,5306
ENSG00000226944,RP1-120G22.11,30,10,27,13,51,48,16
ENSG00000158286,RNF207,764,356,1116,585,741,1715,779
ENSG00000116237,ICMT,2935,1727,4528,2253,2378,5389,2682
ENSG00000225077,LINC00337,0,0,0,0,0,7,2
ENSG00000173673,HES3,0,0,2,0,0,1,0
ENSG00000158292,GPR153,851,685,1775,657,395,1462,1219
ENSG00000097021,ACOT7,6643,3390,12895,4333,8851,14458,8684
ENSG00000069812,HES2,0,7,8,0,1,2,4
ENSG00000187017,ESPN,10,20,49,13,30,30,22
ENSG00000265392,MIR4252,0,0,0,0,0,0,0
ENSG00000231868,RP1-202O8.2,1,0,0,0,0,0,0
ENSG00000215788,TNFRSF25,1231,518,1944,880,3001,1645,1248
ENSG00000171680,PLEKHG5,3997,2198,8549,3649,2419,8137,4740
ENSG00000162408,NOL9,1219,571,1819,679,936,1812,794
ENSG00000253022,RNU6-731P,0,0,0,0,0,0,0
ENSG00000229519,RP11-58A11.2,3,1,10,4,0,6,4
ENSG00000173662,TAS1R1,10,14,3,8,0,4,3
ENSG00000204859,ZBTB48,696,369,937,374,1194,1035,582
ENSG00000162413,KLHL21,4348,2134,5212,2388,3445,5049,2536
ENSG00000116273,PHF13,1038,798,1338,568,939,1514,941
ENSG00000041988,THAP3,603,450,855,371,1421,987,711
ENSG00000007923,DNAJC11,1694,997,3074,1281,572,3149,1325
ENSG00000228750,LINC01672,4,0,0,1,0,0,2
ENSG00000237436,RP11-312B8.1,5,9,1,2,8,6,3
ENSG00000171735,CAMTA1,8435,4949,16550,7342,9264,16669,8049
ENSG00000227950,RP11-312B8.2,1,0,0,0,0,0,0
ENSG00000237365,RP11-334N17.1,0,0,0,0,0,0,0
ENSG00000207056,RNU1-8P,0,0,0,0,0,0,0
ENSG00000237402,CAMTA1-IT1,1,0,1,0,0,0,0
ENSG00000237728,RP3-453P22.2,0,0,0,0,0,2,0
ENSG00000225126,RP4-549F15.1,1,0,0,0,0,0,0
ENSG00000270171,RP11-338N10.1,24,47,68,20,151,56,70
ENSG00000270035,RP11-338N10.2,9,14,31,0,30,28,10
ENSG00000269978,RP11-338N10.3,9,13,6,1,0,8,9
ENSG00000049245,VAMP3,2793,3720,2525,2039,6201,3467,1550
ENSG00000269925,RP3-467L1.6,53,17,43,27,38,59,12
ENSG00000049246,PER3,2268,2036,3499,1530,1143,4202,1449
ENSG00000236266,RP3-467L1.4,9,7,10,3,6,14,4
ENSG00000049247,UTS2,0,0,0,0,0,0,0
ENSG00000049249,TNFRSF9,0,0,2,0,0,0,4
ENSG00000270330,RP5-892F13.2,0,1,0,0,0,0,0
ENSG00000116288,PARK7,10088,7692,11020,5554,15067,15427,8748
ENSG00000200344,Y_RNA,1,0,3,0,0,0,0
ENSG00000116285,ERRFI1,3003,2191,2633,1282,1897,3348,1624
ENSG00000238290,RP11-431K24.1,10,10,9,7,0,27,10
ENSG00000232848,CTA-215D11.4,2,0,2,1,0,0,3
ENSG00000229305,RP11-431K24.2,2,0,1,0,0,0,0
ENSG00000227634,LINC01714,0,0,0,0,0,0,0
ENSG00000200975,RNU1-7P,0,0,0,0,0,0,0
ENSG00000233645,RP11-431K24.4,0,0,0,0,0,0,0
ENSG00000251977,RNU6-991P,0,0,0,0,0,0,0
ENSG00000162426,SLC45A1,1089,616,2523,772,871,2439,1376
ENSG00000252254,Y_RNA,0,0,3,0,0,4,1
ENSG00000142599,RERE,12330,6856,14997,7288,9139,13316,7548
ENSG00000232912,RP5-1115A15.1,13,12,4,5,22,6,2
ENSG00000221083,SNORA77,0,0,0,0,6,0,0
ENSG00000270282,RP5-1115A15.2,3,0,2,1,23,1,0
ENSG00000234619,RPL7P11,0,2,1,0,1,1,0
ENSG00000224315,RPL7P7,8,3,2,2,1,0,0
ENSG00000222511,Y_RNA,0,0,0,0,0,0,0
ENSG00000226545,RP4-633I8.3,0,0,0,2,0,0,0
ENSG00000228423,RP4-633I8.4,1,0,0,0,0,0,0
ENSG00000229716,RPL23AP19,0,0,0,0,0,0,0
ENSG00000074800,ENO1,42135,25561,42009,19109,33168,52156,25437
ENSG00000274258,MIR6728,1,0,0,0,0,0,0
ENSG00000236269,ENO1-IT1,2,0,3,2,2,1,1
ENSG00000230679,ENO1-AS1,0,21,1,0,0,6,0
ENSG00000201725,RNU6-304P,0,0,0,0,0,0,0
ENSG00000238249,HMGN2P17,0,1,0,0,4,0,0
ENSG00000232208,RP3-477M7.5,3,0,0,0,0,1,0
ENSG00000232663,RP3-477M7.6,0,0,0,0,1,0,0
ENSG00000131686,CA6,1,0,1,0,12,2,0
ENSG00000265141,RN7SL451P,0,0,0,0,0,0,0
ENSG00000197241,SLC2A7,0,1,2,0,0,0,0
ENSG00000142583,SLC2A5,966,840,443,743,597,387,310
ENSG00000252404,SCARNA16,0,0,0,0,0,0,0
ENSG00000180758,GPR157,50,24,78,73,46,78,62
ENSG00000228526,MIR34AHG,215,101,232,215,268,316,282
ENSG00000234546,LINC01759,4,3,5,2,0,11,1
ENSG00000281937,RP3-510D11.4,12,0,25,7,0,29,19
ENSG00000049239,H6PD,2104,1023,1817,1132,1046,2049,885
ENSG00000171621,SPSB1,278,173,466,264,485,743,295
ENSG00000252956,RNA5SP40,0,0,0,0,0,0,0
ENSG00000235263,RP13-392I16.1,0,2,0,0,1,0,0
ENSG00000171612,SLC25A33,1194,1243,1432,674,1165,1474,1002
ENSG00000231181,RP13-15M17.1,2,4,15,4,3,11,0
ENSG00000188807,TMEM201,891,797,1900,709,995,1958,908
ENSG00000171608,PIK3CD,861,810,1648,1273,1288,2344,773
ENSG00000179840,PIK3CD-AS1,1,0,3,0,1,0,2
ENSG00000233268,RP11-558F24.2,1,0,0,0,0,0,0
ENSG00000231789,PIK3CD-AS2,15,4,1,3,0,9,5
ENSG00000171603,CLSTN1,45727,17351,96940,30288,33194,93536,42052
ENSG00000271264,MZT1P1,1,0,0,0,0,0,0
ENSG00000280113,RP11-84A14.7,9,3,5,3,0,9,6
ENSG00000178585,CTNNBIP1,1709,2950,2972,1390,1899,3961,1907
ENSG00000162441,LZIC,798,697,1179,722,755,1412,640
ENSG00000228150,RP11-84A14.4,2,3,0,1,0,2,0
ENSG00000173614,NMNAT1,392,242,563,289,404,580,281
ENSG00000202415,RN7SKP269,1,4,0,0,0,1,1
ENSG00000283611,RP11-84A14.6,0,2,1,0,0,2,0
ENSG00000265521,MIR5697,0,0,0,0,0,0,0
ENSG00000162444,RBP7,35,259,73,89,774,275,62
ENSG00000130939,UBE4B,4804,1896,6094,3326,4260,7645,2949
ENSG00000224340,RP11-496H15.2,0,0,0,0,0,0,0
ENSG00000233623,PGAM1P11,0,0,2,0,0,0,0
ENSG00000201746,RNU6-828P,0,0,1,0,0,1,0
ENSG00000054523,KIF1B,26030,19987,41079,24043,22273,51639,21140
ENSG00000264881,MIR1273D,1,0,0,0,0,0,0
ENSG00000199562,RNU6-37P,1,0,1,2,2,0,0
ENSG00000142657,PGD,4424,2121,4156,2402,2771,5331,2811
ENSG00000271989,RP4-736L20.3,4,1,1,0,10,0,0
ENSG00000175279,CENPS,514,310,569,289,613,844,476
ENSG00000241563,CORT,262,162,726,123,498,1074,397
ENSG00000160049,DFFA,2436,918,3185,1641,1757,2861,1610
ENSG00000142655,PEX14,1506,850,2646,890,1737,2669,1615
ENSG00000243267,RN7SL614P,1,0,4,7,0,3,0
ENSG00000130940,CASZ1,113,80,109,30,79,93,29
ENSG00000272078,RP4-734G22.3,43,66,121,37,118,97,35
ENSG00000225158,HSPE1P24,0,0,0,0,0,0,0
ENSG00000175262,C1orf127,0,5,19,8,0,9,6
ENSG00000215785,CFL1P6,2,2,0,0,0,1,0
ENSG00000120948,TARDBP,8869,5245,10014,5733,9907,12086,5968
