Gene Symbol,log2FC,pval,p_adj,neg_log10_p
A1BG,0.36920623223757154,0.0566469649205164,0.15373025916606683,0.8132406406626725
A1BG-AS1,0.3844562134725189,0.064239001080547,0.16748081472016232,0.7760349351249068
A1CF,-0.2772699002372434,0.00022561226008051657,0.0030342924934391646,2.517942557312004
A2M,-0.21600500984030901,0.02974399322765444,0.0981630159381124,1.008052106911465
A2MP1,-0.1482876323825284,0.2819454316902026,0.4608536077300893,0.3364370083452026
A4GALT,0.16831524584259405,0.13448393928471308,0.27890913771462145,0.5545372569995343
A4GNT,-0.13322398329985852,0.42784897752338374,0.6025204875957693,0.22002818112070519
AA06,-0.22229227742193114,0.29531037623206907,0.4743950735667962,0.3238598296224299
AAAS,0.5073006134810489,0.04431553254748124,0.12901376834895056,0.8893639393217144
AACS,0.1466496774223618,0.22178496015306184,0.3920134330974418,0.4066990507853146
AADAC,-0.2590263587282795,0.1467416280367655,0.2966596287469346,0.5277415511060749
AADACL2,0.4952431399104791,0.17663382336806052,0.33781298055210285,0.4713236665653654
AADAT,-0.11926635272032371,0.43965777823331387,0.6140326750582034,0.2118085177515057
AAED1,0.5525326475786709,0.005554931370760819,0.02957109310346944,1.529132621363954
AAGAB,0.04131199455008172,0.5991268201359152,0.7454944477319483,0.12755558672253106
AAK1,-0.11170048779042396,0.32448836325753677,0.5048123678299568,0.2968700134816222
AAMDC,0.08563104436899849,0.42292117392790995,0.5977555462341634,0.22347638562169328
AAMP,-0.48142905016429616,2.9376470055732087e-09,1.5331056262575e-06,5.814427922562135
AANAT,-0.12321141721230244,0.47309275066833434,0.6436075604293325,0.19137886290511716
AAR2,-0.12685421331173607,0.02567437300577857,0.08841991025153942,1.0534499302498799
AARS,-0.4258478001749584,2.2699729041804666e-05,0.0006375689067282603,3.1954728709808453
AARS2,0.18849044032318218,0.03676600781482987,0.11373849264424991,0.9440925316722317
AARSD1,0.017706086785437947,0.8353636197436377,0.9076702798990531,0.04207188454705306
AASDH,0.029314201894427683,0.8113068253255311,0.8922321561640869,0.04952212878218015
AASDHPPT,-0.18418051192789875,0.07858847785624748,0.19297232466427983,0.7145049713415706
AASS,0.1669016490622548,0.16267045568900818,0.31939048848419693,0.49567802138581146
AATF,-0.1734648944286441,0.04374067027176313,0.12814839788710022,0.892286819000932
AATK,-0.7395180248368742,1.9245706532382756e-05,0.000567859226424815,3.245759313521899
AB074162,-1.010117730237159,0.04379531396706174,0.12814839788710022,0.892286819000932
AB488780,-0.3251918536767562,0.0014120866547391619,0.01140595439271173,1.9428683692959974
ABAT,-0.5222021084510899,0.00475781480666804,0.02641989494886869,1.5780689135654489
ABCA1,0.28458907458314364,0.12245041192932023,0.26187536614517604,0.5819053524735212
ABCA11P,-0.07889730309051934,0.4643051293638623,0.6357358160754151,0.19672332060391917
ABCA12,0.0009231324790608397,0.9975561856674652,0.9989648648274243,0.0004497863284811246
ABCA17P,0.18807907023470616,0.2287129726055951,0.40033702102878566,0.3975742468044927
ABCA2,-0.41505339559469157,0.0015389105056640906,0.012067552363016019,1.9183808080328193
ABCA3,-0.44704145441649423,7.906751240002961e-05,0.0014526031995705973,2.8378530035765754
ABCA4,0.04475415303901986,0.7553019404755926,0.8575744393752528,0.06672817191869596
ABCA5,0.8344003706040803,7.806976300034704e-05,0.0014485410808282762,2.8390691836331285
ABCA6,-0.023783048633258197,0.9280982512365439,0.9619869410333992,0.01683082346699865
ABCA7,0.050133802341500555,0.5707312836277432,0.7246030788022334,0.13989982500203374
ABCA8,0.09174013445827356,0.7413979393587576,0.8482434097609561,0.07147950582439419
ABCA9,0.11122693967994568,0.544517112022852,0.7054566612892667,0.1515296613441569
ABCB1,-0.3698750678359799,0.007948124106620548,0.03847557122099852,1.4148149237697503
ABCB10,0.17837929110894457,0.13060605549583254,0.27362752622576997,0.5628402158457665
ABCB11,-0.25513835736083745,0.18494364897848498,0.34773914040024245,0.4587464237741391
ABCB4,-0.38713301154318014,0.017482857844702028,0.06742935570900474,1.1711509900098613
ABCB5,0.39187688510149954,0.13221513441209964,0.27556144998860516,0.5597815386811278
ABCB6,0.08810277195047611,0.36752695409670183,0.5465666982899401,0.2623568329241992
ABCB7,0.23980719932231764,0.036613013434721245,0.11340369709201441,0.94537278670865
ABCB8,0.5072845758841122,0.003298130068140259,0.020379253577665693,1.6908117267593006
ABCB9,0.5709007589339645,0.018216666475682538,0.06950655111893696,1.1579742604354721
ABCC1,0.4296954868337437,0.005071472913325324,0.027692141145087494,1.557643463483524
ABCC10,0.14442513007655577,0.0740829783602377,0.18479390329058754,0.7333123610971491
ABCC11,0.06618346299743738,0.8009681972772095,0.8860801725139927,0.05252698138022669
ABCC13,-0.3173004685754206,0.14149901044485574,0.28910882268435495,0.5389386548368982
ABCC2,-0.1854260847601994,0.3976357088556996,0.5740600963950528,0.2410426404128793
ABCC3,1.0211957068922555,0.007085094974468143,0.03535075509876418,1.4516013051563557
ABCC4,-0.28554447762585866,0.008845511517418745,0.041617887338308304,1.3807199697899983
ABCC5,0.04720930651982691,0.6438623294301863,0.7794587639720411,0.10820685552722713
ABCC6,0.033370753879647275,0.7933157339568114,0.8802674715140729,0.055385346312477546
ABCC6P1,0.07628694960343463,0.5381528308016428,0.7007409782895432,0.15444248486883977
ABCC6P2,0.02708108019532851,0.8326146071901188,0.9061632239585743,0.042793567356515363
ABCC8,-1.2979359307467995,0.0013941621950506339,0.011315940957921463,1.9463093271849834
ABCC9,-0.11756928107754128,0.14428460510383867,0.29301408845736854,0.5331114977612554
ABCD1,0.046298498790926956,0.6892049243325654,0.8124076270709965,0.09022600799089157
ABCD1P2,-0.1782142900413648,0.04454846626996317,0.12951479542366734,0.8876806161091991
ABCD2,-0.1266646539873335,0.5483131555428842,0.7083487306740294,0.14975287999344156
ABCD3,0.26851850318736226,0.0029783580366539394,0.018933783995330657,1.722762581806741
ABCD4,-0.06809494849900588,0.45939701537601374,0.6320234221231233,0.1992668269227717
ABCE1,0.20272670104089485,0.049336871681466325,0.1391234434567441,0.856599681610899
ABCF1,-0.011441072117330364,0.9344950579483223,0.9658898817224867,0.01507238340469359
ABCF2,0.10778922776870736,0.180608529316084,0.3424784908051323,0.46536669896855926
ABCF3,-0.22839932107391725,0.0003295659702215269,0.004003074277090116,2.397606351480932
ABCG1,-0.5858157085325093,0.0016688731577435968,0.012757741302822685,1.894226208573369
ABCG2,-0.7152176699931232,0.00012981303067402842,0.0020276738246882355,2.6930019051231957
ABCG4,-0.19693474645937403,0.04066886341050282,0.12193213660183144,0.9138818160432183
ABCG5,0.08732497666769623,0.7282274755613123,0.8396735959882736,0.07588950323538034
ABCG8,-0.1911739907069112,0.4163505979064396,0.591768758223386,0.22784796666666532
ABHD1,-0.19493328729180526,0.14052980505256127,0.2878280691712233,0.5408668556678208
ABHD10,-0.1581039720729418,0.09512237932126759,0.21995823349079907,0.6576597768437631
ABHD11,0.15038946357995364,0.1276623903656248,0.2693422149325292,0.5696955727844667
ABHD12,-0.4313585502567552,0.005634746668121211,0.029804660015975298,1.5257158278364498
ABHD12B,-0.517394276961638,0.16180157406710738,0.31841491113253717,0.49700660277184194
ABHD13,-0.3249143299766031,0.05570239137919031,0.1518831855101129,0.8184903027953683
ABHD14A,-0.6723808926462578,4.693102224921923e-07,4.7579117318375114e-05,4.322583619199022
ABHD14A-ACY1,-0.07693011089198265,0.4650524509530603,0.6364316179720161,0.19624825270603646
ABHD14B,0.4867255150797156,0.002956795552519045,0.018849398720551663,1.7247024988540185
ABHD15,0.49339144986583516,0.06471953595068612,0.1682423121046539,0.7740647718992854
ABHD16A,0.006397355891232692,0.9516580095460605,0.9749205573686666,0.011030771893336807
ABHD16B,-0.10754086165913268,0.3661155931441256,0.54523058791831,0.2634197878492839
ABHD17A,-0.33841707639276564,0.0007448726457166362,0.0071562899942721955,2.145312068836865
ABHD17B,-0.2919489824303092,0.06721914419534633,0.17265883958443584,0.7628111822466482
ABHD17C,0.04662475000568733,0.779666756517642,0.8722140321717512,0.059376930680547495
ABHD2,0.11860643044752983,0.5387027468558147,0.7010379878093089,0.15425844786934587
ABHD3,0.7462531435696267,5.73253117870463e-06,0.00024712957502005844,3.6070752776678536
ABHD4,-0.5117003380771905,3.2730379440713556e-10,3.318237039489484e-07,6.479092593216651
ABHD5,0.1265709898418148,0.10477016324770023,0.2355641330175877,0.6278908345061068
ABHD6,-0.7218369657142993,1.7004628419420532e-06,0.00011069785161020461,3.955860807692976
ABHD8,-0.42903082824072847,0.042298327652980805,0.12549211200278168,0.9013835715640358
ABI1,-0.5152598979199361,0.00013976120575975376,0.002132670865990681,2.6710761638255356
ABI2,-0.13367683621753024,0.17451805879500498,0.33466848061121024,0.4753851879744942
ABI3,0.04738447860978923,0.7243883487730366,0.8375072656049803,0.07701141665116064
ABI3BP,-1.1388710762918635,0.004736763913082839,0.02634422771931391,1.5793145282415624
ABL1,-0.1434447107911403,0.26476399470049944,0.4415844455286826,0.3549862326974137
ABL2,-0.14340846091415393,0.24576254442038667,0.41992653055457724,0.37682668618732756
ABLIM1,-1.076007461919108,9.739057816176806e-09,3.628229363931268e-06,5.440305266170628
ABLIM2,-0.259876711911712,0.17959805022093983,0.3413578744150706,0.4667900744277452
ABLIM3,-1.3708529695218745,1.6495552651427253e-05,0.0005024181916293079,3.2989346439898255
ABO,0.17892901130728678,0.234349066449154,0.4076884805280674,0.389671559614248
ABR,-0.5889761004870238,2.9821468807986818e-06,0.00016279463356975367,3.7883599154754215
ABRACL,0.6082017105543258,0.0330210658803408,0.10536847910558389,0.9772892885341404
ABT1,0.18624048675779115,0.22107139851761,0.391382767421085,0.40739830023828805
ABTB1,-0.1045621466581208,0.3925246785949869,0.5695676359582637,0.2444546962041758
ABTB2,-0.07238998044942768,0.4237908940418173,0.5986247320523841,0.22284534434181377
AC000111.3,0.08386742093558874,0.8265109323810443,0.9022330226492621,0.04468128132621412
AC002059.10,0.004416735174082476,0.9717664875897545,0.9857494054119437,0.006233476214049125
AC002310.7,0.3404720807943846,0.10362942121181633,0.23364083210839456,0.6314512556961657
AC003973.4,0.11634668370661938,0.6059550146736892,0.750665060940045,0.12455379752653109
AC003989.4,-0.4737574304000871,0.05153990672441225,0.14378943891271312,0.8422730109654256
AC004490.1,-0.27769832156559415,0.036436283630249214,0.11307995313236235,0.9466143801821698
AC004692.5,-0.07855134056454283,0.4241061282191793,0.5988737460891641,0.22266472545064553
AC004941.5,0.6338395784275832,4.798390101279988e-05,0.0010602890307075828,2.9745757315926737
AC005162.4,0.10418170454492515,0.5822306997348308,0.7329090993528379,0.13494988633774443
AC005256.1,0.1463727742339449,0.5387792762531606,0.7010518757749534,0.1542498443311546
AC005306.3,0.4311286682499116,0.06050328017888544,0.16111505128311082,0.7928638861241459
AC005498.3,0.6669068233525506,0.007728926901106964,0.03766817052610522,1.4240254721702768
AC005523.2,-0.1963079952556992,0.040237009278965716,0.12104647838761906,0.9170478409935985
AC005523.3,0.4443050855029078,0.005186632247114621,0.028111863681535204,1.5511103617999962
