Gene,log2FC,pvalue,FDR,adjustedpvalue
A1BG,-0.05134610862003708,0.7039758450083995,0.7649690080206517,0.11635615951077821
A1BG-AS1,-0.672636687517806,0.0019854470010692627,0.0042692263218206145,2.3696508216044676
A1CF,-0.10820951684779523,0.29632138454263485,0.37786205283641383,0.4226667203381956
A2M,0.8955029470977163,2.7511202104744206e-10,1.613700028423705e-09,8.79217719334883
A2M-AS1,-0.0907773403916643,0.2875495291375539,0.36858656333270035,0.433460500850062
A2ML1,0.07527852749822284,0.46690376145631385,0.5511741964508681,0.2587111223800263
A2MP1,-0.06565623091591544,0.6275556117889479,0.6988024721341898,0.15564556729480492
A4GALT,0.04881205838518188,0.6701821154250096,0.7361855364231125,0.13301271923563732
A4GNT,-0.0983267221129216,0.38733875030709153,0.4725161576664969,0.3255833362226071
AA06,0.7542813636102785,3.2214450159505816e-05,9.155646404635363e-05,4.038310988330502
AAAS,1.1704557496581431,2.5300385042800393e-05,7.293218672203411e-05,4.137080764812491
AACS,-1.2009675032442733,2.777619319124594e-10,1.6276809253906338e-09,8.788430725935427
AACSP1,-0.18872008325875722,0.41873467455932384,0.504024077394809,0.29754871666967175
AADAC,-0.24493494847940323,0.17441451130750865,0.24034492903439394,0.6191650364877505
AADACL2,0.7131604631124562,0.02313888147564406,0.040382759088018,1.393804011896444
AADACP1,-0.24140834298861646,0.433027387410209,0.5183688609599534,0.28536109494503004
AADAT,-0.4707323461991759,1.8370891533093084e-06,6.219132006258464e-06,5.2062702248264205
AAED1,1.235063243846815,1.3867184084802855e-09,7.361896468304764e-09,8.133010294409061
AAGAB,-0.44333604987827613,0.00016957596974620086,0.00043129821566458286,3.3652223385816824
AAK1,-0.9504012320114459,4.6641480674626975e-21,1.906373027841526e-19,18.71979211519709
AAMDC,0.47746936084892155,5.363120582004963e-07,1.9706162547409096e-06,5.7053979392286385
AAMP,0.11412363779519019,0.01185565412175517,0.021987699980570596,1.6578201975600269
AANAT,0.2719772199946555,0.03443089561400491,0.05773600100147558,1.2385533001771094
AAR2,0.35646412268948957,8.697635482782986e-07,3.101657520720481e-06,5.50840615786754
AARS,-0.353188113754328,3.2431652622122534e-06,1.0631631617354065e-05,4.9734000799699585
AARS2,0.2616348674920186,3.1426504711568214e-05,8.938980893286981e-05,4.048711991008367
AARSD1,-0.20841006115204763,0.006925605525392104,0.013421792757027737,1.872189471314253
AASDH,0.27579202003234826,3.4075549066655094e-06,1.1142134719560988e-05,4.953031594789857
AASDHPPT,-0.5633353242761459,2.7231431944034122e-17,5.316219325687555e-16,15.274397110127545
AASS,1.1816512216907373,6.00181352712864e-09,2.9031531017232976e-08,7.537130060454818
