,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
A1BG,-0.1369638924702609,0.6986319791927736,0.7280457803235753,0.1378413109111526,Not Significant,1.2353655801067736,4.677235879244376e-13,2.4613421773030685e-12,11.608828006214123,Up
A2M,1.659625419595784,3.696884778995229e-05,7.870333318596351e-05,4.104006874329409,Up,0.9169268771100229,6.891265581363659e-09,2.0418782646289308e-08,7.689970153814183,Not Significant
AAAS,1.0928924894452052,2.013716226249279e-07,6.91181508117044e-07,6.160407889496404,Up,0.6647781969664949,5.995974900781886e-10,2.0276836498453103e-09,8.692999800740768,Not Significant
AACS,-1.7046774008914518,1.1756811399941819e-11,1.0660496673538604e-10,9.97222256101749,Down,-0.7539267874850906,9.125880336366351e-10,3.0051024492640742e-09,8.5221407175409,Not Significant
AADAT,-0.3691106827936536,0.0444598856653308,0.0569688232246938,1.2443627514455542,Not Significant,-1.3855211152296762,4.948425857616941e-10,1.6937903568541514e-09,8.771140344002765,Down
AAED1,1.2988904488799449,3.545265265255057e-15,9.948468602278397e-14,13.002243766366451,Up,0.7982475056718332,0.0075740793936939,0.0105497915708498,1.97675612051074,Not Significant
AAGAB,-0.6308655274465025,0.0015367014776752,0.0024757285600672,2.6062969732735626,Not Significant,-0.2510622399289531,0.0138490293239845,0.0186366575608732,1.7296319746554156,Not Significant
AAK1,-1.799157280046174,4.747894960962798e-18,4.470120919321424e-16,15.349680728795631,Down,-1.9555007898104733,3.3227812905124433e-19,1.1606318943940946e-17,16.935305499109216,Down
AAMDC,0.9907668859182336,3.3474085414464394e-08,1.3758381740730897e-07,6.861432644763366,Not Significant,0.6233319271418902,3.835363038501735e-05,7.084701662424944e-05,4.149678433220413,Not Significant
AAMP,0.2359519630605397,0.0430936276694759,0.0553660509045148,1.2567564523150792,Not Significant,-0.2634420739621916,0.0021058803814499,0.0031544263765307,2.5010796044569377,Not Significant
AAR2,1.304659961103006,1.8221267007894375e-18,2.1615287670915728e-16,15.665238980206205,Up,0.8792238101069855,3.113698249595317e-09,9.597419330778105e-09,8.017845529572128,Not Significant
AARS,-0.6552539106721085,6.631444621318992e-05,0.0001348237600709,3.870233565082524,Not Significant,-0.4762794920183519,4.6839767262716315e-11,1.842612008456592e-10,9.734566102830598,Not Significant
AARS2,0.2688252389147294,0.0114513996014178,0.016087212325294,1.7935192061577627,Not Significant,-0.4580689972807089,3.55730258618347e-05,6.60859586285628e-05,4.179890805838449,Not Significant
AARSD1,0.1798441195886049,0.2123238173345721,0.2454331768018909,0.6100667312255631,Not Significant,-0.5371765448118044,3.3919054616576143e-09,1.0393389446686518e-08,7.983242799127853,Not Significant
AASDHPPT,-1.0223744498926806,0.0009089711176949,0.0015200821778982,2.818132932816402,Down,-0.7176459461044047,4.038119640192769e-15,3.1583179270898165e-14,13.50054415455856,Not Significant
AASS,2.0159166750774524,5.8747814911014896e-08,2.2710110798678585e-07,6.643780746927894,Up,1.385563232681919,3.799885584242647e-12,1.7431912316607192e-11,10.75865496727932,Up
AATF,0.8052867077426882,5.787055895146721e-12,5.800875730120205e-11,10.236506438152666,Not Significant,0.740009451470207,3.1246450493424485e-07,7.539274529115797e-07,6.122670442347746,Not Significant
AATK,-3.0362008684197264,1.4675433966075941e-12,1.6915368624055954e-11,10.771718533516024,Down,-2.1290234203676457,9.400875326958997e-19,2.5542223097800025e-17,16.592741306090215,Down
ABAT,-0.6348417792101095,0.0006511982690266,0.0011147726845983,2.952813681395369,Not Significant,-1.461347043243881,9.505214401358275e-11,3.5564261935204266e-10,9.448986199781936,Down
ABCA1,3.3865700725896453,4.204358178387713e-11,3.366828639831305e-10,9.472778987166866,Up,0.8637148217391398,9.30075488313834e-10,3.0588169851054334e-09,8.514446506910895,Not Significant
ABCA2,-1.376641243926063,1.490718930686827e-06,4.183148330846545e-06,5.378496735437058,Down,-0.9699320927777332,9.659502302812529e-11,3.608964805096039e-10,9.442617353193226,Not Significant
ABCA3,-1.1418726620034612,1.447345390635802e-12,1.670166949056709e-11,10.777240114822368,Down,-0.7962575883886687,1.7028113502123628e-08,4.7943098037220685e-08,7.319273905700831,Not Significant
ABCA5,-2.056799936680457,6.185504331091236e-09,2.950415276108575e-08,7.530116852011876,Down,-1.9992302741371375,3.250285838252858e-16,3.4139480615917266e-15,14.46674309034949,Down
ABCA8,0.4838341651932065,0.1887537817352279,0.2198155105065945,0.6579416663721989,Not Significant,-0.5828135381958678,0.0010733727198737,0.0016660806205138,2.778303987204655,Not Significant
ABCB1,-0.7140541944255183,0.0207998788991799,0.0280769100938415,1.5516506886730084,Not Significant,-0.2373524992173634,0.1441463810126155,0.1693284821081497,0.7712699847025225,Not Significant
ABCB10,-0.0592188698220397,0.2860130384422946,0.3230151736847171,0.4907770761433218,Not Significant,-0.5445417355361654,5.02305246220032e-07,1.1786508809522797e-06,5.928614814861568,Not Significant
ABCB6,0.5369489794331095,0.0354377526868183,0.0460585628392475,1.3366896174078702,Not Significant,0.0953603810939427,0.2310312025146007,0.2624758553781357,0.5809106402897034,Not Significant
ABCB7,0.8996353747598747,4.010870766822631e-08,1.6104229615373133e-07,6.793060045870359,Not Significant,-0.0244247605445528,0.8002039658716531,0.8206229636214816,0.0858563342682592,Not Significant
ABCB8,0.241573244202339,0.1018428992581991,0.123669885140682,0.907736042565668,Not Significant,-0.9526366081807476,3.029750757189142e-10,1.0672309858403311e-09,8.971741573997132,Not Significant
ABCB9,-1.1570301332018502,2.9592354094354065e-08,1.2298406565450613e-07,6.910151153980169,Down,-1.4713967667475367,7.036710744476134e-12,3.0944284807457567e-11,10.509419550384774,Down
ABCC1,0.4722955181083321,0.0011021143235609,0.0018162440202115,2.7408258025595265,Not Significant,-0.1951008201934961,0.0487929391339214,0.0610880085933351,1.214044032193614,Not Significant
ABCC3,4.4356756257445085,8.990333040039956e-09,4.1317798834563194e-08,7.383862823151117,Up,0.3363885399425649,0.0402555057979147,0.0509446273374461,1.2929016102980406,Not Significant
ABCC4,1.2049123306245324,1.1626119678904594e-11,1.0578650426771619e-10,9.975569733963509,Up,0.4295805573099116,0.0001395438665371,0.000240681376435,3.618557513482348,Not Significant
ABCD1,1.9939880165967736,3.3718059987615476e-08,1.3830445289708398e-07,6.859163836973119,Up,0.6361741430025811,3.058496891378793e-06,6.469395273798385e-06,5.189136313075761,Not Significant
ABCD2,-0.5778649577817063,0.008004825293011,0.0115299699745201,1.9381718236608263,Not Significant,-0.5315046623498098,0.0015832198621277,0.0024086137890803,2.618232831681974,Not Significant
ABCD3,0.9067845112589517,9.954713378969149e-14,1.7026109096729237e-12,11.768884588143475,Not Significant,0.981786545189652,1.4455681912946053e-12,7.060966355319355e-12,11.151135857862814,Not Significant
ABCD4,0.8205015483478988,0.0099635035235503,0.0141628805554178,1.8488484075153016,Not Significant,0.985471803515299,1.3376036407485436e-11,5.6483230411974e-11,10.248080472898623,Not Significant
ABCE1,0.3096973111581427,0.0645287117594878,0.0807731414345279,1.092733026179585,Not Significant,0.5451419219868415,2.144056517969107e-12,1.0223309342895298e-11,10.990408497869268,Not Significant
ABCF1,0.814810801250367,8.594859578022909e-11,6.385296120132948e-10,9.194818957389186,Not Significant,0.780464995417797,6.902747654026271e-13,3.548182732383183e-12,11.44999402197951,Not Significant
ABCF2,0.5703567190696717,0.0032909803414443,0.0050148745968402,2.299739922580003,Not Significant,0.5395028217680669,2.6492618092081437e-05,4.982143843188359e-05,4.30258373777881,Not Significant
ABCF3,-0.0973995617958145,0.2000956841295201,0.2321773694909912,0.6341801135559113,Not Significant,0.4645767695186085,4.165250009116397e-09,1.2640258701134864e-08,7.898244037499394,Not Significant
ABCG1,-0.754813980146217,0.0010160939740155,0.0016860699545762,2.7731244105794817,Not Significant,-0.8490539621792382,5.655211801123861e-07,1.3171872821190036e-06,5.880352471197454,Not Significant
ABCG2,-0.0528470853102618,0.8705544257294892,0.8864818846455953,0.0523301348276891,Not Significant,0.4065972945464248,0.0676809188180142,0.0831846361998713,1.0799568783938946,Not Significant
ABHD10,-0.7308224144278519,0.0002375828877345,0.0004391578001904,3.35737939903375,Not Significant,-1.7064461503269213,3.451026728385289e-16,3.606600122064506e-15,14.442902006949147,Down
ABHD11,0.7495680591392215,7.294158133800036e-07,2.1856439333700644e-06,5.660420588208835,Not Significant,-0.5937601284901903,4.421953822751837e-05,8.109252526607447e-05,4.091019175200736,Not Significant
ABHD12,-0.2378393147449351,0.0534355977672674,0.06771197634056,1.169334510065026,Not Significant,-0.6039480664614112,9.639583807779081e-08,2.468940201425506e-07,6.607489428701292,Not Significant
ABHD13,-0.8127630581543244,3.757970192838873e-09,1.8997756101547207e-08,7.721297692219037,Not Significant,-0.1734632510099071,0.0381971259502236,0.0484870590263266,1.3143741571377778,Not Significant
ABHD14A-ACY1,0.4834119294874686,0.0701995991277466,0.0873830176217619,1.0585729617567907,Not Significant,-0.2473637041677937,0.0132926004245415,0.017922626660499,1.7465983417405626,Not Significant
ABHD14B,0.9719516834365542,3.856995469944677e-05,8.18524802279812e-05,4.086968156410788,Not Significant,0.2303975124454288,0.1621787012630273,0.1889966526474307,0.7235458876237052,Not Significant
ABHD16A,0.650230118886066,8.004428471729386e-05,0.0001600567932199,3.795725888559388,Not Significant,-0.7677171773550228,1.5700345210140112e-14,1.0794246584699366e-13,12.966807665096908,Not Significant
ABHD17A,0.4614988526968666,0.0032226404214694,0.0049204121864023,2.307998514553381,Not Significant,-0.9823643778631996,6.797687635563797e-06,1.375794878448057e-05,4.861446311593706,Not Significant
ABHD17B,-0.9335233742419612,2.8646614503909536e-05,6.222207729891864e-05,4.20605549396023,Not Significant,-1.752060351989772,2.293974345211098e-19,8.746512439304878e-18,17.058165081868484,Down
