,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
A1BG,-0.1940433739595786,0.5273141267265717,0.5712002701767187,0.2432115958113107,Not Significant,1.9562189983379643,0.0046320019090703,0.0113445900874148,1.9452111918010797,Up
A2M,2.3859125752154924,2.7594178776529855e-07,9.847104392304702e-07,6.006691457961345,Up,1.8919039849024228,0.0008869272396754,0.0031966847776252,2.495300187027496,Up
AAAS,1.0174211283101826,8.740346314370551e-07,2.8095165529983705e-06,5.551368404802513,Up,0.5662611873117386,0.00052243787706,0.0021468834829521,2.668191525234963,Not Significant
AACS,-1.6786073385447011,1.7788533067406037e-13,2.982751656063551e-12,11.525382904496157,Down,-0.9214484807979304,0.0002961325998457,0.0013935100505398,2.855889894637621,Not Significant
AADAT,-0.1228117409383955,0.3635541124242176,0.4099903871668609,0.3872263258396049,Not Significant,-0.8794074704779073,0.0003378254030726,0.0015364181562296,2.813490569312284,Not Significant
AAED1,1.209738254522783,7.044716219521765e-15,1.8808003890791958e-13,12.725657294041063,Up,0.9043094806621196,0.0230867756654323,0.0422932502466534,1.37372893793313,Not Significant
AAGAB,-0.5729137048720645,0.0029280968676982,0.0048120143303739,2.3176730879836804,Not Significant,-0.4296977040454335,0.0015285571804947,0.004815602812279,2.317349340593456,Not Significant
AAK1,-1.5657459965123834,4.026833639149432e-17,2.6341767584929466e-15,14.579355086374042,Down,-1.9738290766880744,2.3848181165662272e-09,4.873359872824101e-07,6.31217151699734,Down
AAMDC,0.9450981561675248,1.8717500521252385e-08,8.790680664386785e-08,7.0559774961045685,Not Significant,0.720495420999089,0.0017151652214471,0.0052695262072146,2.2782284312470997,Not Significant
AAMP,0.2080659826792441,0.0766533603984273,0.0984203355408816,1.0069151586749825,Not Significant,-0.1186787628242172,0.5417994667172487,0.604069264038115,0.2189132612714139,Not Significant
AAR2,1.0847985554053778,9.960497725321196e-18,9.039824692332048e-16,15.04383999163648,Up,0.5702159785873985,0.0790210980902011,0.1177230012910982,0.9291386743030836,Not Significant
AARS,-0.5297563081282988,0.0004513305344589,0.0008562530704594,3.067397858149207,Not Significant,-0.3941929083923273,0.0164359070782735,0.0319122098074519,1.4960431214112055,Not Significant
AARS2,0.1336093833696026,0.1604286153576048,0.1945537343339967,0.7109604287765401,Not Significant,-0.1719953970204419,0.1829505281141314,0.240294264623343,0.6192565948730012,Not Significant
AARSD1,0.094633712105324,0.4812968717880105,0.5265621944387943,0.2785503251312244,Not Significant,-0.5445707397849288,4.013097707574284e-05,0.0003321468270164,3.478669891998064,Not Significant
AASDHPPT,-0.9888913669646904,0.0012040289646685,0.0021149760749906,2.6746945410824647,Not Significant,-0.5788214208446194,0.0036596798744465,0.0094314453610086,2.025421746901084,Not Significant
AASS,1.452103458961215,3.155364582331899e-07,1.1149471344234146e-06,5.952745724340031,Up,1.3577843571086765,0.0004321349505296,0.0018564146512846,2.7313250126797675,Up
AATF,0.920783598387807,1.5272095076699514e-13,2.6254451502162265e-12,11.58079705039435,Not Significant,0.5703613364431083,0.0010569037253298,0.0036464404630289,2.4381308729522333,Not Significant
AATK,-2.0417213497427937,2.9924327514582486e-10,2.1244374586462573e-09,8.672756049589585,Down,-2.004753690698984,2.519222546462373e-06,5.240744850737018e-05,4.2806069837078935,Down
ABAT,-0.6300328444912786,0.0005930940482435,0.0010993246443432,2.958874036032772,Not Significant,-1.1782767761437745,0.0274384376376104,0.0490059535638104,1.3097511558317645,Down
