,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
A1BG,-0.631471507435128,0.0456221098015777,0.057789153041757,1.2381536705100271,Not Significant,2.072350189846698,6.9426691643892185e-22,7.071060991401896e-21,20.150515416734933,Up
A2M,3.214145774054113,1.201430106172102e-08,4.3505416569294594e-08,7.361456668569283,Up,1.673717549514252,3.488806364014202e-16,1.9183827492352788e-15,14.717064739554658,Up
AAAS,1.155436097681104,6.279722837066215e-07,1.6338307815238906e-06,5.786792926050881,Up,0.6036640113314508,2.6909054418560964e-08,6.570404584630567e-08,7.182407887143018,Not Significant
AACS,-1.8770859461891425,5.075410794328405e-15,5.5860438577724516e-14,13.252895658840206,Down,-0.706638625481789,1.208493233650229e-09,3.3851469507710542e-09,8.47042247364834,Not Significant
AADAT,-0.575575164494385,4.58276806862352e-05,8.79535254778307e-05,4.055746747850844,Not Significant,-1.1646651068278084,7.540872838864059e-09,1.9588955672507112e-08,7.707988716519657,Down
AAED1,1.597543132836691,7.494199186723202e-18,1.3385915355859848e-16,15.87335192552998,Up,0.9608445633097188,0.0023769973905526,0.0033264541325978,2.4780184605230504,Not Significant
AAGAB,-0.3973671443383963,0.0218071451336684,0.0288679605882491,1.5395838962909052,Not Significant,-0.0690986340939742,0.4266149399134749,0.4564797398806908,0.3405784931642438,Not Significant
AAK1,-1.7007886585905148,3.782413065147207e-15,4.2479408270114795e-14,13.371821541522015,Down,-1.9666537976613483,7.548511675800313e-38,1.4752627218879543e-34,33.831130631546166,Down
AAMDC,1.0597314572930756,5.545908425939883e-09,2.1348674620908823e-08,7.670629081889208,Up,0.5438085755565933,0.0001428378961511,0.0002288440297118,3.6404604133526224,Not Significant
AAMP,0.2521531645069217,0.0306755744126941,0.0398331704863986,1.399755124925122,Not Significant,-0.4397566884568317,5.289033060703677e-06,1.0017020583854544e-05,4.999261433798568,Not Significant
AAR2,1.1940226251506267,9.202026248705332e-20,2.3117509334029306e-18,17.636058958346453,Up,0.8605239301098162,2.269808637761456e-08,5.592056357505088e-08,7.25242846036142,Not Significant
AARS,-0.5620417674119551,0.0002579492103303,0.0004464147646226,3.3502614500738344,Not Significant,-0.4555348972660289,4.608445404935346e-13,1.8428470311168656e-12,11.734510712691392,Not Significant
AARS2,0.1058951668805612,0.2231220984458182,0.2561517971217291,0.5915025928334632,Not Significant,-0.2808581959133809,0.0024623473015731,0.0034398836481109,2.4634562469162407,Not Significant
AARSD1,-0.0336514573482222,0.806765650731055,0.8268752839011749,0.0825599893567775,Not Significant,-0.6211081865736321,5.411666025193981e-11,1.7597635631441467e-10,9.754545678844725,Not Significant
AASDHPPT,-1.2305624822762091,0.0002075701954871,0.0003639161415484,3.438998680797537,Down,-0.8843703852244449,8.592910217863314e-22,8.65862560094281e-21,20.062551038848355,Not Significant
AASS,1.406942996582341,1.8439035076731057e-06,4.438586364707018e-06,5.352755325327275,Up,1.0861481034247915,5.818348709631102e-11,1.8821489254693368e-10,9.72534601589778,Up
AATF,0.871578852433899,2.3543050560817853e-14,2.2915235879196044e-13,12.6398756679629,Not Significant,0.6771756567321661,1.7436071564608857e-06,3.4828644965652197e-06,5.458063421763056,Not Significant
