gene_symbol,tumor_mean,normal_mean,log2FC_tumor_minus_normal,pval,p_adj,neg_log10_p_adj,significant
MRFAP1,5.957462132470467,5.953364884410751,0.004097248059715675,0.8495138549120671,0.9999995883558701,1.7877481091664538e-07,False
CFL1,6.279263971766774,6.275177960178542,0.004086011588231742,0.8856777664968203,0.9999995883558701,1.7877481091664538e-07,False
LOC101060363,5.969309057444004,5.96526118708795,0.0040478703560538065,0.8663295145888983,0.9999995883558701,1.7877481091664538e-07,False
ACTB,6.5183036074458265,6.514260311312838,0.004043296132988594,0.9003483840332649,0.9999995883558701,1.7877481091664538e-07,False
TUBA1B,5.93534636658998,5.931310728498979,0.004035638091000493,0.8757787494089923,0.9999995883558701,1.7877481091664538e-07,False
ACTG1,6.269920749246637,6.265945508996574,0.003975240250063017,0.892979593899097,0.9999995883558701,1.7877481091664538e-07,False
PPIA,6.003284749553858,5.999342225776996,0.003942523776862217,0.8806010994205112,0.9999995883558701,1.7877481091664538e-07,False
RPL23A,6.0137484278964495,6.0099058180016955,0.0038426098947539344,0.8865058318416554,0.9999995883558701,1.7877481091664538e-07,False
SNORD42A,6.007968728234297,6.004132798263222,0.0038359299710748473,0.8860406429812034,0.9999995883558701,1.7877481091664538e-07,False
RPL37A,6.061068962761871,6.05723571261192,0.0038332501499507288,0.8930834764652777,0.9999995883558701,1.7877481091664538e-07,False
RPS16,6.3586065103304135,6.3547850043090275,0.0038215060213859786,0.9094404861266883,0.9999995883558701,1.7877481091664538e-07,False
MIR3064,5.64612849833696,5.642312342899528,0.0038161554374323003,0.868844468774745,0.9999995883558701,1.7877481091664538e-07,False
MIR5047,5.64612849833696,5.642312342899528,0.0038161554374323003,0.868844468774745,0.9999995883558701,1.7877481091664538e-07,False
LOC101928826,6.014078790097736,6.010269903377263,0.0038088867204733035,0.8849085223312451,0.9999995883558701,1.7877481091664538e-07,False
TPT1,6.014078790097736,6.010269903377263,0.0038088867204733035,0.8849085223312451,0.9999995883558701,1.7877481091664538e-07,False
RPL41,5.869490755754067,5.865708810956726,0.0037819447973408415,0.8800358153414285,0.9999995883558701,1.7877481091664538e-07,False
RPL39,5.754485611015651,5.75071046219575,0.003775148819901375,0.8833317571307984,0.9999995883558701,1.7877481091664538e-07,False
DDX5,5.683705042676407,5.679945110223304,0.003759932453102799,0.8643896275874455,0.9999995883558701,1.7877481091664538e-07,False
UBC,5.875887650713364,5.872127745049574,0.0037599056637898087,0.8866112119086094,0.9999995883558701,1.7877481091664538e-07,False
RPS10,6.410345742600473,6.4065873526000585,0.0037583900004145576,0.9160419241693957,0.9999995883558701,1.7877481091664538e-07,False
EEF1A1,6.037579459653487,6.0338233860491375,0.0037560736043493748,0.8999954749683581,0.9999995883558701,1.7877481091664538e-07,False
TUBA1C,5.810122137945698,5.806400566183578,0.0037215717621199573,0.8965138621667488,0.9999995883558701,1.7877481091664538e-07,False
HNRNPA1P10,5.994966438851914,5.99125273696332,0.003713701888593768,0.8842543084280527,0.9999995883558701,1.7877481091664538e-07,False
RPS28,5.785971275635631,5.7822602928093945,0.0037109828262362754,0.8749720451986686,0.9999995883558701,1.7877481091664538e-07,False
HNRNPA1,6.104256843853825,6.100552396625797,0.003704447228028762,0.9061515428417515,0.9999995883558701,1.7877481091664538e-07,False
SNORD35B,6.293375707093245,6.289688879423657,0.003686827669587167,0.915248502175812,0.9999995883558701,1.7877481091664538e-07,False
RPL7,5.868452072992836,5.864773784145881,0.003678288846955091,0.8954337723858675,0.9999995883558701,1.7877481091664538e-07,False
RPS18,5.844899431212291,5.841233786691849,0.003665644520441269,0.8948211064005924,0.9999995883558701,1.7877481091664538e-07,False
RPS11,6.334602005054613,6.33096786874778,0.003634136306833291,0.9154925552120496,0.9999995883558701,1.7877481091664538e-07,False
LOC100508408,6.141562170475089,6.1379696160010075,0.0035925544740811333,0.9154843382414055,0.9999995883558701,1.7877481091664538e-07,False
RPS13,6.141562170475089,6.1379696160010075,0.0035925544740811333,0.9154843382414055,0.9999995883558701,1.7877481091664538e-07,False
SNORD14B,6.141562170475089,6.1379696160010075,0.0035925544740811333,0.9154843382414055,0.9999995883558701,1.7877481091664538e-07,False
TUBA1A,5.752762533248151,5.749192778017487,0.0035697552306643843,0.9064982052417437,0.9999995883558701,1.7877481091664538e-07,False
RPS4X,5.6968711478046155,5.693314420819268,0.0035567269853471473,0.8960273490644235,0.9999995883558701,1.7877481091664538e-07,False
RPS24,6.286921105410099,6.283377967153495,0.003543138256604017,0.9268546144984462,0.9999995883558701,1.7877481091664538e-07,False
RPS27A,6.105698259809146,6.102157210778409,0.0035410490307370424,0.9161184405796491,0.9999995883558701,1.7877481091664538e-07,False
EIF1,5.728981701995212,5.725447627761124,0.003534074234088358,0.8955407472977082,0.9999995883558701,1.7877481091664538e-07,False
ND4,6.445754510475492,6.442237838885093,0.003516671590398701,0.9185398773199751,0.9999995883558701,1.7877481091664538e-07,False
SKP1,5.5602403167739,5.55673280741058,0.00350750936331945,0.890299009844755,0.9999995883558701,1.7877481091664538e-07,False
RPL10A,6.283427171840546,6.279949055643511,0.003478116197034531,0.9272456259172234,0.9999995883558701,1.7877481091664538e-07,False
RPL38,5.710409390532042,5.706937638404491,0.003471752127550687,0.9001332847054417,0.9999995883558701,1.7877481091664538e-07,False
B2M,5.823819214830499,5.820350552778516,0.003468662051982818,0.909764432306869,0.9999995883558701,1.7877481091664538e-07,False
GAPDH,6.326339752328562,6.322871941651614,0.0034678106769483463,0.9262237704235907,0.9999995883558701,1.7877481091664538e-07,False
HMGB1,5.698331810989181,5.694891784418452,0.00344002657072906,0.9014057343603771,0.9999995883558701,1.7877481091664538e-07,False
RPL13AP5,5.939313095766022,5.9358855466607805,0.0034275491052415674,0.9174730687257981,0.9999995883558701,1.7877481091664538e-07,False
RPL13A,5.961282898508959,5.957857350965389,0.003425547543570495,0.9193845065468687,0.9999995883558701,1.7877481091664538e-07,False
SNORD32A,5.961282898508959,5.957857350965389,0.003425547543570495,0.9193845065468687,0.9999995883558701,1.7877481091664538e-07,False
SNORD33,5.961282898508959,5.957857350965389,0.003425547543570495,0.9193845065468687,0.9999995883558701,1.7877481091664538e-07,False
SNORD34,5.961282898508959,5.957857350965389,0.003425547543570495,0.9193845065468687,0.9999995883558701,1.7877481091664538e-07,False
SNORD35A,5.961282898508959,5.957857350965389,0.003425547543570495,0.9193845065468687,0.9999995883558701,1.7877481091664538e-07,False
NGFRAP1,5.583584332736178,5.580162987310019,0.003421345426159128,0.9067199603140651,0.9999995883558701,1.7877481091664538e-07,False
PARK7,5.903088721963291,5.899670303010752,0.0034184189525392483,0.9125153104861775,0.9999995883558701,1.7877481091664538e-07,False
RPL9,6.226716434742494,6.223303161432994,0.0034132733095004752,0.9233141620964224,0.9999995883558701,1.7877481091664538e-07,False
RAC1,5.515904577299628,5.512500478910657,0.003404098388970489,0.8935517114692894,0.9999995883558701,1.7877481091664538e-07,False
RPL37,6.0773144268577095,6.0739211165573845,0.00339331030032497,0.9249191574051565,0.9999995883558701,1.7877481091664538e-07,False
RPLP1,5.656922138480926,5.65352927148985,0.0033928669910761045,0.9092200651104625,0.9999995883558701,1.7877481091664538e-07,False
EIF4G2,5.787061598850352,5.783669213740216,0.0033923851101356206,0.9090056480433207,0.9999995883558701,1.7877481091664538e-07,False
