gene_name,Unnamed: 0.1,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
NBEAL1,0,0,ENSG00000144426,2208.2369737588806,5.901681768860928,0.1405496719409238,41.99000742841675,0.0,2.2250738585072014e-308,307.6526555685888,Up
NGRN,1,1,ENSG00000182768,7542.332704492353,-4.863749121606324,0.0993898224354319,-48.93608824752688,0.0,2.2250738585072014e-308,307.6526555685888,Down
BSCL2,2,2,ENSG00000168000,3792.203200986098,-7.337623604967267,0.1444870080733639,-50.78396807304332,0.0,2.2250738585072014e-308,307.6526555685888,Down
BCAP29,3,3,ENSG00000075790,1408.1771043946646,-5.588855420066966,0.1167469325001385,-47.871539751679,0.0,2.2250738585072014e-308,307.6526555685888,Down
ATP6V0C,4,4,ENSG00000185883,3655.0670871602615,-10.386180236836616,0.2071601467223628,-50.13599575576779,0.0,2.2250738585072014e-308,307.6526555685888,Down
VPS33B,5,5,ENSG00000184056,388.176351502561,-3.581080718392502,0.082571973537099,-43.36920343539501,0.0,2.2250738585072014e-308,307.6526555685888,Down
PPP3R1,6,6,ENSG00000221823,4675.433737589605,-4.625657954369872,0.1126586544550932,-41.05905557582973,0.0,2.2250738585072014e-308,307.6526555685888,Down
SUPT4H1,7,7,ENSG00000213246,490.1819635274032,-10.361286679040244,0.2510084684145635,-41.27863392213378,0.0,2.2250738585072014e-308,307.6526555685888,Down
ARL6IP4,8,8,ENSG00000182196,984.3396184314818,-7.92059558862876,0.1869739444640926,-42.362028630945794,0.0,2.2250738585072014e-308,307.6526555685888,Down
RPS10,9,9,ENSG00000124614,1917.600723077874,-6.13212867219544,0.1459329433276709,-42.020180860922174,0.0,2.2250738585072014e-308,307.6526555685888,Down
FKBP2,10,10,ENSG00000173486,398.9212440926915,-7.60228760379374,0.2018756009607588,-37.65827850227178,2.39494647098295e-310,9.801645016107388e-307,306.0087010302806,Down
ST6GALNAC6,11,11,ENSG00000160408,2278.739789615598,-7.220418576712388,0.1935612309423132,-37.30302055613748,1.4661119339395602e-304,5.500241096168755e-301,300.2596182733347,Down
CYP20A1,12,12,ENSG00000119004,1881.2936082603649,4.075509814278422,0.1096627578118954,37.16402811307323,2.6021809207336686e-302,9.011352528500696e-299,298.0452100201663,Up
KDM5A,13,13,ENSG00000073614,6426.091310828608,3.132161314219493,0.0845102862766515,37.062486144776514,1.130279500585843e-300,3.634575202633862e-297,296.43954634076994,Up
PTP4A1,14,14,ENSG00000112245,985.1185408945672,-7.680481498080473,0.2100546807691574,-36.56420066411682,1.0606208860076955e-292,3.1832061111453632e-289,288.4971352400987,Down
NME2,15,15,ENSG00000243678,1354.5323698170414,-6.471592176204912,0.178390742119743,-36.27762348710292,3.646518850783273e-288,1.026016450896326e-284,283.9888456757971,Down
RNASEK,16,16,ENSG00000219200,1154.3845615988396,-6.198315888246591,0.1719608941809116,-36.0449154313285,1.6567814131039756e-284,4.387449555089875e-281,280.3577878638189,Down
DYNLRB1,17,17,ENSG00000125971,1961.597994509788,-4.484241920758094,0.1246139026645214,-35.985085330569575,1.4315124244180843e-283,3.5802921019376525e-280,279.4460815395336,Down
FDX2,18,18,ENSG00000267673,319.6238798130687,-8.714823420862484,0.245494763434242,-35.49901960819962,5.089607387765214e-276,1.2059422894200111e-272,271.9186734749373,Down
PIK3R2,19,19,ENSG00000105647,1027.0077409578037,-7.7851313706903005,0.2211121269988313,-35.208975085891375,1.4574662464436232e-271,3.280683647432274e-268,267.48403564611453,Down
RPL36A,20,20,ENSG00000241343,1040.5703165781529,-4.528907143427817,0.1290059130197779,-35.10619813785968,5.4217706626574416e-270,1.162298540296073e-266,265.93468230761636,Down
C2orf74,21,21,ENSG00000237651,410.93939541893087,-5.260651977184545,0.1509654327978624,-34.84673199478969,4.7716723045155835e-266,9.764359794408504e-263,262.010356226198,Down
FNDC9,22,22,ENSG00000172568,177.86258824353845,-7.799502144930937,0.2248674210557581,-34.68489169445747,1.3312235427786243e-263,2.605667507493517e-260,259.58408100261937,Down
BBS1,23,23,ENSG00000174483,840.1311712240616,-4.284745797132217,0.1236560143218962,-34.65052485015684,4.386395799540487e-263,8.227964687479718e-260,259.08470758086474,Down
MYG1,24,24,ENSG00000139637,421.12044556070646,-8.762239444795796,0.2545719058773707,-34.41950679748863,1.2879577958607213e-259,2.3193028804741523e-256,255.63464253263442,Down
COQ8A,25,25,ENSG00000163050,534.5231100293731,-5.858718014044041,0.1715652749803777,-34.14862369272637,1.4015507694016312e-255,2.4267851572189245e-252,251.6149686699657,Down
GABARAP,26,26,ENSG00000170296,2137.557314702218,-8.129241748031895,0.239623747313346,-33.925025541820034,2.8489574386249623e-252,4.750267219609525e-249,248.32328195906194,Down
JTB,27,27,ENSG00000143543,961.2772744698772,-4.02887101000786,0.1189616270723668,-33.86697970730521,2.0413253600350226e-251,3.282086656550596e-248,247.48384995650508,Down
RPL17,28,28,ENSG00000265681,2392.6789324690467,-6.466248074038303,0.1909582886032064,-33.862096907846535,2.408723570392253e-251,3.7392526350168555e-248,247.42721519162907,Down
CELF6,29,29,ENSG00000140488,391.75715446241657,-8.515050210768914,0.2535807132742111,-33.57925017570682,3.369998183651893e-247,5.05713160766082e-244,243.29609574406626,Down
SDHA,30,30,ENSG00000073578,2121.801073789394,-3.3007358922598304,0.0994837303338742,-33.17865022936246,2.187999325959681e-241,3.177469085657384e-238,237.49791866610636,Down
MFSD14A,31,31,ENSG00000156875,529.9731450896761,-4.222775309767198,0.1282041198345248,-32.9379064823939,6.30331235919895e-238,8.867775596836799e-235,234.05218530544124,Down
BHLHB9,32,32,ENSG00000198908,570.6139350527255,-5.638755233296607,0.1715091374470524,-32.877287573307164,4.642028812262189e-237,6.332711972703984e-234,233.1984102643033,Down
CHTF8,33,33,ENSG00000168802,365.0867662206935,-5.603117658077379,0.1707635998370947,-32.812131293921226,3.953438053139709e-236,5.234700815126369e-233,232.28110813500763,Down
GNG3,34,34,ENSG00000162188,748.9376836958927,-6.525289093174188,0.1989982522920297,-32.79068543576118,7.994010263156785e-236,1.028235280105872e-232,231.98790749899803,Down
AC092279.1,35,35,ENSG00000268362,3141.989196320198,6.437285059243182,0.1976265310637489,32.57298007809837,9.900609498460138e-233,1.2380987194754916e-229,228.9072447255791,Up
SEPTIN5,36,36,ENSG00000184702,5604.608556981333,-8.569431144869437,0.2632978444839705,-32.54652981175902,2.344415819515804e-232,2.8525204264535675e-229,228.54477123698362,Down
IDS,37,37,ENSG00000010404,24931.912920643565,-6.464711537169113,0.1993182564541012,-32.434116433573145,9.072533235029799e-231,1.0748325623889647e-227,226.9686591849523,Down
NDUFB8,38,38,ENSG00000166136,1663.5490848962622,-5.113142120347979,0.1586203429804399,-32.235096862566365,5.690846981099759e-228,6.569134365182821e-225,224.1824918549749,Down
MICOS10,39,39,ENSG00000173436,1225.897327425119,-3.650715200421644,0.1138461440013306,-32.06709574967224,1.268378210361184e-225,1.427527966306253e-222,221.8454153748555,Down
PFDN5,40,40,ENSG00000123349,2040.5086015842403,-5.574220716393185,0.1739406125410302,-32.04668901047075,2.441349775510709e-225,2.6806615986272347e-222,221.571758007026,Down
GNG10,41,41,ENSG00000242616,339.79787410839407,-7.874403325727152,0.249373288657752,-31.57677138602538,7.695811725256414e-219,8.248994001412344e-216,215.0835990122107,Down
AMT,42,42,ENSG00000145020,235.58187090810245,-3.909595901938877,0.1247013441291493,-31.35167410777728,9.231038847324954e-216,9.664468322505165e-213,212.01482203309467,Down
MRPL2,43,43,ENSG00000112651,333.6110736697536,-4.373159439706673,0.1395479424599387,-31.338043131392748,1.4157812776833948e-215,1.4485694850006538e-212,211.83906066771698,Down
NDUFA13,44,44,ENSG00000186010,1384.4340854935567,-5.183334395651935,0.1656503858254024,-31.290807865157845,6.223497836846352e-215,6.226125535933021e-212,211.20578212698575,Down
VPS13B,45,45,ENSG00000132549,6970.687240501282,2.2893916859561982,0.0732306442069366,31.26275496753502,1.4978735299431723e-214,1.465929748793732e-211,210.83388684172917,Up
MRM2,46,46,ENSG00000122687,220.61857609620856,-6.328528345643071,0.2025461665419212,-31.24486853387693,2.621212026388437e-214,2.510730727999597e-211,210.6001998622033,Down
ATAD2B,47,47,ENSG00000119778,2391.67791815061,2.877762802395689,0.092156518223328,31.226904595308664,4.596661580135956e-214,4.311189743252929e-211,210.36540286264037,Up
HPRT1,48,48,ENSG00000165704,1353.035214981648,-4.653330271410703,0.1492412432730971,-31.17992164468609,1.9942663606561572e-213,1.832242393681215e-210,209.73701707254884,Down
NOP2,49,49,ENSG00000111641,298.3133802956602,-3.930673316791261,0.1262103824540679,-31.14381907702214,6.150023805027679e-213,5.537358433570824e-210,209.2566973636682,Down
TTC4,50,50,ENSG00000243725,402.7223200028348,-4.516345578473223,0.1451123978776184,-31.123085584197387,1.1735585851295849e-212,1.035930077332329e-209,208.9846695573838,Down
ALDOA,51,51,ENSG00000149925,14060.350455430147,-7.657898957581472,0.2465775460447789,-31.056757115227285,9.247161047762815e-212,8.005729677100658e-209,208.09659907844843,Down
EIF1B,52,52,ENSG00000114784,1527.2890022001984,-3.2067197623024155,0.1035220519430004,-30.976199776913663,1.1278839032294013e-210,9.580416120657438e-208,207.01861562714478,Down
ZNF81,53,53,ENSG00000197779,1532.0568107273334,3.14369464598718,0.1015663663436681,30.952122825285706,2.3789085740797053e-210,1.983260835120264e-207,206.70262016436052,Up
VARS2,54,54,ENSG00000137411,584.5849715489685,-5.020328147626946,0.162724721569926,-30.851662237870915,5.321329430739284e-209,4.355653266226397e-206,205.36094669975145,Down
PLSCR3,55,55,ENSG00000187838,125.58630240786826,-6.0846371034415405,0.1972946680958087,-30.8403524645013,7.545492791205162e-209,6.06590249941545e-206,205.21710457462314,Down
NDUFA7,56,56,ENSG00000267855,296.61346571990606,-4.4095916753417095,0.143038609509415,-30.82798197259786,1.1053914010822368e-208,8.730458857073898e-206,205.05896292996474,Down
C18orf32,57,57,ENSG00000177576,1650.9556700722542,-4.341967650514061,0.1412744893385578,-30.73426540660666,1.9844738553290376e-207,1.5403280774665164e-204,203.8123867680866,Down
LRP11,58,58,ENSG00000120256,1094.868140802491,-5.58143821759485,0.18203342510658,-30.66161181292356,1.8504817571303104e-206,1.411980308885584e-203,202.85017135980118,Down
SCARNA5,59,59,ENSG00000252010,5859.780731819339,10.924407929728783,0.3568388340755864,30.61440316054488,7.872397443204847e-206,5.90679100826065e-203,202.2286483949057,Up
ABHD16A,60,60,ENSG00000204427,580.8164970065166,-4.840182400283285,0.1581464581085412,-30.60569587313367,1.027976088959646e-205,7.586632057192505e-203,202.1199509782011,Down
CHD4,61,61,ENSG00000111642,1935.148820317633,-2.767706377942254,0.0905786698656432,-30.55582933650533,4.731185510616431e-205,3.4353748468135663e-202,201.46402586849646,Down
HDHD2,62,62,ENSG00000167220,828.6483101110385,-2.794241720079204,0.0919669234666561,-30.383116176462018,9.181043004447751e-203,6.56065674630529e-200,199.18305268394445,Down
ZSCAN32,63,63,ENSG00000140987,792.4496490430206,5.429433310325229,0.1788110496248098,30.36408164773672,1.6377579322786761e-202,1.1520347555195898e-199,198.93853441856672,Up
H1-4,64,64,ENSG00000168298,6055.137809027134,10.426305106702776,0.3443089055643739,30.281833952602824,1.9886241378979325e-201,1.3773210779081085e-198,197.8609648062142,Up
AGAP6,65,65,ENSG00000204149,241.50397542964816,-4.109179669630634,0.1366044554662484,-30.08086123988768,8.623960617113678e-199,5.882455803361222e-196,195.2304413271232,Down
TXNDC5,66,66,ENSG00000239264,445.8634615711175,-4.7365180596458885,0.157640232503669,-30.0463782907428,2.4346088355946783e-198,1.6358754502930869e-195,194.78624976503482,Down
BIRC6,67,67,ENSG00000115760,14604.084760442976,2.4370700101350407,0.0812178411622567,30.00658445557878,8.052457459111232e-198,5.331082093407773e-195,194.27318462971675,Up
SELENOH,68,68,ENSG00000211450,818.7050380444462,-3.6197203464514174,0.1213886350051117,-29.81926888212384,2.1981743646887912e-195,1.4341972713612272e-192,191.84339110810254,Down
RPS17,69,69,ENSG00000182774,1727.9682849754718,-4.923264589488923,0.1653370187363037,-29.777146262332494,7.723102638017187e-195,4.966947966584225e-192,191.303910389621,Down
MT-ATP8,70,70,ENSG00000228253,17867.2124948383,-8.049932441538218,0.2725228893546806,-29.538555314014243,9.212693680571016e-192,5.841496574727136e-189,188.23347587362724,Down
HNRNPUL2,71,71,ENSG00000214753,3631.677398716114,-3.633085650543876,0.1231222451118885,-29.5079548561048,2.276084027380701e-191,1.4231531503979417e-188,187.84674836148017,Down
AF117829.1,72,72,ENSG00000251136,3029.884447409331,4.828657570658286,0.1640741655846852,29.429724987179785,2.2884240949857166e-190,1.4112680045501642e-187,186.85039050442788,Up
MT-ND2,73,73,ENSG00000198763,158615.3074859643,-7.618114663807102,0.2611714217076519,-29.16902092118873,4.794412518674827e-187,2.916752124030028e-184,183.53510047719988,Down
PRRT1,74,74,ENSG00000204314,1240.5036042855286,-5.956017796178016,0.2042647258807706,-29.1583276089213,6.551363954689644e-187,3.9324780516823074e-184,183.40533369262326,Down
AC245060.4,75,75,ENSG00000272779,151.41945744643544,-5.999478602553142,0.205991869404215,-29.124832062087105,1.740805680626161e-186,1.031175407054067e-183,182.9866674532071,Down
HAPLN4,76,76,ENSG00000187664,1146.7954928162096,-12.316759429682689,0.4239523008755749,-29.05222923485799,1.4421896882698684e-185,8.431939944963793e-183,182.07407249530797,Down
GMDS-DT,77,77,ENSG00000250903,1945.1473511836089,4.331577968606003,0.1491135539907432,29.04885473305063,1.590915390593638e-185,9.182233329376281e-183,182.03705167558948,Up
MTATP6P1,78,78,ENSG00000248527,13659.821735065354,-6.106681400316205,0.2108390452355585,-28.963712074741924,1.8857487087332318e-184,1.0746141913729285e-181,180.96874742842928,Down
ZNF460,79,79,ENSG00000197714,5622.425551548082,7.280442504752682,0.2519352804649061,28.898066564229488,1.262616932739175e-183,7.105218961873116e-181,180.14842253385643,Up
TAX1BP3,80,80,ENSG00000213977,201.22131094019,-6.534114487189186,0.2264216489768148,-28.858170217894084,4.001607517653345e-183,2.224053936262172e-180,179.6528546847442,Down
MT-ATP6,81,81,ENSG00000198899,133660.74677817692,-6.346201842817799,0.2199964655983843,-28.84683545054374,5.551812665526857e-183,3.048012858406751e-180,179.51598320520537,Down
GTF2H4,82,82,ENSG00000213780,178.26719966682856,-5.952115277220698,0.2068948517627397,-28.76879355145284,5.2722567946872095e-182,2.8596593812051018e-179,178.54368569332996,Down
SENP3,83,83,ENSG00000161956,980.6059821688305,-3.2809653164260366,0.1144904149556593,-28.65711787049345,1.3069644176156817e-180,7.004551323409567e-178,177.15461967822375,Down
ACY1,84,84,ENSG00000243989,86.5816091717221,-4.536660112094199,0.1592167633087564,-28.49360844810426,1.405771518616638e-178,7.445462117247344e-176,175.12810834173422,Down
SGSM3,85,85,ENSG00000100359,1025.0926101740934,-6.042926846879327,0.2123595142684398,-28.4561154120958,4.093943874836717e-178,2.143084410479932e-175,174.66896072289953,Down
ZNF805,86,86,ENSG00000204524,1724.8031269063788,5.931796789302648,0.2088933335760553,28.39629531376577,2.2467423189329707e-177,1.162598763862568e-174,173.9345701431446,Up
SCARNA7,87,87,ENSG00000238741,4294.887631082815,10.436467099612564,0.3675943015999162,28.391264647435825,2.5921760062995267e-177,1.326104223040891e-174,173.87742234190952,Up
EEF1G,88,88,ENSG00000254772,3263.4289465498173,-15.62277536895246,0.5527786711140755,-28.26226152587647,1.0061299012413195e-175,5.089321575728423e-173,172.29334010677024,Down
AARSD1,89,89,ENSG00000266967,489.8540544426564,-4.364419959155741,0.1544719705341762,-28.25379869281937,1.278327930785741e-175,6.394338346227031e-173,172.19420438745567,Down
MRPS24,90,90,ENSG00000062582,448.2362923953889,-6.369628130309139,0.2255025871852528,-28.246363865778704,1.5775135605290382e-175,7.804184943017228e-173,172.10767244727597,Down
UBR5,91,91,ENSG00000104517,10841.372724392626,1.7019728782228565,0.0603146918562136,28.218213935010247,3.495867253719268e-175,1.7106570423389968e-172,171.76683705039412,Up
CSNK2B,92,92,ENSG00000204435,1019.4528452539018,-3.486163212700749,0.1247791578725969,-27.93866597705541,9.052380010432916e-172,4.3820332869858e-169,168.35832432775675,Down
