gene_name,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
GABARAP,0,ENSG00000170296,1581.3095139609277,-7.893875078157355,0.1933075901340141,-40.83582580841641,0.0,2.2250738585072014e-308,307.6526555685888,Down
RPL17,1,ENSG00000265681,1803.7393493939155,-6.294266466831712,0.164078318523303,-38.36135403799726,0.0,2.2250738585072014e-308,307.6526555685888,Down
DYNLRB1,2,ENSG00000125971,1512.760716517647,-4.649732106434613,0.1088244357448737,-42.72691215542225,0.0,2.2250738585072014e-308,307.6526555685888,Down
PIK3R2,3,ENSG00000105647,751.2949521006822,-8.461434363309149,0.1636831090110542,-51.693998326594034,0.0,2.2250738585072014e-308,307.6526555685888,Down
FDX2,4,ENSG00000267673,234.1593261957136,-9.080348186336884,0.2404323797068848,-37.76674421892296,0.0,2.2250738585072014e-308,307.6526555685888,Down
PPP3R1,5,ENSG00000221823,3618.729424579413,-4.726026052865051,0.0822812755682842,-57.43744272587241,0.0,2.2250738585072014e-308,307.6526555685888,Down
PFDN5,6,ENSG00000123349,1576.9318968749958,-5.364344997029023,0.1413526414916223,-37.95008667982306,0.0,2.2250738585072014e-308,307.6526555685888,Down
RPS10,7,ENSG00000124614,1437.7850072548954,-6.187775791395419,0.1283495134740743,-48.210356423714096,0.0,2.2250738585072014e-308,307.6526555685888,Down
BSCL2,8,ENSG00000168000,2799.116966373322,-7.47125365460387,0.1857784234155796,-40.215938520970994,0.0,2.2250738585072014e-308,307.6526555685888,Down
FKBP2,9,ENSG00000173486,295.94946436582643,-7.400043890521692,0.1758489412573916,-42.08182225953914,0.0,2.2250738585072014e-308,307.6526555685888,Down
CHD4,10,ENSG00000111642,1639.2396409498751,-2.86682736672731,0.0742032357301649,-38.6348026271029,0.0,2.2250738585072014e-308,307.6526555685888,Down
BCAP29,11,ENSG00000075790,1063.5026530367816,-5.68603204995415,0.1385798522272054,-41.03072675118565,0.0,2.2250738585072014e-308,307.6526555685888,Down
SUPT4H1,12,ENSG00000213246,359.7342037332574,-9.997313097827288,0.2266186557225131,-44.11513723772442,0.0,2.2250738585072014e-308,307.6526555685888,Down
ST6GALNAC6,13,ENSG00000160408,1687.508541650293,-7.271934235134353,0.1735336884928568,-41.90502892142286,0.0,2.2250738585072014e-308,307.6526555685888,Down
NBEAL1,14,ENSG00000144426,2910.5014670583864,6.110237315542134,0.1399681219470664,43.65449239829712,0.0,2.2250738585072014e-308,307.6526555685888,Up
RNASEK,15,ENSG00000219200,876.0660224275758,-5.9943075872957525,0.1249828609223612,-47.96103676182759,0.0,2.2250738585072014e-308,307.6526555685888,Down
NME2,16,ENSG00000243678,1008.3719148632013,-6.5726495014198205,0.1630788836163041,-40.30349825599802,0.0,2.2250738585072014e-308,307.6526555685888,Down
MYG1,17,ENSG00000139637,310.1236179278643,-8.50636755458739,0.2286418350783922,-37.20389819155753,5.902268565335504e-303,1.4713371821953858e-299,298.83228778982425,Down
ATP6V0C,18,ENSG00000185883,2679.5063738752883,-10.137982400784846,0.2789846195982825,-36.33885773123551,3.940731768721378e-289,9.306556589173523e-286,285.0312109775519,Down
ACY1,19,ENSG00000243989,66.7975528771661,-4.687651260540164,0.1301137290263636,-36.02733774227894,3.1230049754756876e-284,7.006617812728481e-281,280.15449157115347,Down
BCKDHA,20,ENSG00000248098,228.9725689644389,-6.39508410004046,0.1778153595167583,-35.964745213350085,2.977339287865422e-283,6.361723389800446e-280,279.1964252181106,Down
ARL6IP4,21,ENSG00000182196,723.2800819077925,-8.169731736093103,0.2286729422259153,-35.7267093192945,1.5217936993974645e-279,3.1038365948028923e-276,275.50810115076547,Down
HNRNPUL2,22,ENSG00000214753,2788.125195434692,-3.9895102983346806,0.1118257145346993,-35.676144033014346,9.267898820852082e-279,1.808086469523712e-275,274.74278080376166,Down
C16orf46,23,ENSG00000166455,64.90513108318088,-5.57321804376836,0.1574060250655996,-35.40663733453467,1.3496496782417075e-274,2.5233387796826517e-271,270.5980244378417,Down
CYP20A1,24,ENSG00000119004,2012.376530405213,3.9877726639362567,0.1131480864005632,35.24383655786163,4.2641896483415466e-272,7.65353814842934e-269,268.11613774875383,Up
EEF1G,25,ENSG00000254772,2389.977469657436,-15.652978342445074,0.4472246364639571,-35.00025952552053,2.229461354472496e-268,3.847621555251361e-265,264.41480765091404,Down
TTC4,26,ENSG00000243725,314.9976045624939,-4.571314019337268,0.1315720413632336,-34.74381009805226,1.7188835868252406e-264,2.856593534238347e-261,260.5441515511453,Down
NDUFB8,27,ENSG00000166136,1290.911173948239,-5.031412281918978,0.1449667627885364,-34.70735074120623,6.10309197983099e-264,9.780422865249874e-261,260.00964236769966,Down
MRPL2,28,ENSG00000112651,257.9163624227457,-4.54559267606774,0.1312041402148679,-34.64519235920146,5.2773333887805834e-263,8.165490568550811e-260,259.08801771848215,Down
ALDOA,29,ENSG00000149925,10476.848282122222,-7.263131513086065,0.2099399496669428,-34.5962334687066,2.878413660753602e-262,4.305243312389163e-259,258.3660022992064,Down
GSK3A,30,ENSG00000105723,1764.0652647740164,-3.6615894974471,0.105909048862133,-34.57296177037307,6.441448418127962e-262,9.323684902252253e-259,258.03041241206324,Down
ABHD16A,31,ENSG00000204427,455.9508362579306,-4.750237057476018,0.1387823482932348,-34.22796282016489,9.280945686547887e-257,1.3013916059409068e-253,252.8855919988203,Down
MDP1,32,ENSG00000213920,89.07542906989734,-7.448117233534627,0.2179054609269595,-34.18049828513102,4.7126556064102364e-256,6.407926355007083e-253,252.1932824881532,Down
GPS2,33,ENSG00000132522,386.3646378806809,-5.450074769613227,0.1595168754330632,-34.166132923661706,7.702795033560197e-256,1.0165650469143516e-252,251.99286482695004,Down
