gene_name,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
BCKDHA,0,ENSG00000248098,278.40621025666377,-6.493447995883977,0.1512652109276091,-42.92757043119148,0.0,2.2250738585072014e-308,307.6526555685888,Down
SUPT4H1,1,ENSG00000213246,445.0903313465004,-10.245221438697207,0.2372648569983023,-43.18052647287126,0.0,2.2250738585072014e-308,307.6526555685888,Down
BCAP29,2,ENSG00000075790,1268.1931709794594,-5.9691730475190585,0.1472237280519572,-40.544911655901416,0.0,2.2250738585072014e-308,307.6526555685888,Down
ST6GALNAC6,3,ENSG00000160408,2066.36519879858,-7.476026701680443,0.1613144668773011,-46.34442803798155,0.0,2.2250738585072014e-308,307.6526555685888,Down
ARL6IP4,4,ENSG00000182196,895.129855478403,-7.924095153927563,0.1869956689268903,-42.37582185406467,0.0,2.2250738585072014e-308,307.6526555685888,Down
GABARAP,5,ENSG00000170296,1947.669616412304,-7.945986534331549,0.1631808263670015,-48.694363861478685,0.0,2.2250738585072014e-308,307.6526555685888,Down
RPS10,6,ENSG00000124614,1749.6946352586972,-6.192654749170863,0.1440218515195378,-42.99802206285882,0.0,2.2250738585072014e-308,307.6526555685888,Down
CYP20A1,7,ENSG00000119004,1830.120010779922,3.963561266815812,0.105101242619053,37.71184020327925,0.0,2.2250738585072014e-308,307.6526555685888,Up
RNASEK,8,ENSG00000219200,1049.700538677037,-6.350303877177022,0.152052495299175,-41.76389124481192,0.0,2.2250738585072014e-308,307.6526555685888,Down
ATP6V0C,9,ENSG00000185883,3318.9961021898303,-10.20168747709835,0.2248740294764725,-45.36623237840679,0.0,2.2250738585072014e-308,307.6526555685888,Down
DYNLRB1,10,ENSG00000125971,1778.979782048484,-4.70308800276078,0.1231715884417166,-38.18322116537636,0.0,2.2250738585072014e-308,307.6526555685888,Down
FDX2,11,ENSG00000267673,290.0038788621315,-8.878928217101263,0.2358088806518573,-37.65306969167927,2.9143309896809e-310,1.1152416114761408e-306,305.95263103471115,Down
