gene_name,Unnamed: 0.1,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
BCS1L,36611,36611,ENSG00000074582,909.9006588934948,0.1980766637391429,0.1452055267942845,1.364112428170603,0.1725321838362981,0.2121497428200126,0.6733574903735241,Not Significant
CYC1,15703,15703,ENSG00000179091,2653.169065276669,-0.7960673136587231,0.1462787038972189,-5.442127202727137,5.264805797342084e-08,1.509273383791029e-07,6.821232086719983,Not Significant
LYRM7,6031,6031,ENSG00000186687,1565.6164273203497,-1.2837778183546344,0.1376448898675504,-9.326737952930596,1.0917937362159067e-20,8.148178434422731e-20,19.08893946908809,Down
MT-CYB,241,241,ENSG00000198727,132484.7871181062,-5.549707049074014,0.2470424289926885,-22.46459068469677,9.215709719385973e-112,1.7143885779216408e-109,108.76589073543455,Down
SDHA,30,30,ENSG00000073578,2121.801073789394,-3.3007358922598304,0.0994837303338742,-33.17865022936246,2.187999325959681e-241,3.177469085657384e-238,237.4979186661064,Down
SDHAF1,16945,16945,ENSG00000205138,416.1358188240016,-0.8127426211406193,0.1585337189636997,-5.126623070810047,2.9498525485773e-07,7.836622913041512e-07,6.105871050351552,Not Significant
SDHAF2,154,154,ENSG00000167985,440.7819799422555,-2.5250651226589964,0.1014908174411059,-24.87973972743164,1.2329306819772423e-136,3.580987507866676e-134,133.44599719400458,Down
SDHAF3,24312,24312,ENSG00000196636,255.1118105679774,-1.229959827794208,0.3498247512148729,-3.51593140143114,0.0004382141923645,0.0008114163092197,3.090756267357677,Down
SDHAF4,5536,5536,ENSG00000154079,418.248400624793,-1.5713419949585197,0.1623414785747012,-9.679239149195432,3.694551799861276e-22,3.0038834653775466e-21,20.522316919645625,Down
SDHB,6687,6687,ENSG00000117118,1689.707144084245,-1.0369217140002092,0.116517783295282,-8.899257132041543,5.62217081276544e-19,3.784457353766258e-18,17.421996384370026,Down
SDHC,357,357,ENSG00000143252,1963.3058870526784,-2.583754156006885,0.1247000408606537,-20.71975388439612,2.2985730327767388e-95,2.890487691692067e-93,92.53902887560268,Down
SDHD,5159,5159,ENSG00000204370,943.3398263686456,-1.521433174499912,0.1532262704810434,-9.92932327937942,3.103546159694929e-23,2.7077237318470163e-22,21.56739564864827,Down
TTC19,6824,6824,ENSG00000011295,3077.2421777892405,-0.7343350397583785,0.0833354081054727,-8.811801087347812,1.2315100322429665e-18,8.123274746014083e-18,17.09026885777637,Not Significant
UQCC1,43180,43180,ENSG00000101019,2950.4392066580435,-0.0443653567981313,0.1229242177634206,-0.3609163239380277,0.7181620001940847,0.7487305779564508,0.1256744300393468,Not Significant
UQCC2,39171,39171,ENSG00000137288,1066.6916895555714,0.1249512859863393,0.127772791486199,0.977917790892402,0.3281149852280186,0.3770909966297399,0.4235538366230215,Not Significant
UQCC3,11404,11404,ENSG00000204922,177.5774155485256,-0.8438536046449508,0.1252306084832461,-6.738397384357075,1.6014309401685643e-11,6.321334458171731e-11,10.199191230792993,Not Significant
UQCR10,1269,1269,ENSG00000184076,1149.444049371972,-2.55350267652847,0.1645950184749515,-15.513851513781187,2.7959261169009844e-54,9.91100770525712e-53,52.00388218622278,Down
UQCR11,127,127,ENSG00000127540,1023.5422549850928,-3.0671875589635094,0.1185803792237204,-25.86589433296363,1.6121329100245992e-147,5.6700477715935486e-145,144.2464132820503,Down
UQCRB,519,519,ENSG00000156467,4459.975323166149,-2.224109489685503,0.1167226025222335,-19.05465986557188,6.0105887024183975e-81,5.203667169118729e-79,78.28369048905851,Down
UQCRC1,9790,9790,ENSG00000010256,4765.447902164065,-1.0037195307523303,0.1364191419928846,-7.357615039131991,1.8722504116974906e-13,8.608603950996766e-13,12.065067271953682,Down
UQCRC2,6221,6221,ENSG00000140740,5607.753044145019,-1.125125427993643,0.1220325249383918,-9.219881573061462,2.9742853072058304e-20,2.152030701464148e-19,18.667151537196467,Down
UQCRFS1,5614,5614,ENSG00000169021,2337.7668151148805,-1.1821692755924884,0.1228851173937871,-9.62011755910368,6.575596841939382e-22,5.272071134946911e-21,20.278018738530417,Down
UQCRH,2290,2290,ENSG00000173660,3134.314900586347,-1.909926588663664,0.1450097391218339,-13.171022858395643,1.2884021916701822e-39,2.530653502041882e-38,37.59676731452281,Down
UQCRQ,5423,5423,ENSG00000164405,1561.442647184893,-1.155958673389726,0.1184893905488134,-9.755798962553628,1.7422334654995696e-22,1.4460473521999469e-21,20.83981748542155,Down
