gene_name,Unnamed: 0.1,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
ATP5F1A,4790,4790,ENSG00000152234,15615.826498687233,-1.2172446502442162,0.1191133184833724,-10.219215329930854,1.6265213654948472e-24,1.5283733114842937e-23,22.815770554584976,Down
ATP5F1B,5342,5342,ENSG00000110955,16635.40592577243,-1.3385404796588758,0.1365921386895045,-9.799542583498084,1.1309662707143396e-22,9.529285147162429e-22,21.020939677356125,Down
ATP5F1C,1521,1521,ENSG00000165629,2891.520827548899,-1.7967218109975551,0.1215168912109816,-14.785778282280337,1.8095346396793667e-49,5.352394214436623e-48,47.271451907413336,Down
ATP5F1D,6526,6526,ENSG00000099624,1721.6700998200909,-1.5947501116784346,0.1770724796731498,-9.006199690782626,2.1332055692535346e-19,1.4713464305534682e-18,17.83228505999567,Down
ATP5F1E,19554,19554,ENSG00000124172,4488.928413412852,-0.5822067913651061,0.1291862153937518,-4.506725346745196,6.583576130607704e-06,1.5156533562967438e-05,4.819400114443909,Not Significant
ATP5IF1,734,734,ENSG00000130770,2115.6830616550187,-2.2464239883663293,0.127306871006838,-17.64574033278744,1.0972680502524804e-69,6.720804129838968e-68,67.17257876143148,Down
ATP5MC1,3776,3776,ENSG00000159199,1442.844645328309,-1.7508091584377985,0.156523729225576,-11.185582959850125,4.797422487545848e-29,5.718166877596679e-28,27.24274317444815,Down
ATP5MC2,17201,17201,ENSG00000135390,3521.638678286617,-0.7861877825305884,0.1552718793510608,-5.063297912129105,4.12065157157313e-07,1.0784072381156305e-06,5.967217205876329,Not Significant
ATP5MC3,10469,10469,ENSG00000154518,3090.928866490106,-2.2007221834126303,0.3104017984714684,-7.089914408517567,1.3419497073925658e-12,5.770127399914605e-12,11.238814597854825,Down
ATP5MD,258,258,ENSG00000173915,1240.9728212909745,-3.2522227321311794,0.1470031926868786,-22.123483665137226,1.8784773202998085e-108,3.2651417174740186e-106,105.4860979642262,Down
ATP5ME,3004,3004,ENSG00000169020,509.0543968916908,-1.9075966400477733,0.1579225835370137,-12.079315049963538,1.3584662176023993e-33,2.0351677421045726e-32,31.69139978964853,Down
ATP5MF,1385,1385,ENSG00000241468,1601.096277900538,-1.761847091872855,0.1160962237481888,-15.175748486826569,5.119044556657251e-52,1.6627291983849406e-50,49.77917847671176,Down
ATP5MG,142,142,ENSG00000167283,1369.6223443660533,-3.8432982756171534,0.1524778950642159,-25.20560946882531,3.4768019603395483e-140,1.0945604716959868e-137,136.9607602397622,Down
ATP5MPL,492,492,ENSG00000156411,2113.972272084917,-2.641542353097001,0.1369318223096368,-19.290931125738016,6.401005439460624e-83,5.845169652719631e-81,80.23320287916926,Down
ATP5PB,11010,11010,ENSG00000116459,4095.632144715933,-0.790248550056291,0.1148423352647552,-6.881160577538478,5.936688420280402e-12,2.4272434473944548e-11,10.614886662663643,Not Significant
ATP5PD,1662,1662,ENSG00000167863,2133.283737491279,-1.8721417445555115,0.1292852483326401,-14.480706567068252,1.604394028830249e-47,4.343248032706495e-46,45.3621853683905,Down
ATP5PF,344,344,ENSG00000154723,1334.9403913101553,-2.4721415335954,0.1183656966943723,-20.885624827424653,7.23521337610474e-97,9.441219448662587e-95,94.0249719076488,Down
ATP5PO,197,197,ENSG00000241837,2323.861225174974,-3.551496769640041,0.1501509300270562,-23.652845633390907,1.1033586514469344e-123,2.5086920772469463e-121,120.60055264173812,Down
ATPAF1,3121,3121,ENSG00000123472,3704.2435539191247,-1.9521295907939904,0.1636645132678909,-11.927628975981412,8.495895924576434e-33,1.2251016612059786e-31,30.91182787124323,Down
ATPAF2,25302,25302,ENSG00000171953,503.58567108617495,0.3828738100900748,0.1149975776974414,3.329407608022976,0.0008703093376015,0.0015484510164598,2.810102528516873,Not Significant
ATPSCKMT,28641,28641,ENSG00000150756,611.6246666486231,0.3497386110198343,0.1296399181106398,2.697769453397476,0.0069805765990191,0.0109719495115998,1.9597161995075425,Not Significant
DMAC2L,10313,10313,ENSG00000125375,996.8230072932377,-0.9925982785978228,0.1387424826998844,-7.154249075569188,8.413218609165743e-13,3.6722385938145495e-12,11.435069109439535,Not Significant
FMC1,472,472,ENSG00000164898,132.32039891627994,-3.3249975448487143,0.1705341891777113,-19.49754216958677,1.151861446802449e-84,1.0963139635010456e-82,81.9600650543464,Down
MT-ATP6,81,81,ENSG00000198899,133660.74677817692,-6.346201842817799,0.2199964655983843,-28.84683545054374,5.551812665526857e-183,3.048012858406751e-180,179.51598320520537,Down
MT-ATP8,70,70,ENSG00000228253,17867.2124948383,-8.049932441538218,0.2725228893546806,-29.538555314014243,9.212693680571016e-192,5.841496574727136e-189,188.23347587362724,Down
TMEM70,2925,2925,ENSG00000175606,690.948387760971,-2.1534609510558607,0.1764883124957678,-12.20171987936878,3.043272371106525e-34,4.6823335227219634e-33,32.3295376547319,Down
