gene_name,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
ACAD9,25702,ENSG00000177646,1925.611197761432,0.3616221112196486,0.1125184427381075,3.2138918955832225,0.001309489648218,0.0022860409292764,2.6409159982628005,Not Significant
ACP1,4397,ENSG00000143727,2396.89790460442,-0.9463011442405552,0.094092358301892,-10.057151944309668,8.543414890573683e-24,8.716497716119412e-23,22.059657979298567,Not Significant
AIFM1,38203,ENSG00000156709,1185.4773369763557,-0.1449484520111997,0.1214149957994226,-1.193826603187092,0.232545802955591,0.273127492524875,0.5636345823542082,Not Significant
BCS1L,42617,ENSG00000074582,882.3908938601652,0.0459997806367979,0.0975067236249522,0.471760089219391,0.6370980413100155,0.6707782207429186,0.173421046788556,Not Significant
CD14,2797,ENSG00000170458,8160.396692578245,4.150324273801541,0.353580957712194,11.73797452401212,8.141290063093503e-32,1.3056033824913103e-30,29.884188733440546,Up
CEP89,4605,ENSG00000121289,1596.163411082622,1.055712577060297,0.1068143343144746,9.88362267888267,4.902772214253135e-23,4.776211290181336e-22,21.320916469121126,Up
CMC1,40217,ENSG00000187118,416.6189004739053,-0.1197231116331892,0.1325973646704829,-0.9029071726328244,0.3665751635655654,0.4089858810570014,0.388291684376212,Not Significant
CMC2,2839,ENSG00000103121,1043.4022965481108,-1.4059374529234658,0.1202949252113751,-11.687421148091127,1.4780672963228402e-31,2.3350098419822922e-30,29.631711284558428,Down
COA1,7125,ENSG00000106603,3403.016520435115,0.9269187726578154,0.1123186126426103,8.252583884802808,1.5500602289429354e-16,9.760419945677585e-16,15.01053149625063,Not Significant
COA3,3096,ENSG00000183978,1154.9341860806478,-1.5765891369500098,0.1392087476679602,-11.325359672874002,9.827466150737396e-30,1.4238560983201087e-28,27.846533900350472,Down
COA4,13145,ENSG00000181924,1104.155449086169,0.8298952582654864,0.1396306916064562,5.943501738174544,2.789967922713738e-09,9.522488305973803e-09,8.021249551999038,Not Significant
COA5,9525,ENSG00000183513,1522.0368969442875,-0.8295618144363213,0.1157510980388843,-7.166772743336273,7.678633837152841e-13,3.616921886488402e-12,11.441660870456897,Not Significant
COA6,1758,ENSG00000168275,337.71796749310585,-2.3051175500345003,0.172053025565716,-13.397715863787909,6.235273942311115e-41,1.5905797445448665e-39,38.79844455243048,Down
COA7,11122,ENSG00000162377,1068.364159374083,-0.7859438580505237,0.1195203154661566,-6.575818135897334,4.8386367327821955e-11,1.9519416419731176e-10,9.709533170761496,Not Significant
COA8,6712,ENSG00000256053,617.3333609524537,-1.2946797817264095,0.1523586498160947,-8.497579778300473,1.935844513874906e-17,1.293956192195455e-16,15.888080426766107,Down
COX10,29130,ENSG00000006695,596.5332591986376,0.3186032607672477,0.1219618463832512,2.612319099909928,0.0089930271566287,0.0138521204745834,1.8584837399626537,Not Significant
COX11,17542,ENSG00000166260,1453.605245258195,-0.754824658136598,0.1563550737392054,-4.827631365488131,1.381665465301653e-06,3.533985697631561e-06,5.451735212455814,Not Significant
COX14,2139,ENSG00000178449,552.7024652094902,-1.9054925860744656,0.1501766045567921,-12.688345110065844,6.862038964881074e-37,1.4388156560428911e-35,34.8419948451821,Down
COX15,3673,ENSG00000014919,1080.524586215599,-0.947159242286189,0.0883600388535529,-10.719316724792323,8.261134904594747e-27,1.0089422545020984e-25,24.99613368933172,Not Significant
COX16,346,ENSG00000133983,306.70017149637494,-4.056536774979407,0.203071639380929,-19.975890219559467,8.927802696934625e-89,1.1544652300119698e-86,85.9376191425574,Down
COX17,19245,ENSG00000138495,626.8974184435982,-0.6852989079428955,0.153929686973508,-4.452025606086228,8.506401914824724e-06,1.983221242440508e-05,4.702628834452575,Not Significant
COX18,25518,ENSG00000163626,710.4765952681195,-0.3579937770476766,0.110203573311974,-3.248477034716797,0.0011602457423675,0.0020401029313755,2.6903479201227958,Not Significant
COX19,36983,ENSG00000240230,839.7097061709477,0.22277318951142,0.1613196853233532,1.3809423757856198,0.1672966791855177,0.2029734288268809,0.692560811688561,Not Significant
COX20,11583,ENSG00000203667,269.01733535028404,1.1402353002937764,0.1773440332509269,6.429510366894832,1.280156290462792e-10,4.958726943141915e-10,9.304629805875395,Up
COX4I1,776,ENSG00000131143,7503.137060967041,-1.865775075616177,0.1125433938643914,-16.578272713761702,1.0006374971143052e-61,5.778584959204117e-60,59.238178497158536,Down
COX4I2,41653,ENSG00000131055,41.06408973930562,-0.2432213625887388,0.3698817452546459,-0.6575651967395485,0.5108175643706672,0.5502947312873802,0.2594046452549372,Not Significant
COX5A,618,ENSG00000178741,1744.150972579619,-2.265655512930984,0.1302948504727892,-17.38868040225537,1.0052206102016712e-67,7.286793861124263e-66,65.13746351622278,Down
COX5B,7227,ENSG00000135940,3147.540428827194,-1.3326603936276264,0.1626957679150587,-8.191118986717528,2.58808567219767e-16,1.606668403392109e-15,14.794073747030687,Down
COX6A1,329,ENSG00000111775,2073.232383572197,-3.2175735341598566,0.1593785711099302,-20.188244327655305,1.2420003998075943e-90,1.6887818163565626e-88,87.77242645586011,Down
COX6A2,17649,ENSG00000156885,3.130547839400896,-2.263726026630553,0.47107985491554,-4.80539764757382,1.5444423334813035e-06,3.926383679639635e-06,5.40600726413269,Down
COX6B1,5449,ENSG00000126267,3185.7645177788245,-1.2482304845804526,0.1344174915105342,-9.286220644004718,1.5986411139987782e-20,1.3161949619493426e-19,18.880679775898724,Down
COX6B2,41498,ENSG00000160471,12.297582185633605,0.2441782198001378,0.3545172436914921,0.6887626036397443,0.4909726726153351,0.530857499849491,0.2750220426371405,Not Significant
COX6C,2251,ENSG00000164919,2653.472512462666,-2.261422237687333,0.1807442439485855,-12.51172479014389,6.441027808603148e-36,1.2833719307274951e-34,33.89164746361384,Down
COX7A1,12255,ENSG00000161281,373.3002976115749,-2.43699648425062,0.392008462722028,-6.216693556380407,5.077399725341981e-10,1.858909946767461e-09,8.730741648726902,Down
COX7A2,4344,ENSG00000112695,2190.4109569550947,-1.7629921383788048,0.1744802026551163,-10.104253156236853,5.289706724097276e-24,5.46270265631689e-23,22.262592438188555,Down
COX7A2L,921,ENSG00000115944,2247.6623315452807,-1.980728494130064,0.1240225259312661,-15.97071563618848,2.0442691169020605e-57,9.948850275977478e-56,55.00222710494765,Down
COX7B,4541,ENSG00000131174,2612.3387495257693,-1.3410419407683731,0.1350334600260267,-9.931182541792952,3.0462119044080494e-23,3.0093917737272924e-22,21.52152127052101,Down
COX7C,3917,ENSG00000127184,4462.009822499921,-1.5056851398922255,0.1438863718254305,-10.464404104365018,1.2586597763134903e-25,1.441483481954125e-24,23.841190329853838,Down
COX8A,4617,ENSG00000176340,1941.745447955661,-1.6618245007933024,0.1682850072147884,-9.87505974713632,5.340112738766119e-23,5.188744016915862e-22,21.284937754393365,Down
COX8C,44670,ENSG00000187581,3.786837530055485,0.0213557850883438,0.4655703364502987,0.0458701584193899,0.9634137392629392,0.9677271136636152,0.0142470907681221,Not Significant
CYC1,10424,ENSG00000179091,2547.197823197951,-0.8874262996736219,0.1301543173402188,-6.818262488780304,9.214816387023224e-12,3.966216077718168e-11,10.401623629312663,Not Significant
DMAC1,14922,ENSG00000137038,1117.5835537184023,-0.9105496332448416,0.1671482505690457,-5.447557064731056,5.1066334298882943e-08,1.5354804572305678e-07,6.813755706652326,Not Significant
DMAC2,4184,ENSG00000105341,998.0415212502857,-1.1389956330351618,0.1112021788126813,-10.242565794990274,1.2780134266652456e-24,1.370268589435991e-23,22.863194297458858,Down
ECSIT,3374,ENSG00000130159,1038.2960365235906,-1.6138454577703936,0.1464377190854808,-11.020695131343414,3.03704588924115e-28,4.037786254700434e-27,26.39385667470914,Down
FOXRED1,4007,ENSG00000110074,1109.7575243073911,-1.348593064221962,0.129816664198283,-10.388443367810696,2.7988356531927303e-25,3.133397070718837e-24,23.5039845669136,Down
HIGD1A,1376,ENSG00000181061,2593.9252083446468,-3.2547610895753736,0.2265412269686001,-14.3671910544852,8.313528682439681e-47,2.7090511656481546e-45,44.56718279240175,Down
LYRM2,32328,ENSG00000083099,1819.673897002264,-0.3119813789467829,0.1493409013371063,-2.089055149349536,0.0367027590530006,0.0509415540680872,1.2929278101988708,Not Significant
LYRM7,4681,ENSG00000186687,1319.76777376051,-1.5978711133466683,0.162462605869226,-9.83531628584655,7.931797919084656e-23,7.601616924973251e-22,21.119094019968664,Down
MR1,4252,ENSG00000153029,1680.6574011560149,2.282641230005341,0.2240401452179199,10.18853664723818,2.2309700478892668e-24,2.3537704448351586e-23,22.62823589467978,Up
MT-CO1,681,ENSG00000198804,385757.5265869238,-3.788679872955929,0.2223259377222149,-17.04110600756666,4.069621120215785e-65,2.6775362065278957e-63,62.57226464778314,Down
MT-CO2,336,ENSG00000198712,150867.0825116362,-4.643127847214089,0.230751815249437,-20.12173920363305,4.7608069020442625e-90,6.338936691442969e-88,87.19798358561472,Down
MT-CO3,726,ENSG00000198938,187306.12823291213,-3.65519083159379,0.21735228243235,-16.816896471889834,1.835242577289746e-63,1.1327258553723273e-61,60.945875186257865,Down
MT-CYB,495,ENSG00000198727,100831.52147262984,-5.557985131150178,0.3038511411408988,-18.29180272379785,9.618106681631196e-75,8.70109001837648e-73,72.06042633826492,Down
MT-ND1,235,ENSG00000198888,106184.36283889395,-6.82594359817483,0.3105181380772691,-21.98243117275252,4.24130537360182e-107,8.064051416054545e-105,104.09344671184628,Down
MT-ND2,177,ENSG00000198763,117330.831641956,-7.611054296936311,0.3232637072152529,-23.54441320524827,1.4321960374956577e-122,3.6103409212622274e-120,119.44245178611868,Down
MT-ND3,1042,ENSG00000198840,26779.21336934656,-4.496458494113974,0.2905929658609364,-15.473390695443603,5.246903653156179e-54,2.2572753002950232e-52,51.64641547055992,Down
MT-ND4,314,ENSG00000198886,198247.32667979668,-6.016228623016458,0.2943634322480352,-20.438097820340296,7.666962618844117e-93,1.092140570381442e-90,89.96172145960566,Down
MT-ND4L,713,ENSG00000212907,17855.586890646566,-5.074717764448403,0.3006836840269037,-16.877263496593123,6.614043857833249e-64,4.156565293345038e-62,61.38126539299999,Down
MT-ND5,2141,ENSG00000198786,46700.02255420391,-4.106813177625484,0.3237222966991365,-12.686222788794517,7.050484783718993e-37,1.4769481920179968e-35,34.83063473848312,Down
MT-ND6,244,ENSG00000198695,10043.328405326372,-6.124620184218898,0.2822046539781976,-21.702761091573176,1.932061142952636e-104,3.538510838588887e-102,101.45117946979671,Down
NDUFA1,6838,ENSG00000125356,1964.9574085713168,-1.1939248851110906,0.1415926974584076,-8.432107774921105,3.394940940072551e-17,2.227436685509511e-16,15.652194631858828,Down
NDUFA10,5185,ENSG00000130414,4587.717739679137,-0.8755278203925368,0.0924520235063059,-9.47007742164582,2.796363547727248e-21,2.4195069176642755e-20,19.61627313185289,Not Significant
NDUFA11,409,ENSG00000174886,885.4404166831525,-3.101481603084511,0.162587863619296,-19.075726404442552,4.0180073247255405e-81,4.397366016286823e-79,78.35680738422383,Down
NDUFA12,3848,ENSG00000184752,1123.6167085362545,-1.4203033219062484,0.1347933048201807,-10.536898133041444,5.839319002094495e-26,6.80738069480338e-25,24.167019961305307,Down
NDUFA13,34,ENSG00000186010,1030.9013233712549,-5.559627545889116,0.1631185429128911,-34.08335708870374,1.3015278784968414e-254,1.6685959267437649e-251,250.77764882091927,Down
NDUFA2,1259,ENSG00000131495,587.0543319243492,-1.908148725086972,0.1296620284125111,-14.716326348191336,5.0643448681047336e-49,1.803509671243869e-47,46.7438815244537,Down
NDUFA3,11385,ENSG00000170906,1399.1216099201324,-0.8577717464392411,0.1321613791638037,-6.490335920118537,8.564519558720614e-11,3.37518493869096e-10,9.471702425602592,Not Significant
NDUFA4,1189,ENSG00000189043,6955.12572427894,-2.441764502231925,0.1634563617854854,-14.938326508431738,1.85577353809459e-50,6.997513817465743e-49,48.15505623529221,Down
NDUFA5,3066,ENSG00000128609,3398.5733236110614,-2.3912699485348723,0.2105549424621104,-11.356987969851067,6.84646242624429e-30,1.0016550881252283e-28,27.99928179853969,Down
NDUFA6,15417,ENSG00000184983,1634.0001153138985,-0.8818006338140395,0.1656867158252235,-5.322096158537035,1.025783214026561e-07,2.985336528511209e-07,6.525006704991083,Not Significant
NDUFA7,49,ENSG00000267855,218.23357090214105,-5.0018390308228655,0.1576878676179216,-31.719872342635405,8.268297972829285e-221,7.42013596677646e-218,217.129588136624,Down
NDUFA8,405,ENSG00000119421,1263.2960492359064,-2.1075397579945734,0.1101613943300716,-19.131382375933324,1.3835623381241504e-81,1.529109006747999e-79,78.81556155360555,Down
NDUFA9,683,ENSG00000139180,1278.8998509915723,-1.8815020204560948,0.1104850374181923,-17.029473532551734,4.964887833059551e-65,3.257009970134724e-63,62.48718091200072,Down
NDUFAB1,3607,ENSG00000004779,1487.2817259197916,-1.3914066930615252,0.1290179009270285,-10.784601850316056,4.070019501397224e-27,5.061691935897862e-26,25.29570429035337,Down
NDUFAF1,5920,ENSG00000137806,618.9548140472695,-1.3518123570591136,0.1509606322750991,-8.954734334946835,3.4055468670649887e-19,2.580819008141753e-18,17.58824245129552,Down
NDUFAF2,26946,ENSG00000164182,542.0855250004669,-0.4691938014307814,0.1569966813393555,-2.988558722566864,0.0028029663167015,0.0046673804726579,2.330926795120671,Not Significant
NDUFAF3,10449,ENSG00000178057,1142.6443472057224,-1.1498559866954594,0.1689464372798433,-6.806038678346526,1.003227507959778e-11,4.307734115757245e-11,10.36575111030047,Down
NDUFAF4,1654,ENSG00000123545,750.3411364982858,-2.704290035391096,0.198381260863296,-13.631781669411884,2.591746599877601e-42,7.02684360623008e-41,40.15323971228136,Down
NDUFAF5,7110,ENSG00000101247,919.9735483628336,-1.0019027042423765,0.1212827830255124,-8.260881546819558,1.4460052862158792e-16,9.124413331147901e-16,15.039795049637071,Down
NDUFAF6,17827,ENSG00000156170,654.0801056601777,-0.5540700542087134,0.1162762244145959,-4.765119068822827,1.8874215901820296e-06,4.7504203597183e-06,5.323267958411225,Not Significant
NDUFAF7,38263,ENSG00000003509,785.3445763371564,0.121013215139686,0.1021831143410608,1.1842780083583595,0.2363030312578433,0.2771051985043563,0.5573553267598872,Not Significant
NDUFAF8,20519,ENSG00000224877,493.4389862689741,-0.8302276027728548,0.1978290811614891,-4.196691395918352,2.708425847309492e-05,5.922503713188314e-05,4.227494658318715,Not Significant
NDUFB1,5121,ENSG00000183648,1183.759539230707,-1.3202190005898464,0.1387761859025311,-9.513296478093844,1.847143903320968e-21,1.6181802828175543e-20,19.79097309491708,Down
NDUFB10,4733,ENSG00000140990,1622.0761058494438,-1.2599490027710532,0.1286686254882148,-9.792200685989734,1.2161951847348332e-22,1.1527649795994232e-21,20.93825922563417,Down
NDUFB11,14280,ENSG00000147123,1781.195094640192,-0.89954766558051,0.1603017424219678,-5.611590067515298,2.004758973702297e-08,6.298966452559049e-08,7.200730704637472,Not Significant
NDUFB2,9158,ENSG00000090266,1761.7058088846534,-1.0065742291447846,0.1376593757806902,-7.31206445936811,2.630688497603139e-13,1.2888047120422585e-12,11.889812884747272,Down
