gene_name,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
BCS1L,42617,ENSG00000074582,882.3908938601652,0.0459997806367979,0.0975067236249522,0.471760089219391,0.6370980413100155,0.6707782207429186,0.173421046788556,Not Significant
CYC1,10424,ENSG00000179091,2547.197823197951,-0.8874262996736219,0.1301543173402188,-6.818262488780304,9.214816387023224e-12,3.966216077718168e-11,10.401623629312663,Not Significant
LYRM7,4681,ENSG00000186687,1319.76777376051,-1.5978711133466683,0.162462605869226,-9.83531628584655,7.931797919084656e-23,7.601616924973251e-22,21.119094019968664,Down
MT-CYB,495,ENSG00000198727,100831.52147262984,-5.557985131150178,0.3038511411408988,-18.29180272379785,9.618106681631196e-75,8.70109001837648e-73,72.06042633826492,Down
SDHA,197,ENSG00000073578,1681.4515729754671,-3.55061904260714,0.1550408131335352,-22.90118950517257,4.521087235502199e-116,1.0245742694152482e-113,112.98945655495127,Down
SDHAF1,6301,ENSG00000205138,373.6643716140915,-1.032810060661953,0.1181784404292831,-8.73941183273591,2.3432717669045866e-18,1.668437757105295e-17,16.777689990537464,Down
SDHAF2,181,ENSG00000167985,403.0895459207757,-2.44212227685276,0.1042929044060358,-23.41599642622884,2.9368149343607277e-121,7.240539720862648e-119,118.14022905962383,Down
SDHAF3,26243,ENSG00000196636,288.1436708803532,-0.946522841791471,0.3032752477614959,-3.1210026165268943,0.001802364327546,0.0030816144544017,2.5112216974799573,Not Significant
SDHAF4,2051,ENSG00000154079,396.5860283123287,-1.5873560793384025,0.1232710611625486,-12.876956394861168,6.068171632115055e-38,1.326924606747732e-36,35.8771537521948,Down
SDHB,10175,ENSG00000117118,1870.7076112634643,-0.8239876780984264,0.1192052343009641,-6.912344771858412,4.7670752181489695e-12,2.1020384445122093e-11,10.677359345354954,Not Significant
SDHC,237,ENSG00000143252,1823.896388084416,-2.4422766479907483,0.1115166476427931,-21.900556550209224,2.5662705219261464e-106,4.8382825457709293e-104,103.31530877332716,Down
SDHD,11320,ENSG00000204370,995.7039340820244,-1.3180628935894707,0.2024315999990483,-6.511151883380199,7.457668943250481e-11,2.955861347518703e-10,9.529315941528838,Down
TTC19,10892,ENSG00000011295,2857.149586931865,-0.8970607209561451,0.1348434373836888,-6.65260941400962,2.8794161002379662e-11,1.186103734818487e-10,9.925877326579576,Not Significant
UQCC1,27594,ENSG00000101019,2553.787208585876,-0.380208462789326,0.1320618059687282,-2.879019107760484,0.0039891416381068,0.0064865654808296,2.1879851934214662,Not Significant
UQCC2,43194,ENSG00000137288,1016.349830475055,-0.0520729016346869,0.1463547560376251,-0.3557991762242421,0.7219909660474877,0.7500047838295362,0.1249359664961078,Not Significant
UQCC3,8864,ENSG00000204922,161.43963937589805,-1.0345808605017168,0.1392080206299386,-7.431905545528717,1.0704423168434709e-13,5.418140687995869e-13,12.266149722221456,Down
UQCR10,538,ENSG00000184076,1034.4920621489457,-2.5112508338898354,0.1398944438219452,-17.95104055087494,4.709959303089762e-72,3.9209755823551154e-70,69.40660586223473,Down
UQCR11,51,ENSG00000127540,845.7906339299182,-3.1895007916712474,0.102228408812025,-31.199749939725866,1.0737965523393765e-213,9.265831750003878e-211,210.0331155900284,Down
UQCRB,820,ENSG00000156467,4010.5201814523775,-2.2542772756380907,0.1372394456811307,-16.42586986889903,1.248800682065069e-60,6.825205286838212e-59,58.16588428148864,Down
UQCRC1,7668,ENSG00000010256,4669.668073448215,-1.0314036028787268,0.1295782174962138,-7.959698958730185,1.7245835294588026e-15,1.0090466495024896e-14,13.99608875531592,Down
UQCRC2,4154,ENSG00000140740,5736.59539755545,-1.052126197101283,0.1025233310212063,-10.26230992127691,1.041842361785819e-24,1.1251145274534657e-23,22.94880326767752,Down
UQCRFS1,4663,ENSG00000169021,2158.9840667866847,-1.308222849744051,0.1328687789801308,-9.84597630674157,7.134315223905362e-23,6.864444392391271e-22,21.163394608767156,Down
UQCRH,944,ENSG00000173660,2958.181546047918,-1.8779474072550049,0.1184264851886578,-15.857495088732596,1.2477205851980954e-56,5.92449421993902e-55,54.22734871989431,Down
UQCRQ,9705,ENSG00000164405,1731.0464405408509,-0.9209213241992488,0.1297273024243105,-7.098901364549386,1.2575251493211289e-12,5.813559754295113e-12,11.235557859307857,Not Significant
