gene_name,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
ATP5F1A,2794,ENSG00000152234,14724.66325069578,-1.296654725384481,0.1104211910473579,-11.742806911296274,7.689138126094165e-32,1.2344161604864806e-30,29.90853840129669,Down
ATP5F1B,6706,ENSG00000110955,16618.895743899793,-1.279875007281425,0.1505495482851833,-8.501354018392538,1.8739192772651e-17,1.2536846860021216e-16,15.901811679094353,Down
ATP5F1C,4562,ENSG00000165629,3054.306501373492,-1.531168842278504,0.1543833241878897,-9.917967826726027,3.4776438492659576e-23,3.419797439412947e-22,21.465999617204243,Down
ATP5F1D,4219,ENSG00000099624,1339.9019793112232,-2.074175142139809,0.2030584847061036,-10.21466867115582,1.7046050113247006e-24,1.8124960062357972e-23,22.74172294170685,Down
ATP5F1E,33527,ENSG00000124172,5270.100706939231,-0.330455146062738,0.1734615754201539,-1.905062520401528,0.0567719446102365,0.0759787021774613,1.1193081290753346,Not Significant
ATP5IF1,705,ENSG00000130770,1937.449958109089,-2.22310860765558,0.1313347783649627,-16.927036656488973,2.843390864848089e-64,1.8071641855042297e-62,61.74300238887832,Down
ATP5MC1,3114,ENSG00000159199,1334.3423486114552,-1.7950873985058071,0.1587221468267001,-11.3096214636371,1.1759575753837225e-29,1.6939451802582023e-28,27.771100648489725,Down
ATP5MC2,21286,ENSG00000135390,4011.721986311056,-0.5600868432597303,0.1385137102448499,-4.0435480521723655,5.264835988289232e-05,0.0001109778059992,3.954763865319829,Not Significant
ATP5MC3,7874,ENSG00000154518,3476.692308397181,-1.6860536635626917,0.2144194201388373,-7.86334401273432,3.7401201532926736e-15,2.1310848431542286e-14,13.671399259727272,Down
ATP5MD,828,ENSG00000173915,1194.5733719331622,-2.784944883509079,0.1697005154753671,-16.41093944651763,1.5971488944863912e-60,8.644833298492021e-59,58.063243376969936,Down
ATP5ME,2196,ENSG00000169020,519.2344567810273,-1.6957126728717098,0.1345582807740584,-12.602068509771172,2.0567870713871257e-36,4.2007324843064047e-35,34.37667497480308,Down
ATP5MF,2125,ENSG00000241468,1528.9542498152314,-1.7306120783023806,0.1361805239618088,-12.708220147454584,5.323225639422348e-37,1.1235110896825972e-35,34.94942263649435,Down
ATP5MG,364,ENSG00000167283,1134.2690088586708,-3.752459076384621,0.1909693214136356,-19.64953872489745,5.834060939619784e-86,7.172058860867927e-84,83.14435615485368,Down
ATP5MPL,524,ENSG00000156411,1939.1294356796147,-2.5211896356126577,0.1396493303823876,-18.05371804296619,7.375445471158378e-73,6.303687880692335e-71,70.2004052985402,Down
ATP5PB,12218,ENSG00000116459,4297.777965082183,-0.7146151348511179,0.1147772243568959,-6.226105735307263,4.781714205220443e-10,1.755956282039827e-09,8.755486300904412,Not Significant
ATP5PD,1483,ENSG00000167863,2149.195746257873,-1.695575009019629,0.1204813991581948,-14.073334314397355,5.539475590766929e-45,1.6749448061543322e-43,42.775999499539104,Down
ATP5PF,1069,ENSG00000154723,1251.2256354521476,-2.3334560604502017,0.1519670078580557,-15.355017469513896,3.2782124673212863e-53,1.3747352487960133e-51,50.86178093169399,Down
ATP5PO,278,ENSG00000241837,1937.753794742104,-3.5162795082552254,0.1669971754379139,-21.055922047989995,2.018180366530965e-98,3.245798251849856e-96,95.48867847798832,Down
ATPAF1,903,ENSG00000123472,2976.385310447314,-2.327004872647764,0.1448315248125128,-16.066977653243082,4.347737369022491e-58,2.1580456137766395e-56,55.665939380041365,Down
ATPAF2,31677,ENSG00000171953,499.9070930560069,0.2589634998479619,0.1177509730669896,2.1992472172661794,0.0278603485945162,0.0394634036802997,1.403805459990471,Not Significant
ATPSCKMT,39443,ENSG00000150756,579.1998088380716,0.151055312722558,0.1498100581868661,1.0083122224953591,0.3133045971652094,0.3564113827045966,0.4480484343577912,Not Significant
DMAC2L,5721,ENSG00000125375,803.4551000482782,-1.4231082738342506,0.1565648110660047,-9.089579351482088,9.942296396652608e-20,7.796588284065001e-19,18.10809539904593,Down
FMC1,104,ENSG00000164898,101.66292900548196,-3.710940294108992,0.1409314592245654,-26.331525370753745,8.355413771363634e-153,3.5706263936653094e-150,149.44725558908414,Down
MT-ATP6,289,ENSG00000198899,100363.89685996802,-6.305968065681846,0.3031751538959524,-20.799752171795745,4.350509916430023e-96,6.731438981383849e-94,93.17189208661216,Down
MT-ATP8,142,ENSG00000228253,13192.450116565162,-7.991547359327685,0.3231971577995339,-24.72653971878217,5.544502347205247e-135,1.7397717819681583e-132,131.75950771742563,Down
TMEM70,14595,ENSG00000175606,943.920171445888,-1.2356295395373948,0.2230538717968577,-5.539601395768292,3.0316087850752146e-08,9.319766908407097e-08,7.03059494941195,Down
