gene_name,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
BCS1L,41513,ENSG00000074582,872.1374459910116,0.0813179366108313,0.1066147909279447,0.762726596404338,0.4456264655275446,0.4929328160015988,0.3072122686093064,Not Significant
CYC1,9574,ENSG00000179091,2467.793694088394,-0.9572588418324648,0.1439739850770375,-6.64883201864736,2.954279271497938e-11,1.4168507407462848e-10,9.848675898436046,Not Significant
LYRM7,12353,ENSG00000186687,1660.055731087417,-1.137907791500593,0.1951254637786595,-5.831672450456688,5.487455846939357e-09,2.0397398409203683e-08,7.690425221229878,Down
MT-CYB,572,ENSG00000198727,121182.3994248987,-5.618731480619289,0.3499689884563027,-16.054941054643894,5.278904613656404e-58,4.2305860168187735e-56,55.37359947039256,Down
TTC19,5466,ENSG00000011295,2952.415511682517,-0.8320524304907184,0.097654906110626,-8.520334140182857,1.5909365208962126e-17,1.3360899044636972e-16,15.874164317535026,Not Significant
UQCC1,14618,ENSG00000101019,2378.3976524300697,-0.4821491169424349,0.0916788875595019,-5.259107410411236,1.447563220621651e-07,4.547065507501665e-07,6.342268789067035,Not Significant
UQCC2,36105,ENSG00000137288,1143.5316455053166,0.2074814988679451,0.1393017392539154,1.4894393995307802,0.1363717000320924,0.1734427750837455,0.7608437863760485,Not Significant
UQCC3,11828,ENSG00000204922,171.7504551443449,-0.9194771211362578,0.1541480277512595,-5.964897083341015,2.447882808203776e-09,9.502851165400763e-09,8.022146072645368,Not Significant
UQCR10,688,ENSG00000184076,1136.0359193070583,-2.462636853298836,0.1603718759090075,-15.355790030766352,3.2393911982694894e-53,2.1590142701848082e-51,50.6657444871507,Down
UQCR11,61,ENSG00000127540,937.7395338870988,-3.2351352736736314,0.1169757727072303,-27.656455681388,2.3339719441934757e-168,1.7286826717630417e-165,164.7622847213302,Down
UQCRB,389,ENSG00000156467,4575.427279858487,-2.058207549679208,0.1158629759427976,-17.764152292233184,1.3394848754450336e-70,1.5771919221874711e-68,67.80211545589401,Down
UQCRC1,8299,ENSG00000010256,4746.049141721405,-1.0129416674077658,0.1423888922261692,-7.11390931954733,1.1280128010523316e-12,6.240900703267967e-12,11.204752727267836,Down
UQCRC2,5560,ENSG00000140740,5458.621179590363,-1.1792736878950487,0.139282899520061,-8.466751424321092,2.523318045569739e-17,2.083677179834705e-16,15.681169564583769,Down
UQCRFS1,3592,ENSG00000169021,2146.89633818278,-1.3675842030224596,0.138176541095998,-9.89736891787103,4.2737040248951736e-23,5.4620863492126725e-22,21.26264143845294,Down
UQCRH,2538,ENSG00000173660,3231.580751651485,-1.7683215214548516,0.159951274914869,-11.055376222515305,2.0646934984403868e-28,3.734257193457306e-27,26.427795773732235,Down
UQCRQ,7724,ENSG00000164405,1642.710265360388,-1.0384471984018495,0.1412229515528986,-7.353246671189087,1.9344945904204485e-13,1.1499537357501284e-12,11.939319631570385,Down
