gene_name,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
CEP89,15544,ENSG00000121289,1408.139477239235,0.9411662939977724,0.1868032238804423,5.038276505335564,4.697425046901025e-07,1.3876516923688773e-06,5.857719530325791,Not Significant
CMC1,37522,ENSG00000187118,393.5230909721308,-0.1762079869090892,0.1358085167217025,-1.297473760575509,0.1944682277435635,0.2379920445116909,0.6234375600965104,Not Significant
CMC2,12209,ENSG00000103121,1232.2115180258493,-1.0840717500960204,0.1847575730281965,-5.867536211522848,4.423184269944299e-09,1.6635302609345798e-08,7.778969294562294,Down
COA1,6445,ENSG00000106603,3309.5493541017404,0.965987627745116,0.1212159667669906,7.969145101173026,1.5977577331875313e-15,1.138235073932743e-14,13.943768036035058,Not Significant
COA3,3414,ENSG00000183978,1315.9903617331172,-1.3411654342420576,0.1333944597548307,-10.054131458735403,8.809480126566082e-24,1.1845977654232533e-22,21.92642909092964,Down
COA4,12233,ENSG00000181924,1028.139844128492,0.794966231667474,0.1355950049067215,5.8627987971558895,4.551295937355126e-09,1.7083542646663785e-08,7.767422063836699,Not Significant
COA5,16217,ENSG00000183513,1691.158495946404,-0.6146311617081982,0.1257323772129171,-4.888408024508852,1.016546709984578e-06,2.8783352737206687e-06,5.540858620042857,Not Significant
COA6,630,ENSG00000168275,364.0313834027756,-2.2864095461538647,0.1462286430741453,-15.63585285404405,4.148827145676749e-55,3.019307311515404e-53,52.52009268131177,Down
COA7,24342,ENSG00000162377,1192.4680496831254,-0.5607288622378258,0.1690561607189268,-3.316820042838278,0.0009104824094648,0.0017175476615469,2.765091202530644,Not Significant
COA8,6398,ENSG00000256053,623.680064879448,-1.3144966550548418,0.1645693789350088,-7.987492348585443,1.377112007079528e-15,9.882537971104704e-15,14.005131508317188,Down
COX10,25466,ENSG00000006695,582.8504778500388,0.3459918606293085,0.1104976651578872,3.1312142219017014,0.0017408512390985,0.0031390281442904,2.50320479043082,Not Significant
COX11,16461,ENSG00000166260,1538.0926617964649,-0.6326333718590084,0.1309004896801816,-4.832933577289661,1.3453568502587106e-06,3.7528934467701527e-06,5.425633766025681,Not Significant
COX14,2279,ENSG00000178449,545.6384961557598,-2.0799276728872047,0.1823520046252152,-11.406113561307114,3.897575224727955e-30,7.851757594721162e-29,28.105033116726137,Down
COX15,15401,ENSG00000014919,1154.7809707846243,-0.814915369076201,0.1606970918263366,-5.071127049124634,3.95466640187982e-07,1.1790056212473103e-06,5.928484124276523,Not Significant
COX16,283,ENSG00000133983,356.3690892365201,-4.0407968569956285,0.2088865634305575,-19.344455625260714,2.2698848671507003e-83,3.670259964240398e-81,80.4353031736126,Down
COX17,13535,ENSG00000138495,580.5501942992983,-0.8274727997787921,0.1499013950635024,-5.520114068506512,3.3877967128016966e-08,1.149313038183856e-07,6.939561666490348,Not Significant
COX18,28429,ENSG00000163626,718.9300678322165,-0.2996282154971452,0.1129923062434127,-2.651757676772025,0.0080073987333154,0.0129337937823629,1.888274067766189,Not Significant
COX19,37965,ENSG00000240230,805.9852881419465,0.2147436135730246,0.1738531754405382,1.235200985135137,0.2167557127335839,0.2621724459895408,0.5814129540780856,Not Significant
COX20,11367,ENSG00000203667,314.0804787199049,1.4740860293245994,0.2417362376841408,6.097910861220073,1.07463639366394e-09,4.340990309064199e-09,8.362411183690128,Up
COX4I1,1153,ENSG00000131143,7661.867246329589,-1.9367842443917136,0.1419303334067235,-13.646020536297591,2.1320766522707864e-42,8.484150082229358e-41,40.071391657540254,Down
COX4I2,23419,ENSG00000131055,26.09771197075615,-1.1034428672136287,0.3177439007623446,-3.472742874265098,0.0005151686521488,0.001010122103985,2.995626125344401,Down
COX5A,987,ENSG00000178741,1868.247244192101,-2.261117395712614,0.1594153919121658,-14.183808530599332,1.1540923478725257e-45,5.364076387313183e-44,43.27050504619098,Down
COX5B,5438,ENSG00000135940,3001.3776776659347,-1.495429822027559,0.1752576146592687,-8.532752342515526,1.429063953397413e-17,1.2065461629704466e-16,15.918456057145333,Down
