gene_name,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
ATP5F1A,3057,ENSG00000152234,15333.462967290106,-1.2477432778439883,0.1196554480660211,-10.427801642224706,1.851216602576432e-25,2.779912282763647e-24,23.555968907575718,Down
ATP5F1B,3646,ENSG00000110955,16345.063413425549,-1.361221534157912,0.1382167062785531,-9.848458777585058,6.96030776959775e-23,8.764033262618542e-22,21.05729598280642,Down
ATP5F1C,5071,ENSG00000165629,3209.7992952390705,-1.484100641216539,0.1695361561669796,-8.753888697080152,2.061243882129056e-18,1.8662141228558438e-17,16.729038528306706,Down
ATP5F1D,2978,ENSG00000099624,1365.6773874264145,-2.1896407697474776,0.2083638761033404,-10.50873505857369,7.874259424395839e-26,1.2138095569912094e-24,23.915849447392425,Down
ATP5F1E,18051,ENSG00000124172,4433.670235083809,-0.625751966470577,0.1392103554314062,-4.495010191816562,6.956661507901424e-06,1.7696479786413765e-05,4.752113115637188,Not Significant
ATP5IF1,568,ENSG00000130770,2210.680234977253,-2.024918972049824,0.1258517385906869,-16.089717907160225,3.012066082716741e-58,2.4308802563169667e-56,55.61423643371183,Down
ATP5MC1,2075,ENSG00000159199,1432.8620702376004,-1.7220561932370266,0.1466784956203012,-11.740345344792884,7.916253723885655e-32,1.7509152023662453e-30,29.756734886490044,Down
ATP5MC2,18964,ENSG00000135390,3712.016556692373,-0.6906305964899834,0.160018353639063,-4.315946144826409,1.589207247582528e-05,3.848035118177552e-05,4.414760973130813,Not Significant
ATP5MC3,2085,ENSG00000154518,3280.6687034798583,-1.9416606934188736,0.165713128800116,-11.716999778339314,1.0430071391403514e-31,2.2960657160337525e-30,29.63901568609009,Down
ATP5MD,541,ENSG00000173915,1306.6933657109073,-2.7989564111510585,0.172222923092105,-16.251938829618943,2.164107777135175e-59,1.8335423105871657e-57,56.73670906386399,Down
ATP5ME,1640,ENSG00000169020,508.9595780112811,-1.8491275003954464,0.1474903313217411,-12.537279452994705,4.667453080838226e-36,1.3061189087457172e-34,33.88401728319775,Down
ATP5MF,1126,ENSG00000241468,1468.0713501831092,-1.9472330913065183,0.1419420054509332,-13.718511902945052,7.866335403531974e-43,3.205235031637904e-41,40.494140119280594,Down
ATP5MG,114,ENSG00000167283,1314.3957497483336,-3.690886679211642,0.1563592642574734,-23.605167859666683,3.410803471529968e-123,1.3619783149228491e-120,119.865829807096,Down
ATP5MPL,256,ENSG00000156411,2112.563769886637,-2.501597590232412,0.1271572902044226,-19.673253387287154,3.655562407414794e-86,6.531793047116528e-84,83.184967583874,Down
ATP5PB,12383,ENSG00000116459,4300.624207578161,-0.7018681300661259,0.1204933732669093,-5.824952120075448,5.7128975932361665e-09,2.1183944636547e-08,7.673993167251419,Not Significant
ATP5PD,487,ENSG00000167863,2145.6029206365024,-1.8001498047120796,0.1078982140268095,-16.683777585649338,1.7199055804039026e-62,1.6184381999534347e-60,59.79090387947527,Down
ATP5PF,116,ENSG00000154723,1326.3528108211483,-2.373421773535788,0.1007360754520393,-23.560792525273413,9.731085765338991e-123,3.819326405385743e-120,119.41801322458024,Down
ATP5PO,101,ENSG00000241837,2221.1741394894425,-3.4688156712133056,0.1428453864404403,-24.283708124235684,2.914027879013703e-130,1.3119124924724338e-127,126.88209513241752,Down
ATPAF1,1445,ENSG00000123472,3548.777573436957,-2.0080916404667337,0.1554667360055313,-12.91653566583715,3.631262714828407e-38,1.1531895928605485e-36,35.938099285624475,Down
ATPAF2,26807,ENSG00000171953,504.78482041805466,0.3410024287541194,0.1168536709375459,2.9182003955731326,0.003520580145775,0.0060306088061078,2.21963884245575,Not Significant
ATPSCKMT,30033,ENSG00000150756,648.6112742902637,0.4057748682450856,0.1691317574235375,2.399164263568489,0.0164325412594,0.0251248161141676,1.5998971081145217,Not Significant
DMAC2L,6013,ENSG00000125375,944.235921838148,-1.1110089047506977,0.1355951371102212,-8.193574846622942,2.535796479179482e-16,1.9362539095510647e-15,14.713037692334227,Down
FMC1,359,ENSG00000164898,124.84999153254878,-3.3375181182265607,0.1835381466719058,-18.184329409148567,6.869048956846748e-74,8.762044365204435e-72,71.05739455217191,Down
MT-ATP6,444,ENSG00000198899,122117.00077089564,-6.36124888814334,0.3738222910029329,-17.016772517970125,6.167802900052442e-65,6.364756785917038e-63,62.19621818722671,Down
MT-ATP8,289,ENSG00000228253,16265.657564255487,-8.00985266718193,0.4150504703890008,-19.29850280539328,5.528802909394223e-83,8.754764082837659e-81,80.05775555248199,Down
TMEM70,2721,ENSG00000175606,763.9009213832984,-1.7914879526578484,0.1653662300735844,-10.833457059888676,2.3895971313391064e-27,4.031325858494604e-26,25.3945520957129,Down
