gene_name,Unnamed: 0.1,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
PIK3R2,19,19,ENSG00000105647,1027.0077409578037,-7.7851313706903005,0.2211121269988313,-35.208975085891375,1.4574662464436232e-271,3.280683647432274e-268,267.48403564611453,Down
BIRC6,67,67,ENSG00000115760,14604.084760442976,2.4370700101350407,0.0812178411622567,30.00658445557878,8.052457459111232e-198,5.331082093407773e-195,194.27318462971675,Up
MAP2K1,289,289,ENSG00000169032,2842.7031308251576,-2.4334923996294493,0.112353528715433,-21.65924317155142,4.973372796048352e-104,7.720561031217267e-102,101.11235113957244,Down
MAPK9,295,295,ENSG00000050748,3973.312657951462,-2.799534173115637,0.1301577997696477,-21.50876995516389,1.2887656171485093e-102,1.9600993012975923e-100,99.7077219261368,Down
ATM,365,365,ENSG00000149311,8250.709250117983,2.2613408445860457,0.1098356925790923,20.588397009083927,3.487163412351454e-94,4.289306274881152e-92,91.3676129421634,Up
MAPK3,397,397,ENSG00000102882,2877.62502853506,-2.7379026978116148,0.1360238481120526,-20.12810794439669,4.186779544944482e-90,4.735794681755165e-88,87.3246071345186,Down
PDPK1,547,547,ENSG00000140992,2111.953656616571,-1.6237971430482456,0.0861719700886108,-18.84368131978984,3.311144265464151e-79,2.720153351951289e-77,76.56540661139637,Down
PARP4,722,722,ENSG00000102699,3021.070931781939,2.4102006334416264,0.1362199521712445,17.693447949619895,4.7102990839161527e-70,2.932959259458109e-68,67.53269396958522,Up
BIRC5,726,726,ENSG00000089685,629.6380632021458,5.968994828549798,0.3377233656311146,17.674213382883185,6.625812935577869e-70,4.102991369281708e-68,67.38689939657861,Up
IKBKB,957,957,ENSG00000104365,2796.473931992456,1.363132225908778,0.0822597192735928,16.571078019061186,1.1278554486026056e-61,5.300096496935354e-60,59.27571622328505,Up
ITPR2,992,992,ENSG00000123104,12971.020555510053,3.654402507018026,0.2224564545570047,16.427495953288155,1.2157658334119876e-60,5.511839078990361e-59,58.2587034703687,Up
DIABLO,1396,1396,ENSG00000184047,350.2857457106817,-1.6616448987456482,0.1098912097698696,-15.12081723574986,1.1806818963839581e-51,3.804804459077266e-50,49.4196676580855,Down
