gene_name,Unnamed: 0.1,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
PIK3R2,19,19,ENSG00000105647,1027.0077409578037,-7.7851313706903005,0.2211121269988313,-35.208975085891375,1.4574662464436232e-271,3.280683647432274e-268,267.48403564611453,Down
GABARAP,26,26,ENSG00000170296,2137.557314702218,-8.129241748031895,0.239623747313346,-33.925025541820034,2.8489574386249623e-252,4.750267219609525e-249,248.32328195906197,Down
CAMKK2,201,201,ENSG00000110931,5723.848077751385,-3.6421814173571656,0.154254892546525,-23.61144828037556,2.9400091661024663e-123,6.552290725186483e-121,120.18360684117086,Down
MAP2K1,289,289,ENSG00000169032,2842.7031308251576,-2.4334923996294493,0.112353528715433,-21.65924317155142,4.973372796048352e-104,7.720561031217267e-102,101.11235113957244,Down
MAPK9,295,295,ENSG00000050748,3973.312657951462,-2.799534173115637,0.1301577997696477,-21.50876995516389,1.2887656171485093e-102,1.9600993012975923e-100,99.7077219261368,Down
MAPK3,397,397,ENSG00000102882,2877.62502853506,-2.7379026978116148,0.1360238481120526,-20.12810794439669,4.186779544944482e-90,4.735794681755165e-88,87.3246071345186,Down
PDPK1,547,547,ENSG00000140992,2111.953656616571,-1.6237971430482456,0.0861719700886108,-18.84368131978984,3.311144265464151e-79,2.720153351951289e-77,76.56540661139637,Down
PPP2CA,589,589,ENSG00000113575,5553.782203644512,-1.941148007344668,0.1045793361718007,-18.561487177120632,6.5856108420790456e-77,5.025044313551807e-75,74.29886010404753,Down
PRKACA,808,808,ENSG00000072062,2673.0771674539715,-2.430859511638413,0.1408710579503763,-17.2559186181076,1.0100252401964621e-66,5.620559491768174e-65,64.25022045096236,Down
ATG9A,870,870,ENSG00000198925,2314.930293880633,-2.078078033023759,0.1226480988328697,-16.94341822497809,2.152459284590411e-64,1.1125323138114318e-62,61.953687365959446,Down
ULK1,890,890,ENSG00000177169,2104.117751032473,-2.388871705146316,0.141726524106883,-16.855501961966894,9.559304116821814e-64,4.829969832044907e-62,61.31605558184007,Down
STX17,1008,1008,ENSG00000136874,2075.529106299748,2.2004524362605284,0.1342880461995271,16.386063380437182,2.4052556507356773e-60,1.073163569281164e-58,57.96933407875886,Up
TRAF6,1031,1031,ENSG00000175104,2273.4291876043103,2.416584585032984,0.1484785667411739,16.275645960709905,1.4696047123043057e-59,6.410865750312746e-58,57.19308331756469,Up
