gene_name,Unnamed: 0.1,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
PCBP1,165,165,ENSG00000169564,539.1309930014218,-4.910479980414565,0.199702432722854,-24.58898428758404,1.6569957370161806e-133,4.4937524749838215e-131,130.3473908530805,Down
VDAC2,797,797,ENSG00000165637,2123.6302319043907,-1.6190310339927694,0.0934455479127945,-17.32593012888838,2.998086590258926e-67,1.6913641629933157e-65,64.77176287557704,Down
MAP1LC3B,917,917,ENSG00000140941,4611.525985846196,-2.2369913250750697,0.1336724309327473,-16.73487427037617,7.301113529813004e-63,3.5804883442118914e-61,60.44605773572131,Down
VDAC3,1094,1094,ENSG00000078668,3668.342470010171,-1.739669947186698,0.108452783664526,-16.040804932844978,6.628956918372742e-58,2.7253791005317117e-56,55.56457307877536,Down
PRNP,1333,1333,ENSG00000171867,13833.923043512425,-2.3180552935735483,0.1512213534352135,-15.32888868480239,4.903032074024825e-53,1.6546446847115713e-51,50.78129525145696,Down
STEAP3,2298,2298,ENSG00000115107,2081.9682116960944,4.137217928026992,0.3143728849663671,13.160225088972313,1.4864238864784602e-39,2.9107140907078646e-38,37.53600045169826,Up
MAP1LC3A,2885,2885,ENSG00000101460,1657.4178511286889,-2.3696662123061003,0.1932264793419674,-12.263672248110074,1.419195142539107e-34,2.213816566942761e-33,32.6548583668651,Down
PCBP2,3101,3101,ENSG00000197111,4521.355715375956,-1.878479325544324,0.1572048997442148,-11.94924158598595,6.552041532654559e-33,9.508909018651695e-32,31.02186930791631,Down
TP53,3481,3481,ENSG00000141510,1555.2072328052725,2.7701327427820264,0.2407395204435433,11.506763566190866,1.2197032141923731e-30,1.576962062025458e-29,28.80217875464268,Up
CYBB,4836,4836,ENSG00000165168,3023.4569936453654,2.9382430351516065,0.2890064629868224,10.166703556679902,2.7919800699724667e-24,2.5985559390136546e-23,22.5852679296999,Up
ACSL6,6222,6222,ENSG00000164398,2469.9393247138805,-2.699871788224974,0.2928492793951641,-9.219321945408746,2.9898483598004333e-20,2.1629436495236333e-19,18.664954794948205,Down
ACSL4,7860,7860,ENSG00000068366,1984.0195019900937,-1.404470996347633,0.1702665991113182,-8.248658302204102,1.6018272744884836e-16,9.173471831853076e-16,15.037466268249704,Down
FTH1,8404,8404,ENSG00000167996,6805.151716507694,-2.3990319690137154,0.3003699760180142,-7.986923329746637,1.3834807341625506e-15,7.410222388014736e-15,14.130168758223322,Down
ATG7,10024,10024,ENSG00000197548,1997.3325902581469,0.7821716999959418,0.1077358742256209,7.260085887064083,3.8684461378513593e-13,1.73719278483721e-12,11.760151983081334,Not Significant
LPCAT3,10725,10725,ENSG00000111684,328.1384749875317,1.4467323273760533,0.2070131936262609,6.988599625142571,2.776434906146332e-12,1.1653209308204524e-11,10.933554452929696,Up
GPX4,11166,11166,ENSG00000167468,5003.038459439235,-1.047627419889883,0.1535961606800478,-6.820661501247864,9.062224507150516e-12,3.653374094093392e-11,10.437305855112983,Down
HMOX1,13338,13338,ENSG00000100292,2852.331322504027,3.506716349508543,0.5735645343846119,6.113900248855109,9.722509192684415e-10,3.281337741550789e-09,8.483949066248254,Up
SAT2,13509,13509,ENSG00000141504,1781.0398117198115,-1.095496728928412,0.1807455503413538,-6.060988648735585,1.3528738109483739e-09,4.508144048488885e-09,8.346002215415558,Down
ALOX15,14499,14499,ENSG00000161905,9.71626198681219,-2.8162924391606787,0.4880654160729141,-5.770317556652981,7.912228674743129e-09,2.4565560186776613e-08,7.609673327875506,Down
SLC3A2,15764,15764,ENSG00000168003,7160.384188804535,0.8612931786321837,0.1587035050045534,5.427058328721044,5.729041023762016e-08,1.636001889303788e-07,6.786216199128182,Not Significant
SLC40A1,16167,16167,ENSG00000138449,1693.7753866915152,1.9177738146812344,0.3604542087811825,5.320436737764487,1.035184417739174e-07,2.882420045905485e-07,6.540242730556642,Up
ATG5,16361,16361,ENSG00000057663,1220.6550858197363,-0.8713103368558475,0.1652716170106797,-5.271990149400813,1.34952322818451e-07,3.713127136636014e-07,6.4302601803741135,Not Significant
GCLM,17052,17052,ENSG00000023909,815.971793216075,-0.9007037814681101,0.1765957778651231,-5.1003698523077485,3.389904118275002e-07,8.949163988777476e-07,6.048217533624765,Not Significant
MAP1LC3C,19056,19056,ENSG00000197769,52.09945930610519,2.02024176767149,0.436012850418512,4.633445472380775,3.596295156982273e-06,8.495650504916039e-06,5.070803361953334,Up
ACSL5,20521,20521,ENSG00000197142,356.53285224683225,-1.032911913400725,0.2401804624185591,-4.300565928633629,1.7036247628842193e-05,3.737232394517331e-05,4.42744989532178,Down
TFRC,21523,21523,ENSG00000072274,7237.783999446987,0.97298489040341,0.2377642095790114,4.092226042456896,4.272518639446667e-05,8.936281203737665e-05,4.048843173452201,Not Significant
SLC7A11,22356,22356,ENSG00000151012,3670.649054365877,1.2220909945887393,0.3123799053797945,3.912194649982076,9.146114467645968e-05,0.0001841700260405,3.734781050493488,Up
TF,25751,25751,ENSG00000091513,5407.3654727492885,-1.8964144055299683,0.5845254633618515,-3.2443657708646128,0.0011771248254872,0.00205782007295,2.6865926007791416,Down
SLC39A14,28467,28467,ENSG00000104635,3880.961538783261,0.8993348604184012,0.329807966145569,2.7268439599225966,0.0063943269690707,0.0101119223626737,1.99516627347544,Not Significant
GCLC,30566,30566,ENSG00000001084,1528.659720528133,-0.5454160019980985,0.2321370754117289,-2.3495428338223165,0.0187964812937061,0.0276834099310157,1.55778041627404,Not Significant
NCOA4,31565,31565,ENSG00000266412,4653.103134070396,-0.2704254887810564,0.1241738358763105,-2.177797656588679,0.0294211044515578,0.0419606390015852,1.377157906733263,Not Significant
