gene_name,Unnamed: 0.1,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
CHMP4A,160,160,ENSG00000254505,455.01248072477233,-4.696133956958567,0.1898698208892734,-24.73344070671039,4.6733088623698993e-135,1.3067558489132328e-132,131.88380554736565,Down
RNF31,174,174,ENSG00000092098,376.58432080031776,-5.1724946135066725,0.2124491443283545,-24.3469778607921,6.240764555223789e-131,1.605445597209254e-128,127.79440440652982,Down
PLA2G4B,177,177,ENSG00000243708,386.0638897659993,-5.83452284177448,0.2410364129642979,-24.205981038386447,1.924425355858693e-129,4.8671744435619355e-127,126.31272308800374,Down
H2AC20,183,183,ENSG00000184260,2030.397177498413,9.532013541793964,0.3960243507993598,24.069261202130537,5.247642022240339e-128,1.2839325880393358e-125,124.8914577779892,Up
MAPK9,295,295,ENSG00000050748,3973.312657951462,-2.799534173115637,0.1301577997696477,-21.50876995516389,1.2887656171485093e-102,1.9600993012975923e-100,99.7077219261368,Down
TICAM2,330,330,ENSG00000243414,47.9399682461296,-4.602265144148602,0.2186360677779783,-21.049889850846263,2.292119242434661e-98,3.117489914657583e-96,95.50619494282635,Down
H2AC8,404,404,ENSG00000277075,1862.9687297466617,7.413918963954858,0.3691989737638492,20.08109309831675,1.079921681772443e-89,1.200419609671941e-87,86.92066691869307,Up
CHMP3,582,582,ENSG00000115561,2627.7616881238705,-2.032546514717608,0.1092879729579545,-18.59808046306772,3.3302037155065687e-77,2.5710553241212613e-75,74.58988857808212,Down
TRPM7,676,676,ENSG00000092439,3295.4619963898704,1.5573271242821525,0.086664318339311,17.969646033386585,3.368571676451281e-72,2.240025528835454e-70,69.64974703212602,Not Significant
VPS4A,717,717,ENSG00000132612,2686.117360127468,-1.7680861354244015,0.0997714709115612,-17.72135981629113,2.8689276666166107e-70,1.7988336298525512e-68,67.74500900173403,Not Significant
IFNAR2,742,742,ENSG00000159110,194.0188324567427,-2.6807273324642007,0.1521201488427346,-17.62243432482833,1.6571793296935652e-69,1.0040990073145976e-67,66.9982234622802,Down
H2AC11,777,777,ENSG00000196787,1798.4565953322613,8.857105863208103,0.5083322307970839,17.423852603876465,5.438851232487163e-68,3.1471933629221027e-66,65.50207657330213,Up
VDAC2,797,797,ENSG00000165637,2123.6302319043907,-1.6190310339927694,0.0934455479127945,-17.32593012888838,2.998086590258926e-67,1.6913641629933157e-65,64.77176287557704,Not Significant
H2AC13,878,878,ENSG00000196747,896.2242307824595,9.77343365757376,0.5781759769994507,16.90390823274044,4.210508486456458e-64,2.15646054097592e-62,61.66625848418773,Up
CHMP4B,990,990,ENSG00000101421,3657.396170118872,-2.0000269370969823,0.121650975588714,-16.44069788522544,9.778635683860524e-61,4.442224014649011e-59,58.35239954442041,Down
HSP90AA1,1080,1080,ENSG00000080824,36398.9594334179,-1.728149112802697,0.1073161283285157,-16.103349419320203,2.416609945990712e-58,1.0064140902734125e-56,55.99722329152802,Not Significant
