gene_name,Unnamed: 0.1,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
CHMP4B,990,990,ENSG00000101421,3657.396170118872,-2.0000269370969823,0.121650975588714,-16.44069788522544,9.778635683860524e-61,4.442224014649011e-59,58.35239954442041,Down
TP53,3481,3481,ENSG00000141510,1555.2072328052725,2.7701327427820264,0.2407395204435433,11.506763566190866,1.2197032141923731e-30,1.576962062025458e-29,28.80217875464268,Up
GSDME,8064,8064,ENSG00000105928,2561.388169459472,1.24251127913033,0.1521459172302707,8.166576545394948,3.1726412169538273e-16,1.7709750148300602e-15,14.751787565855649,Not Significant
CYCS,8304,8304,ENSG00000172115,5283.234072443927,-1.4926524749072745,0.1857438642114448,-8.036079583270041,9.275851045712238e-16,5.028170237530635e-15,14.298590026935049,Not Significant
IL1B,8408,8408,ENSG00000125538,275.2877401865542,2.951336599337397,0.3696468144483295,7.984206772462107,1.4142878323667256e-15,7.571628484399764e-15,14.12081070362708,Up
CASP4,8777,8777,ENSG00000196954,727.808904826376,2.5546833356872973,0.3270172016222754,7.812076315906193,5.625348034379328e-15,2.88502555433724e-14,13.539850335694211,Up
IRF1,8933,8933,ENSG00000125347,1049.3019686850016,2.883424632845655,0.3727004251120174,7.736574574550121,1.0213108758116532e-14,5.1464511213526766e-14,13.288492147599625,Up
CASP3,9284,9284,ENSG00000164305,1478.294675682043,1.3123987869143023,0.1734891053623367,7.564733152397791,3.8866163382353294e-14,1.8844542911256465e-13,12.724814392230114,Not Significant
CASP1,10842,10842,ENSG00000137752,562.4576386271794,2.4929368508785816,0.3590350423910929,6.943436034199282,3.826759260901104e-12,1.588830352914385e-11,10.79892247203518,Up
CHMP2B,11011,11011,ENSG00000083937,1185.648573964817,-0.972680763245771,0.1413637716084584,-6.880693350060357,5.956194246658376e-12,2.434997355524096e-11,10.613501506105164,Not Significant
IL1A,11993,11993,ENSG00000115008,53.624339279252496,2.2619131293805843,0.3457302900985228,6.542421055256704,6.053079068100893e-11,2.2719990542507428e-10,9.643591853741729,Up
CASP5,12063,12063,ENSG00000137757,25.05510241929981,3.743003779785549,0.5743186672061789,6.517294306301593,7.158688602900684e-11,2.6714770892217005e-10,9.573248546005596,Up
GSDMD,13203,13203,ENSG00000104518,1043.0786561932437,1.804119486655995,0.2931892008963395,6.153430894249966,7.58244247883963e-10,2.585231580997285e-09,8.587500547407775,Not Significant
CHMP4C,16421,16421,ENSG00000164695,7.619562691476676,-2.6454371619876067,0.5031112215211312,-5.25815574931774,1.455072623526373e-07,3.988912095879539e-07,6.399145534182789,Down
BAX,17431,17431,ENSG00000087088,1049.4998395499906,0.8786508632360625,0.1752240949051234,5.01444087191214,5.318790524514029e-07,1.3736038929732508e-06,5.8621384869979805,Not Significant
IRF2,18779,18779,ENSG00000168310,1032.386239080422,0.5792463324894439,0.1235350254953718,4.688923891557743,2.7464550486937016e-06,6.58374120538561e-06,5.181527248768133,Not Significant
IL18,19005,19005,ENSG00000150782,277.2842905622993,1.4658564728486765,0.3156820731537199,4.643458078580486,3.4262553817684456e-06,8.115678787321564e-06,5.090675150359046,Not Significant
CHMP7,19522,19522,ENSG00000147457,1677.8321387689944,-0.4582462471893647,0.1015297762233904,-4.513417287369079,6.3791334672972535e-06,1.47106516620562e-05,4.832368088185697,Not Significant
HMGB1,23938,23938,ENSG00000189403,8506.03080887166,-0.6201483174720002,0.1725612433336674,-3.593786794134709,0.0003259065520259,0.0006128905579037,3.212617069269374,Not Significant
