gene_name,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
PIK3R2,3,ENSG00000105647,751.2949521006822,-8.461434363309149,0.1636831090110542,-51.693998326594034,0.0,2.2250738585072014e-308,307.6526555685888,Down
BIRC6,75,ENSG00000115760,16868.23403878197,2.4803596277200857,0.0884386136167963,28.04611612827243,4.454867557919576e-173,2.6301889762027536e-170,169.58001304680545,Up
MAPK9,109,ENSG00000050748,3448.650240728088,-2.8088799225140413,0.1073402578173169,-26.168000521244245,6.149923706908909e-151,2.5086656968428147e-148,147.60055720862948,Down
MAPK3,533,ENSG00000102882,2795.4256168657994,-2.4264463187185004,0.1347840901323141,-18.00246836504605,1.86326573512472e-72,1.5656666067562038e-70,69.80530071115476,Down
PARP4,565,ENSG00000102699,4462.941976225888,2.8173266018267684,0.1589151190686514,17.728499455169406,2.5268878585316923e-70,2.003250620144445e-68,67.69826471414277,Up
ATM,623,ENSG00000149311,9979.31278761956,2.37628519959626,0.1368322733176291,17.366408830175487,1.4821675039932576e-67,1.0658066998666901e-65,64.97232155402756,Up
BIRC5,781,ENSG00000089685,634.9440416672477,5.789980557936751,0.3496321716520479,16.56020534545919,1.3513207557020072e-61,7.753850847711607e-60,59.11048255729306,Up
ITPR2,826,ENSG00000123104,14413.552724542296,3.623134233437678,0.2207355620978682,16.41391264281773,1.520809714456696e-60,8.251542043214801e-59,58.083464883173896,Up
PDPK1,830,ENSG00000140992,2058.260585721091,-1.5722096253155493,0.0958839326096206,-16.397008158985322,2.0089087005140402e-60,1.0847381744977797e-58,57.96467507572593,Not Significant
IKBKB,1312,ENSG00000104365,3369.619945129228,1.4994754197380584,0.1030694649715299,14.548202226064207,5.995813352175308e-48,2.049033822737686e-46,45.68845087278128,Not Significant
CASP8,1504,ENSG00000064012,840.9433647582426,2.5983959754309502,0.1855503376278787,14.00372539683562,1.4790957968160844e-44,4.406939408959796e-43,42.35586292056685,Up
TUBA1C,1538,ENSG00000167553,1879.984949269104,3.172441113058161,0.227869188841279,13.922203037585334,4.643669119338911e-44,1.3539056338782089e-42,41.86841160456828,Up
MAP2K1,1675,ENSG00000169032,3014.809611592458,-1.9851800753233573,0.1461572066794746,-13.582498738340645,5.0861212418026586e-42,1.3616906100293984e-40,39.86592155734287,Not Significant
TUBA4A,1931,ENSG00000127824,2525.8623980346347,-4.157935708540583,0.3185657595783345,-13.052048387259765,6.186146297902491e-39,1.4367420835050866e-37,36.84262118716418,Down
MAPK8,2094,ENSG00000107643,1611.0972654721718,-1.6691431300611093,0.1305665897640072,-12.783845645949738,2.018373457671155e-37,4.3229802109385395e-36,35.364216752507026,Not Significant
DIABLO,2096,ENSG00000184047,327.25390747322706,-1.698732111111171,0.1329088144563783,-12.781184739772902,2.088634986153145e-37,4.469200785106237e-36,35.34977013361333,Not Significant
TP53,2142,ENSG00000141510,1520.8144780575174,2.55785917412565,0.2016262095423777,12.686144226641522,7.057558358111408e-37,1.4777400890658747e-35,34.830401944703446,Up
PARP2,2459,ENSG00000129484,1091.1567166478128,-2.0844232302402905,0.1707225016603742,-12.209422952265106,2.768456814654475e-34,5.049732753266706e-33,32.29673160541653,Down
PIK3CB,2530,ENSG00000051382,2017.898876528841,-1.410472890184945,0.1163615982500514,-12.121463707931856,8.129415136505472e-34,1.4412287103521812e-32,31.841267094992897,Not Significant
CTSS,3092,ENSG00000163131,4431.921695659194,3.5588330687436214,0.3140982839989391,11.330316814961146,9.286821872049269e-30,1.3472647404485055e-28,27.870547056081964,Up
