gene_name,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
GABARAP,0,ENSG00000170296,1581.3095139609277,-7.893875078157355,0.1933075901340141,-40.83582580841641,0.0,2.2250738585072014e-308,307.6526555685888,Down
PIK3R2,3,ENSG00000105647,751.2949521006822,-8.461434363309149,0.1636831090110542,-51.693998326594034,0.0,2.2250738585072014e-308,307.6526555685888,Down
MAPK9,109,ENSG00000050748,3448.650240728088,-2.8088799225140413,0.1073402578173169,-26.168000521244245,6.149923706908909e-151,2.5086656968428147e-148,147.60055720862948,Down
CAMKK2,138,ENSG00000110931,4648.648490700726,-3.701498344052712,0.1484860938983223,-24.928249150303312,3.676492132454259e-137,1.186819269606871e-134,133.925615410943,Down
GABARAPL1,263,ENSG00000139112,5870.762131881813,-3.478699666414239,0.1631558065298164,-21.321335356694853,7.197518693794212e-101,1.2233328079895458e-98,97.91245537696943,Down
ATG9A,273,ENSG00000198925,2043.2690766347937,-2.184040562325111,0.1031016878856036,-21.183363794668526,1.359680399781323e-99,2.226650336444808e-97,96.652347977342,Down
MAPK3,533,ENSG00000102882,2795.4256168657994,-2.4264463187185004,0.1347840901323141,-18.00246836504605,1.86326573512472e-72,1.5656666067562038e-70,69.80530071115476,Down
STX17,712,ENSG00000136874,2021.2338757170323,1.9925592089760389,0.1180355683060163,16.881006611584862,6.207724926263167e-64,3.906687589990948e-62,61.40819131704955,Not Significant
PDPK1,830,ENSG00000140992,2058.260585721091,-1.5722096253155493,0.0958839326096206,-16.397008158985322,2.0089087005140402e-60,1.0847381744977797e-58,57.96467507572593,Not Significant
PPP2CA,1267,ENSG00000113575,5279.001760109077,-1.885737333996388,0.1283592595153687,-14.6910892218929,7.352239576174932e-49,2.601753485982219e-47,46.58473385487258,Not Significant
VMP1,1415,ENSG00000062716,21930.03068594153,3.3142636640182714,0.2326661609451231,14.24471719718613,4.8350131238498856e-46,1.5321460019792954e-44,43.81469984773689,Up
PRKACB,1561,ENSG00000142875,6592.270653853096,-2.729706861112372,0.1966485807176087,-13.881141939347554,8.242029638467895e-44,2.3676575666305562e-42,41.625681109245015,Down
