gene_name,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
PCBP1,326,ENSG00000169564,434.49938457772646,-4.585459415531778,0.2268815466774437,-20.21080816259994,7.864964194190751e-91,1.079231829839552e-88,87.9668852544779,Down
PCBP2,1079,ENSG00000197111,3852.8326192302575,-2.1058862163222423,0.1378394921819496,-15.27781467405908,1.0748507237211576e-52,4.465706187415933e-51,50.35010985389815,Down
VDAC3,1266,ENSG00000078668,3435.705437764655,-1.756501648471141,0.1195554537528671,-14.691940796795455,7.260412220675832e-49,2.571286162225298e-47,46.58984958739466,Down
CYBB,1866,ENSG00000165168,9030.723063758667,4.359856441719312,0.3309677078449777,13.17305688252048,1.2541498136076284e-39,3.014191552564965e-38,37.52082915163037,Up
STEAP3,2018,ENSG00000115107,3753.561061992959,4.805526383230696,0.3718213556547822,12.924288264099571,3.283206823835646e-38,7.2967198312198744e-37,36.13687232883177,Up
TP53,2142,ENSG00000141510,1520.8144780575174,2.55785917412565,0.2016262095423777,12.686144226641522,7.057558358111408e-37,1.4777400890658747e-35,34.830401944703446,Up
MAP1LC3A,2650,ENSG00000101460,1440.287018859288,-2.4633651034907182,0.2063681838603233,-11.936748472613417,7.614191128910232e-33,1.2887829881000794e-31,30.889820205226197,Down
PRNP,2756,ENSG00000171867,13068.710390654334,-2.19721697758407,0.1864669298854681,-11.783413707372384,4.752841322456261e-32,7.734999478152911e-31,30.11153971126459,Down
MAP1LC3B,3598,ENSG00000140941,5055.169316691875,-1.7715772134443777,0.1640956828056323,-10.796001352106083,3.5952181982327225e-27,4.4823849895221036e-26,25.34849084489053,Down
HMOX1,4120,ENSG00000100292,6097.56575273986,4.429252834889804,0.430391266352409,10.291223779766671,7.718902259987283e-25,8.404631480414689e-24,23.075481324405487,Up
VDAC2,4311,ENSG00000165637,2297.262692344835,-1.342636519508401,0.1324807946820922,-10.134574771613208,3.880582601463639e-24,4.038163773429383e-23,22.39381607160973,Down
ATG7,6344,ENSG00000197548,2806.0773210006846,1.1897185550342997,0.1365456905196343,8.712970365499936,2.960140565129424e-18,2.093372219037389e-17,16.679153543614706,Up
SLC40A1,6390,ENSG00000138449,2514.211401074152,2.347375190423468,0.2702473685432482,8.68602422690311,3.753448945194897e-18,2.635284112342985e-17,16.57917255624982,Up
ACSL6,7077,ENSG00000164398,1680.472994268168,-3.6593861525646334,0.4420502932588319,-8.278212249532357,1.2503821583956002e-16,7.926801049642409e-16,15.100902041784746,Down
LPCAT3,7878,ENSG00000111684,382.1601436920622,1.528337661924111,0.1944068701725435,7.86154141861166,3.794349236463459e-15,2.1608864651523274e-14,13.665368050725808,Up
SAT1,8902,ENSG00000130066,20715.183205589005,1.8552071779435253,0.2501589329610683,7.416114051910542,1.2060665061126205e-13,6.07855893471632e-13,12.216199368240543,Up
CP,12770,ENSG00000047457,7559.358581963968,3.674513259487811,0.6067745000235129,6.055813583704361,1.3970972166111871e-09,4.908711080303858e-09,8.30903252909841,Up
SAT2,13307,ENSG00000141504,1868.481952721589,-0.9764476770257136,0.1656357887074393,-5.895149138030805,3.7434312320091345e-09,1.261994761919473e-08,7.89894244768633,Not Significant
GPX4,13786,ENSG00000167468,5328.41415205931,-0.9065180006856972,0.157605601424875,-5.751813339691495,8.829125346701186e-09,2.873516235815108e-08,7.541586344691763,Not Significant
SLC3A2,14862,ENSG00000168003,8151.7076273927,0.9339421973890684,0.1708639144651927,5.466000239502442,4.603037137629335e-08,1.389644616851012e-07,6.857096250590659,Not Significant
SLC39A14,16073,ENSG00000104635,9270.404473702692,2.104062663969084,0.406870481891074,5.171332789220076,2.3243020241653665e-07,6.488351133900968e-07,6.187865655191909,Up
SLC39A8,18467,ENSG00000138821,2782.1814087726707,1.8279155623715075,0.3957679068262012,4.618655355433416,3.862347509328027e-06,9.384199430964798e-06,5.027602771262604,Up
ALOX15,18493,ENSG00000161905,10.788931451262682,-2.114416020379634,0.4583874104724014,-4.612727077736658,3.974199889372058e-06,9.642387976425525e-06,5.015815397989828,Down
MAP1LC3C,19143,ENSG00000197769,60.05758664922597,2.06891009241888,0.4621584406406872,4.476625136502459,7.583222779296321e-06,1.777406964739894e-05,4.750213122388646,Up
