gene_name,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
RNF31,53,ENSG00000092098,283.477724749423,-5.417741421659433,0.1748168132017971,-30.990963182732,7.1351239816224895e-211,5.928891632951532e-208,207.22702648752676,Down
PLA2G4B,102,ENSG00000243708,287.0121614468799,-6.123909619554862,0.2311511168667732,-26.49309984984607,1.1639729714443452e-154,5.070740893366914e-152,151.2949285806286,Down
MAPK9,109,ENSG00000050748,3448.650240728088,-2.8088799225140413,0.1073402578173169,-26.168000521244245,6.149923706908909e-151,2.5086656968428147e-148,147.60055720862948,Down
H2AC20,172,ENSG00000184260,1597.3223238254227,8.995781654897982,0.3806864216792958,23.63042426156286,1.8764501176830243e-123,4.8669475855812125e-121,120.31274333085028,Up
CHMP4A,185,ENSG00000254505,349.96220672611764,-4.828330526078456,0.2067124447039238,-23.35771575336995,1.1505329297080339e-120,2.775567908006946e-118,117.55664814260274,Down
H2AC11,321,ENSG00000196787,1501.8822353862884,8.41208707676178,0.41487272495089,20.276307818879992,2.0818395718100788e-91,2.9010628393382e-89,88.5374428639301,Up
CHMP3,323,ENSG00000115561,2430.755278011871,-2.026520473435724,0.1001928153214715,-20.22620551117937,5.756609772359252e-91,7.972371515294203e-89,88.0984124712256,Down
H2AC8,344,ENSG00000277075,1464.100909986748,6.87482880049572,0.343895605989433,19.991034141642874,6.591548101991704e-89,8.573024779259991e-87,86.06686592099736,Up
IFNAR2,593,ENSG00000159110,183.3897072467221,-2.463060017805392,0.1407556985288178,-17.4988298416999,1.4624286960413971e-68,1.1047245457924837e-66,65.95674599632754,Down
VPS4A,644,ENSG00000132612,2303.5776401949565,-1.9921501156308463,0.1155162464098918,-17.2456271524094,1.2069586639162935e-66,8.39650266799814e-65,64.07590156968432,Down
TICAM2,783,ENSG00000243414,39.514053269062565,-4.260606703830578,0.2573868334374272,-16.55332033472631,1.5151111526574008e-61,8.671499047307428e-60,59.06190581928288,Down
H2AC13,874,ENSG00000196747,703.9266765835584,9.234725455819818,0.5702588481724834,16.19391875358791,5.566761565509198e-59,2.854698950925294e-57,56.544439684561965,Up
H2AC4,983,ENSG00000278463,521.3321482202459,8.821475963515358,0.5620231691566419,15.695929363112642,1.6126348556809106e-55,7.35371327329859e-54,53.13349330759904,Up
CHMP4B,1071,ENSG00000101421,3508.277789146826,-1.9109885989915547,0.1247087359230556,-15.323614539486794,5.3176311832172115e-53,2.225815567370704e-51,50.65251082445396,Down
H2AC16,1090,ENSG00000276903,481.7931431442572,8.580854596128864,0.563217287761193,15.235424733210944,2.0578548072440308e-52,8.463611645815481e-51,50.07244427252401,Up
VDAC3,1266,ENSG00000078668,3435.705437764655,-1.756501648471141,0.1195554537528671,-14.691940796795455,7.260412220675832e-49,2.571286162225298e-47,46.58984958739466,Down
CASP8,1504,ENSG00000064012,840.9433647582426,2.5983959754309502,0.1855503376278787,14.00372539683562,1.4790957968160844e-44,4.406939408959796e-43,42.35586292056685,Up
STAT3,1798,ENSG00000168610,13129.982318987262,1.908327859237268,0.143216700212002,13.32475791169879,1.6617093580203751e-40,4.144667070802237e-39,38.38251034934061,Up
CYBB,1866,ENSG00000165168,9030.723063758667,4.359856441719312,0.3309677078449777,13.17305688252048,1.2541498136076284e-39,3.014191552564965e-38,37.52082915163037,Up
SPATA2,1899,ENSG00000158480,1027.8770902411952,-2.5156093229419407,0.191836983462341,-13.113265635954775,2.7643400519081287e-39,6.528352761535244e-38,37.18519638638518,Down
CAMK2G,1970,ENSG00000148660,3843.50305626816,-3.202003692453145,0.2463462066901802,-12.997982536342349,1.2561345052114907e-38,2.8596657221382446e-37,36.54368473033792,Down
MAPK8,2094,ENSG00000107643,1611.0972654721718,-1.6691431300611093,0.1305665897640072,-12.783845645949738,2.018373457671155e-37,4.3229802109385395e-36,35.364216752507026,Down
PYGL,2231,ENSG00000100504,4054.65259608959,3.439844220271145,0.2741660287765408,12.5465734599628,4.150865608532668e-36,8.344690444465473e-35,34.07858976932075,Up
TRPM7,2283,ENSG00000092439,4014.291276889015,1.704173122126138,0.1366552335213486,12.470602685406178,1.080060617810653e-35,2.1218651480640023e-34,33.67328222048777,Up
CASP1,2416,ENSG00000137752,938.3944793278656,3.0787427343313167,0.2506658120130465,12.282260231686784,1.1280214187588024e-34,2.0941435283875144e-33,32.67899355596638,Up
H2AC6,2609,ENSG00000180573,3060.803944286695,2.363840722310845,0.1969407278179361,12.002802815353265,3.4346469174586004e-33,5.904829189014745e-32,31.2287926608517,Up
DNM1L,2820,ENSG00000087470,4959.14055463359,-1.3689875350797185,0.1168853458739986,-11.71222555610585,1.1034459833753147e-31,1.7551479872397642e-30,29.755686259635738,Down
PPID,3210,ENSG00000171497,952.8953654887202,-1.2944367013294096,0.1154918080451993,-11.208039108910771,3.7235098755950105e-29,5.203289057235245e-28,27.283722047162733,Down
IRF9,3292,ENSG00000213928,519.8709845533456,-2.114554243714289,0.1902961247124742,-11.11191437507858,1.0978039359589568e-28,1.495887045563752e-27,26.825101198811407,Down
SLC25A4,3310,ENSG00000151729,3304.651730405836,-2.604830180251536,0.2348486917687942,-11.09152518854974,1.379160135048515e-28,1.8690514774920543e-27,26.728378737100105,Down
RIPK1,3423,ENSG00000137275,2398.2137919297097,1.4330179709903332,0.1305507507967173,10.976711832333375,4.946004017741886e-28,6.479770694309378e-27,26.18844036264147,Up
HSP90AB1,3592,ENSG00000096384,32076.354600882674,-1.632464479066032,0.151125151573424,-10.80207008608293,3.3652945342253545e-27,4.202731172981517e-26,25.376468388682305,Down
TNFRSF10B,3615,ENSG00000120889,3348.201234724845,2.829994002713405,0.262749825052431,10.770678922997144,4.734966196539802e-27,5.875626886198491e-26,25.230945790555364,Up
CAMK2A,3623,ENSG00000070808,15064.360432396008,-6.784146680171135,0.6301980865739232,-10.765101996823256,5.030581925448691e-27,6.226958388325743e-26,25.20572403644351,Down
TLR3,3831,ENSG00000164342,597.0115859641318,2.8369782447050325,0.2688808441519253,10.551061209485264,5.0226560958211183e-26,5.881304845396383e-25,24.230526309249164,Up
GLUD1,4213,ENSG00000148672,7003.999271160791,-1.7723254009361602,0.1734268112953838,-10.219442932139843,1.6227070879022976e-24,1.7278711376664453e-23,22.76248864975481,Down
VDAC2,4311,ENSG00000165637,2297.262692344835,-1.342636519508401,0.1324807946820922,-10.134574771613208,3.880582601463639e-24,4.038163773429383e-23,22.39381607160973,Down
IL1B,4317,ENSG00000125538,1088.6944280759628,4.779772747120267,0.471849530876495,10.129866481463887,4.072050886803095e-24,4.231519113981974e-23,22.37350369305478,Up
STAT4,4356,ENSG00000138378,457.4137172146956,-3.7179093087158366,0.3683516024492793,-10.093370801143124,5.9104329474195526e-24,6.086918448098755e-23,22.21560251684038,Down
TNFAIP3,4449,ENSG00000118503,3262.872795635451,4.395751131977602,0.4388903636056061,10.015601837017533,1.3016722758968604e-23,1.3125244200397312e-22,21.881892607624984,Up
TNFRSF1A,4653,ENSG00000067182,4366.759020291881,2.1943642003927573,0.2227218201639252,9.852488628090796,6.686741481973381e-23,6.446944070426033e-22,21.19064609743442,Up
H2AC12,5059,ENSG00000274997,835.3119429502229,12.377272871009229,1.295731684127597,9.552342527876611,1.267962462040326e-21,1.124402048106946e-20,19.94907837199315,Up
