gene_name,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
CHMP4B,1071,ENSG00000101421,3508.277789146826,-1.9109885989915547,0.1247087359230556,-15.323614539486794,5.3176311832172115e-53,2.225815567370704e-51,50.65251082445396,Not Significant
CASP4,1845,ENSG00000196954,1578.2617723687686,3.523435214721835,0.2664842910789075,13.221924641248464,6.5564528896065445e-40,1.5936868776247847e-38,37.79759700331507,Up
TP53,2142,ENSG00000141510,1520.8144780575174,2.55785917412565,0.2016262095423777,12.686144226641522,7.057558358111408e-37,1.4777400890658747e-35,34.830401944703446,Up
CASP1,2416,ENSG00000137752,938.3944793278656,3.0787427343313167,0.2506658120130465,12.282260231686784,1.1280214187588024e-34,2.0941435283875144e-33,32.67899355596638,Up
CASP5,3827,ENSG00000137757,59.24263921775684,4.806846795093895,0.4554124415455247,10.5549307761136,4.8199473442465534e-26,5.649839531966748e-25,24.247963886936496,Up
IRF1,4257,ENSG00000125347,1509.9464942411691,3.2424236479072874,0.3184203374484721,10.182840938770086,2.3655252659747333e-24,2.492801414033637e-23,22.603312317655305,Up
IL1B,4317,ENSG00000125538,1088.6944280759628,4.779772747120267,0.471849530876495,10.129866481463887,4.072050886803095e-24,4.231519113981974e-23,22.37350369305478,Up
GSDMD,4809,ENSG00000104518,1332.0738260787507,2.013704061545793,0.2068890086352488,9.73325782181116,2.1751280787150016e-22,2.0291096054058387e-21,20.692694493263694,Up
CYCS,6882,ENSG00000172115,4763.463506103848,-1.6321463779414849,0.1942891766006292,-8.40060371091304,4.4418904263086586e-17,2.8957150271523435e-16,15.538244180121598,Not Significant
CASP3,7005,ENSG00000164305,1666.891561210616,1.3501092294008912,0.162189422210032,8.324274240600763,8.484696913062751e-17,5.4341540848706635e-16,15.26486805136893,Not Significant
IL1A,7258,ENSG00000115008,135.33206091545458,3.4453639352785697,0.4215757357779999,8.172585950470555,3.0184850858931923e-16,1.865855411063692e-15,14.729122013649617,Up
GSDME,7409,ENSG00000105928,2771.1375331185427,1.2184327001789532,0.1504733973937661,8.097329636218015,5.617869637710601e-16,3.401881626365889e-15,14.468280802396146,Not Significant
IL18,7762,ENSG00000150782,762.7854389382264,2.833558971584767,0.3579449796124472,7.9161858189845455,2.4490751519783807e-15,1.4155925691668415e-14,13.849061725759238,Up
BAX,11287,ENSG00000087088,1220.1652809915197,0.983777965266162,0.1508076186942178,6.523396986069389,6.873262432145347e-11,2.7321948847696126e-10,9.56348832608808,Not Significant
HMGB1,14084,ENSG00000189403,7166.698788484116,-0.9795357059736456,0.1728262973706522,-5.667746869985199,1.4468750335219068e-08,4.6093524763337936e-08,7.33636008018668,Not Significant
IRF2,14842,ENSG00000168310,1180.2688565938315,0.6742587492046156,0.1232072646491918,5.4725567613600825,4.435886107002421e-08,1.3409866301105278e-07,6.872575552124663,Not Significant
CHMP2B,23042,ENSG00000083937,1416.5251685298033,-0.628856829025533,0.1697177117395465,-3.705310557041884,0.0002111318839862,0.0004111313095666,3.386019448410035,Not Significant
CHMP7,23093,ENSG00000147457,1761.1852950257612,-0.4201110834770173,0.1136523838967037,-3.696456414489708,0.0002186297732232,0.00042479157159,3.3718241088010403,Not Significant
BAK1,24285,ENSG00000030110,498.2445139330818,0.5800526898362313,0.1671219842627475,3.470834147853811,0.0005188443539869,0.0009586208106623,3.0183531471596923,Not Significant
GZMB,24535,ENSG00000100453,41.95098271192119,1.960733019411555,0.5721007651020478,3.4272511749950407,0.0006097248078267,0.0011150538739808,2.952704149111469,Not Significant
TP63,26777,ENSG00000073282,96.65296792309232,1.977651088736562,0.6537564738168706,3.025057751535993,0.0024858565585713,0.0041654667876485,2.380336323923263,Not Significant
CHMP2A,30592,ENSG00000130724,2909.8998882521123,-0.3303656056374475,0.1390571765362869,-2.375753728548045,0.017513147129461,0.0256866742341727,1.590292122095926,Not Significant
