gene_name,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
PIK3R2,18,ENSG00000105647,930.4983167671346,-8.120847780396284,0.2402812831013729,-33.797254932129505,2.1641080365295432e-250,5.230421323445956e-247,246.28146332622305,Down
BIRC6,49,ENSG00000115760,15971.292558895317,2.505004219688874,0.0882428846945065,28.38760573570439,2.8762883117896303e-177,2.6416407113138317e-174,173.57812625095488,Up
MAPK9,98,ENSG00000050748,4180.808785321937,-2.4561526000809373,0.0999094985788034,-24.583774666266105,1.883822745504021e-133,8.738083262251539e-131,130.05858382136094,Down
PDPK1,515,ENSG00000140992,2131.7139223304066,-1.563855693328681,0.0951810408039937,-16.430327721979094,1.1603018709495067e-60,1.0326012057339597e-58,57.98606737217733,Not Significant
ATM,1009,ENSG00000149311,9133.797952073088,2.348727439179228,0.1664639076259257,14.109529643249996,3.31783499172557e-45,1.5084980262874249e-43,42.82145525371772,Up
BIRC5,1190,ENSG00000089685,1002.335045954837,6.564516588099009,0.484823582818748,13.54001088382114,9.077546807542812e-42,3.500000226273497e-40,39.45593192757277,Up
MAPK3,1621,ENSG00000102882,3038.4231349854304,-2.3977811930746538,0.1906827076792064,-12.574717562268638,2.9083784324946377e-36,8.234010234191508e-35,34.084388597546194,Down
DIABLO,1659,ENSG00000184047,341.1982072640868,-1.6899280991121268,0.1353414107527988,-12.486408185878762,8.856240820893122e-36,2.4499243056399582e-34,33.61084733365617,Not Significant
ITPR2,1869,ENSG00000123104,10572.501169348576,3.280391845699716,0.2723725285261524,12.043769110821843,2.09175407397402e-33,5.137766402132137e-32,31.289225645607093,Up
PARP4,2106,ENSG00000102699,2972.8435970748264,2.3177711427321595,0.1985686398525418,11.67239270235899,1.7639130869659332e-31,3.844359414644644e-30,29.415176016294847,Up
IKBKB,2327,ENSG00000104365,2683.9406751453234,1.237550249194414,0.1091570918351912,11.337332539629266,8.571747954778778e-30,1.690821468347922e-28,27.771902246574125,Not Significant
PIK3CB,2968,ENSG00000051382,2082.98844881109,-1.3926893441643833,0.1324500871146542,-10.514823919736752,7.381856538449111e-26,1.1417387473968396e-24,23.942433259964048,Not Significant
MAP2K1,3254,ENSG00000169032,3058.034274525738,-2.0945107162340384,0.2053103240237856,-10.20168238588618,1.948672796377166e-24,2.749155252916616e-23,22.560800733571924,Down
NFKB1,3301,ENSG00000109320,1563.1298641858318,1.3283218089088842,0.130687942275215,10.16407317908165,2.868369738272061e-24,3.989049265632687e-23,22.399130600025007,Not Significant
TUBA4A,3494,ENSG00000127824,3088.600974638432,-3.819023855892399,0.382596071003257,-9.981868987514742,1.8298701551925682e-23,2.4042766064834885e-22,21.61901556921551,Down
EIF2AK3,3858,ENSG00000172071,1180.4663707827922,1.236595768419148,0.1280883347805913,9.6542418990564,4.716346652292554e-22,5.612318077738439e-21,20.250857723336477,Not Significant
BAD,3943,ENSG00000002330,591.8301103083325,-1.9374553517816848,0.2022953581409745,-9.577359409460705,9.955770969743482e-22,1.1591758587768521e-20,19.93585067214452,Not Significant
KRAS,4735,ENSG00000133703,1928.9371506815448,-1.1190998913237782,0.1246689837468075,-8.976570255811005,2.7933843506671404e-19,2.708509348965071e-18,17.56726966101939,Not Significant
TP53,4823,ENSG00000141510,1273.1914504530191,2.3997269317520966,0.2691784011715375,8.915005517930982,4.877919733583876e-19,4.6434276966398215e-18,17.333161312513884,Up
LMNB1,5106,ENSG00000113368,2241.109954534653,3.5552310702602234,0.4071875340751754,8.731188390467407,2.520105047184831e-18,2.2660220064964682e-17,16.644735876796727,Up
TUBA1C,5253,ENSG00000167553,905.4220119820174,2.190032715882312,0.2535548241653448,8.637314328731435,5.754988208506768e-18,5.0299736110171166e-17,16.298434293397296,Up
MAP2K2,5935,ENSG00000126934,3227.9274619035004,-1.3339235484705234,0.1619409661175289,-8.237097631629702,1.764385001790685e-16,1.3649313286258432e-15,14.86488919796321,Not Significant
CASP8,6216,ENSG00000064012,494.5289410267052,1.9012697638984235,0.2352799456422086,8.08088321641188,6.429936455099846e-16,4.749382531038122e-15,14.32336284948969,Not Significant
LMNA,6273,ENSG00000160789,4121.21379398576,1.5812068663096783,0.1965101211448519,8.046439832705289,8.523726222160489e-16,6.2387317795319065e-15,14.20490368549854,Not Significant
HRAS,6433,ENSG00000174775,1234.1967864733972,-1.577785573291546,0.1978203171435807,-7.975852005870396,1.513331915649297e-15,1.0801012573598281e-14,13.966535528354484,Not Significant
CTSW,6533,ENSG00000172543,42.50599521602939,2.184779487481336,0.2762480573392331,7.908759643505558,2.5996597780578258e-15,1.8270428017782893e-14,13.73825127839547,Up
BCL2L11,7207,ENSG00000153094,739.663750392734,1.6621691936678695,0.2194395484441124,7.574610891487485,3.6020560307131445e-14,2.2948115286678455e-13,12.639252976976692,Not Significant
MCL1,7221,ENSG00000143384,11504.629446583878,1.5668622698908006,0.2071444587773183,7.564104196362731,3.9054659442762536e-14,2.483285815938934e-13,12.60497329206786,Not Significant
PTPN13,7472,ENSG00000163629,7003.915342296934,2.000004034557688,0.2680869857530553,7.460280210692378,8.633866571564476e-14,5.305443420752203e-13,12.275278312584874,Up
RIPK1,7995,ENSG00000137275,1786.2908996192466,1.0609480067356505,0.1466035717006729,7.236849651261126,4.592267405629019e-13,2.6373375629551028e-12,11.57883427963158,Not Significant
BID,8769,ENSG00000015475,1565.6714037669308,-1.2690172957451378,0.1832837769862589,-6.923784071954593,4.397360241006462e-12,2.3025220025913084e-11,10.637796211051487,Not Significant
BIRC7,9031,ENSG00000101197,43.11528296160773,3.4055547892534475,0.4982716788989507,6.834734811295772,8.215686391268937e-12,4.177065265428043e-11,10.37912873895709,Up
ERN1,9255,ENSG00000178607,615.0697307066889,1.2224878652429023,0.1808360505452091,6.760199979800375,1.378014025703848e-11,6.836622955309679e-11,10.16515837109364,Not Significant
