gene_name,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
GABARAP,5,ENSG00000170296,1947.669616412304,-7.945986534331549,0.1631808263670015,-48.694363861478685,0.0,2.2250738585072014e-308,307.6526555685888,Down
PIK3R2,18,ENSG00000105647,930.4983167671346,-8.120847780396284,0.2402812831013729,-33.797254932129505,2.1641080365295432e-250,5.230421323445956e-247,246.28146332622305,Down
MAPK9,98,ENSG00000050748,4180.808785321937,-2.4561526000809373,0.0999094985788034,-24.583774666266105,1.883822745504021e-133,8.73808326225154e-131,130.05858382136094,Down
CAMKK2,416,ENSG00000110931,5643.28322115644,-3.3802261107474934,0.1952609344372678,-17.31132814912074,3.8639816245313534e-67,4.255105519906577e-65,64.3710896656276,Down
PDPK1,515,ENSG00000140992,2131.7139223304066,-1.563855693328681,0.0951810408039937,-16.430327721979094,1.1603018709495067e-60,1.0326012057339597e-58,57.98606737217733,Down
ATG9A,585,ENSG00000198925,2163.770089438393,-2.19974203900524,0.1375932024429604,-15.98728716207581,1.5670811949379443e-57,1.228019378033197e-55,54.91079478001368,Down
PPP2CA,753,ENSG00000113575,5768.027633294301,-1.776348728680837,0.1179623204676275,-15.058611272133476,3.030868889696916e-51,1.843450732235392e-49,48.73436846478649,Down
STX17,814,ENSG00000136874,2006.4166434858687,2.083347030183793,0.1405663203508139,14.821096724907834,1.0702270414914949e-49,6.03017128494858e-48,47.21967035169874,Up
RAB1A,1180,ENSG00000138069,4140.205001624341,-1.458429724759014,0.1075761047322377,-13.55719031088844,7.183539675959484e-42,2.7931864983889543e-40,39.55390006590402,Down
TRAF6,1266,ENSG00000175104,1695.4398519272877,1.903291216570227,0.1427972208430007,13.328629264170427,1.5776985400714647e-40,5.7181921593229486e-39,38.24274125430658,Up
PRKACA,1268,ENSG00000072062,2399.5352034346674,-2.6847441340673246,0.2015103945434118,-13.323104945283324,1.6989212954945063e-40,6.147845926745723e-39,38.21127702503739,Down
ULK1,1484,ENSG00000177169,2045.6856248337303,-2.368531170700882,0.1845730231911982,-12.832488354743653,1.0784396063043571e-37,3.3348838492324845e-36,35.47691928753929,Down
MAPK3,1621,ENSG00000102882,3038.4231349854304,-2.3977811930746538,0.1906827076792064,-12.574717562268638,2.9083784324946377e-36,8.234010234191508e-35,34.084388597546194,Down
RAB7A,1925,ENSG00000075785,6089.295152672191,-1.4566605913452462,0.1216897776827632,-11.970279008501915,5.085731709603608e-33,1.2125746928177948e-31,30.91629150000034,Down
GABARAPL1,2064,ENSG00000139112,7242.812322423194,-3.0733341007253308,0.2612672254976829,-11.763182675787196,6.041322943086117e-32,1.3434556458569374e-30,29.87177666721188,Down
PPP2CB,2482,ENSG00000104695,4971.57179051039,-1.728295900581937,0.1553491031856694,-11.12523899488702,9.455213525926359e-29,1.7486623452439164e-27,26.757294041724403,Down
RUBCN,2810,ENSG00000145016,2063.015277201159,-1.3080344947238751,0.1221714871116498,-10.706544756457705,9.483557071067359e-27,1.5492508867324232e-25,24.80987824660453,Down
PIK3CB,2968,ENSG00000051382,2082.98844881109,-1.3926893441643833,0.1324500871146542,-10.514823919736752,7.381856538449111e-26,1.1417387473968396e-24,23.942433259964048,Down
MAP2K1,3254,ENSG00000169032,3058.034274525738,-2.0945107162340384,0.2053103240237856,-10.20168238588618,1.948672796377166e-24,2.749155252916616e-23,22.560800733571924,Down
EIF2AK3,3858,ENSG00000172071,1180.4663707827922,1.236595768419148,0.1280883347805913,9.6542418990564,4.716346652292554e-22,5.612318077738439e-21,20.250857723336477,Up
RRAGC,3919,ENSG00000116954,752.1520179099333,-1.4965905373810129,0.1559262373240117,-9.598067413575349,8.145737180496331e-22,9.542357067999288e-21,20.020344336492208,Down
BAD,3943,ENSG00000002330,591.8301103083325,-1.9374553517816848,0.2022953581409745,-9.577359409460705,9.955770969743482e-22,1.1591758587768521e-20,19.93585067214452,Down
MLST8,4019,ENSG00000167965,1432.3787122172128,-1.3926962403921497,0.1465019157993367,-9.506334663225305,1.974989122824213e-21,2.2560566047067326e-20,19.64665000805599,Down
KRAS,4735,ENSG00000133703,1928.9371506815448,-1.1190998913237782,0.1246689837468075,-8.976570255811005,2.7933843506671404e-19,2.708509348965071e-18,17.56726966101939,Down
PRKACB,4916,ENSG00000142875,9315.71030417273,-1.9167390329757128,0.2165563055741938,-8.850996178077223,8.674152956615864e-19,8.100992026047532e-18,17.091461795311716,Down
MAP2K2,5935,ENSG00000126934,3227.9274619035004,-1.3339235484705234,0.1619409661175289,-8.237097631629702,1.764385001790685e-16,1.3649313286258432e-15,14.86488919796321,Down
RRAGA,5958,ENSG00000155876,2812.270604261892,-1.5332204458284626,0.186353289106897,-8.227493344370048,1.911717486995246e-16,1.4731998442743529e-15,14.831738335724532,Down
GABARAPL2,6004,ENSG00000034713,4412.09666237145,-1.677916703997562,0.2046428395947107,-8.199244631869984,2.419022097213697e-16,1.8498570145903447e-15,14.732861839258758,Down
IGBP1,6205,ENSG00000089289,1283.6024300862746,-1.1481994658595076,0.1420085713145283,-8.085423684155044,6.194845946389589e-16,4.583399253386949e-15,14.338812310333092,Down
HRAS,6433,ENSG00000174775,1234.1967864733972,-1.577785573291546,0.1978203171435807,-7.975852005870396,1.513331915649297e-15,1.0801012573598281e-14,13.966535528354484,Down
VMP1,6861,ENSG00000062716,10601.21540093262,2.3418473273401674,0.302549182995057,7.74038556031542,9.911578103281722e-15,6.632899709717282e-14,13.178296569239487,Up
MRAS,7609,ENSG00000158186,5093.698121064947,-1.5683978922243609,0.211907749537545,-7.401323904610095,1.348333959794585e-13,8.136247538466113e-13,12.08957584684115,Down
ATG13,7911,ENSG00000175224,3578.245992095601,-1.2269882947214714,0.1687965887098446,-7.269034902302562,3.6206485474517954e-13,2.1014130680931984e-12,11.67748857131561,Down
RAB39B,8349,ENSG00000155961,1000.8920391946942,-0.9943688557088564,0.1402210180724864,-7.091439424543497,1.327241732006362e-12,7.299193721612471e-12,11.136725109960851,Not Significant
TP53INP2,8478,ENSG00000078804,3485.903802262366,-2.3034871633016727,0.3271207617540185,-7.041702736782573,1.899046419904728e-12,1.0284952311409951e-11,10.987797717672665,Down
ERN1,9255,ENSG00000178607,615.0697307066889,1.2224878652429023,0.1808360505452091,6.760199979800375,1.378014025703848e-11,6.836622955309679e-11,10.16515837109364,Up
ATG4B,10289,ENSG00000168397,2485.803229909041,-0.7390706792362604,0.1151270508733744,-6.419609237182205,1.3662458909089567e-10,6.09712123969195e-10,9.21487516905784,Not Significant
MAPK10,10375,ENSG00000109339,9519.427310510311,-1.2263811638957185,0.1917880257150973,-6.394461590201245,1.6111404102709668e-10,7.130414300313511e-10,9.146885235489972,Down
HIF1A,10894,ENSG00000100644,8022.404818214851,1.3432683093973232,0.2152072414991623,6.241743075372081,4.327213164255583e-10,1.823863751406889e-09,8.739007608015427,Up
PRAP1,11097,ENSG00000165828,8.812181656648978,-3.192340633090697,0.5167548494695546,-6.177669423649556,6.50547489538491e-10,2.6918175587580717e-09,8.569954378292653,Down
PIK3CA,12076,ENSG00000121879,3029.6292954162595,1.7561055277873665,0.2976053262990984,5.900786621078315,3.617725418014147e-09,1.3755863949708342e-08,7.861512128152664,Up
ITPR1,12211,ENSG00000150995,7066.404601789986,-1.6521299876084596,0.2815838624780594,-5.867275109692024,4.4301528061894845e-09,1.6658782100640955e-08,7.778356752407335,Down
BCL2L1,12396,ENSG00000171552,1937.729620610869,-1.175891196581298,0.201984504293463,-5.821690137540687,5.825548052184102e-09,2.1579010414160373e-08,7.665968475386369,Down
AKT1S1,12612,ENSG00000204673,988.1749390013042,-0.7899743981201152,0.1370560057662057,-5.763880201409615,8.220177378616733e-09,2.9927754333105443e-08,7.523925869772916,Not Significant
ATG7,13189,ENSG00000197548,2125.984086469212,0.8330713610907011,0.1484413728822259,5.612123796184936,1.998583701499173e-08,6.958071429609062e-08,7.157511117220245,Not Significant
TANK,13453,ENSG00000136560,1631.7868374889108,0.7889863380030214,0.1424414587660377,5.539021748569308,3.041658736709256e-08,1.038174601222133e-07,6.983729600273201,Not Significant
VAMP8,13549,ENSG00000118640,430.9801840054431,2.001891819738513,0.3629834861404142,5.515104395036071,3.4857298625878575e-08,1.1813151366782069e-07,6.927634231206491,Up
CFLAR,13798,ENSG00000003402,4376.511533464893,0.960561752505245,0.1760366391367604,5.456601291728808,4.853344649538167e-08,1.615120223577376e-07,6.791795144854271,Not Significant
SH3GLB1,13864,ENSG00000097033,5194.923862724393,0.9611181649640606,0.1766034164797631,5.442239930132916,5.261474287163672e-08,1.7426048376548358e-07,6.75880108465298,Not Significant
NRBF2,14162,ENSG00000148572,614.9535881339312,-1.0441032732963151,0.1946510291280603,-5.36397509930144,8.14101317197821e-08,2.6395782381586624e-07,6.578465460809448,Down
ATG10,14557,ENSG00000152348,538.7776976333448,0.9637169807023792,0.1827759296324353,5.272669014133457,1.344539183152875e-07,4.241242738303316e-07,6.372506870928906,Not Significant
WIPI2,14756,ENSG00000157954,3723.186885998736,-0.543182339142221,0.1038983667300871,-5.228016149217528,1.713385481978022e-07,5.331732379068424e-07,6.273131657684793,Not Significant
BNIP3,14919,ENSG00000176171,3881.246365036629,-1.4751616022054304,0.28450173632623,-5.185070647561549,2.159329957610112e-07,6.646018162427208e-07,6.17743847620339,Down
PIK3R4,15127,ENSG00000196455,2248.8654906368592,0.5699230223899264,0.1109111174788384,5.138556308376086,2.768572369535728e-07,8.404260457517067e-07,6.07550049678136,Not Significant
AMBRA1,15627,ENSG00000110497,2433.2720219022094,0.5808946962540819,0.1157454099124065,5.018727711912631,5.20148126533944e-07,1.5283927641774537e-06,5.815765027045682,Not Significant
MTOR,15814,ENSG00000198793,6493.288429839722,0.6161544235308022,0.123910952567531,4.972558202189592,6.607512458962409e-07,1.9186324825884702e-06,5.717008207166414,Not Significant
ATG5,16337,ENSG00000057663,1361.6094602761034,-0.6556546293882409,0.1348637373793066,-4.861608035851777,1.1643600417246731e-06,3.2726513328460467e-06,5.485100261812997,Not Significant
RB1CC1,16584,ENSG00000023287,5755.017954823848,-0.9673444059145334,0.2012664847815281,-4.806286585491728,1.537594496530563e-06,4.257333546890563e-06,5.370862323067087,Not Significant
ATG4D,16992,ENSG00000130734,497.6370024418904,-0.8956125846088568,0.1901055018175951,-4.7111344808326,2.4634160612950137e-06,6.65700752961386e-06,5.176720951825872,Not Significant
MAPK8,17410,ENSG00000107643,2365.000169370289,-0.8753397153640423,0.1893017179954097,-4.62404527879281,3.763276621200614e-06,9.925531314809798e-06,5.003246236110038,Not Significant
HMGB1,18789,ENSG00000189403,8198.496230157729,-0.7115793500616533,0.1635939368104211,-4.349668233036402,1.3634365094846388e-05,3.3321111203855296e-05,4.47728052402228,Not Significant
CTSD,19386,ENSG00000117984,6452.532637562338,-1.4386800299677405,0.3400235203383523,-4.231119154745918,2.325314436203842e-05,5.5076261741460536e-05,4.25903554481583,Down
PRKCD,19555,ENSG00000163932,611.1593490907422,-1.2769008296791466,0.3039042258034454,-4.201655394239241,2.649702691990835e-05,6.221987976241783e-05,4.206070832484289,Down
NRAS,19776,ENSG00000213281,2550.5815085316062,0.7404166850781189,0.1781041862510939,4.15721101599638,3.221563997219913e-05,7.480277105543592e-05,4.1260823134751945,Not Significant
PIK3C3,20213,ENSG00000078142,3824.415011475327,0.4024627344872864,0.0988027235398843,4.073397170320124,4.633231304996019e-05,0.0001052550780432,3.977756942400221,Not Significant
WIPI1,20438,ENSG00000070540,616.2289595438546,0.9222816373827514,0.2290352039764194,4.026811692571531,5.653827585243421e-05,0.0001270264770986,3.896105746293349,Not Significant
BCL2,20677,ENSG00000171791,2086.0696884480367,1.0053431885502462,0.2527330606984219,3.9778855436324942,6.953082484322734e-05,0.0001544145774969,3.811311702526067,Up
SMCR8,20761,ENSG00000176994,2100.9445114683786,0.6163428827799102,0.1555631626637494,3.962010492883451,7.432127326347612e-05,0.0001643823904022,3.7841447084551794,Not Significant
RAB8A,21205,ENSG00000167461,498.3978882446635,0.5039459180053212,0.1297590899692967,3.883704163805123,0.0001028770700343,0.0002227774183273,3.652128833214976,Not Significant
RHEB,21422,ENSG00000106615,3725.36445777824,-0.889023420564333,0.2317164555220865,-3.836686602862323,0.0001247054478913,0.0002673107815254,3.572983524361461,Not Significant
SUPT20H,21861,ENSG00000102710,1869.858309138968,0.7084167410722617,0.1888441653804744,3.75132977841797,0.000175899156658,0.0003694751245492,3.432414795793329,Not Significant
MAPK1,22348,ENSG00000100030,12476.079348475048,-0.6141246283551082,0.167476346651991,-3.666933514087418,0.0002454765873191,0.0005043863423992,3.2972366816171306,Not Significant
WDR41,22454,ENSG00000164253,2598.5052666324555,0.5344403361473112,0.1465581159190692,3.6466103074253096,0.0002657224375468,0.0005434085973986,3.2648734947859346,Not Significant
AKT2,23188,ENSG00000105221,4696.465952388215,0.50295379558084,0.143120281561022,3.514203508371355,0.0004410747555244,0.0008734569773789,3.0587584815764037,Not Significant
AKT1,23392,ENSG00000142208,4075.964828969635,0.5461314931416301,0.157072370665411,3.476941812414459,0.0005071678718187,0.0009955822614367,3.001922849938884,Not Significant
RAB7B,23823,ENSG00000276600,262.6709699675052,1.4390313653067124,0.4226240006222299,3.404992057214036,0.0006616597825573,0.0012753558963572,2.8943686056174496,Up
EIF2AK4,24429,ENSG00000128829,2779.547285131757,0.502470921849478,0.1521364755069613,3.302764311944943,0.0009573681667266,0.0017995621606326,2.744833147314224,Not Significant
ATG9B,24479,ENSG00000181652,126.15709197098263,-1.3852879535148224,0.42063549558519,-3.293321576648218,0.00099011160829,0.0018573086259921,2.7311159242469887,Down
STK11,24531,ENSG00000118046,2089.842048320072,-0.5690102043821049,0.1731362664542538,-3.2864876668254204,0.0010144521608779,0.0018989343583759,2.7214900475261987,Not Significant
MAP3K7,24838,ENSG00000135341,2982.331599498873,0.3247370320896286,0.1003378420502505,3.2364362782189,0.0012103224548944,0.002237578704908,2.650221679808211,Not Significant
ATG16L1,24991,ENSG00000085978,1846.7296197053192,-0.3617721277162024,0.1128170224235093,-3.206715794697439,0.0013425956533026,0.0024669228151133,2.6078444384692325,Not Significant
ULK2,25145,ENSG00000083290,2872.853903902544,-0.7118698799559461,0.2236568530299371,-3.182866388004933,0.0014582488915063,0.0026630178695165,2.574625919326597,Not Significant
RRAGB,26598,ENSG00000083750,1195.1257170324045,-0.4183967061941467,0.1418574690553384,-2.9494161215503625,0.0031837498237128,0.0054960706610546,2.2599476923406407,Not Significant
MTMR14,27492,ENSG00000163719,1339.5822723769909,0.3022325330162915,0.1076562804456566,2.807384128126684,0.0049945644635388,0.0083423196715588,2.0787131723259566,Not Significant
ATG3,27852,ENSG00000144848,1608.377916946251,-0.3929947694998179,0.1431755810179109,-2.744844942872313,0.0060539494295739,0.009981094020589,2.000821853395518,Not Significant
CTSL,28649,ENSG00000135047,4146.326518250779,0.7525882280324946,0.2875556990993768,2.617191140323762,0.008865668094815,0.0142101341913438,1.847401820856136,Not Significant
INS,29104,ENSG00000254647,0.6434739427176563,-3.527948755449866,1.3880516955731537,-2.5416551607561755,0.011032896448887,0.0174073746033101,1.7592667246479516,Down
PTEN,29961,ENSG00000171862,4037.593759343207,-0.5221081241061883,0.2166046886037826,-2.410419310272819,0.0159341955526609,0.0244214069145499,1.6122293200133748,Not Significant
SNAP29,29979,ENSG00000099940,1162.4669169248486,-0.4044102887309186,0.1679687094142939,-2.407652533267031,0.0160554536766093,0.0245924779280713,1.6091977097212318,Not Significant
C9orf72,30694,ENSG00000147894,1491.6490660193576,-0.6842793193401563,0.2974511270665999,-2.3004764718438766,0.0214212407583643,0.0320465640916221,1.4942185270200383,Not Significant
DDIT4,31141,ENSG00000168209,1125.1033072371918,0.9446408632558516,0.4244957727342248,2.225324547218253,0.0260594587130992,0.0384254752242741,1.4153807526895403,Not Significant
TBK1,31742,ENSG00000183735,1796.734971206214,0.2485693431236152,0.1163269755070169,2.1368160054038485,0.0326129598078526,0.0471795270559304,1.326246416948286,Not Significant
