gene_name,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
PCBP1,230,ENSG00000169564,492.6523305335432,-5.030971563129599,0.2491846106563298,-20.189736235630573,1.2050603527136283e-90,2.395566080387988e-88,87.62059184486343,Down
PCBP2,861,ENSG00000197111,3935.978779513154,-2.216929993234796,0.1515523497748181,-14.628146620813132,1.857792420845757e-48,9.896947303672621e-47,46.00449874213119,Down
MAP1LC3B,1072,ENSG00000140941,4729.987152551403,-2.070307900144756,0.1491846227192106,-13.877488593723276,8.672985869437483e-44,3.7117631324365203e-42,41.430419746234975,Down
VDAC3,1565,ENSG00000078668,3766.231110613606,-1.6267247405040042,0.1284475365678671,-12.664507112944907,9.30026618915153e-37,2.7271872520563685e-35,34.56428504183729,Down
STEAP3,4489,ENSG00000115107,1424.897912100049,3.5070286730369062,0.3832531765992695,9.150683900798724,5.657424162601977e-20,5.786070712045554e-19,18.237616263107057,Up
TP53,4823,ENSG00000141510,1273.1914504530191,2.3997269317520966,0.2691784011715375,8.915005517930982,4.877919733583876e-19,4.6434276966398215e-18,17.333161312513884,Up
CYBB,4833,ENSG00000165168,4816.139542363602,3.5564473629582647,0.3991390007685725,8.910297806303204,5.089566767822167e-19,4.834877855712904e-18,17.31561449309286,Up
VDAC2,5080,ENSG00000165637,2365.2718529577546,-1.3238582725499712,0.1513068921785909,-8.749490875718944,2.1431745562488105e-18,1.9369556937119e-17,16.71288031330077,Down
PRNP,5226,ENSG00000171867,13787.015708812958,-2.2266567616235795,0.2572043207756905,-8.657151461951763,4.83699787444726e-18,4.249469665056295e-17,16.371665266634654,Down
ACSL6,5368,ENSG00000164398,2326.71873091224,-2.7660632428270784,0.3225212244015972,-8.576375858547621,9.79092391919603e-18,8.374166833551886e-17,16.077058391167593,Down
MAP1LC3A,6866,ENSG00000101460,1623.9614131512858,-2.3252647719528188,0.300505112645724,-7.737854279684599,1.0110863419988694e-14,6.760351763385278e-14,13.17003070569704,Down
HMOX1,6870,ENSG00000100292,3086.972786772716,3.550597095966716,0.4589065812782377,7.737080357568392,1.0172576890049691e-14,6.79864507885274e-14,13.167577630442173,Up
GPX4,7006,ENSG00000167468,4660.619179081516,-1.2020587945709544,0.1567632754632183,-7.667987231186654,1.7471627498251203e-14,1.1450187046484854e-13,12.94118741877451,Down
FTH1,10938,ENSG00000167996,7553.657415704369,-1.9783417090540765,0.3176900949269282,-6.227269092255187,4.74635519028419e-10,1.9924799039495423e-09,8.700606050181705,Down
SLC40A1,12462,ENSG00000138449,2278.989541276957,2.3055132747607114,0.3969996996258856,5.807342617471303,6.347216707868684e-09,2.3386868205250573e-08,7.631027931771125,Up
SAT2,12501,ENSG00000141504,1728.89365218964,-1.1567187882137742,0.1995146710113765,-5.7976628102091645,6.724548596770939e-09,2.4699887706952352e-08,7.607305021167938,Down
LPCAT3,12797,ENSG00000111684,305.11460568087045,1.271178214684517,0.2223417758398614,5.717226148270334,1.0827697427188857e-08,3.8851280946549424e-08,7.410594657716425,Up
ATG7,13189,ENSG00000197548,2125.984086469212,0.8330713610907011,0.1484413728822259,5.612123796184936,1.998583701499173e-08,6.958071429609062e-08,7.157511117220245,Not Significant
ATG5,16337,ENSG00000057663,1361.6094602761034,-0.6556546293882409,0.1348637373793066,-4.861608035851777,1.1643600417246731e-06,3.2726513328460467e-06,5.485100261812997,Not Significant
ACSL4,16810,ENSG00000068366,2588.984530757624,-0.800061676818505,0.1682755513024665,-4.754473663143353,1.9896407508554984e-06,5.4349112438305485e-06,5.264807543873799,Not Significant
CP,23199,ENSG00000047457,2438.6383997322764,2.106477716186231,0.599672597071938,3.512712981169512,0.0004435563479017,0.0008779547867239,3.0565278489935768,Up
ACSL3,25153,ENSG00000123983,6636.644173693781,-0.7538865664740708,0.2369995760248136,-3.1809616671851755,0.001467870508264,0.0026796295611207,2.57192523980735,Not Significant
ACSL5,26578,ENSG00000197142,390.086676878029,-0.8438973013732796,0.2858249854434905,-2.952496612792179,0.0031521552839935,0.0054460334397933,2.2639196963282027,Not Significant
SAT1,28072,ENSG00000130066,10334.983547500036,0.8594258603907757,0.317028563840538,2.7108783195417616,0.0067105247174318,0.0109768818989487,1.9595210083737435,Not Significant
SLC3A2,28073,ENSG00000168003,6100.182643642113,0.5413993796267097,0.1997270661036797,2.7106961023783605,0.0067142132333459,0.0109825242533475,1.9592978289838023,Not Significant
ALOX15,28171,ENSG00000161905,13.394542629202336,-1.673358306357501,0.6207944100272355,-2.6955112342008487,0.0070280707812254,0.0114559150342415,1.9409702160816895,Down
MAP1LC3C,29086,ENSG00000197769,40.63357517502549,1.5721470469023158,0.6178985248164633,2.5443450401007133,0.0109482877437979,0.0172845711652265,1.7623413909486556,Up
SLC7A11,30214,ENSG00000151012,3023.3461920015816,0.8488867602847566,0.3572319332248097,2.376290251046912,0.0174877006614304,0.0265779481076798,1.5754785508541571,Not Significant
TFRC,30356,ENSG00000072274,5960.942582845089,0.5975963940874944,0.2540543055259882,2.352238797332108,0.0186607907143515,0.0282281572748867,1.5493174715331723,Not Significant
SLC39A14,31579,ENSG00000104635,3621.149996319936,0.730338566560153,0.3375660851327864,2.163542484645233,0.0304994797784048,0.0443497976853746,1.3531083569895452,Not Significant
