gene_name,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
RNF31,22,ENSG00000092098,340.3585107750227,-5.445300773144787,0.1703615244556802,-31.963207599503413,3.5409234206947042e-224,7.0696845392052805e-221,220.1505999646952,Down
MAPK9,98,ENSG00000050748,4180.808785321937,-2.4561526000809373,0.0999094985788034,-24.583774666266105,1.883822745504021e-133,8.738083262251539e-131,130.05858382136094,Down
PLA2G4B,102,ENSG00000243708,349.7471076124497,-6.084343117759643,0.2508102488995051,-24.258749969175,5.345880227538072e-130,2.3833802517356874e-127,126.62280666346292,Down
H2AC20,138,ENSG00000184260,2419.492451837714,9.70615052613277,0.4297037929902718,22.58800290914004,5.686057287216344e-113,1.8784851560162725e-110,109.7261922324269,Up
CHMP4A,169,ENSG00000254505,413.0823526052133,-4.89964919581526,0.2280035021857649,-21.489359368801665,1.957940817920497e-102,5.28885884116042e-100,99.27663802408011,Down
TICAM2,187,ENSG00000243414,44.09600078134152,-4.670244847465062,0.2225237505489599,-20.987624179188504,8.509413084496545e-98,2.078514671559393e-95,94.68224690560338,Down
H2AC8,333,ENSG00000277075,2322.744618489867,7.653388473637607,0.4138162369291813,18.494654850740847,2.2799704065857342e-76,3.1346862587072906e-74,73.50380591988292,Up
CHMP3,368,ENSG00000115561,2686.727411362443,-1.898987725964714,0.1050909560674346,-18.069944332280823,5.4969140630805063e-73,6.840753135249863e-71,70.16489608183582,Not Significant
CHMP4B,408,ENSG00000101421,3288.612279601438,-2.241900450465685,0.1283634966298135,-17.465249150473706,2.6354818053956443e-68,2.9590210265421364e-66,65.52885194877017,Down
VPS4A,739,ENSG00000132612,2668.0174340813974,-1.7373479257154618,0.1148176763313528,-15.131362880935171,1.0059039135951053e-51,6.242177515702814e-50,49.20466388498277,Not Significant
H2AC11,829,ENSG00000196787,2422.0958885473374,9.206349585154127,0.623451439416729,14.766746859654608,2.4002176990330028e-49,1.327956589846922e-47,46.876816121578,Up
H2AC4,876,ENSG00000278463,821.8706016756473,9.603135063351264,0.6595709929789964,14.559668580902969,5.070301483776625e-48,2.6548838590251583e-46,45.57595447288298,Up
H2AC16,1136,ENSG00000276903,780.1629236413114,9.33708049836745,0.681940796302077,13.691922449865332,1.1346694989187269e-42,4.5826876042081644e-41,40.33887974703031,Up
IFNAR2,1168,ENSG00000159110,189.0210276648658,-2.624574138596316,0.1930730042931005,-13.593687777354925,4.365195787965003e-42,1.7147489801466287e-40,39.76579944676767,Down
TRPM7,1264,ENSG00000092439,3339.169508431562,1.5167564190358782,0.1137484061467208,13.334309204117172,1.462027001623453e-40,5.3073313787787036e-39,38.2751237950761,Not Significant
H2AC13,1311,ENSG00000196747,997.1477490460068,9.84401889350724,0.7449746760974897,13.213897343564229,7.2947461859576e-40,2.5532167652847483e-38,37.59291231250843,Up
