gene_name,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
CHMP4B,408,ENSG00000101421,3288.612279601438,-2.241900450465685,0.1283634966298135,-17.465249150473706,2.6354818053956443e-68,2.9590210265421364e-66,65.52885194877017,Down
IRF1,4139,ENSG00000125347,733.6386637183208,2.27682909136252,0.2419358379110328,9.410879806073956,4.92001156241044e-21,5.457291085928741e-20,19.26302288080709,Up
IL1B,4720,ENSG00000125538,431.5997185608273,3.5455536206070115,0.3945686626798059,8.985897654736567,2.56630746022984e-19,2.4962381885451066e-18,17.60271397706839,Up
TP53,4823,ENSG00000141510,1273.1914504530191,2.3997269317520966,0.2691784011715375,8.915005517930982,4.877919733583876e-19,4.6434276966398215e-18,17.333161312513884,Up
CASP4,6992,ENSG00000196954,739.1095593788107,2.5095950007771,0.326958997062388,7.675564897509872,1.6469124901037154e-14,1.0814796004297545e-13,12.96598166809206,Up
IL1A,7818,ENSG00000115008,80.7482666860947,2.800699138379016,0.383144191147138,7.309778415258472,2.6758327515807897e-13,1.5715170198918205e-12,11.803680911111517,Up
CASP5,8342,ENSG00000137757,25.237364889374508,3.6820603115713504,0.5190261696451653,7.094170827818968,1.3012931151103837e-12,7.162493244514434e-12,11.14493577464012,Up
CASP3,10175,ENSG00000164305,1528.4497446667194,1.306180123669963,0.2024222284971701,6.452750438365139,1.0983815709036839e-10,4.956305041581676e-10,9.304841972312351,Up
CASP1,10234,ENSG00000137752,475.9127102697539,2.1717014448713523,0.3375012320097498,6.4346474587346565,1.2376023896228088e-10,5.55270535748598e-10,9.255495370830138,Up
IL18,16908,ENSG00000150782,449.8379438827936,2.149058970461357,0.4543759354125045,4.729693636856752,2.2485889803358776e-06,6.106656488615757e-06,5.214196509231996,Up
GSDME,17386,ENSG00000105928,2444.577601755508,1.1090637719758911,0.2395491000207261,4.629797281141666,3.660238904510172e-06,9.667097873929463e-06,5.014703884397459,Up
CYCS,17444,ENSG00000172115,5688.606809856516,-1.2908027161844364,0.2796266759144319,-4.6161644341094,3.908972656863402e-06,1.0289706699674651e-05,4.9875970042976485,Down
CHMP4C,17451,ENSG00000164695,10.129098309952854,-1.6646344220256388,0.3607912668024966,-4.61384344687281,3.952902140523244e-06,1.0401170020339668e-05,4.982917804470799,Down
HMGB1,18789,ENSG00000189403,8198.496230157729,-0.7115793500616533,0.1635939368104211,-4.349668233036402,1.3634365094846388e-05,3.3321111203855296e-05,4.47728052402228,Not Significant
GSDMD,22606,ENSG00000104518,761.8407189408541,1.248202239348002,0.344955818844481,3.618440887674193,0.0002963831762256,0.0006020352915228,3.220378049499041,Up
CHMP2A,23603,ENSG00000130724,2468.3346000229885,-0.6096163339454509,0.1772452268254613,-3.439394926813789,0.0005830160529622,0.0011342433557057,2.945293756112025,Not Significant
CHMP2B,24460,ENSG00000083937,1403.4186013462272,-0.6292042330151568,0.19086888425758,-3.296525965783074,0.0009788856557489,0.0018376766361819,2.735730906158201,Not Significant
BAX,24575,ENSG00000087088,921.2258951132492,0.6093649253842733,0.1858733570299684,3.2783876889145835,0.0010440189998045,0.0019507811071787,2.709791459092246,Not Significant
CHMP7,24940,ENSG00000147457,1756.6046495769615,-0.393273970712353,0.1222177215128116,-3.217814616770839,0.0012917127559511,0.0023783531397756,2.623723660537631,Not Significant
