,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
ACAD9,0.5185377151456514,2.6618787831545227e-10,1.7558111770309684e-09,8.755522190698034,Not Significant,-0.8671898067490813,2.345173824295677e-10,8.368499944152792e-10,9.077352382432217,Not Significant
ACP1,-0.1588385405645702,0.3378858854774479,0.3763253079380663,0.4244365743235964,Not Significant,-0.8595832496656287,3.644125140813809e-12,1.6776514193158308e-11,10.775298271394105,Not Significant
AIFM1,0.5236088505868501,2.314056507208642e-07,7.83853572751172e-07,6.105765057832754,Not Significant,-0.8273707869352487,3.0236034048439854e-11,1.2208179922816538e-10,9.913349078757594,Not Significant
BCS1L,0.8820569380148378,4.97903719763928e-10,3.0696952710537397e-09,8.512904734838262,Not Significant,-0.8997676389548482,1.9668661690021292e-14,1.3242632569950298e-13,12.878025670715587,Not Significant
CD14,2.622073206131244,4.016764454282561e-07,1.2865620540704192e-06,5.890569261851282,Up,0.9213468163767888,3.204970030726079e-06,6.757247933933108e-06,5.170230145842881,Not Significant
CEP89,0.9739602990057624,4.053155682165148e-06,1.0400277723416124e-05,4.982955063380383,Not Significant,0.7140368951920465,0.0009408444443468,0.0014717838625197,2.8321559632370072,Not Significant
CMC1,0.1714270587741868,0.0799587590586633,0.0987258902753983,1.00556894125868,Not Significant,-1.5689160489632326,6.6543020981136005e-18,1.248011361067828e-16,15.903781461106634,Down
CMC2,0.0296572456996404,0.7517768425414935,0.7785956524892572,0.1086880256181098,Not Significant,-1.0956398820306466,8.612333250407642e-08,2.218954871373593e-07,6.65385153026584,Down
COA1,0.7284514325728253,1.581873210552069e-06,4.416793437666725e-06,5.35489291112857,Not Significant,-0.6842877194946553,6.942763476012096e-06,1.4018860334007744e-05,4.853287290989165,Not Significant
COA3,-0.2043988783486519,0.183865483593848,0.2143324325068763,0.6689121071054632,Not Significant,-0.9441065993262948,1.1510249815645262e-06,2.5782266049290195e-06,5.58867891438942,Not Significant
COA4,1.516059446939508,9.064062481061297e-18,7.546393837538141e-16,15.122260533218476,Up,0.2523830224455038,0.0330840536744602,0.0423685918673051,1.372955969664846,Not Significant
COA5,-0.0672613690931562,0.3052541593639742,0.3430533691915079,0.4646383110290291,Not Significant,-0.8862677977107991,2.806658115236461e-06,5.965796267407867e-06,5.224331581924565,Not Significant
COA6,-0.8772615605674012,1.968913989828684e-06,5.378210285665446e-06,5.269362221056804,Not Significant,-2.099964915670413,1.8365805522569936e-16,2.068935819095568e-15,14.68425298146813,Down
COA7,-0.2574680079845031,0.1895039812059243,0.2206499198645956,0.6562962259433702,Not Significant,-1.0180991284734753,1.3574854077306372e-10,4.977127724222683e-10,9.303021214145796,Down
COX11,-0.6922159465333202,1.4422775486051152e-08,6.361429082595417e-08,7.196445309985695,Not Significant,-0.6124063504010709,5.545423873417678e-07,1.293352388492149e-06,5.888283130551206,Not Significant
COX14,-0.530223359088108,0.0023317935131407,0.0036578149877576,2.436778264914264,Not Significant,-0.1835220621962347,0.1003568317137345,0.1205695130780543,0.9187624929901116,Not Significant
COX15,-0.4292389815570878,0.0024062720425377,0.0037687786934896,2.4237993640144744,Not Significant,-0.9583456418291648,9.613105335557578e-09,2.79193117851057e-08,7.554095291335938,Not Significant
COX17,-0.2117145491475724,0.0956068201188318,0.116590407927764,0.9333371781824946,Not Significant,-1.1708367859163014,1.862007083827054e-08,5.2255680063509854e-08,7.281866495912301,Down
COX18,0.0208678018774097,0.8202922300541386,0.84099571805062,0.0752062154169768,Not Significant,-0.6962935304096738,1.2883815986237086e-10,4.743814665749622e-10,9.32387228659458,Not Significant
COX19,0.0676311118140553,0.6198062395758609,0.6545684094231285,0.184044958307385,Not Significant,-1.0044351747629423,1.02620395609676e-13,6.024679627191863e-13,12.220066042502816,Down
COX20,0.1949956558906009,0.0741135584528378,0.0920162666815243,1.036135391072352,Not Significant,-0.59816523019821,2.146428396118445e-05,4.0882293092766514e-05,4.388464752560109,Not Significant
COX4I1,-0.8003966695705884,9.413184179322146e-06,2.238102842164062e-05,4.650119961257991,Not Significant,-2.2423133706120035,9.26655703228631e-18,1.6658996916937514e-16,15.778351152182172,Down
COX5A,-0.6346618020656827,0.0005149058466368,0.0008989881280796,3.0462460434653704,Not Significant,-2.146436810156028,2.562774069985985e-17,3.778458257009082e-16,15.422685371342396,Down
COX5B,-0.574701717702883,0.0011836901352498,0.0019421000688122,2.711728396357312,Not Significant,-2.305577899616062,4.244770592493855e-17,5.798401193867264e-16,15.23669173891982,Down
COX6A1,-0.4208790040263075,0.0232394742810338,0.0311198277159557,1.50696281599523,Not Significant,-1.436269336802544,7.099323630767307e-06,1.431554817370339e-05,4.844192017236769,Down
COX6B1,0.0728299431661554,0.647080259840151,0.6801634534254677,0.1673867073078263,Not Significant,-2.34461785331389,3.053484862622641e-17,4.3705621084183453e-16,15.359462703788118,Down
COX6C,-0.7891165527154449,0.0024124136101426,0.0037766363183491,2.422894834748531,Not Significant,-2.185655298733101,6.144506112346751e-15,4.6013067714688727e-14,13.337118811135376,Down
COX7A1,-2.051111217938306,5.7095086126680114e-08,2.215623642681724e-07,6.654504009190895,Down,-2.763553727275444,4.663271331891583e-13,2.4564772921892454e-12,11.609687246152603,Down
COX7A2,-0.6883471007554434,0.0143132965553381,0.0197631783852078,1.7041432093357207,Not Significant,-2.458576918895348,5.20798244761637e-16,5.182432515159251e-15,14.285466344513363,Down
COX7A2L,-1.0644673657626136,5.693601199894576e-05,0.0001170080344507,3.931784316050357,Down,-2.3116889436427823,3.3913180141836504e-18,7.248507024566245e-17,16.139751435879003,Down
COX7B,-0.5803055379265452,0.0010938002899669,0.0018036276500534,2.7438531154737102,Not Significant,-1.691181857430015,3.5350050346762295e-17,4.94568110294958e-16,15.305773890339111,Down
COX7C,-0.6010828085993403,0.0014128966881848,0.0022920324052776,2.639779246506662,Not Significant,-2.279351616398088,8.00926887104703e-16,7.537837222308186e-15,14.122753245264848,Down
COX8A,0.4502821158019046,0.0275006731397631,0.0363858394024131,1.4390676016788728,Not Significant,-1.4265910118946548,6.057490304069348e-13,3.133817921225539e-12,11.50392624019167,Down
CYC1,0.3143558923517204,0.0380667360665052,0.0492277662559658,1.307789870193469,Not Significant,-1.6844004354383504,1.9866962013305685e-15,1.6853725150488906e-14,13.773304092804675,Down
ECSIT,0.0832603386927175,0.3842435460012692,0.4236477489785253,0.3729950968430826,Not Significant,-0.865172012287359,3.1002537818207e-07,7.485627839241861e-07,6.125771768375934,Not Significant
FOXRED1,-0.4766317725059927,4.6098043933683154e-07,1.450770679749841e-06,5.838401230146694,Not Significant,-0.7902244561678643,5.967142561511537e-09,1.7786937835845815e-08,7.749898812762793,Not Significant
HIGD1A,-1.267195310504018,1.555933760496778e-06,4.35039597647642e-06,5.361471211419617,Down,-1.462655226696611,5.674473162967764e-09,1.6963122100324942e-08,7.770494211857831,Down
LYRM2,-0.2413997826056224,0.0304721154868538,0.0400020968744547,1.3979172427436248,Not Significant,-0.591119966567313,2.211146820521045e-05,4.200735034642008e-05,4.3766747111356485,Not Significant
LYRM7,-1.2269487369644487,3.916428971618323e-09,1.974679952957106e-08,7.704503282785813,Down,-1.2506078788188295,4.2376433399251014e-14,2.671691673245329e-13,12.573213663088152,Down
MR1,1.1630652073111154,0.0003099331910827,0.0005619630970064,3.2502922027452708,Up,0.7633648509785896,0.0001590697622606,0.0002723732777382,3.564835502853596,Not Significant
MT-CO1,-1.5974122302339353,5.459805821053371e-06,1.361100812702095e-05,4.866109706700582,Down,-1.4326133330653557,4.605651773740562e-09,1.3915886592994345e-08,7.856489119176924,Down
MT-CO2,-1.2988600568023756,0.0002148671264464,0.0003997361831618,3.3982265386643267,Down,-2.480129934050761,2.7125731157116764e-16,2.9289599130127424e-15,14.533286572216149,Down
MT-CO3,-1.7453722544111017,5.640245365769046e-06,1.4022663330394218e-05,4.853169492799934,Down,-1.9538649332592024,1.3645736832617318e-13,7.855629996285859e-13,12.104818980205268,Down
MT-CYB,-1.2843145313627993,0.0010430537216438,0.0017275112035094,2.7625791273942446,Down,-0.665767616937067,0.0291813189326611,0.0376112368462196,1.4246823845606935,Not Significant
MT-ND1,-1.8117080548359008,3.2182911019722115e-05,6.929058465755088e-05,4.159325774177098,Down,-2.433456653483298,7.850408679768331e-17,9.90483684214649e-16,15.00415267400116,Down
MT-ND2,-1.6670424389080123,8.678100079915284e-05,0.0001723643142844,3.763552644042504,Down,-1.4132405045030527,0.0008681412664174,0.0013633799701477,2.8653830906501723,Down
MT-ND4,-0.952288565060158,0.0129873870500684,0.0180586524696189,1.743314659717019,Not Significant,-1.3048867598670577,0.0001792676700406,0.0003054005200414,3.515130227754586,Down
MT-ND5,-0.9388036075143518,0.018817156031209,0.0255649399674173,1.592355222763378,Not Significant,-1.6571680516456415,5.8551489586372095e-15,4.4118960934313607e-14,13.35537472437799,Down
NDUFA1,-0.6164343979085096,0.0008234573948356,0.0013899982901431,2.856985733977461,Not Significant,-1.6176086860015113,2.272906931046865e-13,1.2584679041421394e-12,11.900157856183723,Down
NDUFA10,-0.4383172729032409,4.788844689475542e-05,9.96340797227935e-05,4.001592086234985,Not Significant,-2.202073836446768,1.6234231886262269e-21,2.3148235575904655e-19,18.635482106540262,Down
NDUFA11,0.3810221462992729,0.0033337136373591,0.0050715540898151,2.2948589382584115,Not Significant,-2.1516148098260186,5.046309759355775e-19,1.6014340940589717e-17,16.795490929729148,Down
NDUFA12,-0.3112027075964327,0.0809545787518737,0.0998697558592182,1.000566011795082,Not Significant,-2.062053864967857,8.548793936738579e-21,7.477680343488392e-19,18.12623310404223,Down
NDUFA13,0.5997817068713651,6.331898028628735e-06,1.554277308489422e-05,4.808471493384239,Not Significant,-1.9767488781851248,2.240388397218335e-17,3.409386378164568e-16,15.467323778355698,Down
NDUFA2,0.1037862194252383,0.5359987928450943,0.5737496079271357,0.2412775982305248,Not Significant,-2.496179391272473,4.633811139921705e-21,4.775578233212378e-19,18.32097403595676,Down
NDUFA3,0.124517282012647,0.3226581360204735,0.3606010719181551,0.4429729866334507,Not Significant,-2.0014664616828166,6.5835636371036535e-18,1.236973175065197e-16,15.90763971835591,Down
NDUFA4,-0.9083193683137658,0.0020381995254473,0.0032260107873037,2.4913341847280024,Not Significant,-2.661805485588138,1.14708199883812e-17,1.9670472036088943e-16,15.706185218107665,Down
NDUFA5,-1.541733518607984,1.73998348506723e-05,3.9257768485033096e-05,4.406074390476715,Down,-1.9720060009017817,7.441778342703891e-15,5.4473608135868373e-14,13.263813857669764,Down
NDUFA6,0.1173285817288025,0.4643118124168012,0.5040928115407755,0.2974894956394808,Not Significant,-2.068454287990978,2.6157626945957e-20,1.6911474464625238e-18,17.77181852581832,Down
NDUFA7,0.665797788039999,6.955797841090977e-05,0.0001408280189113,3.8513109300802943,Not Significant,-2.324003947193101,1.0850837238312982e-22,3.5295739004249954e-20,19.4522777206359,Down
NDUFA8,-0.6314203247902803,0.0011246352439912,0.0018512378182953,2.7325377862503544,Not Significant,-2.230870139829079,7.270804089283696e-18,1.3466512413764055e-16,15.870744864230453,Down
NDUFA9,-0.4153817114368223,0.0030177516763944,0.0046349794767492,2.3339521845301205,Not Significant,-2.47709356744754,2.1474954428467298e-21,2.829529122100204e-19,18.548285831856827,Down
NDUFAB1,-0.6172204061999409,0.0094964624524791,0.0135410279895647,1.868348364214501,Not Significant,-1.902966404018212,1.2533327959668725e-18,3.205390927080878e-17,16.494118996684737,Down
NDUFAF1,-0.5719330382768888,0.0031024488035119,0.0047520251249169,2.323121271818119,Not Significant,-0.8802913412801447,1.8733711110686312e-09,5.943285551695635e-09,8.22597340308413,Not Significant
