,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
BCS1L,0.8056612209979086,9.897982971380373e-09,4.9386964068195065e-08,7.306387670112086,Not Significant,-0.8997676389548482,1.9668661690021292e-14,1.3242632569950298e-13,12.878025670715587,Not Significant
CYC1,0.1429892931018308,0.305265346222582,0.34997645360718,0.4559611739710595,Not Significant,-1.6844004354383504,1.9866962013305685e-15,1.6853725150488906e-14,13.773304092804675,Down
LYRM7,-1.182113239272791,1.8402044308165675e-09,1.0911253346701648e-08,7.96212536029224,Down,-1.2506078788188295,4.2376433399251014e-14,2.671691673245329e-13,12.573213663088152,Down
MT-CYB,-1.5802818863888852,0.0001697550209322,0.0003463868910009,3.4604385522023207,Down,-0.665767616937067,0.0291813189326611,0.0376112368462196,1.4246823845606935,Not Significant
SDHA,-0.5259238901509775,0.0004769558844945,0.0009001224391903,3.045698411618436,Not Significant,-1.919022349901756,1.0882878840231288e-19,4.9684160459634856e-18,17.303782044292674,Down
SDHAF1,-0.2969296576556672,0.0140044451624221,0.0204642849675429,1.6890034252222563,Not Significant,-0.8306029913897982,1.825390558759237e-06,3.988348095324286e-06,5.399206944321978,Not Significant
SDHAF2,0.3596468344811114,0.000959220886812,0.0017163749935603,2.765387821474412,Not Significant,-1.5177705202529317,5.9394092916701686e-15,4.46700226278864e-14,13.349983827533451,Down
SDHB,0.0269368439407955,0.8831577451997561,0.9006297050125952,0.0454537330223158,Not Significant,-1.90931610587221,5.467396024691251e-20,3.092424492287116e-18,17.50970089573551,Down
SDHC,-1.1522567617410822,5.570410238157033e-13,8.085924025820455e-12,11.092270343551682,Down,-0.7389380769627086,7.001423356615225e-06,1.4131823874153166e-05,4.849801783844046,Not Significant
SDHD,-0.1455273931842633,0.2371593319099241,0.277581399983801,0.556609638199285,Not Significant,-1.6158537631492538,7.239330087947733e-08,1.8937971069476745e-07,6.722666551231909,Down
TTC19,-0.5362165078262855,3.54479157715788e-05,8.224373640785004e-05,4.084897167506746,Not Significant,-0.3174199612677506,0.0009217255780403,0.0014433942442939,2.8406150308356377,Not Significant
UQCC1,-0.2034200231481939,0.0006032344936344,0.0011166821552505,2.952070423897868,Not Significant,-1.126362901772445,3.707547640910474e-12,1.7030831153679223e-11,10.768764156696925,Down
UQCC2,0.0092713237647039,0.9359731260434996,0.9452693190704452,0.0244444379221031,Not Significant,-0.9830505490967724,1.0773175316062894e-15,9.828043984653695e-15,14.007532908536112,Not Significant
UQCC3,0.675717139721332,1.41575782236298e-06,4.342979385653064e-06,5.3622122320511645,Not Significant,-0.4230591161837521,0.0399785007228515,0.0506200379495449,1.2956775335896222,Not Significant
UQCR10,-0.1304785005426012,0.4269877950702982,0.4736264091101282,0.3245640896233263,Not Significant,-1.6677457585943285,1.905619820222969e-08,5.34076378801855e-08,7.2723966296378,Down
UQCR11,0.1610183102978268,0.2123984786782439,0.2509031747425691,0.600493843410554,Not Significant,-3.011440368474956,1.184690005495061e-16,1.4174066973790908e-15,14.848505519487643,Down
UQCRB,-0.970529190081912,4.128448092457186e-05,9.454418295843076e-05,4.024365186932863,Not Significant,-2.2947922139361543,1.905578265621636e-18,4.538939168616844e-17,16.34304563768259,Down
UQCRC1,0.0226072093621887,0.8867576166383828,0.9034381300581582,0.0441015837719755,Not Significant,-1.9353087373043163,1.1102897277439197e-17,1.9197684013432656e-16,15.716751160924284,Down
UQCRC2,-0.6452498079634985,0.000245095875894,0.0004857556273374,3.3135821595239405,Not Significant,-2.07744364057302,2.2018138747636296e-17,3.3709345260085443e-16,15.472249682741367,Down
UQCRFS1,-0.3424848154262747,0.1239179691667788,0.1530402870401042,0.8151942284236745,Not Significant,-2.2338260340784952,5.1522530263193165e-17,6.87561560909715e-16,15.162688411146473,Down
UQCRH,-0.5613659111251685,0.0296886674607827,0.041004063065523,1.387173107194691,Not Significant,-2.2159083799139165,2.743610692527829e-15,2.2169710272650824e-14,13.65423998247465,Down
UQCRQ,0.1701966881821306,0.3375729057057371,0.383308098746573,0.4164520046334913,Not Significant,-1.6991536133873235,5.8349057815726194e-15,4.4011256724919855e-14,13.356436230144045,Down
