,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
CEP89,0.5578909169138964,0.0007370652775464,0.0013431974685243,2.871860135368319,Not Significant,0.7140368951920465,0.0009408444443468,0.0014717838625197,2.8321559632370072,Not Significant
CMC1,0.1624503329481026,0.1110614826886116,0.1384866167353723,0.8585921945332232,Not Significant,-1.5689160489632326,6.6543020981136005e-18,1.248011361067828e-16,15.903781461106634,Down
CMC2,-0.0313416710134504,0.7661857315053509,0.7963841373488346,0.0988773989842543,Not Significant,-1.0956398820306466,8.612333250407642e-08,2.218954871373593e-07,6.65385153026584,Down
COA1,0.5650116020912854,1.7700158231771e-05,4.375739730720516e-05,4.35894851777002,Not Significant,-0.6842877194946553,6.942763476012096e-06,1.4018860334007744e-05,4.853287290989165,Not Significant
COA3,0.0051144776160896,0.9719908577030286,0.9768391760275648,0.0101769313815412,Not Significant,-0.9441065993262948,1.1510249815645262e-06,2.5782266049290195e-06,5.58867891438942,Not Significant
COA4,1.457275759270356,5.255466055689279e-19,8.973485600849797e-17,16.047038829734465,Up,0.2523830224455038,0.0330840536744602,0.0423685918673051,1.372955969664846,Not Significant
COA5,-0.1189791481472113,0.1251538938409531,0.1544909112307023,0.8110970652259349,Not Significant,-0.8862677977107991,2.806658115236461e-06,5.965796267407867e-06,5.224331581924565,Not Significant
COA6,-0.7177751988189662,1.64255638875566e-05,4.089648643234952e-05,4.3883140022271165,Not Significant,-2.099964915670413,1.8365805522569936e-16,2.068935819095568e-15,14.68425298146813,Down
COA7,-0.301805313729524,0.1426558699117169,0.1744495306495067,0.7583301946687424,Not Significant,-1.0180991284734753,1.3574854077306372e-10,4.977127724222683e-10,9.303021214145796,Down
COX11,-0.734639997534817,1.8310271552162158e-09,1.0863231779533665e-08,7.964040954192625,Not Significant,-0.6124063504010709,5.545423873417678e-07,1.293352388492149e-06,5.888283130551206,Not Significant
COX14,-0.3309303708752154,0.0429946640565889,0.0576428328062386,1.2392546843138614,Not Significant,-0.1835220621962347,0.1003568317137345,0.1205695130780543,0.9187624929901116,Not Significant
COX15,-0.1216450983519088,0.3507805701794789,0.3969628694661952,0.4012501137408743,Not Significant,-0.9583456418291648,9.613105335557578e-09,2.79193117851057e-08,7.554095291335938,Not Significant
COX17,0.0961157423627057,0.4428461525418193,0.4886344075253327,0.3110159551434562,Not Significant,-1.1708367859163014,1.862007083827054e-08,5.2255680063509854e-08,7.281866495912301,Down
COX18,-0.0161339683839365,0.867712156010665,0.8870846620307935,0.0520349297757245,Not Significant,-0.6962935304096738,1.2883815986237086e-10,4.743814665749622e-10,9.32387228659458,Not Significant
COX19,0.0208985998227646,0.887767319729754,0.90419249610328,0.0437391014982087,Not Significant,-1.0044351747629423,1.02620395609676e-13,6.024679627191863e-13,12.220066042502816,Down
COX20,0.3345055558286987,0.0063735053313196,0.0098758473922174,2.005425629678737,Not Significant,-0.59816523019821,2.146428396118445e-05,4.0882293092766514e-05,4.388464752560109,Not Significant
COX4I1,-0.6576010939921844,6.667794076029036e-05,0.0001467264253427,3.833491662932196,Not Significant,-2.2423133706120035,9.26655703228631e-18,1.6658996916937514e-16,15.778351152182172,Down
COX5A,-0.6609223224196263,0.0003139101641585,0.0006106064865289,3.2142385864625407,Not Significant,-2.146436810156028,2.562774069985985e-17,3.778458257009082e-16,15.422685371342396,Down
