,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
BCS1L,0.7920477458795077,0.000315794218767,0.0013485845527169,2.870121819231683,Not Significant,-0.5616364919855092,7.709120410588798e-05,0.000525158601792,3.2797095166303785,Not Significant
CYC1,0.0642802330280361,0.7511963087704311,0.7952450204448637,0.0994990416171268,Not Significant,-1.6843879921205251,4.255311155074448e-05,0.0003468561770804,3.4598505668468653,Down
LYRM7,-1.2182805985748786,4.914109647761184e-06,7.002084949299316e-05,4.154772624678079,Down,-0.9677554009615754,1.505384455471547e-06,3.71723866871323e-05,4.4297795537341,Not Significant
MT-CYB,-0.9953534667162778,0.0191308414652804,0.03504074489477,1.4554266701908949,Not Significant,-1.2472834839322888,0.0019298336635636,0.0057557703736488,2.239896540560043,Down
TTC19,-0.447768850577404,0.001840171159707,0.0052844595960343,2.276999418282782,Not Significant,-0.6553890174089936,6.183993120731699e-07,2.0241881884810144e-05,4.693749113660515,Not Significant
UQCC1,-0.1955034947943268,0.0458877392064895,0.0736690174926175,1.1327151221958829,Not Significant,-0.7495758654685729,0.0118222409812317,0.0242107595005913,1.6159915863640466,Not Significant
UQCC2,0.1204489477622274,0.4027716181238566,0.4705463621685877,0.3273975797988329,Not Significant,-0.6494822691023489,0.0048507733275004,0.011753188912,1.929844283265732,Not Significant
UQCC3,0.9514356056269656,0.0020858039652202,0.0058045273882952,2.2362331352727267,Not Significant,0.2584734754656221,0.4693765927494565,0.5362464003873442,0.2706356100466791,Not Significant
UQCR10,-0.4406291238625464,0.0956744142858909,0.1379058591380834,0.8604172817771438,Not Significant,-1.747262539643471,0.0001519316659441,0.0008646564848621,3.063156396997309,Down
UQCR11,0.0772650216747443,0.5679065675438854,0.6288294967506156,0.2014670948700902,Not Significant,-3.164709991174278,6.85786564946256e-08,4.823211050355121e-06,5.316663734138816,Down
UQCRB,-0.933109323673559,8.941515645322105e-05,0.0005283098452256,3.27711129601884,Not Significant,-2.424931000636378,1.1962067933552375e-05,0.0001468315626419,3.833180579243883,Down
UQCRC1,-0.3973957205900973,0.0801143794796254,0.1183737546021923,0.9267445771311484,Not Significant,-2.01839891195892,7.98465954546602e-06,0.0001127711278273,3.9478020761529873,Down
UQCRC2,-0.462843445963081,0.0037052466294168,0.0091869688763834,2.036827754925264,Not Significant,-2.040624292386511,9.4741259334674e-06,0.0001258181333179,3.900256762448772,Down
UQCRFS1,-0.4334358528398283,0.1311767433876587,0.1808010005318475,0.7427991705185202,Not Significant,-2.1024705664782246,1.829630334284544e-06,4.270094652369466e-05,4.369562498149178,Down
UQCRH,-0.798897071827291,0.0080806315290545,0.0171920342183094,1.7646727331140883,Not Significant,-2.082726408086633,0.0010070775739111,0.0035153153812345,2.4540357055842645,Down
UQCRQ,-0.187800968243831,0.406860925728791,0.4745533131633485,0.3237149901660395,Not Significant,-1.7065885060769397,2.46832818498877e-06,5.20097734363322e-05,4.283915038083753,Down
