,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
CEP89,0.545258045742889,0.0012316981851717,0.0038439056745416,2.415227278008872,Not Significant,0.6593069889002342,0.0017346781595719,0.0053106661655837,2.2748509979598146,Not Significant
CMC1,0.4494045915353002,0.0530290440731636,0.0832239585594407,1.0797516307728934,Not Significant,-1.5360554370804853,0.0001595318767191,0.000898575381369,3.0464454841205,Down
CMC2,-0.162118109351697,0.112424836865749,0.1582705062210997,0.8006000085667837,Not Significant,-1.2564396762270755,1.210049435337355e-05,0.0001483557664596,3.828695568370084,Down
COA1,0.5160871616765093,0.0004498693960592,0.0017647913924847,2.753306623107366,Not Significant,-0.7382512026829855,0.0002785324143892,0.001330538733996,2.8759724779589844,Not Significant
COA3,0.0249597029446526,0.8755262744297315,0.9013049573028794,0.0451282402467749,Not Significant,-1.0942927420295605,0.0004336108366455,0.0018619864680871,2.730023479561129,Down
COA4,1.6501016877384131,6.759905808059092e-07,1.835560407288067e-05,4.736231318531181,Up,0.201984781411431,0.4057149951377831,0.4737589616770455,0.3244425617836001,Not Significant
COA5,0.1167841858344083,0.3644703840522473,0.4322668529482387,0.3642480657238027,Not Significant,-0.7105504581454298,0.083952546284784,0.1238466630213035,0.90711569074111,Not Significant
COA6,-1.126104800807962,0.0001536420062064,0.0007862442500845,3.104442517592059,Down,-1.645000777546173,6.003002668080717e-05,0.0004403471090348,3.3562048505398225,Down
COA7,-0.4633709387846814,0.0883965681957314,0.1287258263930964,0.8903343114113151,Not Significant,-1.2742948644144507,9.588163210378664e-05,0.0006218267343104,3.206330610189375,Down
COX11,-0.5793608415683984,0.0001629634408351,0.0008204366331698,3.085954956265255,Not Significant,-0.7341666451166504,0.00046536227193,0.00196111574434,2.7074967736729585,Not Significant
COX14,-0.6399786053883538,0.0008234022685697,0.0027998022526608,2.5528726413759784,Not Significant,-0.537098346179223,0.012634721793933,0.0256214336943403,1.5913965721666723,Not Significant
COX15,0.3240142553257676,0.0921739668955831,0.1334574211673435,0.8746572713900368,Not Significant,-0.5572777509058499,0.0157650918153977,0.030810897616687,1.5112956491580511,Not Significant
COX17,-0.4889026768173465,0.041052920688949,0.0667689898321718,1.1754251942866945,Not Significant,-1.256750271486066,0.0046072712353807,0.0113026364103414,1.9468202428071784,Down
COX18,-0.1045340317667289,0.5270128623009827,0.5904278886588189,0.2288331369496189,Not Significant,-0.8976139277904649,0.0016270687356208,0.0050510463671571,2.296618644770553,Not Significant
COX19,0.2104749550610343,0.1596748577765712,0.2134507055787127,0.6707024052618381,Not Significant,-1.1006026170204364,0.0001045968853268,0.0006622560701748,3.1789740523114447,Down
COX20,0.3795924924791052,0.0781298420921382,0.1157981505423276,0.9362983768406704,Not Significant,-0.4069861055685657,0.0401422960632656,0.0672094514593103,1.1725696491486446,Not Significant
COX4I1,-0.8270892312546678,1.2770022626662323e-05,0.0001326893852481,3.8771638179988175,Not Significant,-2.2795233652723383,1.347144516081832e-05,0.0001572020994158,3.803541658305261,Down
COX5A,-1.1322671862949107,8.326694008841874e-05,0.0005019935095456,3.299301897968018,Down,-2.144943451585311,1.560015695951276e-05,0.0001746043374102,3.757944972028176,Down
COX5B,-0.7043139335080859,0.0003320245861167,0.0013977499709737,2.8545705080880155,Not Significant,-2.437437274041781,0.00031190223161,0.0014506659199415,2.8384325915810247,Down
COX6A1,-0.6221580382175347,0.0112706577422382,0.0225637134529627,1.6465894242181958,Not Significant,-1.3721766012376455,8.408614507621894e-05,0.0005617796431953,3.250434002065919,Down
COX6B1,-0.27939859007774,0.1471075718665056,0.1991616286766802,0.7007943308681442,Not Significant,-1.943278798164252,2.884157930227327e-10,1.1118962924346757e-07,6.9539357179012,Down
COX6C,-0.6713208317926309,0.0125499269233431,0.0246780551506888,1.607689069541776,Not Significant,-2.013482939916889,1.4867260108609323e-06,3.702232307907044e-05,4.431536333590479,Down
COX7A1,-3.27974849010784,0.0001418423133691,0.0007422958259122,3.1294229815709778,Down,-3.205762447780786,0.0004714203952768,0.0019802319993692,2.703283925827636,Down
COX7A2,-0.4480840338904421,0.0819939203300756,0.1206162367014267,0.9185942259007208,Not Significant,-2.426799800689789,0.0002323019436166,0.0011686954717765,2.9322986386725924,Down
COX7A2L,-0.7315142324798245,0.0020882477571772,0.0058097232548477,2.235844554658733,Not Significant,-1.8682860609568308,0.000160301821229,0.0009004757998774,3.04552795427245,Down
COX7B,-0.6997741651558869,0.002818503456017,0.0074038080354407,2.1305448500797994,Not Significant,-1.526337587011014,0.0011560725621972,0.0038956164777959,2.409423805842605,Down
COX7C,-0.6169632089078938,0.0045438776842353,0.0108087423355341,1.9662248359738923,Not Significant,-2.430298081112284,6.620427064199103e-05,0.0004703892512713,3.327542610756084,Down
COX8A,0.2718903915016319,0.3121697322950195,0.3799441685562434,0.4202802167236616,Not Significant,-1.206579461261002,2.76660481964704e-05,0.0002573511132055,3.5894739488126794,Down
HIGD1A,-1.185038396249933,9.809373142038258e-06,0.0001133252580652,3.945673283289048,Down,-1.5734672900920144,0.0126655898851327,0.0256590356392267,1.590759670035627,Down
MR1,1.1823003079004677,0.007867606272809,0.0168276572382756,1.773976342687936,Up,0.9587418517645764,0.0195441132628448,0.0367941173725723,1.4342216105887002,Not Significant
MT-CO1,-1.3946933182459986,0.000471994093197,0.0018351480103695,2.7363289028045314,Down,-1.4169650792590385,2.816918692953798e-05,0.0002606338371107,3.583969202144108,Down
MT-CO2,-1.090315157548719,0.0073830049732565,0.0159640249196365,1.7968576029594117,Down,-2.429963943317169,0.0002798844806788,0.0013349885613132,2.8745224554828006,Down
MT-CO3,-1.3674817320769357,0.0015856179193174,0.0046848568116569,2.3293036783850822,Down,-2.092017541525533,0.0002774732349158,0.0013284012508543,2.876670724131394,Down
NDUFA4,-1.3692893772629835,0.0001162972355482,0.0006384623165737,3.194864730643353,Down,-2.8089676864873345,5.337808287281501e-06,8.627522742595209e-05,4.064113887212299,Down
