,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
ACAD9,0.4907406828188634,1.668721923458703e-09,1.0036241586222672e-08,7.998428893162467,Not Significant,-1.1273969975335028,0.0001726138169321,0.000948549177584,3.02294014817045,Down
ACP1,0.013884501491038,0.9304481514121714,0.9406256575339904,0.0265831791371893,Not Significant,-0.5340033359515952,0.0015821291430299,0.0049469457043553,2.3056628562475585,Not Significant
AIFM1,0.4200311410027524,2.286940510396339e-05,5.51955886481378e-05,4.258095630646308,Not Significant,-0.7477409949125986,0.0006894424139122,0.0026345103107239,2.579300097382797,Not Significant
BCS1L,0.8056612209979086,9.897982971380373e-09,4.9386964068195065e-08,7.306387670112086,Not Significant,-0.5616364919855092,7.709120410588798e-05,0.000525158601792,3.2797095166303785,Not Significant
CD14,3.4249256659189378,4.134740931641439e-09,2.2442553957627082e-08,7.648927721988495,Up,2.1466943118751174,0.0001148777080475,0.000705464343992,3.151524931730809,Up
CEP89,0.5578909169138964,0.0007370652775464,0.0013431974685243,2.871860135368319,Not Significant,0.6593069889002342,0.0017346781595719,0.0053106661655837,2.2748509979598146,Not Significant
CMC1,0.1624503329481026,0.1110614826886116,0.1384866167353723,0.8585921945332232,Not Significant,-1.5360554370804853,0.0001595318767191,0.000898575381369,3.0464454841205,Down
CMC2,-0.0313416710134504,0.7661857315053509,0.7963841373488346,0.0988773989842543,Not Significant,-1.2564396762270755,1.210049435337355e-05,0.0001483557664596,3.828695568370084,Down
COA1,0.5650116020912854,1.7700158231771e-05,4.375739730720516e-05,4.35894851777002,Not Significant,-0.7382512026829855,0.0002785324143892,0.001330538733996,2.8759724779589844,Not Significant
COA3,0.0051144776160896,0.9719908577030286,0.9768391760275648,0.0101769313815412,Not Significant,-1.0942927420295605,0.0004336108366455,0.0018619864680871,2.730023479561129,Down
COA4,1.457275759270356,5.255466055689279e-19,8.973485600849797e-17,16.047038829734465,Up,0.201984781411431,0.4057149951377831,0.4737589616770455,0.3244425617836001,Not Significant
COA5,-0.1189791481472113,0.1251538938409531,0.1544909112307023,0.8110970652259349,Not Significant,-0.7105504581454298,0.083952546284784,0.1238466630213035,0.90711569074111,Not Significant
COA6,-0.7177751988189662,1.64255638875566e-05,4.089648643234952e-05,4.3883140022271165,Not Significant,-1.645000777546173,6.003002668080717e-05,0.0004403471090348,3.3562048505398225,Down
COA7,-0.301805313729524,0.1426558699117169,0.1744495306495067,0.7583301946687424,Not Significant,-1.2742948644144507,9.588163210378664e-05,0.0006218267343104,3.206330610189375,Down
COX11,-0.734639997534817,1.8310271552162158e-09,1.0863231779533665e-08,7.964040954192625,Not Significant,-0.7341666451166504,0.00046536227193,0.00196111574434,2.7074967736729585,Not Significant
COX14,-0.3309303708752154,0.0429946640565889,0.0576428328062386,1.2392546843138614,Not Significant,-0.537098346179223,0.012634721793933,0.0256214336943403,1.5913965721666723,Not Significant
COX15,-0.1216450983519088,0.3507805701794789,0.3969628694661952,0.4012501137408743,Not Significant,-0.5572777509058499,0.0157650918153977,0.030810897616687,1.5112956491580511,Not Significant
COX17,0.0961157423627057,0.4428461525418193,0.4886344075253327,0.3110159551434562,Not Significant,-1.256750271486066,0.0046072712353807,0.0113026364103414,1.9468202428071784,Down
COX18,-0.0161339683839365,0.867712156010665,0.8870846620307935,0.0520349297757245,Not Significant,-0.8976139277904649,0.0016270687356208,0.0050510463671571,2.296618644770553,Not Significant
COX19,0.0208985998227646,0.887767319729754,0.90419249610328,0.0437391014982087,Not Significant,-1.1006026170204364,0.0001045968853268,0.0006622560701748,3.1789740523114447,Down
COX20,0.3345055558286987,0.0063735053313196,0.0098758473922174,2.005425629678737,Not Significant,-0.4069861055685657,0.0401422960632656,0.0672094514593103,1.1725696491486446,Not Significant
COX4I1,-0.6576010939921844,6.667794076029036e-05,0.0001467264253427,3.833491662932196,Not Significant,-2.2795233652723383,1.347144516081832e-05,0.0001572020994158,3.803541658305261,Down
COX5A,-0.6609223224196263,0.0003139101641585,0.0006106064865289,3.2142385864625407,Not Significant,-2.144943451585311,1.560015695951276e-05,0.0001746043374102,3.757944972028176,Down
COX5B,-0.5537701150686622,0.0015847585830022,0.0027271708174179,2.564287659000556,Not Significant,-2.437437274041781,0.00031190223161,0.0014506659199415,2.8384325915810247,Down
COX6A1,-0.3438498920827015,0.0532164138861649,0.0702163920745547,1.15356148962953,Not Significant,-1.3721766012376455,8.408614507621894e-05,0.0005617796431953,3.250434002065919,Down
COX6B1,-0.1565146113436135,0.3350436641105457,0.381037465821815,0.4190323198632036,Not Significant,-1.943278798164252,2.884157930227327e-10,1.1118962924346757e-07,6.9539357179012,Down
COX6C,-0.6956688901931152,0.0051821679371297,0.0081532343899179,2.0886700723595486,Not Significant,-2.013482939916889,1.4867260108609323e-06,3.702232307907044e-05,4.431536333590479,Down
COX7A1,-1.766862123043424,2.885545992896505e-07,1.0249996591128134e-06,5.989276279042811,Down,-3.205762447780786,0.0004714203952768,0.0019802319993692,2.703283925827636,Down
COX7A2,-0.3004118729324254,0.2167637500966512,0.2557000021631925,0.5922692682995833,Not Significant,-2.426799800689789,0.0002323019436166,0.0011686954717765,2.9322986386725924,Down
