,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
BCS1L,0.8056612209979086,9.897982971380373e-09,4.9386964068195065e-08,7.306387670112086,Not Significant,-0.5616364919855092,7.709120410588798e-05,0.000525158601792,3.2797095166303785,Not Significant
CYC1,0.1429892931018308,0.305265346222582,0.34997645360718,0.4559611739710595,Not Significant,-1.6843879921205251,4.255311155074448e-05,0.0003468561770804,3.4598505668468653,Down
LYRM7,-1.182113239272791,1.8402044308165675e-09,1.0911253346701648e-08,7.96212536029224,Down,-0.9677554009615754,1.505384455471547e-06,3.71723866871323e-05,4.4297795537341,Not Significant
MT-CYB,-1.5802818863888852,0.0001697550209322,0.0003463868910009,3.4604385522023207,Down,-1.2472834839322888,0.0019298336635636,0.0057557703736488,2.239896540560043,Down
SDHA,-0.5259238901509775,0.0004769558844945,0.0009001224391903,3.045698411618436,Not Significant,-1.686778151449746,0.0001591626472337,0.0008975012069196,3.0469649587293914,Down
SDHAF1,-0.2969296576556672,0.0140044451624221,0.0204642849675429,1.6890034252222563,Not Significant,-0.8271187969284773,0.0018872405744819,0.0056595468567509,2.2472183400998698,Not Significant
SDHAF2,0.3596468344811114,0.000959220886812,0.0017163749935603,2.765387821474412,Not Significant,-1.5069805674763723,0.0002704175049274,0.001307981323787,2.8833984571081688,Down
SDHB,0.0269368439407955,0.8831577451997561,0.9006297050125952,0.0454537330223158,Not Significant,-1.5586438292054496,0.0003294269663348,0.001508581298979,2.8214312802873978,Down
SDHC,-1.1522567617410822,5.570410238157033e-13,8.085924025820455e-12,11.092270343551682,Down,-0.4970879286425499,0.2179892334422877,0.2787873118197289,0.55472699575362,Not Significant
SDHD,-0.1455273931842633,0.2371593319099241,0.277581399983801,0.556609638199285,Not Significant,-1.5252176362148993,1.3291233156029548e-05,0.0001562369473043,3.806216255266949,Down
TTC19,-0.5362165078262855,3.54479157715788e-05,8.224373640785004e-05,4.084897167506746,Not Significant,-0.6553890174089936,6.183993120731699e-07,2.0241881884810144e-05,4.693749113660515,Not Significant
UQCC1,-0.2034200231481939,0.0006032344936344,0.0011166821552505,2.952070423897868,Not Significant,-0.7495758654685729,0.0118222409812317,0.0242107595005913,1.6159915863640466,Not Significant
UQCC2,0.0092713237647039,0.9359731260434996,0.9452693190704452,0.0244444379221031,Not Significant,-0.6494822691023489,0.0048507733275004,0.011753188912,1.929844283265732,Not Significant
UQCC3,0.675717139721332,1.41575782236298e-06,4.342979385653064e-06,5.3622122320511645,Not Significant,0.2584734754656221,0.4693765927494565,0.5362464003873442,0.2706356100466791,Not Significant
UQCR10,-0.1304785005426012,0.4269877950702982,0.4736264091101282,0.3245640896233263,Not Significant,-1.747262539643471,0.0001519316659441,0.0008646564848621,3.063156396997309,Down
UQCR11,0.1610183102978268,0.2123984786782439,0.2509031747425691,0.600493843410554,Not Significant,-3.164709991174278,6.85786564946256e-08,4.823211050355121e-06,5.316663734138816,Down
UQCRB,-0.970529190081912,4.128448092457186e-05,9.454418295843076e-05,4.024365186932863,Not Significant,-2.424931000636378,1.1962067933552375e-05,0.0001468315626419,3.833180579243883,Down
UQCRC1,0.0226072093621887,0.8867576166383828,0.9034381300581582,0.0441015837719755,Not Significant,-2.01839891195892,7.98465954546602e-06,0.0001127711278273,3.9478020761529873,Down
UQCRC2,-0.6452498079634985,0.000245095875894,0.0004857556273374,3.3135821595239405,Not Significant,-2.040624292386511,9.4741259334674e-06,0.0001258181333179,3.900256762448772,Down
UQCRFS1,-0.3424848154262747,0.1239179691667788,0.1530402870401042,0.8151942284236745,Not Significant,-2.1024705664782246,1.829630334284544e-06,4.270094652369466e-05,4.369562498149178,Down
UQCRH,-0.5613659111251685,0.0296886674607827,0.041004063065523,1.387173107194691,Not Significant,-2.082726408086633,0.0010070775739111,0.0035153153812345,2.4540357055842645,Down
UQCRQ,0.1701966881821306,0.3375729057057371,0.383308098746573,0.4164520046334913,Not Significant,-1.7065885060769397,2.46832818498877e-06,5.20097734363322e-05,4.283915038083753,Down
