,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
ACAD9,0.5029483980396598,1.5128782349308758e-11,9.16460333054338e-11,10.037886327764973,Not Significant,-0.8836524950255226,5.7834830928630255e-11,1.8718991142292047e-10,9.72771756121448,Not Significant
ACP1,0.0254577538284443,0.8724182176243171,0.8875723211823239,0.0517962496410356,Not Significant,-0.7386294760572181,5.2962193571600696e-11,1.7249169990199987e-10,9.763231797828308,Not Significant
AIFM1,0.5329865088806152,8.29375031222723e-08,2.5457416406269685e-07,6.594185673637384,Not Significant,-0.8362753372449563,7.860246019266757e-13,3.082792042748593e-12,11.511055770678256,Not Significant
BCS1L,0.7722775139230684,4.375611810615872e-08,1.4237698120201645e-07,6.846560219582787,Not Significant,-0.9854733812313338,6.436810417709597e-18,4.283936038231407e-17,16.36815702207233,Not Significant
CD14,4.655138196330228,1.0338834345435614e-09,4.5068549197714574e-09,8.34612642208363,Up,2.314077706768277,4.939110434900474e-15,2.413671385768968e-14,13.617321858125129,Up
CEP89,0.7247448963067225,7.7619111381615e-05,0.0001442152209624,3.840988900288248,Not Significant,0.7916816155502505,0.0004562222658834,0.0006917432724807,3.160055055878644,Not Significant
CMC1,0.1968724752016353,0.0412795148273623,0.0525527400948879,1.2794046349722612,Not Significant,-1.4981544877588118,7.242621850761245e-20,5.997490122877791e-19,18.22203045858868,Down
CMC2,-0.2447143308922577,0.0092874300794569,0.012906824475162,1.8891805960414871,Not Significant,-1.0427165097068714,1.706958139035039e-07,3.810363986535647e-07,6.41903353618961,Down
COA1,0.4848206528377332,9.818071079020084e-05,0.0001798640626478,3.74505560126164,Not Significant,-0.8425765913523248,4.268582767510218e-07,9.127296225762912e-07,6.039657854243982,Not Significant
COA3,-0.2402548112083984,0.1216611357684049,0.1452784417598078,0.8377988269916729,Not Significant,-1.024841046499117,4.969636108763766e-07,1.0556926991045317e-06,5.9764624819021686,Down
COA4,1.4861274147304968,2.708270154919749e-20,7.495360862819107e-19,18.125207453281565,Up,-0.0002325066790326,0.9983506760526908,0.9985425374298508,0.0006334296640186,Not Significant
COA5,-0.3204092706230348,3.974650614608738e-05,7.709016228642361e-05,4.113001040072524,Not Significant,-1.011624147197038,4.9306098989718323e-14,2.178383634906528e-13,12.661865634290423,Down
COA6,-0.7278554386304599,1.4952471661643412e-05,3.091138918928704e-05,4.509881476862136,Not Significant,-2.096436458390821,3.729071941941761e-22,3.916842567474449e-21,20.40706388401792,Down
COA7,-0.4857240658880712,0.0253616098934665,0.0332802993443769,1.4778127760403748,Not Significant,-1.2472963812871292,2.658333786142033e-12,9.871778943971608e-12,11.005604578238732,Down
COX11,-0.9143068115072914,4.1433920605971115e-12,2.7624441838818855e-11,10.55870648828493,Not Significant,-0.7947625694740077,5.525007034011457e-10,1.611370081732286e-09,8.792804704151818,Not Significant
COX14,-0.1147387191813535,0.4104093732168009,0.449398263672397,0.3473686098851887,Not Significant,-0.0248169518278906,0.7602857460358575,0.7799166581735726,0.10795180350074,Not Significant
COX15,-0.1916065182439048,0.1038786851038266,0.125191275719099,0.9024259350159304,Not Significant,-0.9462703064896713,8.4407307939284e-09,2.181762275490457e-08,7.661192571835278,Not Significant
COX17,0.2571220644776595,0.0399520167901893,0.0509915896546773,1.2925014487602542,Not Significant,-1.0749112881209577,9.101083171604879e-11,2.8820558178653837e-10,9.540297612295042,Down
COX18,-0.047194952485805,0.6118458080739115,0.6462292588107135,0.1896133826656751,Not Significant,-0.6849814537838356,2.531821526968012e-12,9.418774222376707e-12,11.026005613459434,Not Significant
COX19,0.0351914732322349,0.796592729200884,0.8177800014235918,0.0873635141993608,Not Significant,-0.9965040694531692,7.34251029017799e-16,3.913373763976585e-15,14.407448670913377,Not Significant
COX20,-0.1162370618620443,0.2769236656254387,0.3125396602633508,0.5050948642698952,Not Significant,-0.696004525880821,2.1284596281831185e-06,4.209602179319415e-06,5.375758944423198,Not Significant
COX4I1,-0.5653550981680198,0.0003387244027025,0.0005749468631551,3.240372291144913,Not Significant,-2.590088865451529,3.2637376519296266e-21,3.122449009093335e-20,19.505504645107617,Down
COX5A,-0.6344072184123881,0.0005196075329964,0.0008579784113107,3.0665236398512845,Not Significant,-2.320931511669319,1.0956049882191065e-19,8.88866120216109e-19,18.051163646937425,Down
COX5B,-0.3900441744464125,0.0139203979960616,0.0188410707258263,1.7248944201681609,Not Significant,-2.5862713029554625,5.6689749960243105e-28,1.3917066210758735e-26,25.8564523065908,Down
COX6A1,-0.3412088086633567,0.056490501263663,0.0707993667243271,1.1499706269057148,Not Significant,-1.452649825347037,9.543287855057116e-06,1.7566062472730244e-05,4.755325577036824,Down
COX6B1,0.0367891538908793,0.8095808999379666,0.8295075250178067,0.081179669845906,Not Significant,-2.436721785980536,1.1161027640023068e-21,1.1096001595510996e-20,19.9548334894869,Down
COX6C,-0.7648374717649773,0.0028639141712148,0.0042831162946582,2.368240133531823,Not Significant,-2.4595181278350022,3.243234310666481e-16,1.793773960665643e-15,14.746232284714758,Down
COX7A1,-2.32528363062775,6.607247684866949e-12,4.274978367202931e-11,10.369066078603216,Down,-3.359361974557299,3.8359979294502483e-19,2.940272639738412e-18,17.53161239732794,Down
COX7A2,-0.3777134129005759,0.1317969122294693,0.1567928783419548,0.8046736672066241,Not Significant,-2.654031375854848,3.7617540039330673e-20,3.2360411096644045e-19,18.48998596988208,Down
COX7A2L,-0.7117740716853795,0.0011349641749784,0.0017884606755409,2.7475206046250618,Not Significant,-2.550215187293292,2.033612506716532e-22,2.2328979517312637e-21,20.651131124672727,Down
COX7B,-0.4374592852224168,0.0071293784623624,0.0100986162302924,1.9957381316351848,Not Significant,-1.8062308648166003,3.961818976028651e-19,3.0322480677560466e-18,17.518235272020657,Down
COX7C,-0.3464187069765714,0.0320107662774891,0.0413643483170119,1.3833738134629237,Not Significant,-2.734180273530906,4.089945372757941e-17,2.492519987414368e-16,15.60336135041291,Down
COX8A,0.4558261213490482,0.0252214085699426,0.0331135761675489,1.479993914205219,Not Significant,-1.4912586448235536,1.4871698853670689e-12,5.666160811415014e-12,11.24671110392093,Down
CYC1,0.2304549634096844,0.1031952393631045,0.124427150370307,0.905084844971012,Not Significant,-2.118820558592984,3.585677088964186e-18,2.466841561072585e-17,16.607858743238907,Down
ECSIT,-0.6044455625345755,8.019217953920587e-07,2.0509165186036047e-06,5.688052016983007,Not Significant,-1.099673978155386,3.628208843925117e-08,8.73606890039707e-08,7.058683949393888,Down
FOXRED1,-0.7432762542480731,3.537928306966703e-11,2.0204699412915283e-10,9.694547606210358,Not Significant,-0.794213082606974,1.0690788291503277e-08,2.73147803942704e-08,7.563602286781833,Not Significant
HIGD1A,-1.020145437252225,1.7875753050721723e-05,3.656453527573008e-05,4.436939941957185,Down,-1.6383121463232262,2.2553877162615135e-10,6.858408045155154e-10,9.16377667983824,Down
LYRM2,-0.2734027886647432,0.0032237052713814,0.0047814497797257,2.320440401322988,Not Significant,-0.4632517409915488,9.983439629207298e-05,0.0001626253882635,3.788811653563191,Not Significant
LYRM7,-1.5762802088813077,5.6085991703431565e-11,3.069040089192665e-10,9.512997438579765,Down,-1.212979457730922,7.415206346113827e-16,3.950096359094106e-15,14.403392310015963,Down
MR1,2.0908790957545413,2.2367072464461805e-06,5.30803034174295e-06,5.275066603288033,Up,1.1436978762925003,2.511404055804608e-06,4.924869031060695e-06,5.30760531437326,Up
MT-CO1,-1.5690554374835628,4.479573849650657e-06,1.0091061485103022e-05,4.9960631476505295,Down,-1.6032077745023854,1.151851981449135e-09,3.235877945220897e-09,8.490007867998191,Down
MT-CO2,-1.3014060448014746,0.0002120437101969,0.0003712423247347,3.4303425164216423,Down,-3.015587584742707,9.007601030129976e-19,6.598178685617376e-18,17.180575927480152,Down
MT-CO3,-1.5327035199502532,2.051629067315622e-05,4.162761575858525e-05,4.380618462823112,Down,-2.278234227461243,2.18776799358879e-15,1.1086892427101128e-14,13.955190166284208,Down
MT-CYB,-1.409391630167658,0.0004875454146202,0.0008082166376311,3.0924722135852587,Down,-1.3441997408362825,0.0001826253200708,0.0002892053790684,3.538793633652636,Down
MT-ND1,-1.8099883878245144,3.607468652270135e-05,7.051152348267237e-05,4.151739901789131,Down,-3.0012157676192013,2.614237770118648e-20,2.2809388892845783e-19,18.641886350147296,Down
MT-ND2,-1.8002414648334444,3.729243034431437e-05,7.272240481777448e-05,4.138331768099882,Down,-1.2648672099414355,0.0019721699377951,0.0027884157677954,2.5546424701016472,Down
MT-ND4,-1.0449091990302506,0.0077417453012762,0.0109138458109511,1.9620221861517464,Down,-1.4234559816435928,8.845950286467388e-05,0.0001450267704076,3.838551824197927,Down
MT-ND5,-1.1449615398363164,0.0063044296467006,0.0090060726405079,2.045464554458968,Down,-1.938313005584278,2.660514063233475e-13,1.0907164586135187e-12,11.96228813342988,Down
NDUFA1,-0.3328861945200074,0.0319124215217524,0.0412478489107177,1.3845986951277411,Not Significant,-1.6512289807519114,3.33767084264652e-13,1.3549850156438233e-12,11.868065507490082,Down
NDUFA10,-0.60288964016965,1.6848033783944869e-06,4.090795187743085e-06,5.388192263610805,Not Significant,-2.480697998605885,1.7106531367396767e-32,1.3803246899475422e-30,29.860018743695555,Down
NDUFA11,0.3918477575409085,0.0010385556469612,0.0016450329540074,2.783825397653059,Not Significant,-2.585372981650305,9.821199774462791e-21,8.943908001083394e-20,19.04847267667895,Down
NDUFA12,-0.2559483151844155,0.1427077760364513,0.1689043762510984,0.7723590978707819,Not Significant,-2.169042231845259,1.5577903868826372e-24,2.2047652647522986e-23,22.65663764186483,Down
NDUFA13,0.4927834475671133,5.984416381372014e-05,0.0001128125198838,3.947642699867274,Not Significant,-2.2248253291754048,7.813575434129807e-14,3.3916391448647694e-13,12.469590360934992,Down
NDUFA2,0.2908094440483424,0.0977200125342322,0.1181506728600403,0.927563800747054,Not Significant,-2.7329186535395764,1.0106873100285618e-32,9.041202102277969e-31,30.04377382265761,Down
NDUFA3,-0.0569659119069427,0.6203641727568301,0.6541834448093629,0.1843004506098678,Not Significant,-2.3067347896369625,3.2539490092503945e-18,2.2460447770084455e-17,16.64858158992058,Down
NDUFA4,-1.015380195648813,0.0009704592427634,0.0015412906214092,2.812115464218497,Down,-3.203568841427192,1.719980575362125e-24,2.412840675059887e-23,22.617471354521708,Down
NDUFA5,-1.626613957548937,1.4291562853910916e-05,2.9685196740267745e-05,4.527460068417912,Down,-1.8622966582771112,4.049674192600799e-15,1.9921105231938436e-14,13.700686570389395,Down
NDUFA6,0.102407084885872,0.48863836366621,0.5267005002753476,0.2784362691368807,Not Significant,-2.22267403324611,3.350382360689518e-32,2.3886390405765208e-30,29.621849473745232,Down
NDUFA7,0.3430197736870699,0.0117072775046908,0.0160295534756719,1.7950785753222538,Not Significant,-2.580740846447887,1.2399897970441278e-31,7.570125574853696e-30,29.120896916270905,Down
NDUFA8,-0.6136757189943225,0.0014691383106659,0.0022807981725456,2.6419131436702155,Not Significant,-2.494518495132993,1.4961849265974283e-17,9.572089060204444e-17,16.018993269296438,Down
NDUFA9,-0.6148809318010748,0.0001774259608759,0.0003138523494054,3.503274616001561,Not Significant,-2.7536851130956643,1.1406422532930969e-29,4.094119039492359e-28,27.387839534061623,Down
NDUFAB1,-0.323680501711113,0.1180963632204746,0.1412445403161654,0.8500283304564055,Not Significant,-2.0121802820135324,3.6752371285723653e-28,9.422547603770876e-27,26.02583165976822,Down
NDUFAF1,-0.508409350134805,0.00644607501088,0.0091953780316632,2.0364304117559167,Not Significant,-1.1669942887645426,4.0344465978124055e-12,1.4750458249606367e-11,10.831194487334365,Down
NDUFAF2,-0.2086773513576005,0.0380507149685783,0.0486635651381818,1.3127960774207672,Not Significant,-1.4624223360388928,8.049411255516611e-21,7.382054780499769e-20,19.13182273633076,Down
NDUFAF3,0.6228607483841309,4.304882202800605e-05,8.301566483731488e-05,4.080839949666132,Not Significant,-1.5144784957481825,1.4660373125935452e-23,1.82754280081272e-22,21.738132443131185,Down
NDUFAF4,-2.093427461032896,2.697507750223373e-06,6.313822740648295e-06,5.199707615006193,Down,-1.7573019211636438,5.6565195532601724e-18,3.8035343688556275e-17,16.4198126550927,Down
NDUFAF5,-0.6731091266261426,2.341879856542509e-05,4.701494156000246e-05,4.327764099387085,Not Significant,-1.0101088303042824,7.019081229689439e-13,2.7674854742362645e-12,11.557914649934547,Down
NDUFAF6,-0.3524620134527723,0.0001191768437591,0.0002162441505817,3.665055631398166,Not Significant,-1.365630798304025,2.687670845574879e-16,1.507325745236472e-15,14.821792883006356,Down
NDUFAF7,-0.437770518164708,0.000908657130145,0.0014486171750405,2.839046370038856,Not Significant,-1.0113835870184011,7.729538546338623e-16,4.0986636132877604e-15,14.387357723763946,Down
NDUFB1,-0.4053552424211695,0.0117598164935441,0.0160940621323141,1.7933343263799426,Not Significant,-2.199914536917997,3.4565570628187506e-17,2.1264363160094783e-16,15.672347619307738,Down
NDUFB10,-0.0581461087876533,0.6097966675471803,0.6443351823862277,0.1908881543916011,Not Significant,-2.248072084630068,3.6636776894002607e-20,3.1568891613383536e-19,18.500740665958325,Down
NDUFB11,0.4438697169820926,0.0048934385195381,0.0070879223070924,2.1494810515309912,Not Significant,-2.1848526888962883,1.4319958710739041e-12,5.465949769713337e-12,11.262334363648948,Down
NDUFB2,0.4333782453781865,0.0048239075518894,0.0069932428662734,2.155321389012603,Not Significant,-1.9888932345625263,4.7051140301323524e-14,2.084065188921177e-13,12.681088700561592,Down
NDUFB3,-0.1163236146312414,0.4543564126507768,0.4933908053297323,0.3068089481413129,Not Significant,-2.8924685052861614,2.2750323409336187e-16,1.2835128258416281e-15,14.891599787168296,Down
NDUFB4,-0.0808787676918143,0.5303568360265939,0.5676984499361512,0.2458822915859227,Not Significant,-1.996620209335061,4.981543646287285e-19,3.762909130203509e-18,17.424476269250608,Down
NDUFB5,-1.1642223393798972,1.5195100745363605e-06,3.7136206916252536e-06,5.430202457070828,Down,-2.114627042257995,3.1253338651468346e-15,1.5580268296127107e-14,13.807425067939176,Down
NDUFB6,-0.4672113153447199,0.0261446299948905,0.0342631719225351,1.4651724345786634,Not Significant,-1.921226346319875,4.343603851052874e-14,1.9280414706016786e-13,12.714883629012144,Down
NDUFB7,0.5113239522394757,0.0035517983583748,0.00524184246444,2.2805160352498626,Not Significant,-2.610806576952675,9.898111121637712e-15,4.7153061173971153e-14,13.326490107639083,Down
NDUFB8,-1.3851655330091075,6.616884172683122e-09,2.497508098748961e-08,7.602493094799165,Down,-2.302282017550838,1.2286213712559394e-16,7.184674074945547e-16,15.14359292838754,Down
NDUFB9,-0.7378064349892917,0.0004923792826677,0.0008155588447212,3.088544698001068,Not Significant,-2.435225013759684,3.486707576227459e-21,3.3174715869242804e-20,19.479192788039967,Down
NDUFC1,-0.024420771578768,0.8683887561144286,0.8841872174142665,0.053455767926612,Not Significant,-2.15596042845641,7.652492356760731e-11,2.443751629531028e-10,9.611942935665748,Down
NDUFC2,-1.126349957914698,5.900085944136553e-05,0.0001113478190356,3.953318285051651,Down,-2.419677360895965,1.0287461453512853e-18,7.509269724376945e-18,17.12440229603105,Down
NDUFS1,-1.1155458109400982,6.077099418970865e-07,1.5856177038775578e-06,5.799801513808971,Down,-2.6565400579488125,2.807747005184013e-31,1.5712816439226016e-29,28.803745962994075,Down
NDUFS2,-0.1772405049783891,0.1792478411955176,0.2090463940962774,0.6797573193242592,Not Significant,-2.374833283619192,3.45784677589282e-34,6.544132198230612e-32,31.184147936050948,Down
NDUFS3,0.0149112568210938,0.9153281498603748,0.9263628472667688,0.0332188710935233,Not Significant,-2.3052310089397943,6.890399396736148e-33,6.789168651411243e-31,30.168183402775377,Down
NDUFS4,-0.0937150696243733,0.5409990433315089,0.5780066139062066,0.238067192087195,Not Significant,-2.7081655459250737,6.9488179242200865e-34,1.1341608179945273e-31,30.94532536042041,Down
NDUFS5,-0.1802424469884798,0.2501767080939532,0.2845523492535265,0.5458378245218959,Not Significant,-2.5364597504080693,6.014875578259397e-29,1.8200244155262222e-27,26.739922785939548,Down
NDUFS6,1.0802373025064966,1.712872175750107e-06,4.148947895769795e-06,5.382062019189284,Up,-2.50533498967842,5.04511845431928e-27,1.03579167635127e-25,24.984727583305805,Down
NDUFS7,0.2339969850391803,0.0363166357517424,0.0465937071527067,1.3316727342413253,Not Significant,-2.58982529839027,9.122811395529036e-34,1.3762223741458223e-31,30.86131138582324,Down
NDUFS8,0.4582434471247296,0.0001702185769628,0.0003018450878935,3.520215887287996,Not Significant,-2.418311470121405,1.715380370698692e-31,9.919663488112604e-30,29.00350306048036,Down
NDUFV1,-0.2938390412851817,0.0229958485780725,0.0303736958929464,1.517502359604515,Not Significant,-2.77214325170274,3.916906099380495e-30,1.5502310109677402e-28,27.809603579692308,Down
NDUFV2,0.3382653724296744,0.0013636155824984,0.002124835789341,2.672674627278939,Not Significant,-2.368492453719595,1.0249417312602556e-32,9.041202102277969e-31,30.04377382265761,Down
NDUFV3,0.1345382804312898,0.1996104422056305,0.2309758321593753,0.6364334595404049,Not Significant,-1.1983364238608187,3.773587275007011e-16,2.0673299971341042e-15,14.684590193670056,Down
NUBPL,-0.1180396300051622,0.2422158576543774,0.276340039638754,0.558556184448893,Not Significant,-1.4069730660221036,1.520665648964279e-07,3.411338090532151e-07,6.467075236448302,Down
PET100,0.2290756623099668,0.0013959870133566,0.0021732611918643,2.6628880751665225,Not Significant,-1.1838559537940727,5.317720901636756e-12,1.9186189554640208e-11,10.71701126912657,Down
PET117,-0.5924171167974563,0.0030257445288168,0.0045084085761427,2.345976732749352,Not Significant,-1.244053203377563,4.1411916322241535e-10,1.223897322538933e-09,8.912255015299293,Down
PNKD,-1.3278140244375258,3.4778453598366674e-11,1.9884117000564463e-10,9.701493690083932,Down,-0.951296892657964,2.469948149657618e-09,6.6847868668190715e-09,8.174912434930041,Not Significant
SCO1,-0.0708619070273925,0.2862951928791165,0.3226826776755672,0.4912243478648793,Not Significant,-1.2109126010642597,9.374124410344734e-13,3.646310201318323e-12,11.438146387521352,Down
SCO2,1.163026607052238,8.417526554115523e-06,1.811152552459628e-05,4.742044967741644,Up,-1.136354524317303,2.166851399095765e-12,8.12491218054316e-12,11.090181324467444,Down
SDHA,-0.4884613001667617,0.0008883268900565,0.0014182258463438,2.848254604124208,Not Significant,-1.8194876655347407,5.602743160352125e-22,5.791355864558617e-21,20.23721974792008,Down
SDHAF1,-0.2299605276635823,0.0300721765224459,0.0391151848014358,1.407654613569452,Not Significant,-0.8693289544237927,3.055367808759953e-07,6.621553929082312e-07,6.1790400794980656,Not Significant
SDHAF2,0.4226420386975213,0.0002521741690179,0.0004370209149642,3.359497778049691,Not Significant,-1.7138994475821323,2.2884863977311142e-20,2.0051224675070004e-19,18.69785909669057,Down
SDHB,0.0366078492164589,0.7630119815331525,0.7869952597486412,0.1040278834874511,Not Significant,-1.7931865204311968,2.99343706527998e-23,3.613493060194181e-22,21.44207277501884,Down
SDHC,-1.272163252858789,4.3649706291229403e-13,3.4140305992068712e-12,11.46673259071773,Down,-0.5953182873929194,8.694884037297694e-05,0.0001425950022754,3.84589569553764,Not Significant
SDHD,0.1051886171690554,0.3475832121464483,0.3859311450637407,0.4134901719766216,Not Significant,-1.4979698099975831,2.763097230381508e-07,6.025786522321624e-07,6.219986258294919,Down
