,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
BCS1L,0.7722775139230684,4.375611810615872e-08,1.4237698120201645e-07,6.846560219582787,Not Significant,-0.9854733812313338,6.436810417709597e-18,4.283936038231407e-17,16.36815702207233,Not Significant
CYC1,0.2304549634096844,0.1031952393631045,0.124427150370307,0.905084844971012,Not Significant,-2.118820558592984,3.585677088964186e-18,2.466841561072585e-17,16.607858743238907,Down
LYRM7,-1.5762802088813077,5.6085991703431565e-11,3.069040089192665e-10,9.512997438579765,Down,-1.212979457730922,7.415206346113827e-16,3.950096359094106e-15,14.403392310015963,Down
MT-CYB,-1.409391630167658,0.0004875454146202,0.0008082166376311,3.0924722135852587,Down,-1.3441997408362825,0.0001826253200708,0.0002892053790684,3.538793633652636,Down
TTC19,-0.5672944292672497,1.4795371609344324e-05,3.0618030729772944e-05,4.514022745404442,Not Significant,-0.5215784138751791,2.2963214855377366e-06,4.526114437220658e-06,5.344274469642192,Not Significant
UQCC1,-0.112580456380865,0.0854834057536653,0.1044083207519913,0.981264889143361,Not Significant,-1.1631385039414537,3.8099082916765895e-14,1.7000294621371832e-13,12.769543552073062,Down
UQCC2,-0.325361326735365,0.0117079069360724,0.0160295534756719,1.7950785753222538,Not Significant,-1.008990594393805,8.430270331446426e-18,5.529343659736979e-17,16.257326416954147,Down
UQCC3,0.6099882894655906,4.747300508150376e-06,1.0658414379118984e-05,4.972307399213662,Not Significant,-0.6086991810692667,0.0039491538640384,0.0053910482060034,2.268326784753129,Not Significant
UQCR10,-0.1196019328998083,0.4563321326093403,0.4950026815878641,0.305392448347931,Not Significant,-2.169002615835769,2.0291732204794158e-10,6.201310643561432e-10,9.207516512903096,Down
UQCR11,0.3459545683797387,0.0154442456683622,0.0207890607780707,1.6821651310684915,Not Significant,-3.5602373005957784,2.486661158426221e-29,8.08864249939329e-28,27.092124359041847,Down
UQCRB,-1.098983373670631,1.2782555512574794e-05,2.6704990508850783e-05,4.573407572046256,Down,-2.7588134002631253,2.97041982740093e-24,4.041712416132847e-23,22.3934345914961,Down
UQCRC1,0.0193947775290688,0.9012106667278966,0.9131146596605636,0.0394746847534257,Not Significant,-2.2845311897829457,4.162551196530925e-18,2.841180026537075e-17,16.546501247074467,Down
UQCRC2,-0.4864706589620482,0.0024392783778153,0.0036835992172255,2.433727627990917,Not Significant,-2.417607084442699,2.469883929863461e-22,2.678023106869663e-21,20.572185680071325,Down
UQCRFS1,-0.2671540710214906,0.2145731914838644,0.2469565098832914,0.6073795211560966,Not Significant,-2.5771014587289733,5.693656786674915e-17,3.4336774908748077e-16,15.46424049849106,Down
UQCRH,-0.630983639946912,0.0167285839402435,0.0224458916640934,1.6488631375510905,Not Significant,-2.6157503064122043,5.106522168915687e-23,5.972335871488021e-22,21.22385577646072,Down
UQCRQ,0.3141051540845652,0.0913869286030484,0.1110667051208963,0.9544161116206548,Not Significant,-1.9897086968227176,2.517880211377517e-14,1.1489967172393065e-13,12.939681212118408,Down
