,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
BCS1L,0.8056612209979086,9.897982971380373e-09,4.9386964068195065e-08,7.306387670112086,Not Significant,-0.9854733812313338,6.436810417709597e-18,4.283936038231407e-17,16.36815702207233,Not Significant
CYC1,0.1429892931018308,0.305265346222582,0.34997645360718,0.4559611739710595,Not Significant,-2.118820558592984,3.585677088964186e-18,2.466841561072585e-17,16.607858743238907,Down
LYRM7,-1.182113239272791,1.8402044308165675e-09,1.0911253346701648e-08,7.96212536029224,Down,-1.212979457730922,7.415206346113827e-16,3.950096359094106e-15,14.403392310015963,Down
MT-CYB,-1.5802818863888852,0.0001697550209322,0.0003463868910009,3.4604385522023207,Down,-1.3441997408362825,0.0001826253200708,0.0002892053790684,3.538793633652636,Down
TTC19,-0.5362165078262855,3.54479157715788e-05,8.224373640785004e-05,4.084897167506746,Not Significant,-0.5215784138751791,2.2963214855377366e-06,4.526114437220658e-06,5.344274469642192,Not Significant
UQCC1,-0.2034200231481939,0.0006032344936344,0.0011166821552505,2.952070423897868,Not Significant,-1.1631385039414537,3.8099082916765895e-14,1.7000294621371832e-13,12.769543552073062,Down
UQCC2,0.0092713237647039,0.9359731260434996,0.9452693190704452,0.0244444379221031,Not Significant,-1.008990594393805,8.430270331446426e-18,5.529343659736979e-17,16.257326416954147,Down
UQCC3,0.675717139721332,1.41575782236298e-06,4.342979385653064e-06,5.3622122320511645,Not Significant,-0.6086991810692667,0.0039491538640384,0.0053910482060034,2.268326784753129,Not Significant
UQCR10,-0.1304785005426012,0.4269877950702982,0.4736264091101282,0.3245640896233263,Not Significant,-2.169002615835769,2.0291732204794158e-10,6.201310643561432e-10,9.207516512903096,Down
UQCR11,0.1610183102978268,0.2123984786782439,0.2509031747425691,0.600493843410554,Not Significant,-3.5602373005957784,2.486661158426221e-29,8.08864249939329e-28,27.092124359041847,Down
UQCRB,-0.970529190081912,4.128448092457186e-05,9.454418295843076e-05,4.024365186932863,Not Significant,-2.7588134002631253,2.97041982740093e-24,4.041712416132847e-23,22.3934345914961,Down
UQCRC1,0.0226072093621887,0.8867576166383828,0.9034381300581582,0.0441015837719755,Not Significant,-2.2845311897829457,4.162551196530925e-18,2.841180026537075e-17,16.546501247074467,Down
UQCRC2,-0.6452498079634985,0.000245095875894,0.0004857556273374,3.3135821595239405,Not Significant,-2.417607084442699,2.469883929863461e-22,2.678023106869663e-21,20.572185680071325,Down
UQCRFS1,-0.3424848154262747,0.1239179691667788,0.1530402870401042,0.8151942284236745,Not Significant,-2.5771014587289733,5.693656786674915e-17,3.4336774908748077e-16,15.46424049849106,Down
UQCRH,-0.5613659111251685,0.0296886674607827,0.041004063065523,1.387173107194691,Not Significant,-2.6157503064122043,5.106522168915687e-23,5.972335871488021e-22,21.22385577646072,Down
UQCRQ,0.1701966881821306,0.3375729057057371,0.383308098746573,0.4164520046334913,Not Significant,-1.9897086968227176,2.517880211377517e-14,1.1489967172393065e-13,12.939681212118408,Down
