,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
CEP89,0.5578909169138964,0.0007370652775464,0.0013431974685243,2.871860135368319,Not Significant,0.7916816155502505,0.0004562222658834,0.0006917432724807,3.160055055878644,Not Significant
CMC1,0.1624503329481026,0.1110614826886116,0.1384866167353723,0.8585921945332232,Not Significant,-1.4981544877588118,7.242621850761245e-20,5.997490122877791e-19,18.22203045858868,Down
CMC2,-0.0313416710134504,0.7661857315053509,0.7963841373488346,0.0988773989842543,Not Significant,-1.0427165097068714,1.706958139035039e-07,3.810363986535647e-07,6.41903353618961,Down
COA1,0.5650116020912854,1.7700158231771e-05,4.375739730720516e-05,4.35894851777002,Not Significant,-0.8425765913523248,4.268582767510218e-07,9.127296225762912e-07,6.039657854243982,Not Significant
COA3,0.0051144776160896,0.9719908577030286,0.9768391760275648,0.0101769313815412,Not Significant,-1.024841046499117,4.969636108763766e-07,1.0556926991045317e-06,5.9764624819021686,Down
COA4,1.457275759270356,5.255466055689279e-19,8.973485600849797e-17,16.047038829734465,Up,-0.0002325066790326,0.9983506760526908,0.9985425374298508,0.0006334296640186,Not Significant
COA5,-0.1189791481472113,0.1251538938409531,0.1544909112307023,0.8110970652259349,Not Significant,-1.011624147197038,4.9306098989718323e-14,2.178383634906528e-13,12.661865634290423,Down
COA6,-0.7177751988189662,1.64255638875566e-05,4.089648643234952e-05,4.3883140022271165,Not Significant,-2.096436458390821,3.729071941941761e-22,3.916842567474449e-21,20.40706388401792,Down
COA7,-0.301805313729524,0.1426558699117169,0.1744495306495067,0.7583301946687424,Not Significant,-1.2472963812871292,2.658333786142033e-12,9.871778943971608e-12,11.005604578238732,Down
COX11,-0.734639997534817,1.8310271552162158e-09,1.0863231779533665e-08,7.964040954192625,Not Significant,-0.7947625694740077,5.525007034011457e-10,1.611370081732286e-09,8.792804704151818,Not Significant
COX14,-0.3309303708752154,0.0429946640565889,0.0576428328062386,1.2392546843138614,Not Significant,-0.0248169518278906,0.7602857460358575,0.7799166581735726,0.10795180350074,Not Significant
COX15,-0.1216450983519088,0.3507805701794789,0.3969628694661952,0.4012501137408743,Not Significant,-0.9462703064896713,8.4407307939284e-09,2.181762275490457e-08,7.661192571835278,Not Significant
COX17,0.0961157423627057,0.4428461525418193,0.4886344075253327,0.3110159551434562,Not Significant,-1.0749112881209577,9.101083171604879e-11,2.8820558178653837e-10,9.540297612295042,Down
COX18,-0.0161339683839365,0.867712156010665,0.8870846620307935,0.0520349297757245,Not Significant,-0.6849814537838356,2.531821526968012e-12,9.418774222376707e-12,11.026005613459434,Not Significant
COX19,0.0208985998227646,0.887767319729754,0.90419249610328,0.0437391014982087,Not Significant,-0.9965040694531692,7.34251029017799e-16,3.913373763976585e-15,14.407448670913377,Not Significant
COX20,0.3345055558286987,0.0063735053313196,0.0098758473922174,2.005425629678737,Not Significant,-0.696004525880821,2.1284596281831185e-06,4.209602179319415e-06,5.375758944423198,Not Significant
COX4I1,-0.6576010939921844,6.667794076029036e-05,0.0001467264253427,3.833491662932196,Not Significant,-2.590088865451529,3.2637376519296266e-21,3.122449009093335e-20,19.505504645107617,Down
COX5A,-0.6609223224196263,0.0003139101641585,0.0006106064865289,3.2142385864625407,Not Significant,-2.320931511669319,1.0956049882191065e-19,8.88866120216109e-19,18.051163646937425,Down
COX5B,-0.5537701150686622,0.0015847585830022,0.0027271708174179,2.564287659000556,Not Significant,-2.5862713029554625,5.6689749960243105e-28,1.3917066210758735e-26,25.8564523065908,Down
COX6A1,-0.3438498920827015,0.0532164138861649,0.0702163920745547,1.15356148962953,Not Significant,-1.452649825347037,9.543287855057116e-06,1.7566062472730244e-05,4.755325577036824,Down
COX6B1,-0.1565146113436135,0.3350436641105457,0.381037465821815,0.4190323198632036,Not Significant,-2.436721785980536,1.1161027640023068e-21,1.1096001595510996e-20,19.9548334894869,Down
COX6C,-0.6956688901931152,0.0051821679371297,0.0081532343899179,2.0886700723595486,Not Significant,-2.4595181278350022,3.243234310666481e-16,1.793773960665643e-15,14.746232284714758,Down
COX7A1,-1.766862123043424,2.885545992896505e-07,1.0249996591128134e-06,5.989276279042811,Down,-3.359361974557299,3.8359979294502483e-19,2.940272639738412e-18,17.53161239732794,Down
COX7A2,-0.3004118729324254,0.2167637500966512,0.2557000021631925,0.5922692682995833,Not Significant,-2.654031375854848,3.7617540039330673e-20,3.2360411096644045e-19,18.48998596988208,Down
COX7A2L,-0.7668451876611613,0.0007068941116093,0.001294772960064,2.887806378946334,Not Significant,-2.550215187293292,2.033612506716532e-22,2.2328979517312637e-21,20.651131124672727,Down
COX7B,-0.4967199225628462,0.0032755871841823,0.0053429833700539,2.272216177549273,Not Significant,-1.8062308648166003,3.961818976028651e-19,3.0322480677560466e-18,17.518235272020657,Down
COX7C,-0.4371158551726992,0.0101158567962289,0.0151200003482722,1.8204481988313272,Not Significant,-2.734180273530906,4.089945372757941e-17,2.492519987414368e-16,15.60336135041291,Down
COX8A,0.4517972452370102,0.0262487173858991,0.0365537156408,1.437068470955669,Not Significant,-1.4912586448235536,1.4871698853670689e-12,5.666160811415014e-12,11.24671110392093,Down
HIGD1A,-1.0744240512839944,1.0060581747688349e-05,2.613468296189077e-05,4.582782763931891,Down,-1.6383121463232262,2.2553877162615135e-10,6.858408045155154e-10,9.16377667983824,Down
MR1,1.5044156922526106,2.271476940748085e-05,5.492764930651993e-05,4.26020898672508,Up,1.1436978762925003,2.511404055804608e-06,4.924869031060695e-06,5.30760531437326,Up
MT-CO1,-1.770335997004473,8.443954260609627e-07,2.720319642512996e-06,5.565380062574803,Down,-1.6032077745023854,1.151851981449135e-09,3.235877945220897e-09,8.490007867998191,Down
MT-CO2,-1.542843957241832,3.724884828320293e-05,8.618394524689626e-05,4.064573629071751,Down,-3.015587584742707,9.007601030129976e-19,6.598178685617376e-18,17.180575927480152,Down
MT-CO3,-1.7072065992691705,3.1324224484126604e-06,8.941916618109702e-06,5.048569384173163,Down,-2.278234227461243,2.18776799358879e-15,1.1086892427101128e-14,13.955190166284208,Down
NDUFA4,-0.8947984291284818,0.002208453860432,0.0037098489561434,2.430643772015356,Not Significant,-3.203568841427192,1.719980575362125e-24,2.412840675059887e-23,22.617471354521708,Down
PET100,0.2052159576811654,0.0104413097978918,0.01557341808058,1.8076160572701905,Not Significant,-1.1838559537940727,5.317720901636756e-12,1.9186189554640208e-11,10.71701126912657,Down
PET117,-0.5159642906395767,0.0068574133780953,0.0105613182037811,1.9762818722473467,Not Significant,-1.244053203377563,4.1411916322241535e-10,1.223897322538933e-09,8.912255015299293,Down
PNKD,-1.5342479139856238,5.050701761249146e-12,5.615978978236633e-11,10.2505745265287,Down,-0.951296892657964,2.469948149657618e-09,6.6847868668190715e-09,8.174912434930041,Not Significant
SCO1,-0.1635587591107885,0.0251951832768619,0.0351692221603307,1.4538372368923786,Not Significant,-1.2109126010642597,9.374124410344734e-13,3.646310201318323e-12,11.438146387521352,Down
SCO2,0.4025264080771116,0.0390876994721843,0.052819515021165,1.2772055907208937,Not Significant,-1.136354524317303,2.166851399095765e-12,8.12491218054316e-12,11.090181324467444,Down
SMIM20,0.4860766474797167,0.0001245087847972,0.0002595822636688,3.5857249846525394,Not Significant,-0.5816128938054268,0.0004366208128237,0.000663375571549,3.1782405251843264,Not Significant
SURF1,0.5804506728162515,0.0002440253618832,0.0004839195857504,3.315226800269537,Not Significant,-0.9087915662629292,6.693377211107928e-08,1.5652968634109732e-07,6.80540328500899,Not Significant
TACO1,-0.0526104232738866,0.5892750486551003,0.631930683431071,0.1993305569302341,Not Significant,-1.2356824551614565,7.0810381823051485e-22,7.204939045905598e-21,20.14236968898446,Down
TIMM21,-0.0577066351546982,0.4389586056749937,0.4847696769973566,0.3144645537027172,Not Significant,-0.8516533905453558,6.58329803909368e-05,0.0001096759751743,3.959888495414461,Not Significant
TMEM177,-0.2896686787834319,0.0009995042849988,0.0017831870884721,2.7488030891137267,Not Significant,-1.6561672587156668,1.6545502720928322e-17,1.0552827072435227e-16,15.976631178519442,Down
TYMP,3.278004419143741,3.379861283367243e-05,7.881648742741112e-05,4.103382924010951,Up,2.5045537254275625,2.2580465940397837e-14,1.0358751431185588e-13,12.984692588145254,Up
