,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
BCS1L,0.8056612209979086,9.897982971380373e-09,4.9386964068195065e-08,7.306387670112086,Not Significant,-0.87348316806532,1.7361346384425963e-14,1.2087910001036108e-13,12.917648782140152,Not Significant
CYC1,0.1429892931018308,0.305265346222582,0.34997645360718,0.4559611739710595,Not Significant,-1.748397945606115,2.722558489906101e-16,2.5809755301851192e-15,14.588216112912912,Down
LYRM7,-1.182113239272791,1.8402044308165675e-09,1.0911253346701648e-08,7.96212536029224,Down,-1.1194811623323435,1.8730440028387147e-13,1.1230711420246642e-12,11.949592732064334,Down
MT-CYB,-1.5802818863888852,0.0001697550209322,0.0003463868910009,3.4604385522023207,Down,-1.1270784067772184,0.0008116425649108,0.0013391008809886,2.873186704237902,Down
TTC19,-0.5362165078262855,3.54479157715788e-05,8.224373640785004e-05,4.084897167506746,Not Significant,-0.5505410276082143,1.183387990164859e-06,2.8922013593862445e-06,5.538771474093247,Not Significant
UQCC1,-0.2034200231481939,0.0006032344936344,0.0011166821552505,2.952070423897868,Not Significant,-1.1030462957472047,6.062058295392344e-13,3.385191244460242e-12,11.470416791065212,Down
UQCC2,0.0092713237647039,0.9359731260434996,0.9452693190704452,0.0244444379221031,Not Significant,-0.9764974909220944,1.4985918299596005e-15,1.2620422619781134e-14,13.898926101639766,Not Significant
UQCC3,0.675717139721332,1.41575782236298e-06,4.342979385653064e-06,5.3622122320511645,Not Significant,-0.4420885420324582,0.0285064695897669,0.037832951926544,1.4221297714380694,Not Significant
UQCR10,-0.1304785005426012,0.4269877950702982,0.4736264091101282,0.3245640896233263,Not Significant,-1.819224802380932,8.372871347157774e-09,2.7116744820337677e-08,7.566762445756835,Down
UQCR11,0.1610183102978268,0.2123984786782439,0.2509031747425691,0.600493843410554,Not Significant,-3.090593515404197,5.256095310883366e-24,9.947399289269992e-22,21.00229044909896,Down
UQCRB,-0.970529190081912,4.128448092457186e-05,9.454418295843076e-05,4.024365186932863,Not Significant,-2.309853269840743,3.968067677398631e-20,9.810835262242838e-19,18.008294016642385,Down
UQCRC1,0.0226072093621887,0.8867576166383828,0.9034381300581582,0.0441015837719755,Not Significant,-1.9654378081819115,1.1492344809364594e-19,2.325477213942545e-18,17.63348791154163,Down
UQCRC2,-0.6452498079634985,0.000245095875894,0.0004857556273374,3.3135821595239405,Not Significant,-2.0345440818444525,6.64165621198145e-20,1.4931533371601494e-18,17.825895590759202,Down
UQCRFS1,-0.3424848154262747,0.1239179691667788,0.1530402870401042,0.8151942284236745,Not Significant,-2.0693955896565672,1.4668077706819594e-16,1.4458335307792157e-15,14.839881707612616,Down
UQCRH,-0.5613659111251685,0.0296886674607827,0.041004063065523,1.387173107194691,Not Significant,-1.984557267266338,1.6257897113768053e-17,1.968728757215159e-16,15.705814114922964,Down
UQCRQ,0.1701966881821306,0.3375729057057371,0.383308098746573,0.4164520046334913,Not Significant,-1.6680127295378384,5.03701902635517e-15,3.863694255367057e-14,13.41299724780017,Down
