,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
CEP89,0.5578909169138964,0.0007370652775464,0.0013431974685243,2.871860135368319,Not Significant,0.6604285653759696,0.0016220714551373,0.0025651992975576,2.590878887679976,Not Significant
CMC1,0.1624503329481026,0.1110614826886116,0.1384866167353723,0.8585921945332232,Not Significant,-1.465179279597813,4.90829303502717e-18,6.635119766441274e-17,16.17815123354783,Down
CMC2,-0.0313416710134504,0.7661857315053509,0.7963841373488346,0.0988773989842543,Not Significant,-0.9522985573801996,5.815071048485176e-07,1.4839194543682814e-06,5.828589671477971,Not Significant
COA1,0.5650116020912854,1.7700158231771e-05,4.375739730720516e-05,4.35894851777002,Not Significant,-0.6707709741378753,8.038430625348228e-06,1.751926808610756e-05,4.756484041592851,Not Significant
COA3,0.0051144776160896,0.9719908577030286,0.9768391760275648,0.0101769313815412,Not Significant,-0.9335904530371448,2.5485883003914008e-06,5.942709592019285e-06,5.226015492300288,Not Significant
COA4,1.457275759270356,5.255466055689279e-19,8.973485600849797e-17,16.047038829734465,Up,0.201271848673864,0.0803470236837897,0.0999679858384613,1.0001390579973035,Not Significant
COA5,-0.1189791481472113,0.1251538938409531,0.1544909112307023,0.8110970652259349,Not Significant,-0.7932286113087859,6.277334384219161e-08,1.8165352684275026e-07,6.740756165797546,Not Significant
COA6,-0.7177751988189662,1.64255638875566e-05,4.089648643234952e-05,4.3883140022271165,Not Significant,-1.770471413844433,1.7068965564747848e-18,2.5165844555730924e-17,16.599188490272248,Down
COA7,-0.301805313729524,0.1426558699117169,0.1744495306495067,0.7583301946687424,Not Significant,-0.9735548241919112,1.7254608021764164e-10,7.076564810817302e-10,9.150177511484188,Not Significant
COX11,-0.734639997534817,1.8310271552162158e-09,1.0863231779533665e-08,7.964040954192625,Not Significant,-0.7648235421863596,1.191728301846753e-09,4.363243015801214e-09,8.360190597812554,Not Significant
COX14,-0.3309303708752154,0.0429946640565889,0.0576428328062386,1.2392546843138614,Not Significant,-0.3307696211188968,0.0010958979205372,0.0017782075533705,2.750017549314747,Not Significant
COX15,-0.1216450983519088,0.3507805701794789,0.3969628694661952,0.4012501137408743,Not Significant,-0.6845920212322436,1.8593508275402e-06,4.407648090153939e-06,5.355793087161089,Not Significant
COX17,0.0961157423627057,0.4428461525418193,0.4886344075253327,0.3110159551434562,Not Significant,-0.8147372744614706,3.495175970192049e-09,1.1943954915866396e-08,7.922851844585392,Not Significant
COX18,-0.0161339683839365,0.867712156010665,0.8870846620307935,0.0520349297757245,Not Significant,-0.5518342104108702,1.2966557406564902e-09,4.717542678956103e-09,8.32628416214315,Not Significant
COX19,0.0208985998227646,0.887767319729754,0.90419249610328,0.0437391014982087,Not Significant,-0.8919196239405651,1.0824372693029729e-13,6.710595316363696e-13,12.173238950599508,Not Significant
COX20,0.3345055558286987,0.0063735053313196,0.0098758473922174,2.005425629678737,Not Significant,-0.5825731061432204,5.889761556404311e-05,0.000113783459615,3.9439208655330686,Not Significant
COX4I1,-0.6576010939921844,6.667794076029036e-05,0.0001467264253427,3.833491662932196,Not Significant,-2.074782073753336,3.767751178178506e-19,6.514704653431905e-18,17.186105268407612,Down
COX5A,-0.6609223224196263,0.0003139101641585,0.0006106064865289,3.2142385864625407,Not Significant,-1.9913453793992253,5.425739248426795e-19,8.993076407145622e-18,17.046091716709885,Down
COX5B,-0.5537701150686622,0.0015847585830022,0.0027271708174179,2.564287659000556,Not Significant,-2.186728571507418,1.8833654629448549e-19,3.5322434421248645e-18,17.451949372498742,Down
COX6A1,-0.3438498920827015,0.0532164138861649,0.0702163920745547,1.15356148962953,Not Significant,-1.4447505548480153,8.457503039036748e-06,1.8397538761131296e-05,4.735240273401088,Down
COX6B1,-0.1565146113436135,0.3350436641105457,0.381037465821815,0.4190323198632036,Not Significant,-1.9699302975583384,2.834483918700097e-18,4.0032758629239216e-17,16.39758448193645,Down
COX6C,-0.6956688901931152,0.0051821679371297,0.0081532343899179,2.0886700723595486,Not Significant,-2.016527072467692,8.308796153219264e-15,6.116425683087646e-14,13.213502296741956,Down
COX7A1,-1.766862123043424,2.885545992896505e-07,1.0249996591128134e-06,5.989276279042811,Down,-2.3257245132586,2.0470473170887305e-13,1.217583744204377e-12,11.914501158741592,Down
COX7A2,-0.3004118729324254,0.2167637500966512,0.2557000021631925,0.5922692682995833,Not Significant,-2.247373680633767,9.171475843217593e-18,1.1613855480784908e-16,15.935023582494887,Down
COX7A2L,-0.7668451876611613,0.0007068941116093,0.001294772960064,2.887806378946334,Not Significant,-2.053089100896055,1.6488758382876937e-19,3.1319614234920808e-18,17.504183595805568,Down
COX7B,-0.4967199225628462,0.0032755871841823,0.0053429833700539,2.272216177549273,Not Significant,-1.533008595762711,3.15382571120503e-17,3.5682795465144743e-16,15.447541129421204,Down
COX7C,-0.4371158551726992,0.0101158567962289,0.0151200003482722,1.8204481988313272,Not Significant,-2.1335121311802543,1.5885148657714057e-15,1.332381243981834e-14,13.87537148952974,Down
COX8A,0.4517972452370102,0.0262487173858991,0.0365537156408,1.437068470955669,Not Significant,-1.4012154026831642,1.8472818397437841e-13,1.110182255767497e-12,11.954605718351525,Down
HIGD1A,-1.0744240512839944,1.0060581747688349e-05,2.613468296189077e-05,4.582782763931891,Down,-1.398288269693276,9.94648590450933e-09,3.178783290759521e-08,7.497739078513458,Down
MR1,1.5044156922526106,2.271476940748085e-05,5.492764930651993e-05,4.26020898672508,Up,0.820657592403334,8.024607496677681e-05,0.0001523958026508,3.817026994352637,Not Significant
