,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
ACTB,1.263161753346271,2.465781761604184e-07,8.903328124157901e-07,6.050447620796022,Up,-0.6579601751502088,2.1464413018304795e-06,4.6430397985771945e-06,5.3331975936914855,Not Significant
ACTG1,1.224014571056852,2.296305279033317e-07,8.351256094217197e-07,6.07824819831755,Up,-0.1542806308563465,0.5020445025173882,0.5397419155859837,0.2678138539361884,Not Significant
AIFM1,0.4200311410027524,2.286940510396339e-05,5.51955886481378e-05,4.258095630646308,Not Significant,-0.8273707869352487,3.0236034048439854e-11,1.2208179922816538e-10,9.913349078757594,Not Significant
AKT1,0.8799723391974368,2.8838297981730844e-11,2.607872655906252e-10,9.583713619300347,Not Significant,0.5870536581831526,6.755211305559922e-11,2.5975247314212497e-10,9.58544030876842,Not Significant
AKT3,-1.462356358216475,4.817266490639495e-09,2.5772247810250813e-08,7.588847701394174,Down,-1.6052889334327776,7.116492712707502e-22,1.3717698638254146e-19,18.862718742313,Down
APAF1,0.9923328046864182,3.1923590812604886e-08,1.421114687786927e-07,6.847370871922552,Not Significant,0.8735651447426303,2.4279417984050875e-11,9.918542456671332e-11,10.00355214332292,Not Significant
ATM,0.6484578981676989,0.0007081597052661,0.0012968552755591,2.8871084869328865,Not Significant,0.7973798442110456,1.7971131577605002e-14,1.221028123964037e-13,12.91327433282684,Not Significant
BAK1,0.9237226317640844,8.690375677826177e-06,2.286415371596263e-05,4.640844868776603,Not Significant,0.7868036204547797,0.002357631633722,0.0035113160216644,2.4545300818736675,Not Significant
BAX,1.7102341918159496,3.206451470626163e-17,2.158103661351739e-15,14.665927698452084,Up,0.6954278897741732,2.33553835356393e-05,4.4225247811982805e-05,4.354329724883471,Not Significant
BID,0.4413446288971308,0.0015350238333231,0.0026483696004277,2.577021405854256,Not Significant,0.4687959173962395,6.096934560694889e-06,1.242666768010047e-05,4.905645315619637,Not Significant
BIRC2,0.3722531967317586,1.4247802897385278e-05,3.5847244352712114e-05,4.445544223773273,Not Significant,-0.2081152716556353,8.043186115013475e-05,0.0001430403626707,3.844541397417741,Not Significant
BIRC6,0.3151259559958532,1.271874351503639e-05,3.238024315655208e-05,4.489719894274668,Not Significant,0.0067840673687043,0.907298565959879,0.9171672111368728,0.0375514797563839,Not Significant
CAPN2,1.2216725628427874,1.0367201183912904e-05,2.684121941062416e-05,4.571197757829594,Up,0.5993247709720084,5.240063598894462e-07,1.2268066127056332e-06,5.911223891758816,Not Significant
CASP10,0.7430253728107434,0.0111889949150703,0.016600579495496,1.7798767512790117,Not Significant,0.0931036233213468,0.6171866833343157,0.6506275255040401,0.1866675673658075,Not Significant
CASP2,1.6367470699439988,1.7788165783816383e-08,8.38941863792913e-08,7.0762681334606095,Up,0.8475304002991089,4.440788148201728e-07,1.0484047138723468e-06,5.979471035031669,Not Significant
CASP3,1.5202781887745722,2.5494147816562844e-16,1.1568830860542978e-14,13.936710528383635,Up,2.026762431567583,1.04817827202714e-14,7.437278550463875e-14,13.12858595245578,Up
CASP6,2.030646388223172,2.8138278390616096e-05,6.669447201236056e-05,4.175910161196187,Up,1.5441223680093097,1.1628513675530205e-13,6.765857956880599e-13,12.169677124075454,Up
CASP7,0.785389196821658,0.0351325309730502,0.0479508355266912,1.3192038209965489,Not Significant,0.8899671408688944,1.5576131436616913e-07,3.875973036666161e-07,6.411619252794603,Not Significant
CASP8,2.437777783923885,1.0428793382576039e-10,8.29200193654862e-10,9.081340605151226,Up,0.783247058481631,0.0004337215361948,0.0007058485725848,3.151288459209633,Not Significant
CFLAR,1.0052225138850197,0.0009813729408227,0.0017532099673432,2.7561660689615697,Up,0.354317800431385,0.0182276418364784,0.0241603876067623,1.6168961025787327,Not Significant
CHUK,0.2394768538406033,0.0029300715792849,0.0048144741624068,2.317451139658,Not Significant,-0.5140528395681907,1.3099259113896114e-07,3.289509966623513e-07,6.482868793430639,Not Significant
CTSB,1.1763449710547569,1.9167382123297505e-07,7.096369257997025e-07,6.1489637941715225,Up,-0.1261078148085173,0.3846535866207989,0.4221698843458347,0.3745127504904937,Not Significant
CTSC,2.338653206894442,5.574090774393476e-11,4.679449205103321e-10,9.329805262580082,Up,1.1520723226729803,1.2122581699253646e-08,3.4828582088747235e-08,7.4580642058049715,Up
CTSD,0.8108762274434973,3.857476767619496e-05,8.890464643559552e-05,4.051075540845227,Not Significant,-0.8649382560454507,6.096819407691665e-08,1.611523443744605e-07,6.792763372177797,Not Significant
CTSF,-0.6537137875109664,9.222436090844944e-05,0.0001974220594542,3.7046043219602174,Not Significant,-0.4005832637338642,0.0026781772871798,0.003966583292865,2.4015834216874303,Not Significant
CTSL,1.576467299159372,6.790607510903551e-08,2.822136141288877e-07,6.549422039488696,Up,0.1243111210816022,0.1868187037543948,0.2157306287308071,0.6660881908063415,Not Significant
CTSO,1.3186178087328635,6.185563961382542e-07,2.0531588582196947e-06,5.687577446840254,Up,0.5086919911018681,0.0008602675165082,0.0013518022083062,2.869086848427793,Not Significant
CTSS,2.60399468555533,8.190945634636592e-11,6.681423993791823e-10,9.175130967653356,Up,0.663649519617127,0.0001023795339945,0.0001796474324594,3.745578985398615,Not Significant
CTSZ,1.5497797625229062,4.5982698659365535e-09,2.4679259791925866e-08,7.607667870291265,Up,0.380952823926434,0.0242339353282483,0.031539263919947,1.5011484466835767,Not Significant
CYCS,-0.819600851007035,0.0013947094749259,0.0024262309187367,2.61506786712957,Not Significant,-1.7879226340203809,1.9205143893018294e-15,1.6354068485987666e-14,13.78637418788364,Down
DAB2IP,-0.6922707862070183,2.397128522644652e-05,5.7647822241876886e-05,4.239217094374487,Not Significant,-1.0343426915053255,3.1058007311387085e-16,3.292085520409656e-15,14.48252889139428,Down
DAXX,0.836639018832031,5.834736674688793e-13,8.385040978718247e-12,11.076494810602592,Not Significant,0.835268632603898,7.531043945069046e-08,1.967142695714522e-07,6.706164135396554,Not Significant
DFFA,0.5207602215232825,4.597494709598066e-05,0.0001040790150662,3.982636826297616,Not Significant,0.4151102787409768,0.0018853821569915,0.0028417235551875,2.5464181728181514,Not Significant
DIABLO,0.6523860915078643,1.9881357946994468e-08,9.263866788067636e-08,7.033207698610497,Not Significant,-0.2760675451070964,0.0004320501748226,0.0007032385097309,3.1528973550763406,Not Significant
EIF2AK3,0.8216997254482621,8.151295975606228e-12,8.430816802695804e-11,10.074130347591243,Not Significant,0.3886845861210766,0.000330572261377,0.0005453996938776,3.263285110155449,Not Significant
FADD,1.2174456551004835,2.1688678924262015e-10,1.5971619260454352e-09,8.796651051286027,Up,0.0416778555690178,0.740510542142713,0.7655153672821033,0.1160460866654833,Not Significant
FAS,0.9310331756563812,0.0007098382420758,0.0012994567418993,2.886238173313491,Not Significant,0.2640335937721144,0.2531448494335651,0.2860693451041124,0.5435286782500293,Not Significant
HTRA2,0.5349632317193382,0.0001327208242188,0.0002756762027176,3.559600722013505,Not Significant,-0.7321100140850123,1.380044424553468e-09,4.4445799551909185e-09,8.352169276710104,Not Significant
IKBKB,1.2709940649903473,7.017020199668423e-05,0.0001538064871441,3.813025346774504,Up,0.673119990727542,1.297884188335922e-11,5.4895069144204034e-11,10.260466663557851,Not Significant
ITPR1,-2.7948552782701093,1.675230451514822e-14,3.924714318269842e-13,12.406191950259986,Down,-2.145999068363828,6.78770563459534e-21,6.197651574605517e-19,18.207772842985342,Down
ITPR2,0.7682836975058649,0.000127436085891,0.0002650817941908,3.5766200985738266,Not Significant,1.074185985220403,7.833991073829227e-12,3.4161714741302226e-11,10.466460338100276,Up
JUN,1.744877425744079,2.1498280736446006e-10,1.584299050028947e-09,8.800162838201683,Up,0.5025345842312645,0.0359777348515246,0.0458206585182331,1.3389386735756956,Not Significant
